7k/R7/8/3pb3/4p1KP/1P2Pr2/P4P2/5R2 b - -,e5g3
r1br2k1/1pq1ppb1/p5pn/4P2p/3P3Q/2N2N1P/PP4P1/R1B2R1K w - -,c1h6
r7/4qk2/2b3p1/1p1pBp1p/3P3P/P5Q1/5PP1/R5K1 w - -,e5d6
2r1qrk1/pb2bppp/2p1p3/1pPn4/3P3P/P4NP1/1PQ2P2/R1BR1BK1 b - -,c8d8
r7/5pkp/1ppR1Qp1/8/2q1P3/1r5P/1P3PP1/3R2K1 b - -,g7h6
1kb4r/p4p1p/p3p3/8/6PQ/4p3/PPP1Bq2/1K1R4 w - -,h4f2
8/7p/4k1p1/8/3BP2P/1p6/1P3KP1/8 w - -,f2e3
r1bq1rk1/pp2bpp1/2np1n1p/4p3/2P1P3/2NBBN1P/PP1Q1PP1/R4RK1 b - -,g8h7
r1b1qrk1/ppp3bp/3p2p1/2nPp2n/2P1B1N1/2N1B1P1/PP2QP2/R3K2R w KQ -,e3c5
4k3/2r2pp1/4p3/4Pn1p/5P1P/R4KP1/2pr4/2R4N b - -,d2d1
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2P5/1PN1PN2/P2P1PPP/R1BQKB1R w KQkq -,c1b2
3b1k2/1pR2ppp/p3p3/n2r4/3NN3/P3P1P1/1P3PKP/8 w - -,c7c8
8/6p1/4qpk1/4n3/2pQ4/5P2/3B2P1/5K2 b - -,e6f5
8/1k5p/4R1p1/P5P1/1Pr2PK1/8/8/8 w - -,b4b5
rn1qkbnr/pp2pppp/2pp4/8/2PP2b1/5N2/PP2PPPP/RNBQKB1R w KQkq -,g2g3:b1c3
6k1/3qrpb1/1p5p/p2B2pP/2Pp4/1P1Q1RP1/P4PK1/8 b - -,d7d6
3rrbk1/6p1/p1q2pbp/1pp1p3/8/1P1PNP1P/1PPQR1PB/4R2K w - -,d2c3
4r1k1/1q1nbppp/1pp1pn2/2Pp4/1P1P1B2/Q1N1PN1P/5PP1/R5K1 b - -,b6c5
5rk1/pppq1rbp/6n1/1Pn1pp2/2Q4P/P2PP1P1/4NR2/2B2RNK b - -,c5d3
2rr2k1/1p3p1p/pp4p1/3P4/P1nR1P2/P4BP1/7P/1K1R4 b - -,c4a3
5r1k/1q1Qnp1p/p5p1/4p3/P6P/2P1P3/B5P1/3R2K1 b - -,b7d7
2r2rk1/1b5p/1q2p1p1/p1npP1P1/1p1R1P2/6NQ/PPP5/1K1R1B2 w - -,d1d2
2r2rk1/4b1pp/8/p1pb4/4NpP1/1PRP1N2/P1P4P/5RK1 b - -,c5c4
2rqrbk1/p2p1p2/1p1P1npp/2n2N2/7B/5B2/PP3PPP/R2Q1RK1 w - -,d1d4
5rk1/1bp2ppp/r1p1pn2/1pb2q2/5P2/1PN1P1PP/PB1P4/R2QRBK1 w - -,g1h2
4r1k1/p1p2pbp/1qpp2p1/8/4P3/1PP2Q1P/P3NPP1/4R1K1 w - -,f3d3
r1b1k1nr/pp2ppbp/2np2p1/2qN4/4P3/3B1N2/PPPB1PPP/R2QK2R b KQkq -,c6e5
5R2/8/6p1/1k1K3p/7P/5P2/8/6r1 b - -,b5b6
r4rk1/1q2n1pp/p7/4p1B1/Pp6/8/1PP3PP/R2Q1R1K b - -,e7d5
r3k2r/1pqbbp1p/p2ppp2/8/4P3/2N2N2/PPPQ1PPP/2KRR3 b kq -,h7h5
r2q1rk1/2p1bppp/2n5/pp1bp3/Q7/P2PBNP1/1P2PPBP/2R2RK1 w - b6,a4b5
r4rk1/1b2qppp/p7/8/1bP1p3/1P6/4QPPP/R1B1NRK1 w - -,e1c2
rnbqk2r/pp1pppbp/5np1/2p5/2P5/2NP1NP1/PP2PP1P/R1BQKB1R b KQkq -,e8g8:d7d5
r2qr1k1/pbp1bppp/1p2p3/4n3/2PP1B2/8/PP2QPPP/1B1R1RK1 w - -,d4e5
8/3n4/1p2N1p1/1K6/Pp2k3/8/8/8 w - -,b5b4
2r5/8/1R2pkp1/pP5p/P1P1pr1P/4NP2/4PK2/8 b - -,f6e5
5b1k/8/4pPQ1/4P3/1p2N3/6KP/1nq5/8 b - -,c2d3
r1b2rk1/p2nb2p/2p1p3/q1Pp1pp1/3P4/3BPNP1/P3NPP1/R2Q1RK1 w - -,e2c1
r2q1rk1/ppnn2pp/2ppb3/5pb1/2PPp3/PPN1P3/1BQNBPPP/2R2RK1 b - -,a8c8
r1bqk2r/pp1n1ppp/2pbpn2/3p4/2PP4/1P1BPN2/P4PPP/RNBQ1RK1 b kq -,d8e7:e6e5
5k2/pp3p2/2b3p1/3pq2p/4n2P/P1P1N1P1/1P3PB1/3Q2K1 w - -,e3c2:d1d3
r1r3k1/p3bp1p/2q1p1p1/1p1p4/3P1P2/2P1P3/PP1B2PP/R1R2QK1 b - -,c6d7
6k1/2r1qppp/p3p3/1pnr4/8/P3Q1P1/1P1NPPKP/R1R5 w - -,c1c2
6k1/pp1b3p/2p1p3/P2n1q2/1PBPpP1b/1Q2P3/6r1/2KRBN2 b - -,h4e1
8/8/R1p2n1p/3k1p2/5P2/P2N1KP1/2r4P/8 b - -,d5d4
r4r1k/p6p/2p1p1pP/8/1pb1p3/6N1/PPP2PP1/2KRR3 w - -,g3e4
8/1pb5/3k4/7p/P3KN2/5N2/7P/8 w - -,f4d5
7r/1pkb4/p3pp2/4p1bP/4P3/5B2/PPP5/1K1N2R1 w - -,c2c4
1r2N1k1/5ppp/pp3bn1/3np3/P4q2/R1P4P/3Q2P1/1B1R2BK b - -,b8e8
4Q3/p4R1p/1n6/5qp1/P1p2Pk1/8/1P5P/2K5 b - -,f5d3
1r6/3P4/p2nBk2/1p1Pp2p/4Pp1K/2N2P2/P7/8 b - -,f6e7
r1b1kb1r/p3pp1p/1pn2np1/2p5/4P3/2P1BP2/PP1N2PP/R2K1BNR w kq -,a2a4
2br4/pp2rpkn/1qpp1npp/3P4/2P1P3/1P1B1NNP/P2Q2P1/3R1R1K w - -,d3c2
6k1/3p2p1/2bPp1B1/pp1r4/P1pP4/2K1RP2/1P6/8 b - -,d5d6
1r1q1rk1/2p2pp1/5n1p/1p1PpQ2/1bn5/2N3P1/4PPBP/R2RB1K1 w - -,a1b1
8/3kB3/8/1rp2p2/2Np4/3P1P1r/1PK5/6b1 w - -,e7f8
2Rb3k/7p/Q4Nb1/P3p1n1/4Pp2/5P2/3q3P/6K1 w - -,a6f1
r4k2/5R2/4RP2/p1pp4/8/8/PP5P/7K b - -,f8f7
3Q4/5p2/6p1/6kp/5q2/8/6K1/8 b - -,f7f6
3rr3/1p4k1/4b1p1/p1n1pp2/3q4/2NPpQPP/PP4BK/4RR2 w - f6,e1e3
8/8/8/5p2/7r/R3k3/8/6K1 b - -,e3f4
1rb2rk1/p3b1pp/2p5/2p1p3/8/1P1NP2P/P1PNK1P1/R6R b - -,c8e6
r5k1/1pqn1rbp/pn1pp1p1/2p3B1/2P5/NQ4PP/PP2PPB1/3R1RK1 b - -,d7f6
r1bqkb1r/2p2ppp/p2p4/1p1P4/3p4/2N5/PPP2PPP/R1BQK2R w KQkq -,d1d4
r2qkb1r/pp2nppp/2n1p3/2ppPb2/2PP4/5N2/PP2BPPP/RNBQ1RK1 w kq -,d4c5:b1a3
1r3r1k/pp3pp1/4bq1p/4N2Q/8/3B3P/PPP2PP1/R3R1K1 w - -,h5f3
6k1/5pbp/q2p1n2/2p2Pp1/1p4P1/1P3Q2/5B1P/4R1K1 b - g3,h7h6
2r3k1/pb3p2/1p2p1p1/4b3/1P4P1/1P3P2/2PN4/1KR4R b - -,e5f4
2r2rk1/1p2qppp/pn2bn2/2bp4/3N4/1PNQP3/PB2BPPP/R4RK1 w - -,f1d1
rn1q1rk1/1bp1bppp/1p2pn2/p2p4/2PP4/P1N1PBN1/1P3PPP/R1BQK2R w KQ a6,e1g1
8/8/1p1r4/pK1k4/8/8/8/2R5 w - -,c1d1
3R4/6kp/1p2r3/4p3/5P2/4pP2/PPP1P3/5K2 b - -,e5f4
r3k2r/pp1n1pp1/1qp1p1p1/3p4/2PPn1P1/Q3P2P/PP3PB1/R1B2RK1 b kq -,e4g5
8/4k3/1R4b1/p4P2/8/P3P1K1/2r5/8 w - -,b6g6
r1bq1rk1/pp1n1pbp/4pnp1/3p4/3P4/P1N1PN1P/1P2BPP1/R1BQ1RK1 b - -,d7b6
4rrk1/p5p1/2p5/2ppp3/5pp1/1P1P1N2/P1P3PP/5RKR w - -,f3d2
5r1k/p4pbp/2N3p1/5b2/2P5/8/Pr3PPP/R4RK1 b - -,b2b6
2kr4/p1q1bp1r/1pp3pp/3N4/P4P2/1P6/1P1B1QPP/R4R1K b - -,d8d5
8/8/6P1/3k1K2/R7/4Pp2/6r1/8 b - -,f3f2
2r2r1k/p1pbq1Bp/1p1n2p1/3p1p2/P7/NPP2PP1/2Q1P1BP/R4RK1 b - -,h8g7
5r1k/b1p2rp1/2n3pp/p1P1p3/4N3/PQBqPPP1/3P2KP/1R3R2 w - -,c3a1
r4rk1/pp2pp1p/6p1/q2P4/1n1R4/1P3bP1/PQ3PBP/R5K1 w - -,g2f3
6k1/3nq3/6p1/3P1p1p/2r1BQ1P/2p2PP1/2R5/6K1 w - f6,f4h6
r3k2r/pp3pp1/2bp1b2/q3pP1p/2B1P3/2N5/PPPQ2PP/2KR3R b kq -,a5c5
r4rk1/1pp1q1p1/1pnpb2p/1N2np1B/2P1P3/4B3/P1Q2PPP/R4RK1 w - -,h5e2
rnb1nrk1/p1p1ppbp/1p4p1/3NP3/3P4/5N2/PP3PPP/R1B1KB1R b KQ -,c8b7
