8/8/PK4R1/8/7p/7k/4P3/r7 b - -,h3h2
8/3r2k1/8/7p/1p2RP2/1Bb2KP1/P6P/8 b - -,g7f6
rnb2rk1/ppppqppp/4pn2/8/1bPP4/5NP1/PP1BPPBP/RN1QK2R b KQ -,b4d2:b8c6:b7b6
8/1p3kp1/p3pb1p/2p4P/P1P5/4P3/2KN2P1/8 w - -,d2e4
r5k1/p2nrpp1/2p1p2p/q1p5/3P4/1N1QP3/P1R2PPP/5RK1 b - -,a5a4
8/6pp/3b1p2/2pkp3/1p6/1P1P1P1P/1BPK2P1/8 w - -,d2e2
2kr1b1r/1pp1pppp/p4n2/3NN2b/8/6PP/PPPB1PB1/R3K2R b KQ -,f6d5
r7/1p1k1p2/1p1b1Pp1/3P3p/4N3/7P/6P1/2R2K2 w - -,f1e2
r5k1/p4p1p/bp2pp2/8/3Rn3/4PN2/PP3PPP/1K5R b - -,e4f2
2r1r1k1/ppp2ppp/2nb4/3q4/P2Pb3/2P1BN2/4BPPP/R2QR1K1 w - -,f3d2
1r3b2/p3qnk1/4p1p1/2BpPpNp/P1b2P2/2N3RP/2P3P1/3Q3K b - -,e7d7
r2q1rk1/p1b1nppp/bpn1p3/2p5/4PP1N/5NP1/PPP3BP/R1BQ1RK1 w - -,f1e1
r2q1rk1/1p3ppp/p4n2/3pb3/6b1/1P1BP3/P2BNPPP/2RQ1RK1 w - -,f2f3
6k1/1p3p2/5r1p/6p1/1P4P1/6K1/1p2PP1P/1R6 b - -,f6f4
r2r2k1/pp3pp1/7p/2Rnp3/1P6/P2PBKP1/5P1P/5R2 b - -,b7b6
2r3r1/3pkp1p/3b1p2/8/1p3P2/1B2P3/P4P1P/R4R1K b - -,d6c5
4b3/8/8/1p1p2p1/p1pP4/P1P1K1k1/1P6/4N3 w - -,e1f3
r3q1k1/N1r1bppp/R3p3/R2p4/Q2P4/1Pp1P2P/2P2PP1/6K1 b - -,e8f8
1r3r2/3k3p/p1p1p1p1/3p1q2/6Q1/2P1R2P/PP3PP1/2K1R3 w - -,g4d4
1r3rk1/5pp1/5n1p/3n1P2/1pRp4/6N1/1P1B2PP/5RK1 b - -,d5e3
6k1/4npp1/1Q2p3/p2pN1p1/3P2P1/1P2PPK1/3q2P1/8 w - -,g3h2
4r1r1/pp1R3k/8/2p4P/2P1bB2/1P2Rp2/P4P2/5K2 b - -,g8g7
r7/6pp/1kb2p2/p2p4/P2RP3/2R2PP1/2P2K1P/8 b - -,d5e4
6k1/5p1p/4p1p1/4PP2/6P1/3n4/1P1r2NP/R6K w - -,h2h3
5b2/8/4k3/2p5/2PpNKP1/3P4/8/8 w - -,g4g5
5k2/5p2/1PN3p1/1K6/4q3/2R5/7p/8 w - -,b6b7
r3r1k1/pp3pp1/2pn4/3p1bq1/1P1B4/P2BP1P1/1Q3PP1/R4RK1 w - -,d3e2
8/2k5/2p4R/4K3/6p1/5bP1/8/8 w - -,h6h7
3r2k1/1b3ppp/p7/1p6/3qP3/P7/1PB2QPP/5RK1 b - -,d8d7
8/p2R4/1p3kp1/2p4p/2P4P/6P1/2r5/6K1 w - -,d7a7
6k1/2B1p2p/2p1Pbp1/pp6/8/PR2P3/5PPK/3r4 w - b6,c7a5
r1b5/pp1p3k/3Qp3/7q/8/3P4/PPP3PP/5RK1 b - -,h5g5
r1bk3r/p3ppbp/2p2np1/4p3/2B5/2N2P2/PPP3PP/R1B1K2R w KQ -,c1e3
2r2b1k/1bq4p/pp2n1p1/8/2BPppPQ/1PP4P/P7/R3R1K1 b - -,e6g7
r3kb1r/pp3p1p/nqp2pb1/3p4/3P4/P1N1PN2/1PQ2PPP/2R1KB1R w Kkq -,c2d2
3r3r/5p2/pk3n2/4p1pp/1PP1Nn2/4KB1P/P5P1/3R1R2 b - -,f6e4
r5k1/5ppp/2p2bn1/p1Pp4/P2PbP2/1rBq1NP1/3Q2BP/R1R3K1 w - -,d2d3
2k4r/1b1r2p1/p3pp1p/q1np4/5Q2/P1N2B2/1PP2PPP/2KR3R b - -,h8d8
r4rk1/1b3p2/p7/1p1nPp1Q/8/1BP1R3/P5PP/6K1 b - -,d5e3
rn1q1rk1/p1p3pp/1p1pp3/2Pb1p2/3P4/2Q3P1/PP1NPPBP/R4RK1 b - -,d5g2
r2qr1k1/ppp1bpp1/5nbp/3Pp3/8/1PNP1P2/1PP1QNPP/R1B1R1K1 w - -,c1d2
5rk1/1prqpp1p/pQ1p2p1/3P4/1PP1R3/1P3P2/6PP/4R1K1 b - -,f8e8
3r1rk1/pp3ppp/1qn1b3/8/3p3N/1P4P1/P2QPPBP/2RR2K1 b - -,c6b4
2r5/1bq2pk1/5N2/5P1p/p2p4/Pn1Q2P1/1P2P1BP/5R1K b - -,b7g2
3b1r1k/1p3p1p/2p4N/p7/Pn1P2RP/1B3P2/1P2r1P1/3R2K1 b - -,b4d5
2kr4/1bq2p2/2n1p1n1/p2pP3/1ppP2N1/2P3PP/PPQ1N1B1/5RK1 b - -,d8h8
8/8/6p1/8/R4n2/1pK2k2/8/8 w - -,c3b3
r1n1r1k1/n1q2pb1/p5pp/4p3/2NpP3/BQ1P2P1/5PBP/1RR3K1 b - -,c7d7
2r2rk1/5pbp/pqn1pnp1/1p1p4/P2P4/1PP2BPP/1BN2P2/R2QR1K1 w - -,b2a3
5k2/1R6/8/5PK1/1P6/8/7r/8 w - -,b4b5
r3kb1r/ppqb1ppp/2n1pn2/8/2BP4/2NQ1N2/PP3PPP/R1B2RK1 w kq -,c1g5
2q2rk1/5r1p/3pp1p1/2p1np2/1pP1P3/pPbPB2P/P3BPP1/1RQ2R1K w - -,f2f4
1r1q1rk1/p2n1ppp/4pn2/2b5/2B5/4PP2/PPQ2P1P/RNB2RK1 b - -,d7e5
8/pp1r2rp/P2pkp2/K1p1b2R/2PpP1P1/3P3P/2PB4/1R6 b - -,d7c7
8/3qrp1k/2Rb2p1/3P3p/7P/3N1QP1/5PK1/8 w - -,c6c4
1r2r1k1/3n1ppp/1ppq1n2/3p4/P1PPp3/4P2P/Q2B1PP1/1R1R1BK1 b - -,d6e6
8/1R2bk2/3qp1p1/5n2/1p2Q3/1P6/P1Pr4/1K2R3 w - -,b1c1
3r4/4R2p/3k2p1/1B6/Pp4n1/1K6/1P6/8 w - -,e7h7
rnbq1rk1/ppp2pbp/3p2p1/8/2NP4/2PB4/P1P2PPP/R1BQ1RK1 b - -,b8c6
rnbqkb1r/pp4pp/4pn2/3p1p2/3P1B2/2N1PN2/PP3PPP/R2QKB1R b KQkq -,f8e7
3r4/1kpbqp1r/1p1p2pn/2nPp2p/p1P1P2P/P1N2P2/1PBQ2P1/2KN2RR w - -,d1f2
r1b1k2r/p1pp3p/1pn1pqpQ/8/3P4/2PB1N2/PP3PPP/R3K2R b KQkq -,c8b7
8/p3R1k1/1pp3p1/4n1r1/N3P3/1P6/P3K3/8 b - -,g7f6
1rq2rk1/pp2p2p/3pPbp1/2p5/2P1PP2/2P5/P1Q2PBP/1R2R1K1 b - -,f6g7
r1bqr1k1/pp3pbp/3p2p1/2pP4/2Pp1B2/3P2P1/PP3PBP/R2Q1RK1 w - -,d1d2
r3r1k1/1p3pbp/p2p2p1/1b2p3/4P3/2PnB1P1/1PN2PBP/R2R2K1 w - -,b2b3
5r1r/1Rkb1p2/4pRp1/p1p1P2p/P3BK1P/2P2P2/6P1/8 b - -,c7d8
3rk2r/1p1nbpp1/p5p1/3p1nP1/q3NP1P/P4Q2/1P2BB2/1K1R3R w k -,d1d5
r2r1bk1/p4p1p/1p2p1p1/n2bP3/q2P4/4B2P/PQ2BPP1/R1R1N1K1 w - -,e2b5
3B4/8/1pp3p1/p7/P3k3/1P2b3/8/5K2 w - -,f1e2
8/p1k5/1p6/3QP3/1K3P2/1PP5/q7/8 w - -,e5e6
2r5/4kp2/4p1pp/1P6/2r2P2/1RP1RK1P/8/8 w - -,e3d3
r1b1kbnr/1pqp1ppp/p3p3/2p5/2PnP3/2N2N2/PP1PBPPP/R1BQ1RK1 w kq -,d2d3
3r4/8/2k1p2p/1Rp2p2/P7/1P2K1P1/5P2/8 b - -,d8g8
6k1/1b3p1p/1p1p2p1/8/P2NP1Pq/3P4/1Q4P1/2B3K1 b - -,h4e1
4r1kr/2p3p1/p3p2p/8/3Pb3/4P3/PP3PPP/R1B1K2R w KQ -,f2f3
1r1q1rk1/6pp/3p4/p2NpBb1/R7/2P5/1P3PPP/3Q1RK1 b - -,f8f5
2q2rk1/1b1nbppp/p3p3/3p4/Pp1P1B2/6P1/1P2PPBP/RN1Q2K1 w - -,b1d2
5rk1/2rb2p1/4p3/pB2B1Np/P6P/5P2/6P1/1K6 w - -,e5c7
3q1rk1/1p3p2/p5pp/4P3/3r4/1B6/PP3QPP/5R1K w - -,b3f7
5Q2/p7/p1nkp3/P2r4/5PP1/3p4/5K1P/8 b - -,d6c7
2rqk1nr/1b1nppbp/p2p2p1/1pp5/3PP3/P1N1BN2/1PPQBPPP/R4RK1 w k c6,d4d5
8/r7/Pk6/3p4/6PK/R6P/8/8 w - -,g4g5
8/p7/6k1/1p6/1Pp1Kp1p/2P3pP/P5P1/8 b - -,g6g5
