8/4p3/3k2B1/6BP/r2p4/6K1/5P2/8 w - -,h5h6
r1b2rk1/5ppp/p1p1p3/2Nnq3/8/3Q4/PPP1BPPP/R4RK1 w - -,e2f3
8/3R1p2/1p2r1pp/p3k3/4P3/n5P1/6KP/5R2 w - -,f1f7
5k2/1pR2p1p/1r3bp1/p7/P2p4/1P1R2PP/5P2/6K1 b - -,h7h5
8/7p/2R2bk1/R5p1/5r2/6PP/5p2/6K1 w - -,g1f1
8/3bk3/4p3/p7/P1BpR3/1P6/2r4r/3KR3 w - -,e4d4
8/1p3ppp/p2k4/8/3K4/P4P2/1P4PP/8 b - -,b7b5
3r4/5pk1/1p2p3/P3P1pp/1P1P4/R6P/6P1/6K1 b - -,b6a5
1r3r2/pq1k2p1/3pn3/4p1P1/5n1Q/2P3R1/5P1P/4RK2 b - -,f8h8
rn1qkb1r/pp2pp1p/2p2p2/5b2/3PP3/2N5/PPP3PP/R2QKBNR b KQkq -,f5g6
r4rk1/4b1pp/3p4/p2qpP2/R1p5/1nP1QN1P/1P3PP1/1N2R1K1 w - -,b1d2
8/p6p/Rn1k2p1/3B1p2/P2K1P2/7P/6P1/2r5 w - -,d5b3
rr4k1/3n1p2/3qbnpp/1Bpp4/P7/2N1PN1P/1R3PP1/2RQ2K1 w - -,e3e4
r1b2rk1/pp2ppbp/6p1/q7/2Pp1Bn1/1QN3P1/PP2PPBP/R4RK1 w - -,c3d5
8/7R/4k1p1/4B1K1/3p1P1P/3r4/2r4P/8 b - -,c2g2
r1b1kr2/pp5p/2nqp1p1/1B1pb1B1/8/1N3Q2/PP3PPP/R3R1K1 w q -,f3h3
1b3r1k/6pp/4Q3/4pp2/1q6/3R2P1/5PKP/8 w - -,d3d7
4r1k1/p2nrpq1/1p1p2p1/1PpP4/2P1PRpP/P5Q1/6P1/3N1RK1 w - -,g3g4
8/5pkp/6p1/3P4/1p5P/1PpnnPP1/P5B1/R5K1 w - -,g2f1
1rq2rk1/3bp1bp/p2p1np1/2pPp3/2P1P3/R5P1/1P1BQPBP/R2N2K1 b - -,b8b6
2r2r2/pp1bppkp/3p1np1/q7/3NP3/1PN2P2/1PPQ2PP/2KR3R w - -,c1b1
r2qr1k1/1p3p2/p1pb2p1/4p2p/3pP3/1P1PN1PP/P1P1QP2/R4RK1 w - -,e3c4
3qn3/r2n2k1/1p1p2pb/1Q1Pp2p/1P2P3/5PPN/2R2BK1/5B2 w - -,c2c6
1q5r/5rk1/3p1p1p/2p1nPp1/1pPpP1PP/3P1B2/2PQ2K1/R6R w - -,f3e2
r1bqkb1r/pp3ppp/2n2n2/2p5/2Pp4/3P1NP1/PP3PBP/RNBQ1RK1 b kq -,f8e7
r1bqk2r/p3n1bp/2ppppp1/2p5/4PP2/3P1N2/PPP1Q1PP/RNB1K2R w KQkq -,b1c3
r2qnrk1/ppp3b1/3p2np/P1PPp1p1/1PN1Pp2/B1N3Pb/4BP1P/R2QR1K1 w - -,e2g4
8/3k1p2/2pr2p1/4R3/2P2nNP/5P2/8/5K2 w - -,e5a5
3rn3/1p3pkp/p1p1q1p1/8/4P3/P1N1Q2P/1PP2PP1/4R1K1 w - -,e3e2
r1b2rk1/pp3pp1/n1p1pb1p/q7/2PPN3/1Q3N2/PP1R1PPP/4KB1R b K -,f6e7
r1b1nbk1/ppp2q2/6pp/r2pN3/8/2PQ4/P1B2PPP/R1B1R1K1 b - -,c8f5
8/3b4/1p1r4/p1pBb1k1/P1P2Pp1/R2P4/5PK1/6N1 b - -,e5f4
rnbqk1nr/ppppp1bp/6p1/5p2/5P2/1PN2N2/P1PPP1PP/R1BQKB1R b KQkq -,g8f6
1r1qr1k1/5ppp/p2p4/3P4/P1n5/1NQ3P1/4NPK1/3R4 w - -,c3c4
r5k1/p3q3/3p2Qb/1p1Pp3/2p1P3/2P5/PP4PP/4R1K1 b - -,h6g7
R7/6k1/p5p1/2P4p/1P6/6K1/r7/8 b - -,a2c2
rnbq1rk1/p3ppbp/1p1p1np1/2p5/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 b - -,b8c6
r1bq1rk1/ppp1b1pp/2nppn2/5pB1/2PP4/P1NBPN2/1P3PPP/R2QK2R b KQ -,e6e5
1r6/1P3p2/2R2kp1/pP1b3p/8/3p4/1P1N1KPP/8 b - -,f6e5
r3k2r/p2q1pb1/bpn1p1pp/2pn2B1/8/2PP1NP1/PP1NQPBP/R3R1K1 w kq -,g5e3
3n4/1p1P1p1p/1N2k1p1/2pR4/4r1P1/8/P4K1P/8 b - -,e4b4
5k2/1r3p2/3p2p1/p2Nn1Pp/1p2P2P/PP4R1/1P1K4/8 b - -,f8g7
3rbq2/1p3pk1/p1n2r1p/3B2pP/3NQ1P1/P7/1P3P2/3RR1K1 b - -,c6d4
8/7p/p3Pk2/5P2/r7/4RK2/7P/8 b - -,a4d4
q4rk1/1b2bp1p/2np2p1/1ppPp3/8/2PP1N2/1PB2PPP/2BQR1K1 b - -,c6d8
r1b2rk1/ppNp1ppp/4p3/n1q5/Q1n2B2/2P3P1/P3PPBP/R4RK1 b - -,e6e5
r4bk1/p4n1p/3B1pp1/1b3q2/2Q5/5P2/PPP3PP/3RR1K1 w - -,c4b3
2kr3r/pp3p1p/2pbp3/3n1p2/3P4/5B1P/PPPB1PP1/R4RK1 w - -,f1d1
r2q1rk1/2pbnpbp/p2p2p1/1p2P3/8/1BP2N2/PP3PPP/R1BQR1K1 b - -,e7f5
r1b4Q/pp2kp1p/2n2n2/2b1q3/4N3/5P2/PPP3PP/R1B1KB1R b KQ -,c5f2
r2q1rk1/1p2bpp1/2npb2p/2nNp3/p1P1P3/3BBP2/PP1Q2PP/R1N1K2R w KQ -,e1g1
8/8/2R4k/7P/2p3KP/8/8/2r5 b - -,h6h7
3rk3/p4q1p/1p2b1p1/2rp1p1P/3Q4/1RBP2P1/4PPB1/6K1 w - -,f2f4
r4rk1/1pqnbppp/p1b5/4pQP1/4N3/2P1B2P/P1P2PB1/R4RK1 b - -,a8d8
r5k1/ppq1rpbp/4p1p1/3bP3/3B1R1P/1BP5/PP2Q1P1/5RK1 b - -,d5b3
2Q5/5k2/3qppn1/6pp/4P3/3N1PP1/6KP/8 w - -,d3f2
6k1/3b1pb1/3p2qp/2pP2p1/1r2P1P1/2NQ1PP1/1P3BK1/1R6 b - -,g7e5
5rk1/1b2b2p/1q4p1/pP1p1p2/P7/2pQ1PP1/6BP/4R2K w - -,e1e7
8/4k3/p6N/2K5/2B2r2/8/P7/8 b - -,a6a5
3r2k1/R4pp1/1rp1p2p/4P3/1p1PK3/6P1/7P/5R2 b - -,d8f8
3rkb1r/1pq2ppp/p1p1b3/4p2n/2P1P3/P2BB2P/1P2QPP1/RN3RK1 w k -,b1d2
4Rr1k/pbpq2bp/3p2p1/8/5P2/2P3P1/PP4BP/R1B3K1 w - -,e8f8
r1bqk2r/pp1p1pp1/2n1pn1p/2P3B1/2P5/2P2N2/P3PPPP/R2QKB1R w KQkq -,g5h4
8/8/4kpKp/8/5PP1/7P/3n2B1/8 w - -,g6h6
8/6p1/1K6/4bk2/2R2p2/1N6/8/8 w - -,b6c5
8/8/1r3B2/2pk4/R7/5P2/5KP1/8 w - -,a4f4
4r2k/1p2r3/p4R2/3p1p2/4p3/2P4P/PPB3P1/4R1K1 b - -,e7e5
8/4k3/5p2/3P1RP1/4P3/8/4K3/6r1 b - -,f6g5
rn1q1rk1/pp2ppbp/2p1b1p1/8/3P4/2N1P3/PPQ1BPPP/R1B2RK1 b - -,b8d7
r5qk/1pp1n1bp/3p1r2/1P6/3NBP2/4P2b/1B3R1P/2RQ3K b - -,d6d5
r4rk1/ppp1qppp/3p2n1/5b2/2PP4/2Q1B3/PP2BPPP/R4RK1 w - -,f1e1
rr4k1/3nppb1/3p4/2pPn1pp/P3P3/2B1R1PP/RP1N1PK1/3N4 b - -,g5g4
r2qr1k1/1p1b1pbn/p2p1npp/P1pP4/2P2P1B/2NB3P/1PQ1N1P1/1R3RK1 w - -,c3e4
r4r1k/ppnbq2p/4ppp1/8/P1BN1P2/2PR4/1P2Q1PP/R5K1 b - -,a8e8
8/2k2qp1/p1pb4/Prn1pp1P/4P3/2P1BB2/4QP2/5KR1 w - -,e4f5
r3k2r/pppnqpp1/3pbn2/8/2PPP2p/PQP1P3/R3N1PP/1BB1K2R b Kkq -,d7b6
b1r1r1k1/1q3ppp/8/2np4/1Q1N4/4P1P1/5PBP/R1R3K1 w - -,b4a3
rnb1kb1r/p2ppppp/5n2/qppP4/2P5/8/PPQNPPPP/R1B1KBNR b KQkq -,b5c4
r4n2/5pk1/3pq2p/p2p4/1p1P3P/6P1/1PP1Q2N/4R1K1 w - -,e2d2
2r2r1k/pp4bp/q7/P2Qp3/2P2p2/7P/1P2RPPN/3R2K1 w - -,b2b3
6k1/6bp/R7/p1B3P1/4K3/1P6/2r5/8 w - -,a6a5
