6rk/5p2/7p/1p6/5q1P/pPR2Q1K/P5P1/8 b - -,f4f3
r2q1n1k/2p1rnp1/1p1p1pB1/3P4/p1P2P2/P1B3R1/1PQ3PP/5RK1 w - -,g3h3
r1bq1rk1/pp2bppp/2n2n2/8/2P2B2/1N1p1NP1/PP3PBP/R2Q1RK1 b - -,c8e6
3r1rk1/1b3ppp/4qn2/2p1p3/1p2P3/1P1B1P2/1BPRQ1PP/5RK1 w - -,e2f2
3rr1k1/1p3pp1/7p/3pP3/Pnq1nP2/B2R2P1/4Q1BP/5R1K w - -,d3e3
2rq1rk1/1p1nbppp/p1n1p3/3p4/NP1P4/P2Q2P1/1B2PPBP/R4RK1 b - -,d7b6
1rr3k1/pp2ppb1/3p1np1/q7/2BBP3/P1N2P2/1PPQ2P1/1K1R3R b - -,c8c4
8/1b2k3/1p3p2/3pn3/r4pPp/5P1P/P6R/R4K1B b - -,b7a6
8/8/1p6/1P2b1p1/7p/4k2P/R3B1K1/2r5 b - -,c1b1
1r2r3/4p1k1/3p1p2/8/1PQ4P/p1P5/P7/K1B5 b - b3,b8c8
6k1/1q3p1p/2n1p1p1/2QpP3/3P4/P5PP/1P3P2/6K1 b - -,b7a6
r3qrk1/ppp3pp/4p3/3n1p2/b2P4/3QPPP1/PP3RBP/R3N1K1 b - -,a8d8
2rr2k1/5pbp/1n4p1/1q1p4/2p5/4P2P/1P1R1PPB/2RQ1BK1 w - -,c1c2
3r1r2/p1n3kp/2Pp2p1/1p1N4/5P2/PP1b2P1/6BP/R3R1K1 b - -,f8f7
5rk1/2pb1ppp/pbnp3n/1p1N2B1/3Pq3/5N1P/PP3PP1/2RQ1RK1 w - -,d5b6
3r3r/ppk1b3/2n1bp2/2Pnp1pp/6P1/1NP1B2P/PP1NBP2/R3K2R w - h6,h1g1
3k4/p2p1ppp/1p6/8/5q2/4r1n1/P1PQ2B1/3K2R1 b - -,f4g4
3rb1k1/6p1/p4p1p/2p1pP2/P3P1PP/1PpN1K2/3b4/2N2R2 b - -,c5c4
3r4/1p6/1pn1k3/p5p1/PbNPp2Q/4P3/1P4B1/2R4K b - -,g5h4
r1b2rk1/pp2ppbp/2n3p1/8/1q1P4/1QN1PN2/PP2B1PP/R4RK1 w - -,b3b4
6k1/pp1b4/2n1p3/3pP3/1P4Pb/P3qr2/1B5Q/RN1R3K w - -,b2c1
3Q2k1/P1n2p2/8/2p1q1p1/8/1P3P2/6B1/6K1 b - -,g8g7
8/5p2/7R/p1r1pkpp/8/1P2K1PP/2P2P2/8 w - -,e3d2:e3d3
1r1qk2r/3bnpb1/4p1p1/pp1pP2p/2pP1P2/2P1NBP1/PP1Q1B1P/R4RK1 b k -,g7h6
2k5/1p3p2/p5n1/P5K1/1PP1RN2/5rP1/8/8 w - -,g3g4
5bk1/5p1p/6p1/4P3/3p1P1P/3qr1PK/2R2QB1/8 w - -,c2d2
rnbq1rk1/1pp1bppp/p3pn2/8/2Q5/5NP1/PP1PPPBP/RNB2RK1 w - -,c4c2
1r4k1/1pr5/3Np1p1/p1PpPpqp/P7/6P1/P1R4P/1R3BK1 w - -,c5c6
8/5p2/3K4/5k2/2P4P/4P3/6pr/R7 w - -,a1g1
6k1/3n1p1p/8/3q2p1/2r1pbPP/2N5/RB2Q1K1/8 b - -,d5c6
6k1/1p2bp1p/4b1p1/3pPp2/r2P1P2/4N3/1P1B1KPP/1R6 w - -,d2c3
r1bq1rk1/pp1p1ppp/2n1pn2/8/2PPP3/P7/2Q2PPP/R1B1KBNR w KQ -,d4d5
2B3k1/ppp4p/7P/2PpP3/3nr3/8/PP1K4/7R b - -,d4f3
r2q1rk1/pp1nbppp/2p1pn2/6B1/3P3Q/2NB3P/PPP2PP1/R4RK1 b - -,g7g6
r1b1k2r/1p2qppp/p3p3/2b1n3/3N4/2P1nN2/PP2BPPP/R2Q1RK1 w kq -,f2e3
8/4n3/5k2/1PN1p3/2K2p2/8/8/8 w - -,b5b6
r4rk1/1ppbqppp/n2p1n2/3Pp3/1PP1P3/6PP/3N1PB1/R2QNRK1 w - -,e1d3
1r1r2k1/1bqnbppp/p2pp3/P1p5/4PB2/1P4P1/1NP1QPBP/R2R2K1 b - -,d7f8
r2q1rk1/1nppbp1p/p1n3pB/1p2P2N/6Q1/2P5/PP3PPP/RN2R1K1 b - -,f8e8
2rq1rk1/1b1nbppp/pp2p3/3p4/PNnP4/1P2PNP1/3B1PBP/R1RQ2K1 b - -,c4d2
3k4/p4pN1/1p6/3Bn1p1/4P1P1/P6n/1PK5/8 b - -,h3f2
1r3rk1/p1p2p1p/4p1p1/1p2P1q1/2nPB3/P1P3P1/Q4P1P/R2R2K1 w - -,a3a4
r1bqk2r/ppp1nppp/2n5/3p3Q/1b1P4/2NB4/PPP1NPPP/R1B1K2R b KQkq -,c8e6
r1bqr1k1/pp3pbp/2p3p1/3p3n/8/1NP1B1P1/PP2PPBP/R2QR1K1 w - -,d1d2
rnbq1rk1/pp2ppbp/2p3p1/8/3PP3/2P1BN2/P4PPP/R2QKB1R w KQ -,d1d2
5k2/B3p2p/R4pp1/1p3r2/1P1P4/6P1/3KP3/2r3Q1 b - -,c1g1
r3k2r/1p1n1pp1/p3pN2/6p1/3P1qP1/1P5P/P3QPB1/R4RK1 b kq -,g7f6
r2q1rk1/pp1n1ppp/2pbpn2/5b2/2PP4/2N2B2/PP2NPPP/R1BQ1RK1 w - -,e2g3
8/2p1rpkp/1p1p2p1/p2P4/1P6/2Q4P/P1P1qPP1/3R2K1 b - -,g7g8
2qr2k1/5ppp/1r1ppb2/p1p5/2B1P3/1P3Q2/P1P2PPP/3R1RK1 b - -,a5a4
3r1b1r/ppkn1B2/2pp3p/6p1/3Pbn2/5N2/PPPQ2PP/4RRK1 b - -,d6d5
r3brk1/pp2bppp/1qn1pn2/2p1N3/2PP4/4PB2/PB1N1PPP/1R1Q1RK1 b - -,b6c7
3rr1kb/2p1p2p/p3qp1P/1p2PpB1/2nPB3/2P5/P1Q2P1K/3RR3 w - -,e4f5
8/5p2/2P2k2/R2K4/3P2P1/7p/2r5/8 w - -,d5d6
rnbqkb1r/pp2pppp/3p1n2/2p5/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq c6,f1g2
1r4k1/R1R2p2/8/1p1p2r1/1P1P4/4P1Np/4KPnP/8 b - -,f7f5
8/B4p2/6k1/4p1bp/1R6/5P2/2r1r1PK/6R1 b - -,g6f5
r1bqkb1r/pp1ppppp/2n2n2/2p1P3/8/2P2N2/PP1P1PPP/RNBQKB1R b KQkq -,f6d5
2k5/1p6/p4pR1/r2p1P2/3P4/1pPK4/1P6/8 b - -,c8c7
3r2k1/pp1b3p/3p1q2/2pP1ppP/6P1/2P2Q2/P4P2/4RNK1 b - g3,d8f8
1r1r2k1/p1q2p1p/4b1pQ/2p1P3/2Pp3P/3B2P1/8/2R1R1K1 b - -,b8b3
r7/p1rn2pp/2N1p3/4Ppk1/Pp6/1P3PP1/2R4P/2R3K1 b - -,a8c8
2r3k1/4qpp1/1p4bp/1Qp5/3R4/1P4PP/P3rPB1/2R3K1 w - -,d4d7
r1bq1rk1/pp3ppp/2n5/3Nb3/4P3/3Q2P1/PP4BP/R1B2RK1 b - -,c8e6
1k6/2b5/1p2Q3/2p4P/8/2pb2P1/P4P2/6K1 w - -,e6g8
rn1q1rk1/pp2ppbp/3p1np1/2p5/3PP1b1/2PB1N2/PP1N1PPP/R1BQR1K1 b - -,b8c6
r1bq1r2/pp2n1kp/2n2pp1/3p4/3p3P/2N3P1/PPPQNPB1/R3K2R w KQ -,e2d4
6k1/1q1n2pp/p3pp2/3n4/3B4/1P3N2/P4PPP/2Q3K1 b - -,e6e5
rn1qkb1r/p1p2ppp/1p2pn2/3p1b2/3P1B2/1QP1PN2/PP3PPP/RN2KB1R b KQkq -,f8d6
4r2k/1pp1r1bp/1n4p1/1b1P4/4BB2/pP3N1P/P2K2P1/4R2R w - -,f3g5
2r1k2r/1bqnbppp/p2pp3/1pn3P1/3NPP2/P1NBB2Q/1PP4P/4RRK1 b k -,d7f8
r3k3/1pq2pp1/p2p4/P3p2n/5P1p/1Q5P/2P3P1/R4R1K w q -,f1b1
3q1rk1/pp1bppbp/3p2p1/4n3/3NP1P1/1B2QPR1/PPP5/R3K3 b Q -,a7a5
r1b1k2r/1pp1n1pp/pq3n2/3p4/P1Bp4/1P3N2/2P1QPPP/RN2R1K1 b kq -,b6c5
1r2r1k1/p4p1p/2p3p1/8/4b2P/4N1P1/P3RP1K/R7 b - -,e4f3
rn1q1rk1/pp2ppbp/3p2p1/2p2b2/2PPnB2/1QN1PN2/PP2BPPP/R4RK1 b - -,b8c6
2r2rk1/q1nnbppp/p1b1p3/P1p5/1pN1P3/3PB1PP/1PQN1PB1/R4RK1 w - -,f2f4
8/5kpp/Bn1rp3/2p2p2/P7/5bP1/2P2P1P/2R1B1K1 b - -,b6a4
4qr1k/1p1bn2p/3p1b2/r1pPp3/p1PnPp1P/P1NQ1P2/1P1N2R1/1K2BBR1 b - -,e8h5
8/5pp1/4pk1p/2r5/8/4P1P1/1K3P1P/2R5 b - -,c5f5
r1bqrbk1/1p3ppp/2pp1n2/p1n5/2PNP3/2N1B1PP/PPQ2PB1/3R1RK1 b - -,d8e7
r1r3k1/1n2bppp/pn2P3/3B4/1P3qP1/7P/2P1QP2/R2R2K1 w - -,e6f7
3k4/1p6/1P1Q4/P6P/5K2/5P2/r5r1/8 b - -,d8e8
8/8/3p3k/2N2R1P/2r3P1/8/5PK1/8 b - -,d6c5
3r2k1/5pp1/p1n1p2p/P1rn4/R1p4P/5BP1/2PB1PK1/4R3 b - -,c4c3
8/4k3/1P6/8/6p1/3N4/P5b1/K7 w - -,a2a4
rnb1kbnr/pp3ppp/4p3/3Q4/3p4/3B4/PPP2PPP/RNB1K1NR b KQkq -,e6d5
3rr1k1/2p1q1b1/1p2bpp1/p3p2p/4P3/1NP2N1P/PP2QPP1/3RR1K1 w - -,f3h4
