2k5/7p/8/p7/P3r3/8/1PP5/2K4R w - -,h1h7
r1bqk2r/pp2p1bp/3p1np1/2pP1p2/2P5/2N1PB2/PP3PPP/1RBQ1RK1 b kq -,e8g8
r2r2k1/p4q2/bp5p/n1pP1pp1/2P1n3/P1PB4/Q1NB2PP/R3R1K1 w - -,c2e3
r3k2r/p2n1ppp/b1pbpB2/1q6/Np1P4/5NP1/PP2PPBP/R2QK2R b KQkq -,d7f6
1rb4k/5rbp/p2p4/B2Ppp2/2P1P3/R5NP/6P1/4R1K1 b - -,f5f4
r1b1r1k1/1pqn1pbp/p1pp1np1/8/1PPBP3/2N2NPP/P1Q2PB1/1R3RK1 b - -,d7e5
r5k1/p2qrpbp/1p1p1np1/2pP4/Pn2P3/2N2PP1/1P5P/R1BQRNK1 w - -,f1e3
rnbq1rk1/ppp2ppp/4p3/3n4/1bBP1B2/2N1P3/PP2NPPP/R2QK2R b KQ -,d5f4
r2q1rk1/pn2ppb1/2n3pp/2Bp4/3Pb3/1PN2N1P/P3BPP1/2RQ1RK1 w - -,c5a3
r5k1/5pp1/1pp1r2p/6qn/3PP3/5P2/P3QBPP/R1R3K1 w - -,e2f1
r4rk1/1p1bqppp/p1n1p3/4N3/1P6/P1Q3P1/4PPBP/R2R2K1 b - -,c6e5
r2q1rk1/4p1bp/3pP1p1/p1n2pN1/1p1p1P1Q/3B3P/PPP3P1/R4RK1 b - -,h7h6
7k/Np3p2/p1p2qp1/7p/8/1PPQ3P/1r4P1/5R1K b - -,b2f2
r1bqk2r/1p1nbppp/p3p3/3pP3/5B2/2NBP3/PP3PPP/R2QK2R w KQkq -,e1g1
2rr2k1/pb2qp1p/1pn1p1p1/2p5/2BPP1P1/2P1QP2/P3N1P1/2RR2K1 b - -,c6a5
2q1rrk1/pp3bpp/5b2/2p5/2Pp2P1/1P1N3P/P2B1PQ1/4RRK1 w - -,f2f4
8/6k1/p2q1bp1/1pN1r2p/1P6/PQ3BPP/5PK1/8 w - h6,h3h4
4r1k1/3n1pp1/p2B4/4pP1p/8/6PP/2P1R1K1/8 w - -,c2c4
r2q1rk1/pp1n1ppp/2p1pn2/5b2/PbBP3N/2N1P3/1P3PPP/R1BQ1RK1 w - -,f2f3:h2h3:h4f5
7k/p4rb1/1p1PN1pp/5p2/3p4/1P4PP/5P2/3R2K1 w - -,d1c1
1r6/5p2/1PK5/1R3P1p/8/6k1/8/8 w - -,c6c7
r2k3r/1q2bR2/1nb1p1Bp/pp1pP1p1/3P2P1/1PQ4P/P2BN3/K2R4 w - -,c3d3
2kr3r/pppq3p/1nnbpp2/8/3P4/2N1B3/PPQ1NPPP/R2R2K1 w - -,a1c1
5Qbk/8/2BBp2p/4Pp1q/5p2/8/8/5K2 b - -,h5d1
r2q1rk1/p2bb1pp/2npp3/4P3/1p1PB3/P4N2/1P3PPP/R1BQR1K1 b - -,d6d5
r1bq1rk1/pp1nbppp/4pn2/2p5/3P1B2/N1PB1N2/PP3PPP/R2Q1RK1 w - -,a1c1
r3k2r/1b1nbpp1/p3p2p/npp3P1/4PP1P/2N1BN2/PPP1B3/2KR3R w - -,f3d2
2rr2k1/1b3pbp/pQ3qp1/8/N1pp2n1/1P2P1P1/PB3P1P/1BR2RK1 b - -,f6f3
3r4/1p2kpp1/p2p3p/P1r1p3/2P1P3/1P3P2/5KPP/R2R4 w - -,f2e3
4rbk1/1pp2ppp/3p3r/p1PQ4/N2B1Pb1/1P2P1Pq/P4R1P/2R3K1 b - -,g4d7
8/8/4p1pk/R7/5P2/6P1/4r1rP/K1R5 w - -,c1h1
8/4Rpk1/7p/8/5rP1/P3R2P/5PK1/3r4 w - -,e3f3
rnbqk2r/ppp2ppp/4pn2/3p4/1b1P1B2/2N1P3/PPP1NPPP/R2QKB1R b KQkq -,e8g8
8/pp2kp2/1b2p3/8/4KP2/P1P2N1p/1P5P/8 w - -,f3g5
3rk2r/1pp1bpp1/p1n4p/4p3/bP2P3/PQB1RN1P/2NP1PP1/R5K1 b k -,a4b3
5k2/5p1p/3R2r1/pBR5/4PK2/8/P6n/8 b - -,g6d6
2r1k2r/1b1p1pBp/1q1Pp3/3n4/5P2/1P1Q4/P1n1B1PP/3R1RK1 w k -,g1h1
b6r/3nqkb1/p2p2p1/7p/P1QPn2P/4B3/1PP1NPP1/R3K2R b KQ -,d6d5
8/4k2p/5pp1/2nBp3/2P1P3/2P2PPP/5K2/8 b - -,c5a4
r4rk1/1bpqnpb1/p2p2pp/np6/3PP2B/2N2N1P/PPB2PP1/R2QR1K1 b - -,a8e8:g6g5
6k1/6pp/p3p3/5r2/1p3P2/1P1R4/P1n1N1PP/6K1 b - -,f5a5
3r1r2/1p2q1k1/p1p1b1p1/2P1p2p/1P2P1p1/4N3/P1Q2PP1/1R1R2K1 w - -,a2a3
1Q4k1/5p1p/4p1p1/3p2q1/8/6P1/5PK1/1R6 b - -,g8g7
5k2/5n2/p2bb1pp/1p1p4/3B1PP1/1P1N1B1P/P7/6K1 w - -,g1f2
7R/7P/8/7k/5P2/r4K2/8/8 w - -,f3e4
8/4k3/1p2pp1p/pPp3P1/P1B2K1P/8/8/8 b - -,f6g5
2r3k1/5pbp/1q1pn1p1/pP2p3/P1p5/2BPPN2/1Q3PPP/1R4K1 w - -,d3d4
r2q1rk1/pp2bppp/3p1n2/1P2p3/2BBP1b1/2N2N2/P3QPPP/R2R2K1 b - -,e5d4
8/1pp4r/p2k1pp1/P2P4/3K3P/1P5R/5P2/8 b - -,h7h5
2r3k1/1bb2p2/1p1q2p1/p2p4/P2P1nPp/1Q6/1P3B1P/3RNBK1 w - -,e1f3
r1r5/6pp/p2kpn2/Pp3p2/3P4/4P3/1R1N1PPP/R5K1 w - -,d2b3
3r4/R1n1qpk1/4pQp1/4P1Pp/1p1P4/6P1/1P3PK1/8 b - -,e7f6
4r1k1/2p2qp1/p4p1p/b1pP1b2/5N2/BP3Q1P/P4PP1/3R2K1 b - -,f7e7
2r5/8/8/1PK1k2p/2R4P/8/8/8 w - -,c5b4
5k2/1p6/p6N/7b/8/P4P2/1P4P1/6K1 w - -,g1f2
1r2r1k1/1p1qppbp/p1np2p1/2p2bB1/2P5/3P1NP1/PP1QPPBP/1R1R2K1 w - -,e2e4
r2q4/ppp1n1kp/3p1rp1/5b2/3n1N2/1QN3P1/PP3PBP/R3R1K1 w - -,b3b7
8/4nk1p/3r1p2/1p1P2p1/8/pP6/P1B3PP/4R1K1 w - -,b3b4
r1bqkb1r/pp3ppp/2n1p3/3pP3/2nP4/1B6/PP2NPPP/RNBQK2R b KQkq -,f8b4
3r2k1/pp3p2/1np2bp1/5b1p/7P/BPN1P1P1/P4PK1/3R1B2 w - -,d1d8
rn1qkb1r/pb2pppp/1p3n2/2p5/2N5/5NP1/PP1PPPBP/R1BQK2R w KQkq -,e1g1
8/5rb1/1ppkn1R1/p2p4/P2P4/1P1NP3/3K2B1/8 w - -,d2e2
8/2bk4/p3p3/3p2PR/PPnP1P2/4nK2/8/4B3 w - -,g5g6
r7/1p1r2k1/nqbNp1p1/pB1pPp1p/Pn1P1P1P/BP4P1/3R4/2RQ2K1 w - -,c1c3
r2q1rk1/1pp1bppp/1n1p1n2/pP2pb2/P7/3PPN2/1BPNBPPP/R2Q1RK1 b - a3,f8e8
2k5/1p1qRp2/p1p2Qpp/8/8/2PP4/2P5/2K3r1 w - -,c1b2
r4rk1/pnpq1bpp/1p3p2/3p1p2/P2P1P2/1PNB4/2PQ1PPP/R3R1K1 b - -,b7d6
4k1n1/p1r1ppbp/6p1/4P3/8/3NBP1P/5P2/3R2K1 w - -,d1b1
2br2k1/1p3p1p/1p3np1/2p5/P1N5/2P3RP/r4PP1/R2B2K1 w - -,a1a2
r2q1rk1/2pbbpp1/4p2p/p2nN3/Pp1P4/3B1QB1/1PP2PPP/R4RK1 w - -,f1e1
r1bq1rk1/1p2bppp/p1n2n2/3p4/5B2/2N1PN2/PP2BPPP/2RQ1RK1 w - -,f3d4
r5rk/pp3p1n/3p3R/2pPn3/2P1P3/2N5/PP6/5RNK b - -,g8g7
8/8/8/1p2kp2/1Pp2P2/2P1K3/8/8 b - -,e5e6
1r4k1/5pp1/pp1p4/2pP1q2/P1P4P/6R1/1P2Q1P1/6K1 w - -,e2e7
2r1qrk1/1p1b1pb1/p2p1Bp1/7p/4P3/2N2P1P/PP1Q2P1/1K1R1B1R b - -,g7f6
4r3/4ppkp/pq1p1np1/1p1P4/2r2P2/PN5P/1PPQ2PK/4RR2 w - -,f4f5
5rk1/3r1pb1/p3p1pp/1p1nP3/2pPN3/2P2R2/PP1B2PP/5RK1 b - -,d5e7
3r4/4k3/4p3/p2bPp1p/2pKpP2/2P1N1P1/RP5P/8 w - -,a2a5
r1bqr1k1/1pp2nbp/p3pnp1/2B2p2/2P1P3/1QN3PN/PP3PBP/3R1RK1 b - -,f6d7
8/8/8/3pk1K1/p7/P7/1P6/8 w - -,g5g4
r1r3k1/3q1pp1/4b2p/2pp4/p7/4P3/PP1QBPPP/2RR2K1 w - -,e2f3
rn1qkb1r/pppbpp1p/5np1/8/2Q5/5NP1/PP1PPPBP/RNB1K2R b KQkq -,d7c6
r4n1r/p2q1kp1/PppPpp2/7p/1PP2B2/5Q2/5PPP/R3R1K1 w - -,b4b5
2kr3r/1ppnbq2/5pp1/2PP3p/1P1B1PnN/P7/3N2PP/R1Q1R1K1 w - -,d5d6
