8/8/5k2/5pp1/8/5P1K/3r4/R7 b - -,f6e5
3r1r2/1p1bq1kp/p2p2p1/PP2p1n1/2P1P3/1R3pP1/3N1P1P/1BR2QK1 b - -,d7h3
r3kb1r/p2n1p2/1q2p2p/1ppbP1p1/2pPN3/6B1/PP2BPPP/R2Q1RK1 w kq -,e4c3
r2qk2r/1p2bppp/p1npbn2/4p1B1/P3P3/2N2N2/1PP1BPPP/R2QK2R w KQkq -,e1g1
r5rk/pp3p2/3N4/3Pp1Bp/4P1nP/8/PP5K/R5R1 w - -,h2h3
rnb1k2r/pp1p1ppp/4p3/q1p5/2PPQ3/2b2NP1/PP2PP1P/R1B1KB1R w KQkq -,c1d2
8/6k1/8/p5PK/1r6/8/1p6/1R6 b - -,a5a4
r2q1rk1/pp3p1p/2p2bp1/3Pn3/2B5/4P2P/PP2QPP1/R1BR2K1 b - -,e5c4
7r/1pp2kp1/p2p4/3PpP2/PPP2qP1/R2K1P1n/4Q3/1R3N1r b - -,f4d4
r3r1k1/p4pbp/1p1B2p1/n1p1P3/b7/5NP1/P4PBP/1R2R1K1 b - -,a8d8
6k1/1p4pp/4qp2/2P5/1P1QK3/5P2/6P1/8 w - -,e4d3
5r1b/2pk3p/p2p1p2/q3ppN1/1PP1P1b1/P2P4/6PP/R4RK1 w - -,b4a5
8/1R6/2r5/5NpP/5p2/8/pb6/1k1K4 w - -,b7a7
2rqkb1r/1b1n1ppp/pn1pp3/1p6/3NP1P1/P1N1BP2/1PPQ3P/1K1R1B1R w k -,h1g1
1r2r1k1/p3npbp/1qpp1np1/8/5NP1/3PP2P/PP3RB1/R1BQ2K1 w - -,d1f3
6k1/4bpp1/4p1p1/3rP3/p4P1P/PqBp2P1/1P1Q2K1/3R4 b - h3,e7c5
r1b1kb1r/ppp2ppp/8/3p4/8/2P5/PPP1BPPP/R1B2RK1 b kq -,c8e6
2r1k1R1/2qn1p2/p3p3/3pPP1p/2pp3P/P1N1B3/1PP2K2/7R b - -,d7f8
r1b2rk1/pp3ppp/q1n5/b3N3/P1pP4/6P1/1P3PBP/R1BQ1RK1 w - -,e5c6
2rqr1k1/1b1n1ppp/pp1bpn2/3pN3/2PP4/1PN3P1/PB2QPBP/2R2RK1 w - -,f1e1
5k2/7R/6P1/1pr5/6KP/8/8/8 w - -,h7b7
5rk1/p2qn1b1/2ppb1pp/2p1p3/2P1P3/2NPB3/PP1NQ1PP/5RK1 b - -,f8b8
3rr1k1/2qn1ppp/p3pn2/2p5/2PP3P/RP2R1N1/2BQ1PP1/6K1 w - -,d4c5
6k1/8/r2n2pp/pppP4/b1P1pP1P/8/1R1NKP2/R7 b - -,g8f7
6k1/5pp1/1p5p/1N2p3/p1P1P2P/P1R1K1P1/1r4r1/3B4 w - -,e3f3
4Rnk1/1p4p1/3Np3/3pPp2/3P4/4PKP1/1r6/8 b - -,b2b1
2r5/pp1k1pbp/1r2p3/3p4/1BP1nP2/1P3RP1/P3N2P/1K1R4 w - -,b4a3
2rq1rk1/p3bpp1/b1p1p1p1/2B5/3P4/1P6/P4PPP/RN1QR1K1 b - -,e7c5
r7/p3k2p/4p3/1pppN1rP/1P1Pp1P1/2P1PpR1/P2KbP2/6R1 b - b3,c5b4
rn3rk1/pbp1bppp/1p2p3/3q4/3P4/PP2P3/1B2NPPP/R2QKB1R w KQ -,e2f4
8/4nkp1/4q3/5p1p/8/3QP1PP/1B3P2/6K1 b - -,e7d5
2r3k1/p3qpp1/1p5p/3R4/P1P2Q2/7P/5PP1/6K1 w - -,f4d4
8/1R4k1/P5p1/5p1p/3K1P1P/r7/8/8 b - -,g7h6
r4rk1/3b2pp/p1p2n2/3pp3/NPPq4/P2B3P/4QPP1/3RR1K1 b - -,e5e4
r4rk1/1p1qpp1p/5bp1/3p1b2/3P4/BR2P1P1/P2Q1PBP/2R3K1 b - -,b7b6
rn2r1k1/pp2qppp/2pp1n2/5b2/2PPp3/2N1P1P1/PP1Q1PBP/R3NRK1 w - -,e1c2
8/8/2p5/4p3/2K1n1p1/3Bk3/8/4B3 w - -,e1h4
k7/Np1rpp2/3pq2b/3R1P2/4p1n1/1Q4P1/PPP3R1/1K6 b - -,e6d5
3q1rk1/3r1ppp/Q3p3/P1b1P3/7P/4NBP1/5K2/R2R4 b - -,d7d2
8/8/7R/4kp2/7p/4r2P/6K1/8 b - -,e3e4
5rk1/2pn3p/1p1p1r2/p3p3/P1P3p1/1NR1P3/1P1R1PPP/6K1 b - -,f6f5
r6r/1b2k1p1/3pNb1p/8/4PP2/P7/1PP3PP/2KR3R w - -,e6c7
2qr2k1/4nppp/b7/p1pBP1P1/1r3B2/2N2Q2/P2R1P1P/6K1 b - -,e7d5
1rbr2k1/7p/p1Bb2p1/3Ppp2/Np2P3/3R1P2/P5PP/1R4K1 b - -,a6a5
2r2rk1/1bqnbppp/p3p3/3n4/PpNP4/3B1N2/1P2QPPP/R1B2RK1 w - -,f3e5
r7/1b2prkp/1qn3p1/1B3p2/3p4/1P6/PB2QPPP/R4RK1 b - -,b7a6
1r4k1/1b2Rp1p/3p2p1/2pP4/6n1/1P3NP1/R4PBP/1q2Q1K1 b - -,b1a2
3r2k1/ppb2p1p/2p3p1/2B1p3/P3Pn2/2P2P1P/1PK2P2/5B1R b - -,c7b6
r1bq1rk1/pp4bp/2pp2p1/4pp1n/2PnPP2/2NPB1P1/PP1QN1BP/4RRK1 b - f3,c8e6
3r1rk1/4qpp1/p2pb2p/1pp4n/2N1P3/1PP2N2/P3QPPP/3RR1K1 w - b6,c4e3
8/p1nk1qp1/1p1p1r2/5p2/5P1N/5Q2/PP4PP/4R1K1 w - -,f3a3
r1bq1rk1/4ppbp/n2p1np1/1NpP4/4P3/2N2P2/PP4PP/R1BQKB1R w KQ -,f1e2
r3k2r/1b2bp2/pq1pp3/1pp1n1N1/3nP1P1/P2PB2P/1PP1N1B1/1RQ2R1K w kq -,e2d4
r1bqk2r/pp2ppbp/2p2Pp1/8/2nP4/2N2N2/PP3PPP/R1B1KB1R w KQkq -,f6g7
2rq1rk1/1b3ppp/ppnppn2/6B1/2P5/P4NP1/1P2PPBP/R2Q1RK1 w - -,b2b4
4r3/8/Pk2p1p1/1P1p4/5P2/2P5/7P/4R1K1 b - -,b6b5
r2q1rk1/pp3p2/5pp1/3Qn3/8/5N2/PP3PPP/R4RK1 w - -,d5b3
4r1k1/pp1Rn1p1/4P3/2p5/2P3rP/1P6/PB2RP2/5K2 w - -,h4h5
r7/3nrppk/p6p/2p1P3/1q1nP3/1PpPB1NP/6PK/R1Q2R2 w - -,a1a4
2r1k2r/1b3p1p/p3p1pn/2bpP3/1p3P1q/1P1Q2NP/1PPB2P1/RN3R1K b k -,h6f5
7r/1k4r1/1p2R3/1B3p1P/P4RbK/8/8/8 b - -,g4h5
8/p2k1pp1/4p1p1/1p1pP1P1/1PbP3P/P3BPK1/8/1qQ5 b - -,b1b3
5bk1/5p2/4p1p1/1p2P1B1/3Q2P1/2P5/1PK5/5q2 w - -,g5f6
3r2k1/p2qb3/2r4p/3bBpp1/Q1pPp3/2P1R3/P4PPP/3R1BK1 w - -,d1b1
8/1p1R4/p5k1/4p3/4p1qr/P1P1BrN1/1P3P2/3QK3 w - -,d1d6
5r2/8/3k2P1/1p1P4/3K1P1R/1P1B4/8/3r4 b - -,f8f5
4r3/8/2p5/2P3PP/5B2/3k1KP1/8/8 b - -,d3d4
1r6/7p/P2p2p1/3kpp2/1P5P/5KP1/5P2/4B3 w - -,b4b5
r4rk1/1p1nqpbp/2pp2p1/p1nPp3/2P1P3/Q1N1BBP1/PP3P1P/R2R2K1 w - -,d1d2
r3k2r/pp1n1ppp/1qpbpnb1/3pN3/3P1P2/1P4PP/P1P1P1BK/RNBQ1R2 w kq -,a2a4
4r1k1/1pqnbppp/p2pb3/4p3/P3n3/4N3/1PPBNPPP/R2QR1K1 w - -,c2c4
2r1r1k1/3qppbp/pBbp2p1/8/2P1PP2/5B2/P1Q3PP/1R1R2K1 w - -,c2e2
5k2/p5r1/8/5K2/3R4/P7/5n2/8 w - -,f5f6
8/bpp2rpk/p5R1/r5B1/6P1/7P/P2R1P2/6K1 w - -,g6e6
r1bqrbk1/1p1n1ppp/n1pp4/p5P1/3NPP2/2N4P/PPP3B1/R1BQ1RK1 w - -,f1e1
N6r/pp1knppp/3pb3/8/8/N1P5/PP3RPP/R5K1 w - -,a3b5
1k1rr3/pp3p1p/2b2n2/4b3/1P4p1/P1N1PP2/1B2BKPP/2R4R b - -,g4f3
8/ppn5/8/4k3/1P6/3K2PN/8/8 b - -,c7d5
r2nk2r/pp4q1/2pb2pp/4pp2/8/1bPP1Q2/PBPN1PPP/2KR3R w kq -,d2b3
7k/1r2b2p/2r3p1/1p1qPp2/p2P1P2/1bP1RN2/1P1B1K1P/5QR1 b - -,b7a7
R5k1/4pp2/2qp2p1/6Pp/1P2P2P/2P2P2/3Q2K1/8 b - -,c6a8
r1b2rk1/2qn1pbp/pp4p1/2p1p3/P1N1P3/2P1B1QP/1P3PP1/R3RBK1 b - -,d7f6
3rr1k1/pp1nbppp/2p2n2/8/1q1PPNb1/1P3NP1/PB4BP/RQ3RK1 w - -,b1c2
rnbq1rk1/pp2bppp/3ppn2/8/2BpP3/2N2N2/PPP2PPP/R1BQR1K1 w - -,f3d4
