8/5k1N/6p1/3R4/5p2/4bP1P/6K1/2r5 b - -,f7e6:c1c2
8/8/pR3pk1/P5pp/1P4P1/1r5P/8/6K1 b - -,h5h4
5n2/6k1/p5pb/1p1N1p2/4r2p/2P4P/PP4PN/5RK1 b - -,e4e5
r7/1bqn3k/4pbpp/1pp1pp2/4P3/2PPBP2/1PBN2PP/R3Q1K1 w - -,a1a8
3r1rk1/1p2bppp/pq1pbn2/2p5/4P3/1PN2PPP/PBP2QB1/R2R2K1 b - -,b6c7
rnbqk2r/ppp2ppp/5n2/3p2B1/1bPP4/2N5/PP3PPP/R2QKBNR b KQkq -,e8g8
r2q1rk1/ppp1b1pp/2np4/5B2/5Pn1/2N5/PPPB2PP/2KRQ1NR b - -,f8f5
3r3k/pp6/1b2prnp/6p1/2B5/P3P1B1/1PR3PP/4R1K1 w - -,c2f2
r1br2k1/pp3pbp/2n1pnp1/2p5/4P3/1BP2N2/PP2qPPP/R1B1RNK1 w - -,e1e2
8/8/8/5p2/5Pk1/1R5p/5r2/6K1 b - -,f2f4
r1bq1rk1/1p2bn1n/pR1p4/3N2p1/3BP1P1/2Q5/P1P1B3/5RK1 b - -,c8e6
4r2k/1p4p1/p2nBr1p/q2P4/P1pQp2P/2R5/1P3PP1/5RK1 b - h3,e8f8
8/7R/8/8/3p4/r4kP1/3K3P/8 b - -,a3b3
r4rk1/1p1nbpp1/1qp1b2p/p3P3/8/1P4P1/PB1N1P1P/RB1QR1K1 w - -,d1c2
8/p7/b7/6k1/P7/4K3/6BP/8 w - -,e3d4
5r2/3n1k1p/1P2p1p1/1Rp5/2p5/2P4P/4BPP1/6K1 b - -,f8b8
1rbqrnk1/2n3pp/pp1p1p2/2pP4/P1P1PP2/1RNQ2PP/6B1/B4RK1 b - -,f8d7
1r2r1k1/p2n1pbp/1pp2np1/q7/2PP4/2N2Q1P/P4PP1/1RBR1BK1 w - -,c1d2
1r1r1k2/p4ppp/1n6/2p2N2/1PB5/5P2/1P4PP/2KR3R b - -,b6c4
r3r1k1/1pbq1pp1/p5np/3p4/P2N4/2P2PB1/1PQ3PP/3R1N1K w - -,g3f2
4r3/p1r2pkn/n1bp2pp/2qP4/1ppNP3/5Q1P/PP3PP1/1BRR2K1 w - -,d4c6
r1b1R3/pp1p1pkp/5qp1/2BQ1n2/7r/P2B4/1P3PPP/R5K1 w - -,c5f8
3r2k1/5p2/p4bpp/3P4/1P2N3/5P1b/4BP1P/1R4K1 b - -,f6e5
1r2kb1r/3b1p2/pq2pn1p/2Np2p1/2B1P1P1/QN3P2/PPPB3P/2KR3R b k -,d5c4
r1bqk2r/4nppp/p2p4/1p1Np1b1/4P3/2P5/PPN2PPP/R2QKB1R w KQkq -,d5e7:h2h4:c2e3:a2a4:c2b4
rnbqkbnr/pppppp1p/6p1/8/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq -,f8g7
r1bqkb1r/pppp1ppp/5n2/n3p3/4P3/1BNP4/PPP2PPP/R1BQK1NR b KQkq -,a5b3
8/5k2/8/5PP1/5Kbp/8/2B5/8 b - -,g4e2
8/4k2p/pp1pbr2/4p1p1/2P5/1P2RPP1/3R2KP/8 b - -,a6a5
1q3n2/1p2ppk1/pB1p1bp1/P2P4/1P2PPB1/7P/2Q3K1/8 b - -,e7e6
r3r1k1/1p1n2pp/p1p1bp2/3pP3/1P1P1q2/P2B1P2/4NQPP/4RRK1 b - -,f4d2
2r3k1/6bp/1p4p1/8/5PP1/1R5P/6K1/8 b - -,c8b8
r2q1rk1/pp1b1pbp/2npp1pB/2p5/2PnP3/2NP2P1/PP1QNPBP/1R3RK1 b - -,g7h6
2r2rk1/3b3p/2n1p1p1/p2p4/1p1q1P2/3P1B2/PP1B1QPP/2R2R1K w - -,f2d4
2r3k1/5p1p/p3p1P1/3pPP2/r2P3N/7R/1Kb4R/8 b - -,c2e4:a4b4
r4r2/1p3p2/p1ppbpkp/2b1p2N/2P1P1P1/4N2P/PPP2P2/R4RK1 b - g3,b7b5
2R5/5pk1/1r2p1pp/3bP3/6PP/3B1P2/4PK2/8 w - -,c8d8
8/3bb1k1/4p3/1p2p1np/4P3/1N1B1PK1/1P1N4/8 b - -,g5f7
2k4r/1b3p2/1np1pP2/2q5/8/5QP1/RP1b1PBP/5RK1 w - -,f1a1
r4k2/1p1nppbp/p1p1b1p1/8/N3P3/4B1P1/PPP2PBP/3R2K1 w - -,b2b3
r2q1rk1/1p4bp/p2Pp1p1/8/8/2N2bB1/PP3P1P/R3QRK1 w - -,e1e6
r1bq1rk1/p4ppp/2pb1n2/3p2B1/8/2NB3P/PPP2PP1/R2Q1RK1 w - -,f1e1
r1bq1rk1/3nppbp/1n1p2p1/1BpP4/4PN2/1PN1BP2/P2Q2PP/R3K2R b KQ -,c8a6
8/7p/4N3/5pPP/2P1n3/6k1/1K6/8 w - -,g5g6
R5k1/1r1q1p2/4n1pp/3N4/1PNbP3/8/2Q2PPP/6K1 b - -,g8h7
8/7r/p3p3/3pPk2/2bB1P2/2P2K2/8/R7 b - -,h7h3
5r1k/1p1b2pp/pq2p3/3pRr2/3P1P2/P1N3P1/1P1Q3P/4R1K1 w - -,e5f5
r1b1k2r/1p1pbp1p/2n3p1/8/1p6/5N2/PPP2PPP/RNB1K2R w KQkq -,c1g5
3r4/p4nkp/2Bp1bp1/1Pp5/P2pQPq1/1P4P1/3B3P/4R1K1 w - -,c6d5
4k2r/5pp1/p3p2p/2rpPP2/1p2N1P1/1P6/P1P4P/1KR2b1R b k -,d5e4
r1b1r1k1/ppqnppbp/6p1/8/1QpN1P2/2P3P1/P2PP1BP/1RB2RK1 b - -,e7e5
3R4/8/8/3n1pN1/3k3K/4p1PP/8/5r2 w - -,g5e6
8/3k4/7p/p1Q1p3/3N1KPP/2p2P2/P2r2r1/8 w - e6,f4e5
r6r/1pqbkp2/pNpp1b2/P2Pp2p/1P2Pp2/5Q1P/2P2PP1/R3RBK1 b - -,a8g8
rn1qkbnr/pp3ppp/2p5/4p3/3PP1b1/5N2/PPP3PP/RNBQKB1R w KQkq -,f1c4
r1bq1rk1/ppppbppp/2n2n2/8/8/4QNP1/PPP1PPBP/RNB2RK1 b - -,d7d5
8/1p3kp1/p4p1n/2B2P1p/2P1K2P/1P4P1/8/8 w - -,c5d6
3nqk2/3b4/Q1n2p2/2PBp1p1/4P3/6P1/3B1PK1/6N1 w - -,d2e3
q4rk1/3rbppp/pBnpb3/P3p3/1p2P3/1N4P1/1PPQ1PBP/R2R2K1 w - -,d2e2
8/2B2pbk/8/2p4p/P1Q1Pp1P/2PN1qp1/5P2/6K1 b - -,f3e2
r4rk1/1pp1bppp/4b3/4q3/1P6/PBp1B3/R1Q2PPP/4R1K1 w - -,e3d2
r3kb1r/pp1nnpp1/2p1p1b1/4P1Bp/1q1P3P/1BN3N1/PP3PP1/R2Q1RK1 b kq -,e8c8
8/8/4k3/R3pp2/P3p1p1/1PNr4/2K2P2/8 b - -,d3f3
2r2rk1/2q2pp1/4p3/p2nP1Pp/1p1NR3/8/PPPRQ2P/2K5 b - -,g7g6
8/1ppq2kp/p4rp1/4p3/4P3/5P1P/1P4P1/3R3K w - -,d1d7
r1b1kbnr/ppqnpppp/2pp4/8/3PPP2/2N5/PPP3PP/R1BQKBNR w KQkq -,g1f3
N1b3kr/pp2b1pp/3p4/3Qn3/4PPn1/2N5/PPP3qP/R1B1KR2 b Q -,e5f7
8/5k2/5p2/6pp/2r2N1P/5KP1/5P2/8 w - g6,h4g5
rn1qkb1r/ppn1pppp/2p1b3/8/2B5/2N2Q2/PPPPNPPP/R1B1K2R w KQkq -,d2d3
1q4k1/2pb1rbp/2rppnp1/8/1pN5/1P1N2P1/P2QPP1P/B1R2RK1 w - -,a1f6
r3k2r/p2pbppp/1p2pn2/8/N1P5/4P3/PP3PPP/R1B2RK1 b kq -,a8c8
1r2r1k1/2q2Np1/b1n2n1p/ppppp3/5B1P/3P2P1/PPP2PB1/R2QR1K1 w - -,f7h6
4rr2/1pR3p1/p1p4k/3p2n1/1P1P2B1/2PK4/1P3P1P/6R1 w - -,g1g2
rnbq1rk1/pp2ppbp/3p2p1/2p3Bn/2PP4/2N1PN2/PP2BPPP/R2QK2R b KQ -,h7h6
r1q2rk1/p2nbppp/4pn2/2p5/PpNPb3/1Q2BNP1/1P2PPBP/R2R2K1 w - -,f3e5
1k6/p1r5/1p6/nP6/2p2Q2/2P5/2P5/2K5 b - -,b8b7
8/8/p5k1/3p4/Pp6/1P3R1P/7r/4K3 w - -,e1d1
8/2r1bp1p/p5kP/4R3/4N3/1P3P2/PK6/8 w - -,e5a5
r2q1rk1/1b1n1ppp/p1pbpn2/1p4N1/3P4/P1NBP3/1PQ2PPP/R1B2RK1 b - -,d6h2
8/6kp/p2p1rb1/3B4/1PP1p3/7P/4R1P1/7K b - -,f6f1
rn3rk1/3p1p1p/4b1p1/2p5/1q6/1PN2Q2/P4PPP/3RR1K1 w - -,f3a8
3R4/6bk/2p3p1/2B1r3/P1b1B2p/5P2/8/6K1 w - -,c5d6
5r2/1b4k1/pp5p/2n2B2/3RP2P/6P1/1P3P2/6K1 b - -,a6a5
r4rk1/p1pq1p2/2bp2p1/7p/1N2P3/1B3P2/PbPQ2PP/3R1RK1 b - -,b2g7
