8/4Qr1k/5rp1/7p/8/8/8/6K1 w - -,e7e5
1r3rk1/1pnbqpbp/p2p2p1/P1pP4/2B1PB2/2N4P/1PQ2PP1/R3R1K1 b - -,c7b5
r5k1/1p2rnpp/p2p1p2/P1pP4/2N1PP2/1P6/2P3PP/R3R1K1 w - -,e1e3
3r1r2/pp6/2nP2Q1/3k3B/1P1p3P/8/P4PP1/6K1 b - b3,d8d6
8/6k1/P7/2q5/8/4K3/6B1/5Q2 w - -,e3f3:e3d2
rnbqk1nr/pp1pppbp/6p1/2p5/2P1P3/2NP4/PP3PPP/R1BQKBNR b KQkq -,b8c6
2b2rk1/2qn1pb1/p1n1p1pp/2P1P3/Pr2N2Q/2N1B3/1P2BPPP/R3K2R w KQ -,e3h6
5r2/2p5/3p2p1/pPpPp1k1/P3Rr1p/1P2K2P/R4PP1/8 w - -,f2f3
5rk1/pb4b1/2q5/5r2/2p3Q1/2P1B3/PP4PP/3RR2K w - -,e3d4
8/3k3p/6p1/1PP5/3PK1P1/6bP/8/8 w - -,e4d5
6k1/ppR2p2/3n1QpK/1q5p/4r3/1B3PP1/PP5P/8 b - -,d6f5
1q1rr1k1/1b1n1p1p/p1p2np1/1p6/P3P3/1NNBB2P/1P3PPb/2RR1Q1K b - -,h2f4
3rr1k1/5pp1/pN1B3p/PbpB4/4n3/2P4P/5PP1/R2R2K1 b - -,e4d6
2r3k1/2R2p2/4n3/3pP1pp/1ppP4/5NPP/1P3P2/R3K3 b - -,c8c7
r4rk1/ppqn1ppp/3bbn2/3pp3/7B/1BPP1N2/PP1N1PPP/R2QR1K1 b - -,e6f5
3Q4/5k1p/p3q1p1/1p3pP1/5P2/6P1/P6K/8 w - -,d8d2
r4rk1/pp2bp1p/2n1p1p1/1q1pN1B1/2pPn1P1/2P1P2P/1PB2P2/RQ2K2R w KQ -,c2a4
r4b2/1pPq2pk/2n4p/p7/Q2P1N2/P3P1P1/7P/2R3K1 w - -,a4c2
2q5/4k3/pQ1p4/2pPp3/2P1P3/8/5K2/8 w - -,f2e1
2kr3r/pp3ppp/3bpn2/2P4P/P5P1/3PnP2/1P3K2/2R2B1R w - -,c5d6
5k2/pp4p1/2pKP3/3p1P2/3P4/2P3R1/Pr6/8 b - -,b2e2
5rk1/1q2bpp1/r2pbn1p/1p2p3/1B2P3/PP1QN3/3N1PPP/R3R1K1 w - -,a1d1
r1bqk2r/ppp2pp1/2nppn1p/8/1bPP3B/2N1PN2/PP3PPP/R2QKB1R b KQkq -,d8e7
1R6/2r1kp1p/p3p2P/3n4/2r5/5K2/P3N3/3R4 w - -,b8h8
3r2k1/p3pp1p/2p3p1/2N2P2/8/1P3P2/K1P4P/3r1B1R w - -,f5g6
r4rk1/3b1ppp/p2pp3/4n1Pn/1q1NP3/4Q3/B1P1N1PP/R2R2K1 b - -,g7g6
r4rk1/2pbq1b1/3p4/p1PPp2p/4Ppp1/P2B1P2/4QBPP/R4RK1 w - -,c5c6
4r3/6bk/p3p1b1/1p1pP1Q1/3P4/2Nq2P1/PP3R2/6BK b - -,b5b4
r2q1rk1/pb2ppbp/1p4p1/3P4/2B1P3/4B3/P1RQ1PPP/5RK1 b - -,d8d7
r4rk1/1bq1bppp/p1nppn2/8/1P2PP2/1NNBB2Q/1PP3PP/R4RK1 b - -,c6b4
2rq1r1k/3nnpp1/1p2pb1N/p7/2PP4/P2B1P1P/1B1Q1P2/2RR2K1 b - -,e7g6
r1bqkb1r/1p1p1ppp/p1n2n2/4p3/2P5/4PN2/PP2BPPP/RNBQK2R b KQkq -,d7d5
r1b2rk1/ppq1ppbp/2p1n1p1/2p1P1N1/8/3P1N1P/PPP2PP1/R1BQR1K1 b - -,b7b6
2r3k1/pn2qpb1/1pp1b1pp/4p3/2P1P3/PP2B1PP/2Q2PB1/1N1R3K b - -,c8d8
2rqnrk1/1p2bppp/p1npb3/4p3/2P1P3/1PNB4/P1N2PPP/R1BQ1RK1 w - -,c2e3
r1b2rk1/p3ppbp/1pnq2p1/8/3P4/2P1BN2/P3BPPP/R2Q1RK1 w - -,d1d2
2N1r3/1pR1P2p/p1bp1k2/P7/8/7P/5K2/8 w - -,f2e3
5k2/4bppp/r1n1p3/3p4/3P1B2/1pP2P1P/1P2RKP1/2N5 b - -,a6b6
2kr3r/pppq1p1p/2n5/3NP1p1/2Pn4/P2Q1NP1/1P2PPKP/R4R2 b - -,d4f3
4r1k1/pb1P3p/1p3qpP/5p2/1np5/2N1B1Q1/PP4P1/R5K1 b - -,e8d8
r1bqr1k1/p1p2pp1/1p1n4/3PB3/2P1p1p1/PQ5P/1P2BP2/R3NRK1 b - -,e8e5
8/p2q3k/1p1r3p/3pRn2/P1pP1P2/2P2KP1/7P/1Q6 w - -,b1f5
2r5/1pq1k1pn/r2pbp1p/p3p3/2PpPP2/1P1P1QPP/P2B2B1/2R2RK1 w - -,f3h5
1r3r1k/p1p2Nbp/b2q2p1/2pp4/5P1Q/1BP5/PP1B2PP/1R2R1K1 b - -,f8f7
8/1k6/4R3/2K5/1p3b2/8/P7/8 b - -,f4d2
3q1n2/p4bkp/6p1/1Bp2p2/P2P1p1P/2P2P2/5QP1/4rNK1 w - -,f2e1
3rr1k1/pp3p1p/6p1/2P1q3/8/P1Q1Pn2/1B3P1P/R4R1K w - -,c3e5
r1bq1rk1/1ppnppbp/p4np1/P2P4/N1R5/B4N2/2P1BPPP/3Q1RK1 b - -,f6e8
r2q1rk1/pp1bppbp/2n2np1/2p5/8/2NPN1P1/PPP2PBP/R1BQR1K1 b - -,a8c8
2qrrnk1/1p3pbp/p1p1p1p1/4N3/2PP4/1P2RQ2/PB3PPP/4R1K1 b - -,c8c7
r2qk2r/ppp1ppbp/1nn3p1/8/3PP1b1/5NP1/PPQ2PBP/RNB2RK1 w kq -,d4d5
r2qkb1r/1bpp2pp/1p2pn2/p1n2p2/P4P2/1P2PN2/1BPPB1PP/RN1Q1RK1 w kq -,b1a3
r4r2/2pkn2p/pq2p1p1/1pbp4/6P1/1P3RBP/1PPNQP2/R4K2 b - -,f8f3
r3k2r/pp2bp2/3q1np1/6p1/4p1P1/7P/PPBB1PQ1/1K1R3R w kq -,d2g5
4r1k1/pp2bppp/1q2pn2/4B3/3P4/1B6/PP2QPPP/2R3K1 b - -,f6d5
5rk1/pp4pp/4p3/3pPp2/3r4/P1R2P2/QP3q1P/6RK w - -,g1g2
2rr2k1/5pp1/7p/p3P3/1n1pP1b1/1PqP1NP1/1R5P/1R1Q1BK1 w - -,h2h3
r4rk1/1bq1bppp/pp3n2/2p1p3/4P3/PP1B4/1BPNQPPP/2RR2K1 b - -,f6d7
3rr3/pp3pk1/2p4p/2RP2pq/1P2P1b1/P5P1/5QBP/4R1K1 b - -,c6d5
rnbqkb1r/pp1ppppp/5n2/2p5/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq -,c5d4:d7d5
5R2/8/1p2r1p1/1Pp4p/5n1k/3P1P2/3N4/5K2 w - -,f8f4
1r1q1rk1/p2b3p/3ppbp1/8/2pNPP2/4B3/PPPQ2P1/2KR3R b - -,d8b6
r3kb1r/1bqppppp/p1n2n2/1p4B1/4P2Q/2NB1N2/PPP2PPP/R4RK1 b kq -,e7e6
r1b2rk1/p1p1q2p/2pp2p1/5n2/2P1N2P/8/PP1Q1PP1/2K1RB1R b - -,e7g7
3r2k1/3P3p/6p1/1r2pp2/8/6PB/1p3PKP/2R5 w - -,c1c8
rn3rk1/pp2ppbp/1np3p1/7P/3PPBq1/Q1N2N2/PP3PP1/2KR1R2 w - -,f4g3
r3k2r/1pqbbppp/2p1p3/p2p4/2PPn3/1Q1NP3/PP1BBPPP/2R1K2R w Kkq -,e2f3
1k1rr3/pp3pp1/3qp2p/3pP3/8/P1R4P/1PP1QPP1/1K2R3 b - -,d6d7
3r4/pp2ppk1/2n3pp/2P3N1/1P4b1/2Pr1N1P/P4PP1/2R1R1K1 b - -,g4f5
RQ3nk1/1p2r1p1/2p2pPp/1p1P4/1Pp4q/2P1B3/5PK1/8 b - -,h4g4
r7/1p3k1p/3p1p2/2pNnP2/2P1P1pP/rP6/1R3KP1/3R4 w - -,d1d2
r4rk1/p1p4p/R2p4/1P1P1bp1/2P5/5p2/3N1KPP/4R3 w - -,g2f3
r2qnrk1/1pbn3b/p1p1p2p/2Pp1pp1/1P1P1P2/2N2NP1/PB2P1BP/2RQ1RK1 w - g6,e2e3
6k1/p3p1b1/1p3pp1/2p1P2p/P1P2P1P/1b3N2/1N3KP1/8 b - -,g8f7
5rk1/3b1ppp/3p4/p1r4n/PpPBPP2/1P4bP/3N2BK/R4R2 w - -,h2g1
r1b1k1nr/pp3ppp/2n1p3/3pP3/q1pP4/P1P2N2/2PBBPPP/R2QK2R b KQkq -,c8d7
5b2/3k4/p1n4p/1p1Np1p1/1Pp1PpP1/2P2P1P/P1K2B2/8 w - -,f2b6
3rr1k1/1pq2pBp/p5p1/3n4/4P3/1P3P2/P2Q2PP/3R1RK1 b - -,d5f4
1n4k1/3r1p1p/p1p1q1p1/1p2P3/1P2BP2/B2rb1P1/2R4P/Q4R1K b - -,d3d4
r2q1rk1/pb1pbppp/1pn1pn2/2p5/2P5/P1NP1NP1/1P2PPBP/1RBQ1RK1 b - -,d7d5
r3k2r/1p1n1ppp/pn6/4p1B1/4P3/2N2P2/PPP3PP/R3K2R b KQkq -,f7f6
r1bq1rk1/1p3ppp/2np4/4p1b1/p3P3/2N2N2/PPP1BPPP/R2Q1R1K b - -,g5e7
5r2/3k4/1p2p1p1/3nP2p/R3N2P/P5P1/1K6/8 b - -,f8f5
2r5/2P5/4k3/2R2pp1/7p/KP6/8/8 w - -,b3b4
r4rk1/pb1n1ppp/2p1pn2/1p2N3/1q1P4/5NP1/PPQ1PPBP/R4RK1 w - -,e2e3
4r1k1/5p1p/6p1/8/4P3/5PP1/1bR3KP/2N5 b - -,b2c1
