5rR1/4kP1p/8/p7/4b1P1/PB3pKP/5P2/8 w - -,g3f4
1k1r1r2/2pqbbQp/pp1p4/8/8/2P1BB1P/PPPR1PP1/1K5R b - -,f7e6
r3kb1r/1bqp1pp1/p1n1pn2/1p5p/3NP3/P1NBBP2/1PP3PP/R2Q1R1K b kq -,h5h4
rn2kb1r/1bp1pppp/pq3n2/1p6/3P1B2/2N2NP1/PPP2PBP/R2Q1RK1 b kq -,e7e6
8/2n5/8/3kpp1p/7P/1P1K1P2/5B2/8 w - -,f2b6
5k2/pp4p1/4bp2/2R5/q2P3p/P7/3R4/3K4 w - -,d1e1
r1br4/pp3pkp/4p3/8/P3NP2/1n6/4B1PP/R4R1K w - -,a1a3
8/8/8/1kr2p2/4P3/5KP1/2p2P2/2R5 b - -,b5b4
2bq1r2/5rk1/p2p4/P1pPp1pp/1pPbP2P/1P1Q2P1/R4NB1/5RK1 w - -,h4g5
r1b1k1nr/1pq1Bpp1/p1p5/4pP1p/4P3/2NB4/PPP3PP/R2QK2R b KQkq -,c7e7
2rqr1k1/3np1bp/2p2pp1/2Nn4/2NP4/5QB1/PP3PPP/3RR1K1 b - -,d7c5
R3Rnk1/5pp1/2p5/2Pp3p/2qPp3/4P1P1/1K1B1P1P/8 b - -,c4b5
8/1p6/p1p5/2P1k2N/1P6/5K1P/3b4/8 w - -,h3h4
r3r1k1/2p3pp/1pPp1qn1/3P1P2/1PP1p3/8/3Q1PBP/2R1R1K1 b - -,f6f5
3r2k1/7p/p5p1/1p3pP1/2pq1P2/8/2P1Q2P/4R2K b - -,d4e4
rnbq1rk1/pp2ppbp/6p1/2p3B1/3P4/2P1PN2/P4PPP/R2QKB1R w KQ -,f1e2
8/BB1n1pkp/6p1/2p5/2P5/3n2P1/P2NrPKP/8 w - -,b7c8
1q5k/5p1r/B4n2/2pbb1p1/6P1/3NKP2/PPR1N2r/3R1Q2 b - -,e5f4
r1bq1rk1/2p1npbp/p1np2p1/1p6/3PP3/1BN2N1P/PP3PP1/R1BQK2R w KQ -,e1g1
8/1p1rnk2/p1p3p1/6P1/3B1P1P/1P2K3/P1R5/8 w - -,e3e4
1r3k2/5pb1/3p4/1BpP3p/n3r1pP/6P1/3BPP2/1R3RK1 w - -,b5a4
3r3k/pp1q2pp/8/2pr1p2/3Pp2P/4P1P1/PPQR1P2/2KR4 b - -,c5c4
2R4R/5pk1/pp1b3p/4pNp1/P3n3/4B1P1/4qP1P/6K1 b - -,g7g6
8/1pp2kbp/p4np1/3N4/P1r5/4BR2/1PP2PPP/2K5 b - -,f7e6
r2r2k1/5qbp/1npNpp2/1b4p1/3P4/1PQ2NB1/5PPP/2R1R1K1 b - -,f7d7
r4rk1/1p2pp1p/3p2p1/q2P4/p1PNP1n1/3Q4/PP4PP/R4R1K b - -,g4e5
rnb2rk1/pp3pb1/2pppq1p/6p1/3PP3/2N5/PPPQBPPP/2KR2NR w - -,h2h4
8/R2B1pk1/8/2Kp4/2b4r/8/8/8 w - -,d7e6
4n3/R6p/6pk/2p2p2/5P2/3rP3/P5BP/6K1 b - -,d3e3
r1b1rbk1/1pq2pp1/2p4p/p1n1p3/2P1n3/1PN3P1/PBQ1PPBP/3R1R1K w - -,c3e4
2r5/2k3p1/1p4q1/p7/2PP1P2/P6P/3Q1P2/3R1K2 b - -,c8h8
1r3rk1/p4pp1/7p/2bpPb2/2p5/2P5/P1N2PPP/1R2RBK1 w - -,b1b8
R5k1/6p1/8/5PKP/8/8/8/2r5 b - -,g8h7
r2q1rk1/pp2ppbp/3p2p1/2p1n3/2P1P3/P1NP1nPP/1P3PK1/1RBQ1RN1 b - -,f3d4
3r4/p3k2p/1p3pp1/2n1p3/7P/PbR1P3/1P1NBPP1/4K3 b - -,d8d2
5nk1/4bppp/1pr1p3/p2pP2P/P2P2P1/1P3N2/3B1P2/2R3K1 b - -,c6c1
r2qk2r/pp1n1ppp/2pbpn2/8/3P4/3BBQ1P/PPP1NPP1/2KR3R w kq -,c2c4
8/1p5p/pP3kp1/8/3r4/5P2/1R3KPP/8 b - -,f6e5
r3r1k1/1b3p1p/p2B2p1/2PQPpb1/P7/R2B4/5RPP/6K1 b - -,b7d5
8/r4p2/4pKpk/p1p5/R1PP4/8/8/8 b - -,c5d4
2kr4/p6r/1NP2n2/6pp/4n3/Q4NPq/P3PP1P/2R1K2R b K -,a7b6
4rbr1/5qpk/2b2p1p/2p2P2/1pP1p1Q1/3P3R/P3BRP1/2B3K1 w - -,g4h4
5rk1/3b2pp/p1nbpn2/qp1pN3/N2P4/1P2B2P/P4PP1/1B1QR1K1 w - b6,e5d7
8/4P3/p5k1/1p1p1n2/1B2pPp1/1P2P3/P6K/8 b - -,g6f7
1r6/8/5kp1/4r3/3p4/P2N1K2/1B6/4R3 w - -,b2d4
3r4/pp4kp/5bp1/3R4/1PB2P2/8/P5PP/6K1 w - -,g1f2
8/b3k2p/8/p4R2/2p1K3/3p2P1/P6P/8 w - -,f5a5
rnbqk2r/pp2nppp/2pb4/4p3/2PpP1P1/3P3P/PP2NPB1/RNBQK2R b KQkq -,e7g6
8/2P5/1K3k2/7p/4R2P/p7/r7/8 b - -,a2c2
1r2n1k1/3p1ppp/2p5/2q1pPPQ/P3P3/3B1R2/1rP4P/5R1K b - -,b2b1
r3qrk1/2p3p1/ppnbb1Pp/P2p4/1P1Pp1n1/1NP1P2B/2K1pP2/R1B3QR w - -,h3g4
2b2r1k/2q1p1bp/p2p1pp1/2pP4/2P1BP1B/4P2P/Q5P1/1R4K1 b - -,f6f5
3qrbk1/1Q1b1pp1/5n1p/4p3/2Np4/3P2P1/3BPPBP/R5K1 b - -,d7g4
r3r1k1/ppp1qppp/4bn2/2bnp3/8/P1NPP1PP/1PQ1NPB1/R1B2RK1 w - -,b2b4
r1bq1rk1/pp2ppbp/2pp1np1/n2P4/2P5/2N3P1/PP1NPPBP/R1BQ1RK1 b - -,c6d5
k2b4/1p1r4/p1q1Q3/8/1PP5/P7/4RPP1/6K1 b - -,d7d1
8/4Rp2/4p1k1/7p/4K2P/8/5b2/8 b - -,f2h4
r2qr3/5p1k/1p1p4/pPpP4/P1N1PPbp/2Q5/1R4P1/4R1K1 b - -,e8g8
6k1/1p2r1bp/p2p2pP/2pP4/P1P5/8/1P2rQ1P/2R2R1K w - -,f2f3
r3kb1r/ppqn1pp1/2p1pn2/3p2p1/2PP4/1Q1BPP2/PP4PP/R1B1KN1R w KQkq -,c1d2
1r6/2p3p1/5k1p/3prP2/6P1/1P1K1B2/P7/R7 w - -,f3d1
r2q1rk1/pp1n1ppp/2pbpn2/3p3b/2PP4/1PN1PN1P/PB2BPP1/R2Q1RK1 b - d3,d8e7
r1bqk1nr/pppp1ppp/2n5/8/1bB1P3/2N5/PPQ1NPPP/R1B1K2R b KQkq -,g8f6
r3kbnr/pp3ppp/2n1p3/3q4/3P2b1/5N1P/PP2BPP1/RNBQK2R b KQkq -,g4h5
8/3B3p/1p3kp1/p7/1bP5/1P4P1/P3K2P/8 b - -,b4d6
2r1r1k1/Q5p1/7p/2n1Pp2/2pN1B1P/P7/5PP1/6K1 b - -,c5d3
8/p1n5/5p1p/1P5P/P2p1PP1/2k1K3/8/8 w - -,e3e4
r1r1b3/1Q3p1k/3pp1p1/1Pn4p/2P1P3/2q2P2/3RB1PP/1R3N1K w - -,b7b6
2r2n2/1br1q1pk/p3pn1p/4N3/1RpRPP1N/2Q3PP/P5BK/8 w - -,b4c4
2bq1rk1/r2n1ppp/p2Npn2/1p6/8/2N3P1/PP2PPBP/2RQ1RK1 b - -,a7c7
r4r2/2q1pk1p/p1p1p1pb/2N1P3/2QP1P2/6PP/P1P5/1R3RK1 b - -,c7c8
r4rk1/pbq1bppp/1pnp1n2/2p1P3/2P5/1P1BPN2/PB1NQPPP/R2R2K1 b - -,d6e5
r1br2k1/5pbp/1p1n2p1/3Pp3/Q3P1Pq/2N4P/PP3RB1/5RK1 w - -,a4a8
2r2rk1/ppqbnpb1/3p2pp/2p1p3/4P2P/1BPPNN2/PP3PP1/R2QR1K1 b - -,c8d8
r1bq1rk1/1p2n1pp/n1pb4/p2pNp2/3P1B2/2N1P3/PPQ2PPP/2KR1B1R w - -,f1a6
r3r1k1/1p2qppp/2p5/p2p1Q2/3P3n/P1N1P2P/1P3PP1/1R3RK1 w - -,f5f4
1r4k1/3npp2/q2p2p1/pNpP2Pp/p1P1PPnP/2P2RN1/4Q1K1/8 b - -,d7b6
r4rk1/1pq1bpp1/p1n1p1p1/2Pp4/1P1B2P1/2P5/4B2P/R2QNRK1 w - -,e2f3
4k3/1rp2r1p/5bp1/4p3/2R4P/4B1P1/2R1PPK1/8 b - h3,f7d7
r2qr1k1/5pB1/1np1p1n1/1p1pP2R/3P3P/1P3P1B/P2Q1P2/1K1R4 b - -,a8a2
7k/1p4p1/2p2n1p/2P2P2/1P1P1Q2/3q4/7P/4RK2 w - -,f1g1
r2r2k1/pp2bppp/3qpn2/6Bb/1n1P4/1QN2N1P/PP2BPP1/2RR2K1 b - -,b4d5
r4rk1/pp1n1ppp/1qp2n2/2b1pN2/4P3/6PP/PPPQ1PB1/R1B2RK1 b - -,g8h8
