3K4/kr6/8/4Q3/8/8/8/8 w - -,d8c8
r2qr1k1/1b1n1pbp/pp1P1np1/8/P1N1pP2/1QN1B3/1P2B1PP/2R2R1K b - -,f6d5
8/1k6/4p3/P2pPpn1/3N2P1/4P2p/5K1P/8 b - -,f5g4
5rk1/5pp1/Bb1Np2p/4P3/1qp1Q3/1p4P1/2r1PP1P/3R1RK1 b - -,b6c5
8/7R/1R6/2kp3p/5P1P/6PK/4rn2/8 w - -,h3g2
8/4bk2/1p1np1p1/p2p4/P2P2p1/3BP1B1/1P2K2P/8 b - a3,d6e8
2br4/r4kpp/p1n5/1pNNPp2/5P2/8/PP1R2PP/1K1R4 b - -,a6a5
r7/prB2pkp/2R1pbp1/1P6/1PK5/8/3R1PPP/8 b - -,g6g5
2rqr1k1/2nb1ppp/1p3n2/p1bp4/3N4/P1N1PPP1/1P4BP/1QBR1R1K w - -,e3e4
8/2Q1qp1k/6pp/5n2/B7/4P1P1/P2r1P1P/2R3K1 b - -,e7f6
2kr4/pp1rbpp1/2p1p1p1/3N2B1/2qP3P/P2RQ1P1/1PP2P2/1K1R4 b - -,e7g5
r4rk1/1b2bp2/pp2n1p1/3pPp1p/qP1P1P2/P2QNNP1/3B3P/R2R2K1 b - -,f8c8
1nr3k1/1q2bp2/2p1p1p1/7p/1PQ4P/P2RP1P1/3R1P2/6K1 b - -,c8c7
8/3Q2kp/1pR1rbp1/p3qp2/P6P/1P2P1P1/5PB1/6K1 b - -,e6e7
4r2r/pp1b2kp/3bppp1/2qp4/5nN1/2PBPP2/PP1NQ1PP/1R3RK1 w - -,e2e1
4rrk1/p2qb1pp/2pp4/2p2b2/2N2B2/1P1P4/P1P1Q1PP/4RRK1 w - -,e2d2
8/5pk1/1R6/4pPK1/4P3/8/8/r7 w - -,f5f6
r3k2r/2qp1ppp/ppbbpn2/8/2P1PP2/P1N5/1PQ1B1PP/R1B2RK1 b kq f3,d6c5
8/3r1pkp/3Pq1p1/8/8/3Q3P/5PP1/3R2K1 w - -,d3d4
rnb1k1nr/pp1pppbp/6p1/2q5/8/N1P2NP1/PP2PP1P/R1BQKB1R b KQkq -,b7b6
r1b1k2r/ppqn1pbp/2n1p1p1/P1ppP3/3P4/2PB1N2/1P1N1PPP/R1BQ1RK1 w kq -,f1e1
5rk1/1bq2p1p/pp2p1p1/2P5/2P5/8/P1B1QPPP/bN1R2K1 w - -,b1d2
3b1rk1/5ppp/4p3/1p1pP3/3nq3/1Q2B3/5PPP/R3N1K1 w - -,e3d4
Q6k/2q2pp1/4p3/4PbPP/1Prp4/1n2R3/1r2NB2/4R1K1 b - -,c7c8
r2qk2r/ppp1npbp/2np2p1/3N2B1/2PP2b1/5N2/PP2BPPP/R2Q1RK1 w kq -,d5f6
r4rk1/2Nq1pbp/1n2p1p1/3p4/3Pn3/P4N2/1P2QPPP/2R2RK1 w - -,c7a8
8/7p/6k1/6p1/r7/3K1P1R/8/8 w - -,d3e3
rnr3k1/pb2qpp1/4p2p/2P5/8/2Q1PN2/P3BPPP/R4RK1 b - -,b8d7
8/8/1R6/P3k1pp/4bp2/1pP5/3K2PP/8 b - -,e4g2
rn1q1rk1/pb2bpp1/1p1pp2p/8/2P2Q2/2N2NP1/PP2PPBP/3R1RK1 w - -,c3b5
2r1r1k1/5ppp/1R2b3/2n3P1/3NP2P/PP3P2/1KP5/7R b - -,g8f8
r1bq1rk1/4bppp/pp2pn2/8/1nPP4/P1N2N2/1B2BPPP/R2Q1RK1 b - -,b4c6
5R2/8/1p2r1p1/4n1p1/P2k1pPP/1P1p4/3K4/3B4 b - -,d4e4
8/p5pp/4kn2/1pp5/5K2/4N3/PP4PP/8 b - -,f6d5
5r1b/3b2rk/p2p3p/2pP1p2/2P2P2/1qNQ2N1/1P3R2/6RK w - -,f2h2
8/3R1k2/8/p4p2/PpN3p1/1P6/5Nq1/4K3 b - -,f7e6
2R5/b4p2/P3pk2/6pp/8/4P1P1/5PKP/r4B2 w - -,c8h8
r3k2r/pp1bnp1p/2n1p3/2PpP2p/5B2/P1P2N2/5PP1/R3KB1R b KQkq -,e7g6
8/p2q2kp/1pn3p1/4n3/2bp1Q2/P6P/2BN2P1/R5K1 b - -,c4b5
5rk1/pp5p/2p2qp1/8/2P1Q2P/1P4P1/P4P2/4R1K1 w - -,e1e2
1r2r3/3n1k2/b1pq1bR1/2p1p3/4P3/PpQPBN1P/1P2N3/1K1R4 w - -,g6h6
5r2/p1R2pk1/6p1/3b2p1/3PN3/P5P1/1r3P1P/4R1K1 w - -,e4g5
6k1/5ppp/3pp3/3r4/1n1PR2P/pP1N4/R4PP1/3K4 b - -,b4a2
r2q1rk1/1p1bb1pp/p2p1p2/3Q4/2P1N3/1P2P3/PB3PPP/R4RK1 b - -,g8h8
2krr3/1ppq1pp1/p1npbb1p/8/8/2PBBN1P/PPPQ1PP1/1K1RR3 w - -,d3f1
r1b1k2r/1p2bppp/p1nqpn2/8/P1Bp4/1N3N2/1PP1QPPP/R1B1R1K1 b kq -,e8g8
2r3k1/1p1r1pbp/p1npp1p1/q7/P1P1P2B/1PN2P2/3Q2PP/1R3R1K w - -,h4e1
5rk1/1p5p/p1qpp1p1/4br2/P1P1Q3/1P1RBP2/6PP/3R2K1 b - -,c6e4
8/6qk/6p1/p6p/5Q1P/6P1/7K/8 b - -,g7d7
8/3n3p/p1r1kpp1/4p3/1bp5/1P3N1P/PB2KPP1/3R4 w - -,a2a3
r3r3/2q2pk1/1p2pnpp/p1pn4/P1NP4/1P3NP1/2PQ1P1P/R3R1K1 w - -,d4c5
1r3rk1/2p2pp1/2q2n1p/3n1PB1/1p1Q4/6N1/1PP3PP/R4RK1 w - -,g5d2
rnbq1rk1/p3bppp/1pp5/3p4/3P4/P1N1P1P1/1P1QNPBP/R4RK1 b - -,c8b7
6k1/q3n3/1r2Prp1/p2p3p/Q2b1p2/3N1B1P/P4PP1/1R2R1K1 b - -,g8g7
r3kb1r/ppp2ppp/2n2Pb1/q4p2/3P4/2N5/PPPB3P/R2QKBNR b KQkq -,e8c8
2r1k3/4bp2/6rn/4P2p/1p1BPR2/3N3b/6P1/1R2N1K1 w - -,d3b4
2r3k1/5ppp/1R2bb2/1p6/8/2PB4/1KP3R1/8 w - -,b6b5
r3r1k1/1p6/2pq2p1/p2pNp1p/3PnP1P/1P2P1P1/PQ5K/2RR4 w - -,a2a3
1R6/3r1ppk/B6p/4n3/2pb1P2/P5PP/R5K1/8 b - f3,d7a7
r1b2rk1/1p1nqp1p/4p1p1/p1p1P3/PnpPQ3/2N3P1/1P1N1PBP/R4RK1 w - -,d4c5
r3k2r/2q1bp2/b1n1p1pp/p1n1P2P/Ppp3Q1/1P3NP1/2P2PB1/R1B1RNK1 b kq -,g6g5
8/p1Rr1k1p/1p1r1n2/3P1p1p/1P6/P1R3P1/4KPB1/8 w - -,c3c6
3Q1rk1/p1p4p/1p1p2p1/3P4/2P1q3/1P4R1/5P1P/6K1 w - -,d8c7
2rqkb1r/4pppp/p1np1n2/1pp5/P3P3/2P2Q1P/1PBP1PP1/RNB1R1K1 b k a3,b5b4
rn3rk1/ppp1p1b1/3pP1pp/1q3p2/3P4/6P1/PP2PPBP/R1BQ1RK1 b - -,d6d5
8/1b3pk1/p1q3p1/P2n3p/1p2Q3/1B5P/1P1B1PP1/6K1 w - -,d2g5
r1bqr1k1/pp3pbp/3p1np1/2pPn3/Q3PB2/2N4P/PP1NBPP1/R3K2R b KQ -,a7a6
r4rk1/pp2bppp/1qp2n2/4B3/2BP2b1/2N5/PPPQ2PP/R4RK1 w - -,d2g5
2rr1nk1/pp4p1/2nbpqbp/3p4/3P4/P3QNN1/BP1B1PPP/R3R1K1 b - -,b7b5
r3kb1r/1ppq2pp/p1n1pnb1/8/2BPpBP1/2N4P/PPP4Q/2KR2NR b kq -,c6a5
3q2k1/pr4b1/2pp1r1n/2p1p3/4Ppb1/1P1P1N2/P1P2KP1/R1B1Q1NR w - -,c1d2
r2q1rk1/pp1nbppp/n3p3/1N6/3PN3/P6Q/3B1PPP/1R3RK1 w - -,h3g3
8/8/4k3/2p1p3/4K3/1PP1NPb1/8/8 w - -,e4d3
r1bq1rk1/1p2bppp/p1nppn2/2p5/4PP2/2NP1NPP/PPP3B1/R1BQ1RK1 b - -,a8b8:d8c7
r1bqk2r/pp1n1ppp/2pbpn2/3p4/2P5/1PN1PN2/PBQP1PPP/R3KB1R b KQkq -,d8e7:e8g8:a7a6
r2r1k2/1p3ppp/1nbP1n2/1p6/4P3/N4PP1/PB1R2BP/1K1R4 w - -,g2f1
8/6Q1/7P/8/4q3/k7/6K1/8 w - -,g2h3
