8/3k4/4Np1p/2pKpP2/1bP5/7P/8/8 w - -,e6f8
r1bqk2r/pp2npbp/2n1p1p1/8/2PP4/B2BPN2/3N2PP/R2Q1RK1 w kq -,d2e4
6k1/p6p/1p1p2p1/8/3P4/3KP3/P5PP/8 w - -,d3e4
r1b1r1k1/1p3pbp/1qpp2p1/2n1n3/p1PNP3/1PB2PPP/P1Q1N1BK/R4R2 b - -,a4b3
r4rk1/2q1bppp/3p4/2pPp3/Rp2P3/3PBQ1P/1P3PP1/4R1K1 w - -,e1a1
5rk1/pp2q1b1/b2p3p/5n1n/P2PNP1P/1QB1P3/3KNp2/R6R b - -,g8h8
r1bqk1nr/pppnppbp/3p2p1/8/3PP3/2N1B3/PPP1BPPP/R2QK1NR b KQkq -,a7a6
8/8/2p4R/2rbkP2/6PK/7P/8/8 w - -,h4g5
2rq1rk1/pb2bppp/1pn1pn2/8/3PN3/P2B1N2/1P1B1PPP/2RQ1RK1 w - -,d2c3
r4rk1/pq3pp1/7p/1pp5/2nPR3/2P2N2/P4PPP/RQ4K1 b - -,c5d4
3r1rk1/1pq2pbp/p2pbpp1/8/3NPP2/1PNQ4/1PP3PP/3RR1K1 b - f3,f8e8
6R1/1K6/P7/1P3k2/8/2P4p/r5p1/8 w - -,a6a7
8/R7/4pk2/5p2/3P4/5K2/p4P2/r7 b - -,f6g5:f6g6
3r1q2/1p2nrpk/p1p3p1/3PB2p/1P2PPPb/1Q5P/P1R3B1/5RK1 b - -,c6d5
2r5/6kp/2b1ppp1/r7/p1K2PP1/R6P/2B5/R7 w - -,c4d4
8/5k2/8/PR3p1p/2n3p1/6P1/2r2PKP/4R3 b - -,c4d6
2rr2k1/p2q1ppp/5n2/2bp4/8/1PNQ4/PB3PPP/R4RK1 w - -,a1d1
rr4k1/p3bpp1/2p4p/2Pq2P1/3PpP2/2R5/3BP2P/3Q1RK1 w - -,d1c1
r1b1k1nr/ppp1qppp/2n5/1B1pb3/3Pp3/1P2P3/PBP2PPP/RN1QK2R w KQkq -,d4e5
1q4k1/3n1ppp/3p1n2/3Pp3/8/3BP3/Q3N1PP/6K1 b - -,b8b6
Q2q2k1/p2r1ppp/1p2p3/8/3n4/P7/1P3PPP/4R1K1 w - -,a8e4
r2rqbk1/pp1n1p1p/P1p1pnp1/3p4/2PP4/BPN1PB1P/5PP1/R2Q1RK1 b - -,b7b6
r2qk2r/pb1pbppp/1pn1pn2/8/2P5/PNN3P1/1P2PPBP/R1BQ1RK1 b kq -,e8g8
3r4/5p2/3kb3/pp1p1p2/3P1N2/1P2R1P1/1PK5/8 w - -,c2d2
r1b2rk1/1p3pp1/1npbpq1p/p7/P2P4/3N1NP1/1PQ1PPBP/R4RK1 w - -,e2e4
r3r1k1/3q1pb1/3p2pn/1ppP2N1/p2nBPPp/2B2P1P/PP4K1/1R1QR3 b - -,f7f5
r1bq1rk1/pp1n1pbp/2p3p1/3p4/3P4/2N1PN2/PP2BPPP/R2Q1RK1 w - -,a1c1
4q3/2p2p1k/5bpp/5n2/Np2R3/1Pn2QPP/P1N2B2/6K1 b - -,c3e4
r2qkb1r/pp3ppp/2p1pn2/8/PnBPP3/2N1BP2/1P2QP1P/R3K2R b KQkq -,d8a5
3r2k1/bbp2pp1/p6p/P7/Bp1P1q2/3R1P2/1PP3PP/R2Q2K1 w - -,c2c3
4R3/8/6p1/5kP1/1PK1p3/4r3/8/8 b - -,e3e1
8/8/5k2/6pp/5KP1/5P2/6P1/8 w - -,f4e4
5Q2/6pp/p1qBpp2/5n1k/8/8/5PP1/6K1 w - -,f8f7
4Rrk1/p1p5/2Bp3p/1P6/2Pb2p1/8/5PKP/8 b - -,h6h5
5bk1/1p1q3p/p1p3p1/3n1p2/3P1P2/1P1B2P1/PB3Q1P/6K1 b - -,f8g7
r1b1k2r/2p2pp1/p1np1q1p/1pb1p3/4P3/1B1P1N2/PPP2PPP/R1BQK2R w KQkq -,b3d5
r1b2rk1/2q2p1p/p3p1p1/1pbn2BQ/3N4/2PB4/PP3PPP/R3R1K1 w - -,h5h4
r1bqk2r/4n1bp/p2p1Bp1/2pPpp2/1pP1P3/2N2P2/PP1QN1PP/1K1R1B1R b kq -,g7f6
2kb1n1r/1r1q2pn/pp1p1p2/2pPpP1p/P1P1P2P/2N3P1/1P1B1N2/2KQ2RR b - -,d7e7
2r5/5p2/3kb1p1/2p5/Nn6/6P1/1P3P1P/2R2BK1 b - -,b4a2
8/8/3R4/4b3/4k3/8/1pK5/8 b - -,e5d6
3n4/1q1r2k1/1rp2pp1/1p1p3p/1N1P3P/P3P1Q1/2R2PP1/2R3K1 b - -,b7a8
8/8/5k1p/1B1p4/pK1P4/1b6/6P1/8 w - -,b5a4
2r5/1p5p/3ppkpb/p7/P1P5/1P1R1PP1/4r2P/3KN3 w - -,d1e2
r4rk1/4ppb1/1q1p2pp/1Bn5/P1Q2P2/4P1N1/1p5P/2RR2K1 w - -,c1b1
8/p2R1k1p/6p1/2r5/2P5/1P6/P3rP2/R5K1 b - -,e2e7
r2r2k1/1b3p1p/pq2pp2/1pbP4/2p1P3/P1N3PB/1PQ2P1P/3R1RK1 b - -,g8h8
r1bq1rk1/pppnppbp/3p2p1/7n/2PP1B2/5NP1/PP2PPBP/RN1Q1RK1 w - -,f4c1
r1nk1r2/ppnq3p/5p2/3P1N2/8/1P4Q1/P5PP/4RRK1 w - -,d5d6
1Q6/4kp2/5q1r/2P1p1pp/3rP3/2N3PP/5PBK/5R2 w - -,c3d5
r3r1k1/ppbbqpp1/2p2nnp/P3p3/4P3/2P1BNPP/1PQN1P1K/R3RB2 w - -,b2b4
q1r3k1/4pp1p/rn1p1np1/2pP4/P3PB2/2R2NPP/1PQ2PK1/3R4 w - -,b2b3
r1bqk2r/1p3pbp/n1p1pnp1/p2p4/2PP4/QPN1PN2/P3BPPP/R1B1K2R b KQkq -,a6b4
b1rq1rk1/3nb1pp/p2p4/1p1Ppp2/PP2P3/1N1B4/3B1PPP/R2QR1K1 w - f6,f2f3
1r1q1rk1/3b2p1/pp1p3p/3Pnpb1/1PP2B2/3B4/P2QN1PP/2RR2K1 w - -,d1f1
rnbqk2r/pp2npbp/3pp1p1/2pP4/2P1P3/2N2N1P/PP3PP1/R1BQKB1R b KQkq -,e8g8
QR6/5kpp/3p2r1/3Pn3/2p5/P1P4b/6PK/5r2 b - -,e5g4
5r2/3R2b1/6k1/2Np2p1/7n/P2N4/1P3PKP/8 w - -,g2f1
1r4k1/R1p1r1b1/R2n2qp/1pBPp1p1/1Pn1PpB1/2N5/4QPPP/7K b - -,g8h8
1r6/3nkpp1/p1p1b2p/4p3/NpP1P3/1P3P2/P2RB1PP/6K1 b - -,c6c5
3r2k1/6p1/3r1p1p/1pNbpn2/2p5/2P3P1/PP4BP/3RR1K1 w - -,g2h3
6k1/3n2pp/p1q2p2/3np3/8/1P2BN2/P2Q1PPP/6K1 w - -,f3e1
rnbr2k1/pp2qpp1/4p2p/2b5/2B1N3/4PN2/PP3PPP/2RQ1RK1 w - -,d1e2
rnbq1rk1/pp1p1pp1/2p4p/4p3/1bP5/4P1P1/PP1P1PBP/R1BQK1NR b KQ -,d7d5
4Q3/8/4K3/8/1k6/8/3p4/8 b - -,d2d1q
r3r1k1/1bqnbp2/3p1npp/p1p1p3/4P2B/2P1N3/PPBNQPPP/R2R2K1 w - -,f2f3
5kr1/pp3p2/4n2p/3N1R2/8/5P2/PP5P/1K6 w - -,a2a3
8/2Q3bk/1p1p2p1/pP1P4/2P1qP2/1P2B3/4K3/8 b - -,e4c2
5bk1/5p1p/6p1/3pN3/3N4/4P1P1/1n3P1P/6K1 w - -,e5d7
r1b1k2r/3n1ppp/2p2n2/ppb1p3/P3P2B/1BN2N2/1PP2PPP/2KR3R b - a3,b5b4
6r1/8/8/2kp4/5Rn1/4P1Pp/5p2/1R5K b - -,g8g5
5k2/pp1r4/2p2b2/5Pp1/3PRn2/PB3K2/1P3B2/8 w - -,f2e3
r6k/1b5p/p3qpr1/1p5Q/2p1P3/P1N3P1/1P3R1P/3R2K1 w - -,h5f5
3rn1k1/r5pp/2P2p2/1n1PP3/p1N5/1p6/6PP/BRR3K1 w - -,d5d6
3b1rk1/1r3pp1/p2p2np/3NnR2/4P3/1BB4P/1PP3P1/R4q1K w - -,f5f1
3r3k/1p2n2p/pqb1B1p1/4Pp2/P4P2/1P4N1/1bQ3PP/3R3K b - -,d8d1
r2q2k1/bprn1p1p/p2p2p1/P2Pp3/1P2B1P1/R2Q3P/2PBRP2/6K1 b - b3,a8c8
r2q2k1/2bbrpp1/2p1pn1p/ppP1N3/3P4/2BB4/P1Q2PPP/2R1R1K1 w - -,d3e4
r1b2rk1/ppbnq1p1/2p4p/2Pp1p2/3P4/2N2NP1/PPQ2PBP/R3R1K1 b - -,e7f7
2rq1nk1/4rpp1/1pn1p2p/3pP3/Q2P2NP/P4NP1/1P3PK1/R3R3 b - -,e7c7
8/6k1/2b1B3/1p1pp3/5p2/2P1bP2/1P2N1K1/8 w - -,e6g4
r1bqkb1r/1pppnp1p/p1n3p1/4p3/B3P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,f8g7
8/4R3/K5p1/5r1p/1P2p2P/3k2P1/8/8 w - -,b4b5
r1b1k2r/ppq1nppp/2n1p3/2PpP3/6Q1/P1P2N2/2P2PPP/R1B1KB1R w KQkq -,c1f4
3r3k/p4Bp1/3b1n1p/7Q/2p5/2P5/PP4PP/3R3K w - -,h5a5
r3r1k1/1p2qpp1/p2p3p/2pRnQ2/2P5/P3P1P1/1P2BPP1/2R3K1 b - -,a8b8
