8/p7/1p1p4/3PbB2/P1K1Pk1p/1P6/8/8 b - -,f4g3
5rk1/2b3pp/bp3n2/p2pNp2/3pn3/PP1N1PP1/1B2P1BP/5RK1 w - -,f3e4
4q3/8/2PQ1ppk/1p6/1P5p/7P/5KP1/8 b - -,e8e4
r2r2k1/2p1qpp1/p4n1p/P3p3/1pbNP3/7P/1PP1QPP1/R1B1R1K1 w - -,d4f5
2nq1rk1/2p3bp/1pP1pnp1/3p4/1P1B4/2N2PPB/Q4P1P/5RK1 b - -,f8e8
3r1k2/2b2p2/2bN1p1p/2P5/1P1R1P2/6K1/2B3PP/8 b - -,f8g8
8/4kp2/2K5/5P2/4P3/3N4/7b/8 b - -,h2g3
r1bqkb1r/1ppn1ppp/p3pn2/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R w KQkq -,e2e3
2r2rk1/1bq3pp/p2ppb2/5p1P/2pPPP2/RnP3P1/1P1QRBBN/6K1 w - -,d2e1
2r1r3/p4pk1/1q2b1pp/1p2p3/1Q1pP3/1N1P2P1/Pn2BP1P/R1R3K1 w - -,b3c5
r1b5/1p4pk/pn5p/3p2q1/2Pp2P1/3P2N1/PP4BP/R4Q1K w - -,c4d5
2b1r3/2R2pk1/2N4p/7P/8/4PPK1/8/8 w - -,g3f4
2R5/5p2/p2knp2/5r1P/2KP1p2/1N4P1/P7/8 w - -,g3g4
r1bqk2r/pp2np2/3p1n1p/2pPp1p1/2P1P2N/2PB1Q2/P4PPP/R1B2RK1 b kq -,f6g8
3r2k1/1p4p1/4p3/p6Q/Pb2b3/1R2N1BP/5PPK/q7 b - -,a1a2
r2q1r1k/pp1nbbp1/2p2n1p/3p4/3P1B1P/2NBPQ2/PP3P2/R3K1NR w KQ -,g1e2
r1b2rk1/pp4pp/2pbpq2/3n4/2NP1P2/6P1/PPQ2BBP/R4RK1 b - -,d6c7
2r2rk1/p3q1pp/Q1p5/2bb1p2/P2Np3/2P5/2PB1PPP/1R3RK1 w - -,d4f5
4b3/p1r1kp2/Bp2p1p1/3pP2p/3P1P1P/1P4R1/P2K2P1/8 w - -,a2a4
5brr/pp3k2/4pnpP/3p1pB1/3P4/3B1P2/PPP3R1/1K5R b - -,f6h5
2rr2k1/4bppp/2bppn2/q5B1/1p2PP2/4QB2/NPPR2PP/1K2R3 w - -,e4e5
4r1k1/5p2/5p1p/R4p2/8/2r5/P4PPP/R5K1 b - -,c3c2
2r2rk1/1b3pp1/p1nqpn1p/1p1p4/1P1P1PP1/P1NB1N1P/3Q1P2/R3R1K1 w - -,e1e5
r1b5/1p1k3Q/p1np1p2/3N2p1/5B2/6P1/P1P2PKP/q7 b - -,d7d8
3kr3/R1rn2pp/2p2p2/2Pppb2/3P4/1N2PPB1/3K2PP/R7 w - -,b3a5
2r2rk1/1p1q1pp1/p2pb2p/8/PN1bP3/8/1P2BPPP/R2QR1K1 b - -,d4b2
3rk2r/5ppp/p1q1b1n1/1p1p4/1b1B4/1PNB1Q2/P1P2PPP/R3R1K1 w k -,d3g6
5nb1/p4p2/1kp1p3/1pN1PPp1/1P1KP1P1/PB6/8/8 b - -,b6c7
8/2k5/6R1/8/3KN3/6p1/6r1/8 b - -,g2g1
r2r2k1/ppq2pbp/n1p3p1/4p3/2P1N3/1Q1Pn1P1/PP3PBP/2R2RK1 w - -,f2e3
2r1k2r/3nb2p/pq2p1p1/1pp2pNQ/3P1B2/4P3/PP3PPP/R4RK1 w k -,h5h6
r4rk1/pp3pp1/1q1p1b1p/8/2P1PP2/3P3P/PP3QB1/R4RK1 w - -,f2b6
r1bqk2r/ppp2pp1/1bnp1n1p/4p3/N1B1P3/3P1N2/PPP2PPP/R1BQ1RK1 w kq -,f1e1
2br1r1k/bppqn1p1/p4pBp/3n4/2NP4/5N1P/PPQ2PP1/2BRR1K1 w - -,g6e4
4rrqk/p1p5/3p1p2/P1pQn2p/4PB2/2P4P/2P1R1P1/4R1K1 w - -,f4e5
8/8/3k1p2/6pp/2R4P/4N1P1/4KP2/7q b - -,h1a1:h1b1
rnbq1rk1/p2p1ppp/2p1pn2/1P6/3P4/P1Q5/1P2PPPP/R1B1KBNR w KQ -,c3g3:a3a4:c1g5:e2e3
1k1r4/1p1n1p1p/p1p1p1r1/P2P1p2/1PP5/4B1P1/5PKP/2RR4 b - -,e6d5
3r1rk1/ppp2ppn/1b1pbqnp/4p3/3PP3/1BP1BNNP/PP3PP1/R2QR1K1 w - -,d1d2
4kn2/1p1r4/p6P/7K/PPQ5/8/8/8 b - -,d7e7
r5k1/p3rpb1/1pp3p1/4P3/P2BN1b1/3P4/1PP3P1/4RRK1 w - -,a4a5
r3n2k/q5bp/2np4/3Pp1p1/1P2Pp2/1B3P2/P2Q2PP/2R4K w - -,d5c6
1r3rk1/2pqppbp/b2p1np1/1p1P4/PPBNP3/2N1BP2/3Q2PP/1R2K2R b K -,b5c4
3br1k1/3R2pp/prq2pn1/4p3/P3N1B1/6P1/1PP2Q1P/5R1K w - -,f1d1
5r2/2q1b1kp/4Pp2/3p1B2/1p1Q4/8/1PPK2PP/3rR3 w - -,d2d1
r2q1rk1/1bp3pp/1p1pp3/p4p2/2PPn3/PP2P3/1B2BPPP/R2RQ1K1 b - -,d8g5
8/7p/1p2k1p1/2p2p2/P1P2P2/P1K3P1/7P/8 b - -,e6d6
8/2pr4/p4k2/B3p1pp/P3Pp2/1P3P1P/1KP3RN/3r4 w - -,a5c3
8/1kb5/3p2p1/p3p2p/2NqP2P/1P4PK/4Q3/8 b - -,d4g1
r1b2rk1/pp3ppp/8/q1np4/3NnB2/2P1P3/P4PPP/2RQKB1R w K -,f2f3
4r1k1/pppbr2p/3p4/2nPbpPN/2P4P/5P2/PP2B3/3R1KR1 b - -,g8f7
rn1q1rk1/pp2p1bp/1np1bpp1/4N3/3P1B2/2N3P1/PP2PPBP/R2QR1K1 w - -,e5f3
2k5/R7/P1K3p1/7p/7P/5P2/8/1r6 b - -,b1c1
6k1/1pr2p1p/1r1pp1p1/p1nP4/P1P2P1P/1P3R2/2B3P1/4R2K w - -,d5e6
r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/4P3/1BN2N2/PPPP1PPP/R1BQK2R b KQkq -,f8e7:f8c5
8/3P2R1/2b5/4k2p/7P/8/r5PK/8 b - -,a2d2
6k1/3R4/1p5p/p1b2K2/P7/1P6/8/8 w - -,f5g6
1r4k1/2p1qpp1/p3b2p/4P3/1pp2P2/6P1/P2QPK1P/R2R4 w - -,d2d4
r2qk2r/pb1n1p2/2p1pn1p/1p4p1/3PP3/2PQ1NB1/P4PPP/R3KB1R w KQkq -,h2h4
6q1/kb4rn/1p1Bp2p/pP1pP2P/P1pPpRP1/2P1N3/3KQ3/8 w - -,d2c2
r3kb1r/pp1npppp/1qp5/3p3n/3P1B2/2NQPN2/PPP2PPP/R4RK1 w kq -,f4g5
8/7p/6p1/1p2k3/p4R2/Pr4P1/1PK4P/8 w - -,f4h4
5r1k/pb1p2p1/1p5p/1P1PQ3/2r5/6P1/5q1P/1B1RR2K b - -,f2c5
7k/3r4/p1p4p/4q3/2B2R2/2N3P1/PP4K1/5R2 w - -,f1f2
8/8/8/8/2p3Kp/kp3N2/2P5/4b3 w - -,c2b3
rn1qk1nr/p1pp2pp/1p2p3/7Q/2PPb3/2PB4/P5PP/R1B1K1NR b KQkq -,g7g6
r3brqk/8/2p1p1p1/1pPpP2n/1P3P2/3B3P/1BQ3R1/5RK1 w - -,f4f5
3r2k1/pp2qrpp/2n5/2b5/3P2P1/2PQB2P/P5B1/1R3RK1 b - -,f7f1
8/4k3/1K2B2p/p4P2/P1P5/2b4P/8/8 w - -,c4c5
2r2rk1/p1qbppbp/2np2p1/7n/1p1PP3/2P1BN1P/1PB2PP1/2RQRNK1 b - -,b4c3
1n5r/3q1rk1/3p1p1p/Nbp2Pp1/1p1pP1PP/1P1P1B2/2PQ1K2/R6R b - -,d7d8
1r6/1p2k2p/p3p3/2b5/8/4N3/PPP2P1P/2K3R1 b - -,b8f8
r4rk1/p4pp1/2q4p/1p6/P1nR4/2P2N2/5PPP/RQ4K1 b - a3,a7a6
r3k2r/N2b1ppp/R1p1p3/3p4/1b1P4/1P1BP3/1P2KPPP/7R b k -,c6c5
2b5/8/8/3nBp1p/2k2P1P/4K3/8/8 w - -,e3d2
rnbqkb1r/pp1ppp1p/1n4p1/4P3/3p4/1BP2N2/PP3PPP/RNBQK2R b KQkq -,f8g7
r4rk1/ppq2pbp/2p1B1p1/4n2n/1P1BP3/P1N4P/2P1N1PQ/R3K2R b KQ -,f7e6
r3brk1/1pp3pp/p2b4/2pNnp2/2P2P2/1PN5/P5PP/R1BR2K1 w - -,f4e5
3k4/8/1P3p2/2Pp1BP1/1n1P1P2/p7/6P1/6K1 w - -,f5b1
5rk1/1b1r1ppp/p2qp3/PpR5/3pP2P/1Q1P2P1/1P3PB1/2R3K1 b - -,e6e5
8/8/6k1/6p1/4p1r1/4B3/5K2/R7 w - -,a1a8
3r2k1/4pp1p/3b2p1/7q/pp2Q1n1/5R2/PPR2P2/2K1B3 b - -,g4e5
3k4/8/3PK1p1/1rp4p/1P1R3P/6P1/8/8 w - -,d4f4
r1b2rk1/ppp3bp/3p1qp1/2PPpn2/1P2N3/8/P3BPPP/1RBQ1RK1 b - -,f6h4
