8/8/8/8/8/1K6/1bpB4/1k6 w - -,b3c4
3rN2k/5p1p/p5pb/1p2n3/3P4/1P2P3/P3K1PP/2R2R2 b - -,e5g4
8/8/6P1/8/P2K4/1p5P/5k2/8 w - -,d4c3
r1bqrnk1/ppp2pb1/3P1n1p/4p1p1/1P6/3PPN2/PBQNBPPP/R4RK1 b - -,c7d6
8/8/8/8/2Q4K/3r4/3k4/1q6 w - -,c4f4
8/6pk/6Qp/p2Pn3/P6R/8/2r3NK/8 b - -,h7g6
2kr3r/pp2bppp/2n2n2/3pp3/8/P1NBPP2/1PPB1P1P/2KR3R b - -,g7g6
r1b1k2r/p3qpp1/1pp1p2p/3n4/3P4/1BP1PN2/P2Q1PPP/R4RK1 w kq -,e3e4
r2q1rk1/pp5p/1n1pb1p1/5p2/2PQ4/2N4P/PP2BPP1/2R1K2R b K -,a8c8
r4rk1/1b1q2np/1p4p1/2npPp2/8/1PR1PN2/1B1Q2PP/1BR3K1 b - -,g7e6
3r2k1/4qpb1/2n2npp/2p1p3/1pb1P3/2P1BNNP/1PB2PP1/R3Q1K1 w - -,c2a4
r1b2rk1/pp1nqpp1/2p1p2p/8/2BP4/2R1PN2/PP3PPP/3Q1RK1 b - -,b7b6:e6e5
8/1p3k2/4npp1/p1pr1P2/7p/P2nB1PP/1PR1K2N/8 b - -,g6f5
r6r/1p3p1k/2bQ3p/p3pNpP/Pq2P1P1/1P3P2/4N3/2R1K3 w - -,d6b4
r1q2rk1/pb2bppp/1pp1pn2/8/2PP1B2/5NP1/PP2QPBP/R2R2K1 b - -,f8e8
1r3rk1/p1q1pp1p/1npp1bp1/2p3N1/2P3Q1/P2P3P/1P1B1PP1/1R2R1K1 w - -,g4h4
2rr2k1/q4pp1/p1p1p3/P6b/2QPRb2/2B4P/1P3PB1/R5K1 b - -,f4b8
2b1r1k1/r3qpnn/3p2p1/p1pPp3/PpP1Pb2/1P2NPN1/R6P/2BQ1BRK w - -,e3g2
8/R4p1p/p4k2/1p6/4PpKP/P7/1P3rP1/8 b - -,f6e5:h7h5
1N3k2/5p1p/p5p1/P1p5/2nb4/8/1P1r1PPP/1R2R2K w - -,b2b4
3r1bk1/pb3p1p/2p2np1/1p2p3/2n1P1P1/P1N4P/1PP1NPB1/2BR2K1 b - -,d8d1
1r6/8/1P6/P2k4/7R/1K5p/8/8 w - -,b3b4
8/1K4pp/4k3/2P5/8/8/4rp1P/5R2 b - -,e6d5
rnb1kb1r/pp4pp/1n2pp2/4P3/8/5N2/PP3PPP/RNBB1RK1 b kq -,b8c6
r1q2rk1/1p2b1pp/2n2p2/pNn1pb2/2Pp4/P2P1NP1/3BPPBP/1R1QR1K1 b - -,c8d7
rn1q1rk1/p4ppp/bpp1pn2/3pN3/2PP4/2N3P1/PP1QPPBP/R3K2R w KQ -,b2b3
3r1rk1/5pp1/p2p1q1p/1ppP4/8/1PPQ1b2/P4PPP/3RR1K1 w - -,d3f3
2r5/4kppp/p1rp1n1q/1p2pP2/4P3/P3NQP1/1PPR2KP/3R4 w - -,c2c3
8/8/3B4/3p1k2/3Pb3/R5K1/8/6r1 w - -,g3f2
8/2R1k2p/P7/6p1/1nN5/1P1p4/r7/3K4 b - -,e7d8
r2r2k1/pp3ppp/1qp1pn2/4N3/3P4/2P2Q1P/PP3PP1/3RR1K1 w - -,g2g4
2r2k2/5ppp/R1P1p3/8/r4P2/5PP1/7P/6K1 w - -,a6a4
3r2k1/pp2p2p/4Ppp1/2q2n2/5RQ1/3b3P/P1r1N1P1/B3R1K1 w - -,g1h2
2rr1bk1/1bq2p1p/p2ppnp1/1p2n3/3NP3/2P1NPP1/PP2QBBP/2R1R1K1 b - -,f8h6
7R/7P/8/p1p4r/2k5/8/3K4/8 b - -,h5h3
1r1q1rk1/2p2bbp/1pnp2p1/p2Npp2/2P5/1P1PP1P1/P2Q1PBP/1RB2RK1 w - -,c1b2
r2b1rk1/1p1qn2p/p2pb3/5p2/2P1pP2/1PN1B1P1/P5BP/R2Q1RK1 w - -,d1e2
r5k1/5p1p/1p4p1/p7/1P2r3/P2RP3/5PPP/3R2K1 w - -,d3d8
3b4/5k2/4p1p1/1n1pP1Pp/p1pP3P/PnP2NB1/1KN5/8 b - -,d8c7
r3kbnr/pp4pp/2n5/2P1pp1b/8/2P1BN1P/PP3PP1/RN1K1B1R w kq -,g2g4
1r1k4/5p1p/3P2p1/pB1K4/P7/1pR1b3/1P4PP/8 b - -,e3g1
5r1k/1pp4p/1q1r1p1B/pPbb4/2P1p1BP/6Q1/P4P2/3RR1K1 b - -,f8g8
r1rq2k1/1p1n1ppp/p2p4/P2P4/R5B1/1P5P/5PPK/3Q1R2 w - -,f1e1
6k1/7p/3N1b2/3r1pp1/3n4/5PB1/5PKP/4R3 w - -,d6e8
8/7p/4ppk1/5p2/4q2P/6PB/2R4K/5R2 w - -,c2f2
b7/4R3/k7/1p6/pP1p1p2/P1P1pK1Q/2q5/8 w - -,f3f4
4rrn1/1ppq1ppk/1bnp3p/p7/P2NP3/1PP1NPB1/3Q2PP/3R1R1K w - -,e3c4
r2qk2r/1ppn1pp1/p1np3p/4p1bb/B3P3/2PP1N1P/PP3PP1/R1BQRNK1 w kq -,f1g3
r4rk1/p1qnppbp/2pp1np1/8/P2NP3/2N1BP2/1PPQ2PP/R4RK1 b - a3,c7b7
8/8/3R1pk1/8/5PP1/1r6/6K1/8 b - -,g6g7
5r2/8/4p1Q1/2R1p3/kp1rN3/7P/1P2q1PK/8 w - -,c5e5
rnb1kbnr/1pq2ppp/p2pp3/2p5/3PP3/2PB1N2/PP3PPP/RNBQK2R w KQkq -,e1g1
q5rk/4bp1p/1r2pp2/2N1n3/3N4/2Q3P1/PP2BP1P/R2R2Kb w - -,f2f3
2bq1rk1/5ppp/pp3b2/3PN3/Q7/4B1P1/P4PBP/3R2K1 b - -,f6e5
5rk1/r4pbp/1R1p4/5p1n/p2P4/4BNP1/5P1P/R5K1 w - -,b6d6
rnbqk2r/ppp1p1b1/3p1n1p/5p2/3P2pP/2N1P1B1/PPP2PP1/R2QKBNR w KQkq -,h4h5
5r1k/6p1/1Q2bq1p/4p3/5p1P/P4BP1/1P2PP2/R5K1 b - -,e5e4
7k/1R6/8/7P/8/6P1/1p4K1/1r6 w - -,g3g4
1r4r1/5p1R/4k3/3p1pP1/p1pP1P2/KpP5/4R3/8 b - -,e6d6
r3k2r/1pqb1p1P/p2pp2p/4n3/3NP1Pb/2N5/PPP1Q2P/1K1R1B1R w kq -,f1g2
8/1Q4k1/6n1/2p1q2p/8/P3N1PK/8/8 b - -,g7h6
r1b1kb1r/1pq2ppp/p3p3/2pPp3/4PP2/2N5/PPP3PP/R1BQ1RK1 w kq -,d1h5
2kr3r/1ppq2p1/2nb3p/Pp1p4/3P1p2/2PQ1N1P/3N1PP1/R4RK1 w - -,d3b5
8/p3kp1p/1p2p1p1/2p1N3/5b2/2P3PP/PP2RP1K/3r4 b - -,f4e5
6r1/p1r1qb1k/2p3n1/N1Pp1p1p/1P1QpP2/P5PP/4B1K1/3R1R2 w - -,g2h2
R7/P7/1k6/1b4p1/3p4/8/3K4/8 b - -,b5a6
n3r3/2r2Nkp/6p1/pPBpN3/3P4/1PP5/4RKPP/8 b - -,c7f7
8/1p2bk2/2p1Rp2/p2p4/8/1PP4B/PKP5/2B2r2 b - -,f1h1
r2qrnk1/pp1bbppp/2pp1n2/3P4/2B2B2/2N2N1P/PPP2PP1/R2QR1K1 b - -,f8g6
rnbqr1k1/pp3p1p/3p1np1/2pP4/2P5/2NBPN1P/PP4P1/R2Q1RK1 b - -,d8e7:b8d7:a7a6:e8e3
2q1rbk1/1r1b1pp1/R1pp1n1p/1p2n3/1P1NP3/1BN1B2P/2P2PPK/3R1Q2 b - -,c6c5
2r3k1/4n1p1/1p1p2bp/1P1Pp3/4P3/5BP1/3b3P/1N3R1K w - -,b1d2
2r4r/4k3/p1n3p1/1p2pp1p/8/2PB1P2/PP4PP/1K1R3R w - -,a2a4
r1b1r1k1/1pq1bppp/1npp1n2/p3p3/P2PP3/1PNB1N1P/2P2PP1/R1BQR1K1 w - -,c1b2
8/5p1R/8/1prr2kR/4p3/1K2P3/P7/8 b - -,g5g4
1br1r1k1/pp3ppp/2n4q/3p4/1P1Nn1b1/PQ2PNP1/1B2BP1P/2RR2K1 w - -,d4c6
r1bq1rk1/1ppn1pbp/3p1np1/p3p3/P2PP3/5NP1/1PP2PBP/RNBQR1K1 w - e6,b1c3
r3r2k/1p2n1qp/p2p2p1/2p5/5P2/3BP3/PPP4Q/2K3RR b - -,e8f8
8/8/1p1p4/3P4/1pP2kP1/pKb2P2/P1B5/8 w - -,b3a4
5b2/8/2k4p/5N2/5pPP/5K2/8/8 b - -,c6d5
8/2p5/4k3/PK2Pb2/5Rp1/2B5/2r2P2/8 w - -,b5b4:c3d4
2bq1rk1/2p1bppp/1pn1pn2/2Pp4/1P1P1N2/2N1P3/3B1PPP/Q3KB1R w K -,a1a4
8/7p/1b2kp2/3p1p2/1pb2P2/5NP1/2K4P/2N5 w - -,c1b3
r4k2/2p3p1/p3np1p/P1n1p3/b1N1P3/2P2P2/3R2PP/4NBK1 b - -,a8b8
8/7k/p1r1b1pp/1p2Pp2/8/3B2KP/1P6/3R4 b - -,g6g5
8/5k2/2p5/4Bppp/8/2P2bPP/2r2P2/4R1K1 w - h6,e5d4
