8/p7/2R5/3k1p2/PP3Kb1/6P1/4r3/8 w - -,c6a6
3n4/7p/1Bp2b2/3kp1p1/P1p3P1/2Pp2P1/1P3P2/4RK2 b - -,d8b7
rn1q1rk1/pp2npb1/2pp2pp/3P4/5B2/2N2PP1/PP3PBP/R2Q1RK1 b - -,c6c5
8/7R/p3p1kp/P3P1p1/1Pb5/8/r2B3P/3K4 w - -,h7c7
3qr3/3r1ppk/p5b1/1p2P3/n5P1/Q3BN1P/PP3P2/R4NK1 b - -,d7d1
2rr2k1/pb2qppp/1p2n3/2ppN3/P2P3P/1QP1P1P1/5PB1/2R1R1K1 b - -,f7f6
2r3k1/R3Q1p1/4bp2/3q3p/7P/1p2B3/5PP1/6K1 b - -,e6f7
rnbqkbnr/pp2p1pp/2p5/3p1p2/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq f6,f3e5
2r3k1/1b2qrpp/1p2p3/pP2pp2/PbP1P3/1N3PPP/2Q3BK/2RR4 w - -,c2e2
r1b2rk1/1p3p1p/n1pp2p1/p1n5/P1PNPP2/2N3PP/1q4BK/R2Q1R2 w - -,d1f3
r2q1rk1/1bpn1ppp/1p1p2n1/p2Pp3/2P1P1P1/P1NBBP2/1P1Q3P/R3K2R w KQ -,e3g5
rn1q1rk1/pp2p1bp/4b3/5p2/3P4/4BN2/P2QBPPP/R4RK1 b - -,b8c6
3q1r2/2r2pbk/2p1b1pp/3pp3/R1P5/Q2P2P1/3NPPBP/5RK1 b - -,f7f5
r1bq2k1/pr4p1/1n6/1p1pP1p1/2pP4/Q1P3B1/PP2BRPP/RN4K1 b - -,c8e6
4R3/8/6K1/7P/8/4p3/4k3/6r1 w - -,g6f6
3qr1k1/2r2pp1/bp1Ppn1p/p2p3P/3P1B2/PP4P1/3Q1PB1/R5K1 w - -,d6c7
1r6/2k5/8/1R5p/2Nb2pP/8/5PK1/8 w - -,b5d5
3r2k1/1p3p2/p6p/8/5n2/PPR2b2/1N3PPP/6K1 w - -,c3f3
3qr1k1/pbr2ppp/1p2p3/2npP3/2P5/1P4P1/PB2QPBP/2RR2K1 w - -,c1c2
1r3rk1/1b2npbp/1q2p1p1/1pNpP3/2nP1P2/4BNP1/1P4BP/R2QR2K b - -,c4e3
1r1r4/p4pk1/2pq1npp/P3n3/2BBP3/1P2N1QP/5PP1/3R2K1 b - -,f6g4
6k1/6pp/p2nq3/1bQp1p2/3B3P/1P2P1PB/5P2/6K1 w - -,c5c7
8/8/1p2rkp1/pKp2p1p/P6P/1P1R2P1/8/8 w - -,d3f3
r1bqr3/p2pnk2/2pQp1p1/2B1Pp1p/2P2P2/7R/PP1RB1PP/6K1 w - -,h3e3
r1bq1rk1/ppbn2pp/2p1p3/2Pp1p2/3PnB2/2N2NP1/PP1QPPBP/R3K2R w KQ -,d2c1
5rk1/pp4p1/5np1/8/3N2pQ/2P4P/Pq6/3R2K1 w - -,h3g4
r2qkb1r/1p2pppp/1np2n2/p3Nb2/P2P4/2N1P3/1P3PPP/R1BQKB1R b KQkq -,g7g6:f6d7:h7h6:b6d7
8/2qbk2p/3p1npb/2p1pp2/p1P5/P1BP2P1/1Q2PPBP/5NK1 b - -,d7c6
r3r1k1/pppnqpp1/3p1n1p/3P3b/2P1p2B/P3P2P/1PQN1PP1/R3KB1R w KQ -,g2g4
2b2rk1/p1q2ppp/3bpn2/1Bp5/3pP3/P4PP1/1PP2B1P/R1Q1K2R b KQ -,c7a5
r1b1k1r1/1p2bp2/p2pp2Q/q3n3/3NP3/1BN2PP1/PPP5/3RR1K1 b q -,g8g3
1r1q1rk1/1pnbp1bp/p2p1np1/P1pP4/2P1p3/1PB2NP1/1Q1N1PBP/R4RK1 w - -,d2e4
r1bq1rk1/p2nppbp/3p1np1/2pP4/1p2P3/5NP1/PPP1QPBP/RNB2RK1 b - -,a7a5
8/5pk1/r3p1pp/p1p1K1P1/R1P5/3P4/8/8 w - -,g5h6
2q3k1/5b2/5pp1/2p1b2p/3pP1PP/r1P2P1K/4Q1N1/1RR5 w - -,b1a1
r3r1k1/pbqnb1pp/4p3/2p2p2/2P5/1P1B2N1/PB2QPPP/R2R2K1 b - -,e7f6
r1b2rk1/4bppp/p1qppn2/1p6/4P3/1BN1BPQ1/PPP3PP/3R1RK1 b - -,c8b7
3q1rk1/3r1pp1/1pnpb3/p1n1p1p1/2P1P3/2N2P2/PPNQ2PP/2RR1BK1 w - -,h2h3
r1bqnrk1/pp4pp/2np4/2p1pp2/2P1P3/2PP2P1/P1QN1PBP/R1B1K2R w KQ f6,e4f5
Q1bqnbk1/1pp2r2/3p2n1/2PPp1pp/1PN1Pp2/2N2P2/4BBPP/4K2R w K h6,c3b5
r1bq1rk1/1p2npb1/2np2pp/pNp1p3/2P5/P1BP1NP1/1P2PPBP/R2Q1RK1 b - -,c8e6
8/R7/p1pk4/P4P2/1P2K3/8/8/1r6 w - -,f5f6
8/8/3r1p2/4k1p1/6Pp/7P/4R1K1/8 b - -,e5f4
4rbk1/1pr2p2/p5pp/3Rp3/8/2P1B3/PP3PPP/4R1K1 w - -,a2a4
r2q1rk1/p4pp1/1p1p1n2/2p5/4P3/1P1Q1N2/P4PPP/R4RK1 b - -,d8e7
8/5pk1/6b1/3PR1p1/6P1/7P/3r1KB1/8 w - -,e5e2
rnbqk2r/pp2b1pp/2p1pn2/3p1p2/2P5/3P1NP1/PP2PPBP/RNBQ1RK1 w kq -,c4d5:b1c3
rn2k2r/pbp1qppp/1p1pp3/8/2PP4/2n1QNP1/PP2PPBP/R4RK1 w kq -,e3c3
3r4/p4pkp/q1p1pbp1/3r4/P7/1P2B1PP/2Q1NP2/1R1R2K1 w - -,e2f4
r5k1/p5pp/1p1p1rn1/3Ppb2/P1P2p1q/1PQ2P2/R2N2PP/2B2RK1 w - -,f1f2
2r2rk1/ppqn1pbp/2p3p1/3Pp3/N3P3/1P1QPbPP/P5B1/2R2RK1 w - -,g2f3
rn3rk1/1bqnppbp/p1p1P1p1/1p6/2P5/2N1BN1P/PPQ1BPP1/R4RK1 b - -,d7e5
8/8/8/8/3pb1p1/7k/3K4/5B2 b - -,h3h2
r4rk1/1b2qpp1/1bpNp2p/pp2P3/1Pp5/P5P1/2Q1PPBP/3R1RK1 w - a6,a3a4
8/5k2/8/8/8/1r5p/1P1RKP2/8 w - -,e2f1
r1bqk1nr/pp2bppp/4p3/3pP3/1n6/B4N2/2PP1PPP/RN1QKB1R w KQkq -,c2c3
8/8/3pPP2/1PkB4/P1P3p1/1K5r/8/8 w - -,b3c2
r4rk1/2pqbppp/p1pp2n1/8/2Q1PP2/2N1B2P/PPP2P2/2KR3R w - -,h3h4
rr6/5pk1/3b2p1/pp1Pp1P1/1P5p/P1n1BP2/2P5/R2R1BK1 w - -,e3c5
r2r2k1/1q3ppp/1p2pn2/pn2N3/1N1P4/1P2PPP1/3Q2KP/R1R5 w - a6,b4c6
7R/8/3p1pkP/8/2P1PP2/8/4K3/3r4 b - -,d1d4
1r3rk1/1bq1ppbp/pn1p1np1/2pP4/4P3/1B3NNP/PP1B1PP1/1R1QR1K1 w - -,b1c1
1r3k1r/ppnqpp2/3p1n2/2pP1P1p/2P4R/2NQ2PP/PP1B4/4R1K1 b - -,b7b5
8/5r2/4R2p/1ppk1p2/2n4B/1KP2PPP/8/8 w - -,e6h6
1r4k1/3nr1q1/bp1p1npp/p1pPp3/P1P1P3/2R3NP/1PBQ1RPN/6K1 w - -,h2f1
1R2bk2/1pr5/p2p2p1/N2Pp2n/P3P2p/1P3P2/3KB1P1/8 b - -,h5f4
r1b2rk1/pp3pbp/1qn3p1/3p4/3n4/1P2PNP1/PB3PBP/R2Q1RK1 w - -,f3d4
2r2rk1/3nqppp/p3p3/1pb5/8/2BBPP2/PP1Q1P1P/2R2RK1 w - -,g1h1
r3k2r/ppqn2pp/2p2p2/4p1B1/P1NPb3/2P1P3/5PPP/R2Q1RK1 w kq -,d4e5
8/6k1/p5p1/Pb1B3p/1P1R4/4P1P1/1n3PP1/4rNK1 w - -,d5b7
r1k2n1r/ppN2n2/2b1p3/2p1P3/7B/2PB2P1/PP2QP2/R3K3 b Q -,c8c7
6k1/5pp1/7p/2Kb4/4NBP1/2QP1P1P/q1n5/8 b - -,d5e6
2b3k1/3nq2p/3p1pp1/2pP4/pr2PP2/2Q3P1/1B4BP/5RK1 w - -,b2a1
8/kp2R3/3B4/8/p3nP1P/5B1K/5bP1/4r3 w - -,e7e4
2r2r2/p2pn1kp/1p3pp1/2Pq4/1P2pPP1/P1QpP3/1B1P3P/R4RK1 b - g3,b6c5
r4rk1/p1p2p1p/2ppbp2/8/3PP3/6P1/P4PBP/R4RK1 w - -,f1c1
3r4/5rk1/2q4p/2p1n1p1/P3pp2/4N1P1/Q3NP1P/2R3K1 w - -,e3c4
r4rk1/b1p3p1/2p4p/1q2Pp2/p2P1Q2/1P3P1P/P4PK1/R1B2R2 b - -,a4b3
r1b1r1k1/pP4pp/7q/3pp3/3P1PPn/2QBP2P/P7/1R3RK1 b - -,c8b7
6k1/pp1b1p1p/6p1/3P4/2B1r3/8/PK1B1PPP/7R b - -,e4c4
1r4k1/R1p2r1p/2b1n1p1/1P1Pp3/P1p5/5PP1/2N1K1BP/1R6 b - -,c6d5
r1bqkbnr/1p1p1ppp/p1n1p3/2p5/4P3/2N2NP1/PPPP1PBP/R1BQK2R b KQkq -,d7d6:d8c7:g8e7
