8/8/1pBp4/p7/1rPk4/1P1n4/P4R2/6K1 w - -,f2f6
r1bqkb1r/1p2pppp/p1np1n2/8/3NP1P1/2N4P/PPP2P2/R1BQKB1R b KQkq g3,d8b6:e7e6
8/1k6/1P4p1/P3ppp1/6P1/2p1KP1P/8/8 w - -,e3d3
rnbqk1nr/ppppp1bp/6p1/5p2/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq d3,g8f6
8/8/4k1pp/1p1n1p2/3P4/3K2P1/5P1P/5N2 w - -,h2h4
4bk2/5pp1/B6p/N7/1n1p4/4P1P1/5P1P/6K1 w - -,a6c4
8/p2r1k1p/1p3P2/3nB3/1P6/1K6/P3R3/8 b - -,f7e6
8/5pkp/6p1/2N2b2/5p2/1PP4P/R5PK/5r2 b - -,h7h5
1r2n1k1/1p3p1p/p3p1p1/3pP3/1b6/1P2P3/PBR1NPPP/6K1 w - -,e2f4
rnq1nrk1/pp1bppbp/3p2p1/2pP4/2P1PP2/2N1B2P/PP2B1P1/R2QNRK1 w - -,e1f3
3r2k1/pp1r3p/2p1b1p1/5p2/1P1P4/5P2/P1BR2PP/R6K w - -,a1d1
8/7p/p4pk1/1r1Q3p/5P1K/7P/P7/8 w - -,d5g8
6k1/4pq1p/p2p3Q/2rP4/1Bn5/6P1/PP1p1P2/2R3K1 w - -,b4d2
8/8/6p1/3p1p1p/1pk2P1P/4PP2/1K6/8 w - -,b2c2
rn2kb1r/pp3ppp/1qp1pnb1/3p4/2PP3N/1QN1P3/PP3PPP/R1B1KB1R w KQkq -,c1d2:h4g6
1k1r2r1/1pqbnp2/p1n1p3/3pP3/5P1Q/P1N5/1BP3PP/2KR1B1R w - -,h4f2
3r4/pp5k/7p/2P5/3pKn2/5N2/PP6/6R1 b - -,f4e6
5rk1/1p4p1/7p/rP1p2p1/p2P2P1/2R1P2P/2R2P2/6K1 w - -,c3a3
r5k1/pp2qppp/2p1bn2/4P2r/3Q4/2N3P1/PP3PBP/3R1RK1 b - -,f6d7
1r3rk1/1q2bppp/p1bppn2/8/1NP1P3/4BP2/1P1QB1PP/R1R3K1 w - -,b4a6
q5k1/5p1p/3p2pb/3P4/N2p4/1P3BP1/2b2PK1/Q7 w - -,a1d4
rn1qkbnr/1bp2ppp/pp1pp3/8/2PPP3/2N2N2/PP2BPPP/R1BQK2R b KQkq -,f8e7
r4rk1/p3npp1/2p4p/1p1pP3/4PP2/n1N5/P4BPP/3R1RK1 b - -,a3c4
1r4k1/5p2/4pn2/3p4/3P4/1qQNPPp1/1P1K2P1/7R b - -,b3c4
8/6pk/7p/8/p1q4P/4R1P1/1P2R2K/8 b - -,c4d4
6k1/1bN1qrp1/p6p/2p2p2/2Q5/1P6/P5PP/3R1K2 w - -,c7a6
2rq1rk1/pp1n1ppp/2p1p3/2b2b1P/2PPp1n1/1P3N2/PBQNBP2/R3K2R w KQ -,f3h4
r4rk1/ppq2ppp/2p1pnb1/8/2BP1b2/2P3N1/PP2QPPP/R1B2RK1 w - -,c4b3
5rk1/1b4n1/p1p1q2p/Pp1rPpp1/1P2pP2/2B1P1PP/3RR2N/3Q2K1 b - -,f8d8
1r6/p6k/6pb/2p1p2p/2PpP3/3P2Pq/P1N2R1P/5QK1 b - -,h3f1
8/6pp/5k2/NB1r1p2/4p3/4n1PP/4P3/1R4K1 w - -,b1b3
8/8/1p1k4/p1p2p2/5P1b/P2P4/1Pn1K3/1R6 w - -,e2d2
rnbqkb1r/pp1ppppp/5n2/2p5/4P3/2PB4/PP1P1PPP/RNBQK1NR b KQkq -,b8c6
4r1k1/1p3pb1/6p1/P1BP2qp/2N1P3/1Q3K2/RP3P2/4R3 b - -,g5g4
r2q1rk1/1ppb1pb1/n2p1npp/p2Pp3/2P1P2B/2N5/PP1NBPPP/R2QK2R w KQ -,a2a3
1k1r3r/pb3pb1/1p4q1/3pPn2/1p1P1Ppp/4B3/P1N1N1PP/1R1Q1RK1 w - -,e3d2
r1b2rk1/1pq1bppp/p3pn2/n5B1/P2P4/2N2N2/BP2QPPP/R2R2K1 b - -,h7h6
r7/4pkbp/1p4p1/3P4/4p3/6B1/P1R2PPP/6K1 w - -,g1f1
2r2r1k/1p4bp/5np1/p5B1/1q2p1P1/1bN4P/1P2BP2/Q1R1R1K1 b - -,f6d5
r1bq1rk1/pp1n1pp1/5n1p/2bp4/8/2N1PN2/PPQBBPPP/R3K2R b KQ -,a7a6
1r5r/N2k1p2/Qp2p1p1/n2pP2p/3P1PP1/q6P/2P3K1/1R5R w - -,b1b6
r3r1k1/pbpn1pp1/1p1bpq1p/8/3P4/1P3NP1/PBP2PBP/1R1QR1K1 b - -,a8d8
r3nrk1/Np4b1/3p4/PRnPp1p1/4Pp1p/5P1P/3N1BP1/2R3K1 w - -,f2c5
r2rn1k1/ppqn2pp/2p2p2/4p2b/P1N1P3/bP3NPP/2P1QPB1/R2R2K1 w - -,c4a3
5r2/pp4k1/3p1n2/3Pp3/1P2Pp2/5B2/P1R2KP1/8 w - -,c2c7
6rk/2Nq2p1/6Qp/4B3/8/7P/5PPK/8 b - -,g8c8
8/6k1/6p1/5n2/4K3/4N2P/5P2/8 b - -,f5d6
3r2k1/q4pbp/1p2pnp1/p7/P2P4/8/1B3PPP/2RQ1RK1 w - -,c1c6
1rbqk1nr/p3ppbp/2np2p1/1pp5/4P3/2PPB1P1/PP1Q1PBP/R2NK1NR w KQk -,g1e2
5k2/p4p2/8/4p3/4P3/2r1N1P1/4bPKP/R7 w - -,a1a7
8/5p2/3p1nk1/2pP3p/3rPq1P/2N2Pp1/1PR3P1/4Q1K1 b - -,d4c4
1r4k1/4pp1p/3pbnp1/pQ6/4P2P/qN3P2/P1P3P1/1K5R w - -,b5b8
r1br2k1/p3ppbp/1qp2np1/2ppB3/5P2/1P1PP3/P1PNB1PP/R2Q1RK1 b - -,c5c4
3rbrk1/1p4pp/pNp5/5p2/N1P5/1P1p4/P5PP/R3R1K1 w - -,a1d1
Nk1Q4/pP3p1p/4pq2/8/2P5/P4nPb/5K2/R6R b - -,f6d8
8/6p1/4pp1p/3n4/1kpPp3/4P1PP/2K2P2/N7 w - -,c2b2
1rq2rk1/2pnppbp/p5p1/np1NPb2/2P5/5NPP/PP2QPBK/1RB2R2 b - -,f8e8
r1bq1rk1/p2n1nbp/2p1ppp1/1p1p4/3PP3/1P1B1N1P/PNP1QPP1/R1BR2K1 b - -,f6f5
r1bqr1k1/1p3pbp/2pp1np1/8/1PPnP3/2N1BP2/3QB1PP/2R2RK1 w - -,e3d4
4nrk1/1pPbq1b1/4p1p1/p3p2p/P1P1NP2/4B1P1/2n1NKBP/3R3R w - -,e3c5
3k4/8/2p1K3/1p1p1N2/1r1P3R/8/8/8 w - -,e6d6
8/8/2B2k2/3p1p2/1B1P3P/1b2PPK1/8/1n6 b - -,f6g6
rn1qkb2/1b3pp1/p2ppP2/8/3NP3/2P1B3/P1P2P2/R2QK2B b Qkq -,g7f6
6k1/6pp/p7/1p1rP3/2p3P1/7P/PP2RK2/8 b - -,g8f7
1r3r1k/2qnbppP/3pbn2/pB2p2P/Np2P3/1N2BP2/PPPQ4/2K3RR b - -,f6h7
5R2/2kr4/p1q4p/P1Bpp3/1Pp5/2P4P/6Q1/6K1 w - -,g2g8
8/5pkp/2prbqp1/p1n1p3/1pP1P3/1P2RNP1/P1Q2PKP/5N2 b - -,g6g5
r3r1k1/2np1pp1/bq1b1n1p/2pP4/2B5/1PNQ1N1P/P4PP1/R1B2RK1 b - -,a8b8
3rr2k/1p5p/p1b3p1/2P1pp2/PP5q/3B1P2/2QN2P1/3RR1K1 b - -,h4d4
r1bqkb1r/pp3ppp/1np1pn2/8/8/5NP1/PPQPPPBP/RNB1K2R w KQkq -,e1g1
8/1k6/1pr1p3/5p1p/P1B1bP2/K3P1P1/1r6/4R1R1 b - -,b2c2
r2q1rk1/ppp1ppbp/1nn3p1/2Q5/3PP1b1/2N1BN2/PP2BPPP/2KR3R b - -,d8d6
r4rk1/pq2ppbp/n1p1bnp1/1p2N3/2pPPP2/P1N2B2/1P3BPP/2RQK2R b K -,a8d8
8/4qpkp/3r2p1/p2Q1P2/3p4/2bB2P1/P1P4P/3R2K1 w - -,d5e4
r2qr1k1/p5pb/2ppnp1p/2p1pN2/4P1PP/1PPP4/P3QPN1/2R2RK1 w - -,e2d2
3rr1k1/4bppp/4pn2/1N1p4/1P2n3/6PP/PBN1RP1K/3R4 w - -,f2f3
r1b1k2r/1pqp1ppp/p3p1n1/2b5/P3P1n1/2PB1N2/1PN2PPP/R1BQ1RK1 w kq -,d1e2
8/R7/4pk2/3b1p1p/P6P/5NP1/6P1/1r4K1 w - -,g1f2
4qb1k/1r3p2/2n1pP1p/3p3P/1p1P1Q2/5R2/rP1B1PP1/2R4K b - -,c6e7
r2qk2r/2pb1pbp/p4np1/1p2p3/4P3/1BP5/PP3PPP/RNBQR1K1 w kq -,c1e3
r3r1k1/2p2pb1/1p2p1p1/p2q2Bp/3P3P/P1P1Q3/1P3PP1/3RR1K1 b - -,a5a4
8/8/pK6/7k/8/1P6/P1b5/8 b - -,c2d3
3r3k/ppp3bp/6p1/4R3/2Bp4/6PP/PPP2P2/R5K1 b - -,g7e5
