8/p6k/R7/7p/rN3K1P/4P3/6Pn/8 b - -,a4b4
rn1qr1k1/p2b1pbp/3p1np1/1NpP2B1/Q7/3B1N1P/PP3PP1/R4RK1 w - -,a4f4
3Q4/5pk1/2q5/1p1p2P1/5K2/8/8/8 w - b6,d8b8
2r1k1nr/1pqbbp1p/p2pp1p1/P7/4P3/1NNQ3P/1PP2PP1/R1BR2K1 b k -,d7c6
5rk1/pp4p1/2b1R1Bp/8/3P4/P1P5/6PP/6K1 b - -,c6b5
rn2k1nr/pbppq1pp/1p2p3/5p2/1bPPP3/3B1N2/PP1B1PPP/RN1QK2R w KQkq f6,d1e2
rnq2rk1/p1p2ppp/bp2pn2/3pN3/3P1P2/2N2Q2/PPP2PPP/2KR1B1R w - -,g2g4
r1bq1rk1/bp3pp1/p1n1pn1p/3p4/4P3/P1PB1N2/1P1NQPPP/R1B2RK1 w - -,d3c2
rnbqk1nr/pp3ppp/4p3/2bpP3/8/2P5/PP3PPP/RNBQKBNR w KQkq -,b2b4
1r1q1rk1/4ppbp/2n3p1/1p1p1b2/1P1P4/2N1PNP1/1R1Q1PBP/5RK1 w - -,f1c1
r1br4/pp3p1p/3p2k1/7N/8/1P6/P3pPPP/R3R1K1 w - -,h5f4
r1b1kb1r/pppp1ppp/6n1/2qNP3/4Q3/8/PPP1BPPP/R1B2RK1 b kq -,f8e7
2r1r1k1/1b2qpb1/1p3np1/pPnp3p/3N4/P1N1P2P/1B2BPP1/1QRR2K1 b - -,f6e4
r3r1k1/1q2bpp1/R2p3p/4p3/4n3/2P2N2/1P2QPPP/R1B3K1 b - -,a8a6
1rr2k2/5pNp/5R2/p2p4/Pp3P2/1P3K2/2P4P/5R2 b - -,f8g7
r3kb1r/pp1b2pp/2n1pp2/3pB2n/3P4/P1NBPN2/1PQ1KPqP/R6R w kq -,e5g3
1r2r2k/p1q3p1/2P1bn1p/1pR1Np2/3p4/1N3QP1/P3PP1P/R5K1 w - -,b3d4
r5k1/5p2/4b1pp/1Np5/3pP3/PP5P/3bBPP1/2R3K1 w - -,c1c5
r1bqr1k1/pppn1pbp/2np2p1/8/2PNP3/2N1B3/PP2BPPP/2RQ1RK1 w - -,d1d2
6R1/8/p1r5/1p3k1P/1P6/P5K1/8/8 w - -,g3h4
1r1n2k1/p1r1bp1p/B1P3p1/1P2pb2/p7/P3BP2/K2R2PP/3R4 w - -,a6b7
5rk1/q4pb1/7p/p4p2/2p3Q1/2P5/PP3RPP/4R1K1 w - -,g4c4
6k1/p4p2/3q1n2/2p2Rp1/P1Pp4/3Br1P1/Pr4P1/R2Q2K1 w - -,f5g5
8/4k3/5pp1/3p3p/3P3P/4PKP1/1r3P2/R7 b - -,e7e6
8/8/4B3/4np1p/4p1k1/4K1P1/8/8 b - -,e5f3
r1bq1rk1/pp3ppp/2nb1n2/8/3P1p2/2N2N2/PPP1B1PP/R1BQ1RK1 b - -,a7a6
4r1k1/1pp1q1bp/3n2p1/1P1Pp3/1B2rp2/4P1P1/1QN2P1P/R4RK1 b - -,f4f3
1r6/r6p/3pk1p1/p1p5/R2pP3/1P1K1P2/P5PP/1R6 w - -,b1c1
rnbq1rk1/1p3pbp/p2ppnp1/8/P3P3/1NNB4/1PP2PPP/R1BQ1RK1 w - -,a4a5
rnbqk2r/p3ppbp/3p1np1/3P4/1pP5/1P6/1N2PPPP/R1BQKBNR b KQkq -,e8g8
8/6pp/8/6B1/4kPb1/4n1P1/5K2/8 w - -,g5d8
r4rk1/p3Qnpp/2p5/7b/N2bP3/7P/PPP3P1/5R1K w - -,c2c3
r2q1rk1/5p1p/p1Q1p3/1p2np2/Pb1N4/2N1P3/1P3PPP/R4RK1 w - -,c6b7
r1bqk1nr/ppp3b1/2np2pp/4pp2/2P5/2NP1NP1/PP2PPBP/1RBQK2R w Kkq f6,e1g1
r3r1k1/1q2bp1p/2bpp1p1/ppP1n2n/4PB2/4N3/PP1NQPPP/1BR2RK1 w - -,f4e5
5bk1/5r1p/1R1n1p2/pn4p1/3P1B2/3BPN1P/5PP1/6K1 w - g6,f4g3
r1b1k2r/1p3pp1/pqn2n1p/4p3/3pP3/1N3P2/PPPQBNPP/R3K2R b KQkq -,c8e6
r1bqk2r/1p3pb1/p6p/3pp3/4NP2/8/PPPQ2PP/R3KB1R w KQkq -,e1c1
8/6k1/6P1/5P2/5NK1/8/8/b7 w - -,f4d5
2rq1rk1/pb1nbppp/5n2/2pp4/8/1PN2NP1/PB2PPBP/2RQR1K1 w - -,f3h4
8/p2N4/8/p3p3/P3P1pk/1P6/6K1/4b3 b - -,e1c3
5k2/R4ppp/8/p3r3/1p6/1P6/5PPP/5K2 b - -,g7g5
r4r1k/1p2Nppp/p3pn2/3p4/Q2P2b1/2P1q3/PP1NB1PP/R3K2R w KQ -,a4d1
r2q1rk1/3b1p2/5npQ/P3p2p/1p2p2P/4NPN1/1PP3P1/R3K2R b KQ -,e4f3
r2qk2r/pp3ppb/1npbpn1p/8/3P1N1P/1BP3N1/PP3PP1/R1BQ1RK1 w kq -,d1f3:f4h5
3r2k1/1bq1bppp/2n1p3/3pP1P1/r4P2/pNP1QB2/2P4P/R2R2BK b - -,d8c8
rr4k1/1p3pbn/q1n3p1/1R2p1p1/2NpP3/1Q1P3P/5PP1/2B1RBK1 b - -,a6a2
8/5k2/8/8/8/p5R1/r5b1/3K4 b - -,g2d5
2r3k1/1qr2p2/4p1p1/pp1p2Pn/3P1P2/PP2P3/2R3Q1/2RN2K1 b - -,b7b6
r1bqkb1r/ppp2ppp/2np1n2/3Pp3/2P5/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,c6e7
r2q1rk1/1ppn2pp/p2pp3/8/3bP3/1PNPB3/1PP1Q1PP/3R1RK1 b - -,f8f1
r4rk1/5pp1/2q1p2p/4P3/p2R4/2P1Q1P1/5P1P/R5K1 w - -,e3e4
2rqr1k1/p3bppp/bp6/2pPn2n/2p5/1PN1B1P1/P1QN1PBP/R2R2K1 w - -,d5d6
2r2r2/3qp1bk/6pp/Pp1p1p2/7P/B2PP1P1/P4PB1/1Q2R1K1 w - -,d3d4
2rr2k1/pbqn1p2/6p1/3Pp3/2N5/1P4P1/P2R1QBP/3R2K1 b - -,b7a6
2Q2bk1/pp3ppp/4nBq1/8/8/1P3NN1/P4PPP/6K1 b - -,g6b1
r1b2rk1/3p2pp/p3q1n1/2pN1pPQ/8/4B3/PPP3PP/R4RK1 w - -,c2c4
r1bqr1k1/pp1n2pp/1bp1pn2/3pNp2/2PP4/1P1BPP2/PBQN2PP/1R3R1K b - -,f6h5
8/5pk1/4r1p1/p2Q3P/q7/6P1/5P2/3R2K1 w - -,h5g6
r4rk1/p1q1ppb1/1pp1b1pp/2p1P3/5B2/3P1N1P/PPP1QPP1/R3R1K1 b - -,a8d8
2q2k2/1p6/4p2Q/p2pP1p1/P2P4/1P6/2n1N3/6K1 b - -,f8e8
r1bq1rk1/1p1nbppp/p3p3/2p1N3/2BP4/2P1P1B1/P3QPPP/2R2RK1 w - -,e5d7
5k2/2R5/4K3/1P6/2P1B3/1r2b3/8/8 w - -,c7c8
8/6k1/5p2/P3p2p/7P/2Q2PP1/4q3/6K1 w - -,f3f4
2Q5/1P6/5k2/6pp/8/6P1/1P6/1K1q4 w - -,c8c1
2rr2k1/pp1qbppp/2n1pn2/3p4/3P4/2NBP2P/PP1BQPP1/2RR2K1 w - -,a2a3
2r3k1/pp5p/4p1p1/3qP3/3p1P2/1Q3R1P/PP4PK/8 b - -,c8c4
1r6/4pk2/b2p1npb/p1pP4/2P2N2/6qP/P1NQ2B1/5RK1 b - -,a6c4
r1bq1rk1/pp3pbp/2np1np1/2P1p3/8/2P1PN2/PP1NBPPP/R1BQR1K1 b - -,d6c5
r1b3k1/pp1n2pp/2n1p3/3pP3/3P4/P2B4/1P1NN1PP/R3Kr2 w Q -,e1f1
4k2r/p7/2p1bp2/4p3/2P1p1Pp/b1N5/2P5/1K4RR b k -,a3c5
r1bq1rk1/pp1nbppp/2pp1n2/4p3/2PPP3/2N1BP2/PP2N1PP/R2QKB1R w KQ -,d4d5:d1d2
2kq1rn1/6Q1/2bpBP2/1p2p3/3pP3/3P1R2/1PP1N2P/6K1 b - -,c8b8
r2qkb1r/pb3ppp/2p1pn2/1pp5/4P3/2NP1N2/PPP2PPP/R1BQ1RK1 w kq -,f1e1
r3r1k1/p2n1ppp/1ppq4/8/3Pp3/2R1P1N1/PP3PPP/3QR1K1 b - -,c6c5
4k3/R4p2/8/P5pp/8/1KP5/2P5/6r1 w - -,b3b2
6Q1/p7/1p2kr2/1b1qnp2/8/BP4P1/P3RP1P/6K1 b - -,f6f7
7Q/8/6pb/7k/8/7q/5P2/6K1 w - -,h8e5
rn1qkb1r/p4ppp/bp2p2n/2ppP3/3P1P2/2N1BN2/PPPQ2PP/R3KB1R w KQkq -,c3b5
2r1r1k1/1p1n1ppb/4pq1p/2p5/1p6/P2PQNPB/2P1RP1P/1R4K1 w - -,a3b4
7r/4ppk1/p2p1np1/3P4/1qr5/1N5P/1PP2QPK/4RR2 w - -,h2g1
2kr1b1r/Bpp1qppp/6b1/3pP3/6P1/2P4P/PP1nQP2/R3KB1R w KQ -,e1d2
r5k1/pp1r2pp/1bp5/5p2/5N2/1PP5/PB1nRPPP/R5K1 w - f6,h2h4
r1b1k2r/2q1ppbp/p2p2p1/PpnP2P1/2pNP2R/2P4Q/1P1NBPP1/R3K3 w Qkq -,h3e3
