3k4/4Rp2/r2P1Pp1/3P3p/8/8/7P/7K w - -,e7f7
r1bq1rk1/pp2ppbp/2np1np1/2p5/2P5/2N1P1P1/PP1PNPBP/R1BQ1RK1 w - -,a1b1:d2d4:d2d3
3n1k2/1p1b2pp/p1p5/2P2p2/1P5P/P2B1PP1/1B3K2/8 w - -,f2e3
8/r4p2/4p1p1/1B2k2p/P1R5/3K1P1P/5bP1/8 b - -,g6g5
r4rk1/1q2bppp/2b1p3/1p2B1P1/p7/1PN1Q3/PP3P1P/1K1R2R1 w - -,b3b4
r3k2r/ppqb1ppp/4p2B/2b5/6nQ/3B1N2/PPP2PPP/R3K2R w KQkq -,h4g4
1r2r1k1/2q1bpp1/p1bp1n1p/2p1p3/2P1P3/1PN1B1PP/P1Q2PB1/R3R1K1 b - -,c7b7
r5k1/2R1pp1p/6p1/pp2r3/3p4/6P1/P3PP1P/R4K2 b - -,a8d8
2r2rk1/p5pp/1p2R3/2b2p2/2Ppb3/1P1B4/PB2RPPP/6K1 w - -,d3e4
2b2r2/4Npk1/pq1p1bp1/3P4/r7/2P1R1Q1/P3B1PP/5R1K b - -,f6e7
8/1p1b4/3nk1pp/p2pBp2/3Pp3/1PK1P3/P3BPPP/8 w - -,g2g4
r4r1k/pp1n2pn/1qpb2p1/5p2/2BP1P1B/8/PP4PP/R2Q1RNK w - -,d4d5
r4rk1/1q2bp2/4p1pp/p2n4/1P1BQ3/2P2P2/1PB2P1P/R2R2K1 w - -,c3c4
8/4kp1p/1R4p1/1p2P3/2bB2PP/2P3K1/7r/8 b - -,h2d2
1rq4k/5pb1/p3n1p1/1pp1P2p/5P1P/1P4P1/PBQ3K1/3RR3 w - -,f4f5
r1bqr1k1/1p2bppp/p1np4/2n1pN2/4P1P1/2N1B2P/PPP2PB1/R2QK2R b KQ -,e7f8
2r3k1/pq3ppp/4pb2/8/1BB5/3Q3R/1P3PPP/6K1 b - -,h7h6
r1bqrnk1/pp3pp1/3p1n1p/3pp3/2P4B/P1NBP3/1PQ2PPP/R4RK1 w - -,h4f6
rn1n1r2/1b1p1pkp/p2Rp1p1/1PN5/4P3/5N2/PP2BPPP/R5K1 b - -,a6b5
8/8/8/8/3p1R2/1r4P1/3K2kP/8 w - -,f4h4
4b3/ppr1k1pp/4pp2/3nN3/3P4/P2BP3/3K1PPP/R7 w - -,e5c4
1r4k1/2Rn1pp1/5nbp/3p4/rq1N4/4PN1P/4BPP1/2Q2RK1 b - -,b4d6
8/1p6/p1pk1p2/4n3/PP3p2/3q4/5PP1/3BQ1K1 w - -,d1e2
rn1qk2r/1b2ppbp/p2p1np1/8/Pp1NP3/3BBP1P/1PP1N1P1/R2QK2R b KQkq -,a6a5
8/1p6/7P/4k3/p2pb3/P7/3K4/4r3 w - -,d2e1
r6k/1p1Q2p1/2p2p1p/p3q2P/2PR1n2/PP3P2/6P1/5BK1 w - -,d4e4
3r2k1/pp3p1p/6p1/3P4/8/1P1q2P1/PQ3P1P/4R1K1 w - -,e1e5
8/5pbp/1p2k3/p3P3/2PPn1p1/8/1N4PK/5R2 w - -,b2d3
r1n2k2/5pb1/q7/p3PP2/1p1p2Q1/1P1P4/P3R1N1/4B1K1 b - -,a6d3
8/6p1/p3k2p/1p1b4/8/P1P1KPP1/2P4P/8 b - -,e6e5
3rr2k/ppp2ppp/5N2/5BPQ/3n1q2/P7/1PP3KP/R6R b - -,e8e2
rnbq1rk1/pp3pbp/2p1p1p1/2P5/2BP1B2/1QP2N2/P4PPP/R4RK1 b - -,b8d7
3rr1k1/1qn1pp1p/p2p2p1/P1p1b3/4P3/1PP1NP2/R3N1PP/1R2Q2K w - -,c3c4
r1bq1rk1/1p2ppbp/p2p1np1/4n3/P2NP1P1/1PN1B2P/2P2PB1/R2Q1RK1 w - -,g4g5
1r2r1k1/1p3pp1/1p1p2np/2P1p3/Q1P5/P2PPPPq/3B3P/1R3RK1 b - -,b8a8
8/1R1r2kp/2p2pp1/p7/P1P5/3r2P1/5P1P/1R4K1 w - -,b1b6
r1r1bk2/pp3pp1/2nq3p/3B4/8/5N2/PP3PPP/2RQR1K1 w - -,a2a3
3k1b1r/1p2p2p/p4n2/2p1pN1p/2B1P3/5P2/PPP3P1/2K4R b - -,f6e8
7k/2p3p1/3b3p/1P1Qq2P/3N4/6P1/5PK1/8 w - -,d5e5
r1bqkb1r/pp1npp1p/2p2np1/8/2pP4/5NP1/PPQ1PPBP/RNB2RK1 b kq -,d7b6
1Q2k3/p7/8/3p1pBp/4q2P/8/2r2PPK/8 b - -,e8d7
r5k1/3ppn1p/8/5Np1/n7/2PK2B1/P1P3PP/1R6 b - -,g8f8
r4rk1/1pqb1pbp/p1np2p1/4p3/2P1PB2/1PNB1Q1P/P4PP1/2RR2K1 w - -,c3d5
8/8/4P3/B7/2nk1pPp/7P/3p4/3K4 b - -,f4f3
r3kb1r/pppn1ppp/6q1/3PpbB1/Q1P5/2PB1N2/P4PPP/R4RK1 b kq -,f8d6
r2q3k/1p1bnBb1/p2p2pp/2p1np2/P3P2Q/2NP4/1PP3PP/R1B2RK1 w - -,f7a2
r1bqrbk1/1pp2ppp/pnn5/4p3/1P6/P1NP1NP1/1B2PPBP/1R1Q1RK1 b - -,a8b8
r5k1/5ppp/pn6/1ppp2N1/5P2/PPP4P/5KP1/3R4 w - -,d1e1
8/2k5/5KP1/r7/5P2/p2R4/8/8 w - -,g6g7
2rr4/3n1kpp/1bB1p3/pP2Pp2/P4P2/3p4/3B2PP/1R3R1K b - -,d7c5
1r1r4/5pp1/P3pk1p/4b3/4Q3/B1q2P2/4KP1P/R2R4 w - -,a6a7
4r1k1/2q1rp1p/bp1b1np1/p1pp4/P2P1P2/2P3NP/1P1B1RP1/R2Q2NK b - -,h7h5
5k2/p5R1/2p5/1p2B1P1/5K2/8/qP6/8 b - -,a2c4
7R/1r4p1/p4p2/3k4/P2B1P2/1PbR1P2/2r4P/5K2 b - -,c3d4
3q1r1k/1p1n1pbp/2p3p1/1nP1p3/1PNpB3/1Q2P2P/1B1P1PP1/5RK1 w - -,e3d4
4k3/2R2p1p/4p1p1/1P2p3/8/5P1P/r5P1/5K2 b - -,a2b2
5k2/p2r4/1p3P1p/2pp4/5RPP/1P1Q4/P5K1/4q3 b - -,e1e5
r1bq1rk1/pp2ppbp/1nn3p1/1B6/3P3Q/2N2N2/PP3PPP/R1B1K2R w KQ -,b5c6
2r5/1p3pk1/p2q1np1/3NRp1P/P1P2P2/1P5P/1Q6/6K1 b - -,g7h6
r1b1k2r/pp5p/1qn1pp1b/3p4/Q3PpP1/2N2N1P/PPP2P2/2KR1B1R b kq -,b6f2
8/2R1bk1p/4bp2/8/4P3/1p5P/r5P1/1R5K b - -,f7e8
8/8/6p1/1p5p/p4R1P/P1Kbk1P1/8/8 b - -,d3e4
2rr3k/pp4pp/5pn1/3p4/nq1P4/P1N2NQ1/1PP2PPP/1R2R1K1 b - -,b4a5
2N5/4R3/2p3p1/Pb6/1r4k1/8/5K2/8 w - -,c8d6
r1bqk1nr/1p2ppbp/p1np2p1/2p5/P3P3/2NPB1P1/1PP2PBP/R2QK1NR b KQkq -,g8f6:e7e6
r1bq1rk1/ppn1ppbp/3P2p1/2p5/2Bn4/2NPBN2/PPP2PPP/R2QR1K1 b - -,e7d6
8/K1q2ppk/4p2p/p7/8/P7/bRP4P/2Q5 w - -,b2b7
r1bqkb1r/1p3pp1/p3pn1p/8/2Bp3B/5N2/PPP2PPP/R2Q1RK1 w kq -,d1e2
8/3k1pp1/4p2p/8/3K2P1/5P1P/8/8 b - -,d7d6
2r5/5p1r/p4p1P/3p1P2/1p2pkPR/1P5R/P1PK4/8 w - -,c2c3
8/8/1p2rpp1/p1k5/P1PqP2p/1P1p3P/3Q2P1/1R5K b - -,c5c6
1b2q1r1/4r2k/p1p1p2n/P1R5/1P1P1p1P/4R1P1/4QPB1/6K1 w - -,g2e4
r3k3/5pb1/pqb1p1p1/3pP2r/1p1n1PQP/7R/PPP2B2/1K1R1B2 b q -,c6b5
2rr2k1/1p3p1p/p1bpp2P/4n3/1PP1P1pq/PB2Q1N1/5PP1/2RR2K1 b - -,g8h8
r2q1rk1/2p1bbpp/p5n1/1pP1p3/2N1P3/1P2BN1P/2Q2PP1/R2R2K1 b - -,d8e8
1R6/5pkp/3p2p1/2n1qp2/2PbP1P1/Q7/P3KPB1/8 b - -,f5g4
7r/1pkrbppp/2p1p1b1/p7/2PPN1P1/P4P2/BP5P/3R1RK1 w - -,e4c5
r1bqk2r/p3bpp1/2pp1n2/np2p1Bp/4P3/1BNP1Q1P/PPP1NPP1/R4RK1 b kq -,h5h4
r2qk1nr/pp2ppbp/3p2p1/2pP4/2PnP3/2N1BP2/PP2N2P/R2QKB1R b KQkq -,d4f3
5rk1/p3Qpbp/6p1/4q3/8/5B2/Pr2NPPP/5RK1 w - -,e7a7
r1b2rk1/pp2ppbp/1qn2np1/2pp2B1/3P4/1QP1PN2/PP1NBPPP/R3K2R w KQ -,e1g1
8/1p6/2k5/P7/1PNK4/4P3/8/3b4 w - -,c4a3
r1bq1r2/1p4bk/3pn1pp/2pNp3/1PP1Np2/3PP1P1/5PBP/1R1Q1RK1 b - -,a8a3
2rq4/1R6/1pPp1npk/1P2p1n1/2P2p1p/2QB1P2/6PP/R6K b - -,g5e6
2r1kn2/pp1bq2p/4p1p1/2PpPr2/1P5P/PB1Q1NP1/6K1/R4R2 w - -,a1e1
