8/8/3Q3p/p7/8/K1k5/3q4/8 w - -,d6c6
r3r1k1/1pq1bppp/p2pbn2/3N4/P3PR2/3B4/1PP3PP/R2Q2BK b - -,e6d5
8/3Qn2k/1p5p/pPp2pnN/P1Pb4/4q2P/5BB1/7K b - -,e3f2
r2qr1k1/pp4bp/n1ppb1p1/5pNn/2P2B2/2NQ2P1/PP2PPBP/R4RK1 w - -,g5e6
3r4/1p3ppk/p6p/8/1P2q2P/P2pB1P1/3Q1P2/6K1 b - -,d8c8
8/8/5R2/8/5PPK/r4k2/8/8 w - -,h4g5
r5k1/pp3pB1/6p1/6Np/2q5/7Q/P4PPP/R5K1 b - -,g8g7
r3r1k1/1p3pbp/3p2p1/p1PP4/qP2p3/B3Q1P1/P4P1P/2R1R1K1 w - -,e3b3
r2qk2r/1b1nppbp/p2p2p1/P2n4/1pPP4/1N3N1P/1P1BBPP1/R2QK2R b KQkq c3,b4c3
rnb1k2r/1pqnbp1p/p3p1pB/4P3/6Q1/1NNB4/PPP3PP/R4RK1 b kq -,b8c6
1rbqk2r/p2pppbp/2n2np1/1p6/4P3/2N3P1/PPP1NPBP/R1BQ1RK1 b k -,e8g8:d7d6
5r2/8/5Ppk/pp5R/4K3/P7/1P3R1P/8 b - -,g6h5
2b1nrk1/r6p/1p1P1qp1/p1p1QnN1/P1P4P/1P1N4/4RPB1/4R1K1 w - -,e5e8
1n1q1rk1/r1p2p2/pp3n1p/3p1bp1/B2P4/P1Q1PP2/1P2NBPP/R3K2R w KQ -,e2g3
3r2k1/pb2qpp1/1pnr3p/2p5/6R1/P3PN2/1Q1P1PPP/3R1BK1 b - -,e7f6
2rq1rk1/1b1nbpp1/pp1pp2p/8/P3PPP1/2N1B2P/1PP1Q1B1/3R1RK1 w - -,d1d2
r4rk1/1bq1bpp1/p4n1p/1pppnPN1/8/3P2PN/PPP3BP/R1BQ1R1K w - -,g5f3
r1bq1rk1/p3ppbp/2p3p1/8/4p3/3BB2P/PPP2PP1/R2Q1RK1 w - -,d3e4
r2qrnk1/pp2bppp/2p2nb1/8/5Q1N/P1NP4/1PP1BPPP/R3R1K1 w - -,h4f5
B3kb1r/3n1ppp/1rp1pn2/8/8/2N3P1/P2PPP1P/R1B1K2R w KQk -,a2a4
2r1r3/pp2k1p1/2n2p1p/2b5/3pPB2/1B6/PPP2PPP/3RR1K1 w - -,b3a4
2br3r/6k1/p1p1p3/1pNn2RP/3PBP2/8/P1R3P1/6K1 b - -,g7f8
r1bq1rk1/ppnnppbp/3p2p1/2pP4/2P1PP2/2N1BN2/PP2B1PP/R2Q1RK1 b - -,b7b5
r4rk1/1bp1q1b1/p3pnPp/1p3NB1/6R1/2P5/PPB1QPP1/5RK1 b - -,e7e8
1k1r3r/1pN4p/p1q2p2/1np2N2/4PBpP/8/P1Q3P1/3R2K1 b - -,b5c7
r1bqkb1r/pp3pp1/2n2n1p/3p4/4p3/2NP2PN/PP2PP1P/R1BQKB1R w KQkq -,d3e4
8/2p2kb1/2n1p1pp/n1Pp1p2/2rP1PP1/4BB1P/5PK1/2NR4 w - -,f3e2
3rr1k1/pb2qpp1/7n/1p2P3/2pbNPPp/7P/PPB1Q1K1/R1B2R2 w - -,g4g5
8/8/8/1b1P4/3k4/P3N1p1/3K2P1/8 w - -,d5d6
r3kb1r/pp1npppp/2p5/2P2b2/1P1PnB2/2N4P/1P3PP1/R3KBNR w KQkq -,b4b5
2r2rk1/p6p/1p2qBp1/4P3/3Q4/2P5/P4PP1/3R2K1 w - -,d1d3
r1q1rbk1/pp1b1pp1/2n2n1p/3p4/3N4/2N1B1PP/PPQ1PPBK/3R1R2 w - -,f1e1
r2r2k1/pp3ppp/1b1P1n2/3N4/7q/7P/PPQ2PB1/4RK1R w - -,d5e7
1r3r1k/ppp3pp/3p4/PPn5/2PNPpn1/2BP1P1q/3K3P/R2Q3R w - -,d1f1
r1bqk2r/ppp1bp2/1nn5/4p3/1P4pp/P1NP2P1/1B1NPPBP/R2Q1RK1 b kq -,h4g3
r1rb2k1/1p2npp1/q3p2p/3pP2P/p2P2P1/PRR2N2/1P1B1P2/3Q2K1 w - -,c3c8
3q1rk1/1p3p2/r2pb1pp/pN1Np1b1/P3P3/1P1Q1P2/1P4PP/R3R1K1 w - -,g2g3
rnbq1rk1/ppp2pbp/3p2pB/4n3/4P3/2N5/PPPQ1PPP/R3KBNR w KQ -,h2h4
r3r1nk/pb1nq1pp/4pp2/1p1pP3/2pP1PP1/2P4P/PPBNQ3/R3NRK1 w - -,e1g2
4r1k1/2p3pp/pr5q/4NQ2/3P1b2/2P2P2/PP3P1P/R3R1K1 b - -,h6h2
r4rk1/1p5p/2bp2p1/p3bp2/P3pB2/1P5P/2PRNPP1/3R2K1 w - a6,c2c4
5b1r/8/1R3n2/2p4p/Pp2B1pk/1K6/1P3PPP/8 w - -,b6f6
1q1r2k1/1br1bppp/1p1Np3/p3P3/1n1N4/1Q5P/PP3PPB/R2R2K1 w - -,d4e6
5b2/5kpp/R1N2p2/4P3/1P6/p1rBP1Pb/5K1P/8 w - -,d3h7
q3k2r/rb3pb1/pp1pp1pp/2p5/P2PP1P1/2PB1NP1/1P2QPK1/4R2R b k -,b7c8
r1bnk2r/ppp1q3/3p4/3Bp1b1/1P1PPpp1/1NP2P1p/P1QN2PP/R3RK2 w kq -,g2g3
3Q4/6k1/p5p1/2P1Pp2/1p1P4/7P/P2q1PPK/8 w - -,d8c7
r4r2/1pp2pkp/1nnp1Qp1/8/p3PP2/1P6/P1P1NNPP/2KR1R2 b - -,g7f6
r4rk1/2qnppbp/pp1p2p1/2pP3n/P1N1P3/2N4P/1PP1QPPB/R4RK1 b - -,c7b7
7k/1b4p1/pp1r1n1p/8/2B1p2P/P3N3/1P3PP1/5RK1 w - -,f1d1
br4k1/brqn1p1p/p2p2p1/P2Pp3/2P5/1N1B1P2/2QB2PP/1R2R2K b - -,f7f5
r1bqnbk1/5r2/1p1p2n1/pN1Pp1pp/4Pp2/5P1N/PP2B1PP/2RQBRK1 w - -,g1h1
6k1/4R1p1/7p/1p2R3/1P4rP/P7/r7/7K b - -,a2a3
3Q4/8/3p3k/pP2p3/P2pP1p1/3N1qP1/7K/8 b - -,f3e2
6k1/4pp1p/3p2p1/P1nP4/2pqPP2/1r3KPP/R1QB4/8 w - -,f3g2
r1b1r1k1/1pqnppbp/p2p1np1/2pP2B1/P1P1P3/2N2N1P/1P2BPP1/R2QK2R w KQ -,e1g1
1r1q1rk1/1p2np1p/p2pB1p1/P2Np1b1/4P3/1NP5/1P3PPP/R2QR1K1 b - -,f7e6
8/8/5r2/8/R2nk3/8/6K1/8 b - -,f6b6
3r1rk1/pb1q2p1/1n2p2p/PP3p2/1Pp1PP2/3p2P1/5NBP/1RQ1R1K1 w - -,c1c3
rn2kbnr/1bq2ppp/p2pp3/1p6/3NP3/2N2B2/PPP2PPP/R1BQ1RK1 w kq -,f3h5:f1e1:g2g3
8/7k/1R6/5p2/7P/1pr2PK1/6P1/8 w - -,g3f4
8/6k1/4R3/7p/r4K1P/6P1/8/8 w - -,e6e4
7Q/5r2/p5r1/2P3k1/5p2/5K2/1P6/8 b - -,f7f6
r5k1/ppr2pbp/1q2pnp1/3pN3/3P4/2N5/PPPQ1PPP/1R2R2K b - -,a8c8
8/8/4p3/p5k1/2p2rB1/1pP3K1/1P2R3/8 b - -,f4g4
8/4p2p/p5k1/2pB2P1/4P3/3K4/P5PP/1n6 w - -,h2h4
r2qk2r/1b1nbpp1/p1n1p3/2ppP2p/1p3PP1/2PP1N2/PP2N1BP/R1BQ1RK1 w kq h6,g4h5
2r2rk1/p5pp/4R3/2pQ1bq1/3p4/6N1/PPP3PP/R5K1 b - -,g8h8
4k3/5p2/P7/2p1Q2p/4K1p1/8/7P/2q5 b - -,e8f8
6k1/4pp2/4b3/p6q/3Q4/1P4p1/1r3P1P/1B3RK1 w - -,h2g3
8/1p5p/p3pk2/7p/2P5/6rP/PP2R1P1/4K3 w - -,e2d2
4rb1r/pp1k1ppp/2pn2q1/3p4/1P1P4/2NbB3/P1P1QPPP/3RR1K1 w - -,d1d3
r1b2nk1/pp2q2p/2p1p1p1/3pP2r/2P1PP2/1P3PQB/P6P/2BR1R1K w - -,h3g4
rn3rk1/pb2qppp/1pp1pn2/3p2P1/2P5/bPN1PN2/PBQPBP1P/R3K1R1 b Q -,f6d7
rn2kbnr/pp2qppp/2pp4/4p3/2B1P1b1/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,a2a4
2r5/2r3b1/3kp2p/1B1p2pR/P7/6P1/2P1R2P/7K w - -,b5d3
3q1rk1/pp2ppb1/1nb3p1/7p/3pN2P/1Q1P2P1/PP1NPPB1/2R3K1 b - -,e7e5
5r2/2R2k2/3r1p2/1N1P4/Pq3PQ1/1P3PPp/7K/8 b - -,f7e8
r5k1/1p3ppp/p1n1b3/2B5/8/5PP1/PP4BP/3R2K1 b - -,e6a2
r2qkb1r/pp2pppp/1Np1bn2/4B3/3P4/2N2Q2/PPP2PPP/R3KB1R b KQkq -,d8b6
2krr3/1bppqpb1/1P5p/p2Rn1p1/8/P1Q2NPP/1P2PPB1/R1B3K1 b - -,e5f3
2bk4/4b3/p1pnp2p/5p2/5N2/2PB4/PP5r/3KRR2 b - -,e7g5
8/5p2/3k1P2/6PK/4R3/8/8/2r5 w - -,h5h6
