8/1p4K1/3b3p/2k1p3/5pPB/5P2/8/8 b - -,c5d5
r2q1rk1/pppbnpbp/3p2p1/3Pp3/8/3PP1P1/PP2NPBP/R1BQ1RK1 w - -,d3d4
rnb2r2/1p2ppkp/p2p1np1/q2P4/3N2P1/2N4P/PPPQ1P2/R3KB1R b KQ -,b7b5
2r5/6k1/p4p2/6p1/5pP1/2Pq4/PP5Q/K6R b - -,c8d8
b1nr1rk1/p1R2pb1/1p3qp1/1P1p3p/1Q1pPN1P/P2P1PPB/4N2K/1R6 w - -,b1c1
8/pp3k2/4n3/3N4/6RP/1PK2P2/5r2/8 b - -,f2f3
8/2R4k/4PKn1/8/4b3/8/8/8 b - -,h7g8
r2q1rk1/pp3ppp/1nnp4/8/6b1/2Q1PN2/PP2BPPP/RN3RK1 b - -,a8c8
rnbqk1nr/ppp2ppp/8/8/1bpQP3/2N2N2/PP3PPP/R1B1KB1R b KQkq -,d8d4
r4rk1/ppq1bppp/n1p1pn2/5b2/PP1P4/2N2NP1/2PB1PBP/1R1QK2R w K -,b4b5
r1b4r/1p2k2p/1npR1pp1/p1n1p3/P3P1PN/2N1P2P/BPP5/2KR4 b - -,c8e6
8/p5p1/P4p2/3Qbk2/8/2r3P1/4K2P/8 b - -,c3c2
r3r1k1/5p1p/2p3p1/5nPP/pq6/2N1P3/PPQ2P2/2KR3R w - -,h5g6
r4r2/pppb1p1k/3p1qn1/3P2p1/2PQPpP1/2N2P2/PP2B3/2KR4 w - -,d4f6
r2q1rk1/pp2bppp/1n6/3pNb2/1npP4/2N1B1P1/PP2PPBP/2RQ1RK1 w - -,b2b3
2r5/7p/P3k3/6p1/1P3b2/1KP4R/7P/8 b - -,c8c7
r3k2r/1p6/p4Qp1/2bP1b2/1P4p1/7P/P1P5/R4R1K b kq -,h8h3
1r6/1bqr1pk1/3ppbpp/p1p5/P3PP1P/RPP1N1P1/2Q3BK/3R4 w - -,d1d2
1r4k1/1rqb1pp1/2pb1n1p/3p4/P3p3/1NP1P2P/1B1NQPP1/RR4K1 w - -,e2d1
r2r2k1/pq1n1pp1/2pBp2p/2b5/QP6/2P2N2/P4PPP/3R1RK1 b - b3,d7b6
3rr1k1/1p3pb1/2bq2p1/2n4p/pRPpP3/P2B1NNP/2Q2PP1/4R1K1 b - -,e8e7:c5a6
8/p1p4k/3pR2p/BP5r/2P1n3/8/8/7K w - -,h1g2
2rr1nk1/pq3p1p/b5pQ/1N2N3/P3P2P/3p4/1P3PP1/R2R2K1 b - -,b7e4
r3k2r/2qp1pp1/ppb2n2/2b1pP1p/2P1P3/P1NB3P/1P2Q1P1/R1B2RK1 w kq -,c1e3
1kb2r1r/2q1n1b1/p2p3p/PpnPpppP/2p1P3/R1P3P1/1PNNQPB1/2BR2K1 b - -,f5f4
r3r1k1/2q3bp/1p1p2p1/1PnP4/p1P1p3/R3B3/1P1N1QPP/1R5K w - -,f2e2
r1b1r1k1/pp1n1pp1/5n1p/q2p4/1bpP3B/2N1PN2/PPBQ1PPP/R4RK1 w - -,a2a3
8/bR2n3/B1p2k2/P1P1p1p1/8/6P1/r4B2/5K2 b - -,a7c5
2R1rbk1/5p2/1p4p1/p3q2p/3p3P/1P1P1BP1/P2Q1PK1/8 w - -,d2c1
3r1rk1/p3pp1p/2p3p1/2p5/2P1n2P/1P1qP1P1/PQ3PK1/RN3R2 b - -,d8d6
8/5k1p/1R3p2/8/2PP2b1/2n3P1/P3PK1P/8 w - -,a2a3
8/8/7K/7P/R4kr1/8/5p2/8 b - -,f4g3:f4e5
1k2r3/2n3p1/p2R4/1p6/8/1P4P1/P4K1P/8 b - -,e8e6
2rq1rk1/1p2bb1p/1n2ppp1/p2p4/1P1P4/PQN1P1B1/3n1PPP/2RR1BK1 w - -,d1d2
q1rr2k1/1b1nbpp1/p3p2p/1pp5/3Pn3/1P1QPN1P/P2N1PP1/B1RR1BK1 b - -,e6e5
8/kpp5/p5p1/8/8/4nPqP/PP2R1B1/7K w - -,e2e3
1r3rk1/ppp2ppp/1nnqp3/1R6/2pP4/P3P1P1/P1Q2PBP/2B2RK1 w - -,c1b2
2rq1rk1/pb1nbppp/1p1ppn2/2p5/2NP4/1PP1PN2/P1Q1BPPP/R1B2RK1 w - -,c1b2
2krr3/ppp2ppp/3pbb2/3B4/2P2B2/8/PPP2PPP/2KRR3 w - -,f2f3
r1bqk1nr/pp3pbp/2npp1p1/2p5/4PP2/2NP1N2/PPP1B1PP/R1BQK2R w KQkq -,c1e3
r1bq1rk1/pppn1pbp/6p1/4p3/2PN4/2N3P1/PPQ1PPBP/R1BR2K1 b - -,e5d4
2rq1rk1/5pbp/3p2p1/3Qp3/4P3/P4P2/2p2BPP/R2R2K1 w - -,d1c1
1rbqnrk1/1p1nbppp/p2p4/2pPp3/2P1P1P1/2NB1N1P/PPQB1P2/R3K2R b KQ g3,e8c7
r7/2qnpp1k/p1Pp1b1r/3P4/5P2/R7/1P1QBB2/2R3K1 b - -,a8g8
8/1p3p2/p6k/5P2/PP5r/3p1R2/6K1/8 w - -,f3d3
r1b1k2r/2qpbppp/ppn1p3/4P3/2P2B2/1NNQ4/PP3PPP/R4RK1 w kq -,c3e4
3q1r1k/p1r1n3/1p3p1p/1Q1p4/2pP1P2/P1P1NBPb/4R2P/4R1K1 b - -,c7d7
1r2kb1r/1bp1p3/p7/1P5p/2pPqN2/2P4Q/5PPP/R1B2RK1 b k -,b7c8
r3k2r/pp3ppp/2nbpnb1/q7/1P1P2P1/P1N2N1P/4BP2/R1BQ1RK1 b kq b3,a5d8
r1bb1rk1/pp1p2pp/3Npn2/2n2p1q/2P5/2N1B1P1/PP2PPBP/R2QK2R b KQ -,c5e4
r5k1/p2r1ppp/3q4/2pp1b2/4p3/PP2P2P/2PQNPP1/3R1RK1 w - -,a3a4
1rbqr1k1/1p3pbp/p2p1np1/2pPn3/P7/2N1P2P/1P1NBPPB/R2Q1RK1 b - -,d8e7
r1r3k1/pp2pp2/3n2p1/q2P1bPp/3Q4/P1N5/1P1RBP1P/2K4R w - -,c1d1
2kr1b1r/ppqbnp2/4p1pp/n2pP3/2pP1PB1/P1P3P1/1P1N3P/R1BQNRK1 w - -,e1g2
r1r3k1/2P1qpp1/p3p2p/1p6/8/1P2PP2/P1QR2P1/2R3K1 w - -,c2c6
r3bb1k/1p6/p2p3p/P1pn1p2/1nN5/4B3/1P2BPPP/2RR2K1 w - -,e2f3
3r1rk1/ppq1bpp1/2p1p2p/3n1b2/2BP3B/2P2N1P/PP2QPP1/3RR1K1 w - -,h4e7
2k3r1/pppb1p2/4p1p1/3pP1P1/2nP4/qPQ2N1R/P1P2P2/1K1N4 b - -,c4b6
r2q1rk1/p2b1n2/np1p1bp1/2pPp2p/1PP1Pp2/P1NN1P1P/3BB1P1/1R1Q2KR w - -,g1f1
8/2q2pk1/6p1/3Q3p/5P1P/2p3P1/2K5/8 w - -,d5d4
r2r2k1/pp3p2/4pp1p/1b2n3/1P6/1BP1PP2/4N1PP/R3R1K1 b - -,b5e2
8/7p/1kp3p1/3p4/P6P/1KP1R1P1/1P5r/8 b - -,h2g2
r3r1k1/2qbbp1p/p2pp1p1/2p5/2P1P3/1PN5/PB2QPPP/3R1RK1 b - -,d7c6
8/5kp1/8/4P3/5PK1/r6R/8/8 b - -,a3h3
8/8/1p6/pR2pk2/P2r4/5PK1/1P4P1/8 w - -,b2b3
r1b1k1nr/bp1nq2p/p2p1pp1/4p3/3NP2Q/BNP5/P3BPPP/R4RK1 w kq -,d4c2
2rr2k1/qp2bppp/p1bppn2/4n3/2P1P3/1PN1N1PP/PB2QPBK/2RR4 w - -,f2f4
r1bqr1k1/4bpp1/n1p4p/1p1p3n/p2P4/P1N1PP2/1P1QNBPP/1BR2RK1 w - -,d2d3
r4rk1/pb1n1ppp/1p2p3/3q4/8/4RNB1/PP2QPPP/5RK1 w - -,f1d1
r2q1rk1/2pn2bp/b2p4/1N1Ppp1n/8/4BP2/PP1QN1PP/1K1R1B1R w - -,b5c3
rn1q1rk1/pbp2ppp/1p1ppn2/6B1/1bPP4/P1N1P3/1PQ1NPPP/R3KB1R b KQ -,b4c3
5B1r/5Qpk/1p2p3/3pPn1p/3P4/5N2/q4PPP/5RK1 w - -,f8g7
3r1r2/4kp1p/1p3p2/7P/p2p1P2/P2Q3B/1PP2P2/1K6 b - -,d8d6
R3n3/3Qqk1p/4p1p1/5p2/8/3P2PP/4PPK1/8 w - -,a8a7
r1bq1rk1/pp1nbppp/2pp1n2/4p3/3PP3/1BP2N2/PP1N1PPP/R1BQ1RK1 b - -,d8c7
3r2k1/b1p3p1/p3p2p/Pp2n3/4NB2/8/1PP1KPPP/R7 b - -,e5c4
r1bq1rk1/p5bp/6p1/4p1N1/1P1Bp3/6P1/P4P1P/R2Q1RK1 w - -,d1b3
2r2rk1/p2pqppp/1p1Rpn2/n2bN3/2P5/P1N1P3/1P2BPPP/3Q1RK1 w - -,c3b5
3r1qk1/1p4p1/p1pn1r1p/Q7/5P2/2PR1bP1/P1P3BP/4R1K1 w - -,g2f3
2rq1rk1/1p1n1ppp/p2pb3/4p1b1/2P1P3/1PN5/P1N1nPPP/R1BQ1RK1 w - -,c3e2
r4rk1/1bp1bp2/p1n1p1pp/5q2/1p1PN3/PB1QPN2/1P3PPP/R4RK1 w - -,e4c5
8/1p4r1/p6k/3PQ1n1/1KN3r1/1P2R1B1/8/7q w - -,e5d6
