8/8/1p2bkp1/4p2p/3bB3/P4PP1/4KN2/8 w - -,e4d3
3r2k1/5ppp/1pq5/p1p5/P1P1P3/3P2P1/2Q4P/5RK1 b - -,g7g6
k7/1p6/p1R5/P3B3/4K1p1/6P1/2P5/5r2 w - -,c6c8
2k1r2r/ppp2bpp/3q1p2/3p4/3P4/2NQ1P2/PPP3PP/2KRR3 w - -,e1e8
5rk1/4ppb1/p2p1npp/1p1P2B1/1P6/1P4PP/2R1PPB1/6K1 w - -,g5e3
8/3Q1kp1/8/8/1q1b4/7P/6PN/7K b - -,f7f8
2r2r2/pp1bqpk1/4pR1p/2p3p1/1nP3P1/PQ1BP2P/1P4P1/4NRK1 b - -,b4c6
6k1/4qpn1/1pp5/p1b1p1pp/2N1P3/2P3P1/PP1Q1PNP/5K2 w - -,a2a3
1q3rk1/1rp1ppb1/3p2pp/1b1P4/1P6/1Q1N2PP/2R1PPB1/2R3K1 w - -,h3h4
3r2k1/r4Pq1/p2p2n1/2p4Q/P1P1P3/1p4RP/1P4P1/R4BK1 b - -,g8f8
8/6k1/R7/6Bb/2p1r3/P5p1/3K2P1/8 b - -,e4e2
r2q1rk1/p2nbppp/1p2p3/3bN3/3P4/2BB4/PP2QPPP/R2R2K1 b - -,a8c8
7k/7p/R7/8/2N1K3/PP2P3/n4r1P/8 b - -,f2h2
3q4/1p2rpbk/p2p2pn/3P3p/4B1n1/2P2NQ1/PP2R1PP/4R2K b - -,e7e4
1r1q1rk1/p2nbpp1/2p1pn1p/7P/2pP4/5NN1/PP1BQPP1/1KR4R w - -,c1c4
2r2rk1/pp1b1pbp/q5p1/8/1PPp1B2/5B1P/P2Q1PP1/R1R3K1 w - -,b4b5
r3k2r/3pbpp1/q1p1p1p1/p1PnP3/3PQ3/5N2/PR1B1PPP/4R1K1 b kq -,e8g8
1r1q1rk1/5pbp/p2pbnp1/npp5/2P5/1PNQ2P1/P1NBPPBP/1R3RK1 w - -,c2e3
8/5kp1/5p1p/2R2P2/2N1P3/8/3K3P/8 w - -,c5c7
8/2k1nr2/1pp2ppR/p7/P1p1PP2/2P2P2/2P1KB2/8 w - -,h6h1
2rq1rk1/3bppb1/3p1npp/pp6/3PP3/4RNPP/PP1N1PB1/2RQ2K1 b - -,d8b6
3R4/8/3k4/3r3p/6p1/4K1P1/8/8 b - -,d6e5
r3r1k1/p2R1Nbp/1p4p1/2p5/7P/4P3/P4PP1/3R2K1 w - -,g1f1
r1q5/pnkb3r/1p1p1p2/2pPpPp1/2P1R1Pp/1RPB1P1P/P4B1K/2Q5 b - -,b7a5
2kr1b1r/ppp2p1p/4b1pn/2q1P3/2P5/2B5/PP1NBPPP/R2QK2R w KQ -,d1a4
8/1p1r1ppk/p1pP3p/2Q1P3/PP2b1R1/1q5P/3R2P1/7K b - -,b3h3
8/p5p1/1p2Rpk1/n1p4p/P4BPP/2P1KP2/5r2/8 b - -,f2g2
4r1k1/5rp1/1Qp4p/5p2/2Pp1n1q/5PR1/PPP2K2/4RB2 b - -,e8e1
8/p3k2p/1n2p2b/3p1p2/NP1P2p1/1K2P1P1/5P1P/2B5 b - -,b6c4
rn1q1rk1/5pb1/2pp1np1/p3p2p/2P1P2P/1PN2BP1/P4P2/R1BQ1RK1 b - -,d8c7
5nk1/5p2/1p3p2/1p2pB2/1P4PP/2P5/P7/1K6 w - -,c3c4
4nrk1/r2p2pp/3bpn2/pp1qN1B1/3P4/P2Q1N2/1P3PPP/2R1R1K1 w - -,g5d2
RR6/2k1K3/4p3/5b2/8/8/8/2r5 b - -,c1c6
8/1r4kp/1Rp2pp1/p7/P1P5/3r2P1/5P1P/6K1 w - -,b6b7
8/3r1k1p/2pP3P/2p2P2/2PbP3/4N3/1rN1K3/3R4 b - -,d7d6
8/6kp/3q1pp1/ppnP4/2p2P2/2P1QB1P/6P1/7K w - -,f4f5
8/1R6/r5p1/5PKp/7P/8/kp6/8 b - -,g6f5
8/3k4/p1p2R2/3p3p/rP1Bb3/2P4P/7K/8 w - -,f6h6
8/3k4/p7/1pN5/6nP/8/2P5/6K1 b - -,d7e7
7k/6pp/4P1r1/p7/1p1q1KB1/1Pp5/P1R1Q2P/8 w - -,f4g3
r1b3qk/1p6/p2p1b1r/2pP1pN1/5P2/3B2Q1/PPP5/2K1R1N1 w - -,g1f3
r1bqnrk1/pp2bppp/2n1p3/8/2Pp4/3P1NP1/PPN2PBP/R1BQ1RK1 w - -,a2a3
rnbq1rk1/ppp3pp/3b1n2/3p1p2/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 b - d3,c7c6
2rqr3/5pkp/p1n1bbp1/1p1p4/3P1Q2/1BN2N2/PP2RPPP/4R1K1 b - -,e8f8
1r4kr/ppp2pb1/3pbqn1/6p1/2N1P2p/Q1P4P/PP2BPPB/2KRR3 w - -,a3a7
5r1k/p4pbp/1p3n2/2pr1QN1/7R/7P/P4PP1/6K1 w - -,f5f4
3B2k1/6pp/pp1n1p2/1p6/8/5P2/PPP2P1P/6K1 w - -,d8b6
1r1q1rk1/4b1pp/p1nppn2/Ppp5/4P3/1PN1BP2/2PQN1PP/R2R2K1 b - -,d8e8
r4r2/3bqnbk/p2p1npp/2pPp3/1pP1P3/1P4PP/P1QBBRKN/5RN1 w - -,h2g4
rnbqkb1r/pp1ppppp/5n2/2p5/2P5/5NP1/PP1PPP1P/RNBQKB1R b KQkq c3,b8c6:b7b6:g7g6
7r/p1r1qpk1/1ppn2p1/3pP3/1P1P4/P1RB1PPb/3N1Q2/1R4K1 b - -,d6f5
rn1q1rk1/1bp2ppp/p2bp3/1p6/3P4/2N1QNP1/PP2PPBP/R4RK1 b - -,b8d7
8/8/8/1R4pp/6k1/5rP1/7K/8 b - -,f3f5
R7/5ppk/8/2B4p/P2n3P/8/7K/r7 b - -,a1a2
8/3b4/1p1n4/p1pPp3/P3Pp1k/NP3P2/4BK2/8 b - -,h4g5
r3kb1r/pR2np1p/3p2p1/4N3/2PB4/8/P4PPP/5RK1 b kq -,d6e5
Bnbqkb1r/5pp1/p3pn1p/8/3p1BPP/2P5/P1P2P2/R2QK2R b KQk -,c8d7
r4rk1/ppq1bpp1/2p1pnb1/7p/3Pn1P1/2N1P2P/PP2QPB1/R1BRN1K1 b - -,h5g4
1r4k1/pb4b1/6pp/2B2P2/2q5/2P3PN/P4Q1P/2R3K1 b - -,c4e4
2b2k2/5pbp/p5p1/2N1P3/3N1P2/4P3/r5PP/1R4K1 b - -,f8e8
5r1k/3n2pp/p7/1p2P3/1p3qQ1/P6P/4RPPK/8 w - -,g4f4
r1b2rk1/1p3ppp/p3p3/2npP2Q/Pq1P1P2/bPN1B3/4K1PP/1R3B1R b - -,b4c3
5n1k/4q1pp/Q2p4/8/P3Pp2/2R4P/6P1/6K1 w - -,a6a8
8/2Bnk1p1/1p2p2p/2p2p2/2P3P1/Pb1BPP1P/8/4K3 b - -,g7g6
r1bqr1k1/pp3ppp/1npb1n2/3p4/1P1P4/P1NNP3/4BPPP/R1BQ1RK1 w - -,b4b5
4r1k1/6pp/8/8/8/R1B1p3/6PP/6K1 w - -,c3e1
r1b2rk1/1pqnppbp/p2p1np1/3P4/2pNP3/2P4P/PPB2PP1/RNBQ1RK1 w - -,c1e3
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP1B2/2N5/PPQ1PPPP/R3KBNR w KQ -,e2e3
r1q1r1k1/p1p3bp/2Q1ppp1/2N5/3P1n2/2P5/P4PPP/1RB1R1K1 b - -,e6e5
2b2r1k/3n1p2/pr1p3p/3Pq1p1/1R2P3/7P/N2Q1PP1/4RBK1 b - -,b6b4
2q3k1/1b2r1p1/1Q3p1p/P2p4/2pNn3/4P2P/5PP1/B1R3K1 b - -,g8f7
r6r/1p3p2/p1n1b1k1/4pp1p/5b2/1P1B1R2/P4QPP/6K1 b - -,a8d8
r2q1rk1/p3ppb1/2pp2p1/2P2b1p/5PP1/2N4P/PPP1Q3/R1B1K2R b KQ g3,f5d7
6k1/2N2pp1/1p1r3p/qRnN4/2P1p3/3n2P1/P1Q2PP1/6K1 b - -,a5e1
2rr1k2/pp2bp2/4p2p/4P1p1/3P1N1P/3R2P1/PP6/1K1R4 w - g6,h4g5
r2q1rk1/p1p2pbp/3pb1p1/2p5/2PnPP2/1PN3P1/P2B2BP/3QRRK1 b - -,f7f5
8/5kp1/p3r3/P5R1/5K1P/r3P1P1/8/4R3 b - -,e6f6
1r2kb1R/2n2pp1/p1r5/1p1pP3/1P1P4/3BKPP1/R2B4/8 w - -,f3f4
r4rk1/2qb2b1/3p2p1/pp1P1pP1/4p2R/2P5/PPN1BPQ1/2KR4 b - -,b5b4
8/1p1r1k1p/p2r1p2/P2N2p1/2PR4/1P2B1P1/4KP1P/8 b - -,f7g7
5rk1/3R1p1p/p4b1B/1p6/7P/PN3b2/1Pp5/2K5 b - -,f8d8
4kn1r/2b5/1pQRp3/1q2P3/3P2p1/P5P1/1B3P2/6K1 b - -,b5c6
6k1/5pp1/3N3p/4PPn1/pp2P3/7P/PP1r2K1/4R3 w - -,g2g3
5rk1/1p2pp1p/3n2p1/pP6/3B4/1b5P/1P2BPP1/2R3K1 w - -,c1c7
1rbqkb1r/5ppp/p1np2n1/1pp1p3/P2PP3/2P2N2/1PB2PPP/RNBQ1RK1 w k -,a4b5
