8/8/1b2k3/5pp1/2q5/5QPP/5P2/5K2 w - -,f1g1
r2q1rk1/pp2ppbp/3p2p1/Pn1P4/nP2PP1B/5B2/3QN1PP/1R2K2R w K -,b1c1
r1b1r3/2qnp1bk/2p3pp/pp1p1p2/3P3N/PQPBP1P1/1P1N1PP1/R3K2R w KQ -,b3c2
4r1k1/pp3pp1/2p2q1p/P7/2P5/1N4Q1/4nPPP/3R3K w - -,g3f3
2r3k1/4Rp1p/2p3p1/2p5/2P1PP2/1r4PP/6B1/5K2 w - -,e7e5
2R5/8/5k2/4rp2/2B5/4K3/8/8 w - -,e3d4
r1bqr1k1/2p2pp1/pbn2n1p/1p2p3/PP2P3/2P2N1P/2BN1PP1/R1BQ1RK1 b - a3,a8b8
r1bq1rk1/ppnpppbp/2n3p1/2p5/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 w - -,c1e3:a2a3:a1b1
r1bq1rk1/ppp1bpp1/2n1pn1p/8/2BP3B/2N1PN2/PP3PPP/R2QK2R b KQ -,c8d7
8/3k1p2/8/1N3K1p/5P2/P5P1/7n/8 w - -,b5d4
4rr2/pbq3kp/1pnpp1p1/5p2/3P2N1/2PBQ2P/PP3PP1/R3R1K1 w - f6,e3h6
8/pR6/6p1/5bP1/5k2/2P2p2/PP3K1r/5B2 w - -,f2e1
8/8/8/6Rp/8/4kp1P/6K1/3r4 w - -,g2g3
5rk1/ppq1b1pn/2pp2np/3Ppr2/2P5/2N1B1PP/PP1NQP2/3RR1K1 b - -,e7g5
1r1q1rk1/1p3pbp/3pb1p1/p1pPp3/3n4/P1NP2P1/1P2PPBP/1RBQ1RK1 b - -,e6d7
3r1k2/5pp1/3Pb2p/2q2P2/p3B3/1pP3P1/1Q3P1K/3R4 b - -,e6c4
1r3rk1/2qnbppp/b1n1p2P/2ppP3/p5N1/P2P1NP1/2P2PB1/R1BQR1K1 b - -,g7g6
8/3R2k1/7p/7P/5qP1/5B2/5PK1/8 b - -,g7f6
1r3r2/3b1pkp/pp4p1/3Bp3/PPN1PbP1/2P2P2/7P/R2R3K w - -,c4d6
2r1k2r/2qbppbp/p1np1np1/1p3P2/3NP1P1/2N1B2P/PPP3Q1/2KR1B1R w k -,g4g5
3b4/6p1/8/5P2/3K3p/3B4/6k1/8 b - -,h4h3
r1bq1rk1/pp2ppbp/2n2np1/2ppN3/5P2/2NPP3/PPP1B1PP/R1BQ1RK1 b - -,d5d4
5r2/1pp3kp/3p1qp1/p2Pp3/2Pn1r2/3B1PQP/PP3RP1/4R1K1 w - -,b2b3
r6k/pp4p1/7p/3pP1RQ/3N4/8/P5P1/2q3K1 w - -,g1h2
r1r3k1/pp2ppbp/1Qn2np1/3p1bB1/2pP4/2P1PN2/PP1N1PPP/R3RBK1 b - -,a7b6
2r3k1/pp3p1p/1n6/4n3/P3P2N/1Pp3P1/2R4P/5BK1 b - -,c8c5
4b1k1/pp2b1pp/4p3/3pP2P/1P1Rpr2/2N4R/P1P3P1/K7 w - -,c3d1
r2qk2r/p3b1pp/2nnp1b1/1p1p2PB/2pP1P2/2P5/PP1N3P/R1BQNRK1 w kq -,h5g6
2b1rrk1/p1q2npp/8/2p2p2/2PpPb2/1P3NNP/PB1QRPP1/4R1K1 w - -,d2d1
6k1/4r1pp/4P3/rpN5/2b1R2P/P7/5PPK/4R3 w - -,e4e3
1r3rk1/2P2p1p/pB4p1/P2Rp3/3b4/1P3B2/6PP/5K2 b - -,b8a8
1rn2r2/p2q2k1/2pp1pp1/4p2p/2P5/R2PPNPb/Q4P1P/R5KB w - -,a1b1
r2qr1k1/1pp2p1p/p2Pb1p1/4bnB1/8/2N2PP1/PP2P1BP/R1QR2K1 b - -,f7f6
r1b1k1nr/pp3p2/2n1p1p1/3pP2p/2pP2Q1/P1P2N2/2qBBPPP/R4RK1 w kq h6,g4h3
6kb/4np1p/p2pB1pP/3Pp1P1/1p2P3/1P2BQ2/P1q2P2/6K1 b - -,f7e6
1R6/1p4r1/p1p3k1/2Pr3p/4N2P/1P2KP2/P7/8 b - -,d5d1
2rr2k1/5p1p/2n3p1/1p1p1q2/1P6/1R1NPPP1/6KP/3QR3 b - -,f5f6
6k1/pp3p1p/3nP1p1/8/q7/P1b2BP1/1B1RPP1P/6K1 w - -,d2d6
r7/1p1bkppp/4p3/p2nn3/8/PP2PN2/3NBPPP/2R3K1 b - -,e5c6
r1bq1rk1/1pp1b1pp/2n2n2/p3p3/2P1N3/5NP1/PPQ2PBP/R1B2RK1 w - -,e4f6
8/2R2p1k/5bp1/7p/8/5KP1/5P1P/8 b - -,h7g7
2n3r1/1N1pkp2/2r1p2p/p3P3/1p2P3/8/PPP2R1P/2KR4 b - -,a5a4
5k2/rR3npp/p7/P2B4/8/8/5PPP/6K1 b - -,a7b7
r2q1rk1/1pp1bppp/2n1bn2/p3p3/2Pp3N/P2P2PP/1P1BPPB1/RN1Q1RK1 w - -,g1h2
2k5/8/5p1p/2K3pP/P3P3/2Nn4/8/8 w - -,c5c6
1R6/r3p1bk/1Q1p2pp/rb1P1p2/1q3P2/1P2P1P1/5N1P/1R3BK1 b - -,a5a2
r2q1rk1/ppp3bp/2npbnp1/3Npp2/2P1P3/3P2PP/PP2NPB1/R1BQ1RK1 b - -,d8d7
3r4/1R6/p7/P2r4/5P2/2k2P2/3p3P/R2K4 b - -,d8g8
8/5p2/6k1/2Rpr1pp/1r6/7P/2P3P1/3R2K1 w - -,c5d5
2r3k1/pp3ppp/2r1p3/3pPn2/1q1P1PP1/1P1Q3P/PB6/3RN1K1 b - g3,f5e7
2r1r1k1/1q1n1ppp/pp1b1n2/2pp4/P4P1N/1P1P1QPP/1BP3B1/R4RK1 b - -,b7b8
8/5k2/r7/3RP3/5K2/2r2P2/8/8 b - -,a6a4
4b3/p7/6N1/1p4Kp/1P5P/P3k3/8/8 b - -,e3e4
r2q1rk1/2pbbppp/p1n2n2/1p2p3/4P3/1BN2N2/PPP2PPP/R1BQR1K1 w - -,h2h3
r2qk2r/p3b1pp/2pp1n2/2p1pb2/8/2PPBN2/PP1NQPPP/R4RK1 b kq -,f6g4
2r1kb2/5p2/pqbppPp1/3r4/2PN1P2/B5QP/P7/1K1RR3 w - -,g3b3
r2qkb1r/pb1p2pp/2n1pn2/1pp2p2/3P4/1P2PNP1/P1P2PBP/RNBQ1RK1 w kq -,c1b2
4rr1k/p5pp/1p2pp2/1Nn2n2/2P5/1P3KPP/PB3P2/3R1R2 b - -,e6e5
6k1/4b1pr/p2p1n2/4pQ1B/3rP3/2N1K3/1qP4P/5RR1 w - -,f5c8
8/1p2r2p/p1p3p1/6N1/7P/1k2p1P1/1P2R3/4K3 b - -,a6a5
r5k1/pp2rppp/1qb1p3/3n3Q/3PN3/6P1/PP3PBP/R2R2K1 w - -,d1d2
1r4r1/6k1/p2Q1q2/2p2P2/1pP3R1/3P4/PP6/5RK1 b - -,g7f7
2nr2k1/2R5/1p2p3/pP2P3/P2p4/3BpP2/6PP/6K1 b - -,g8f8
6rk/5prp/p1q1p2R/4P3/5P2/1p1PNb1P/3P3K/1R2Q3 w - -,h3h4
3r2k1/4bppp/pq3n2/1p3Q2/2p2B2/P3P2P/1P2BPP1/3R2K1 b - -,d8d1
r1b1r1k1/1p3pbp/2pp2p1/q3n2n/p1PBPP2/P1N3PP/1PQN4/3RRBK1 b - f3,e5d7
1r6/2q2pk1/3p2p1/2nPp2p/Bp1bP2P/1P1N2P1/4QPK1/1R6 w - -,b1c1
2q3k1/2r2pp1/ppr1p3/1b2P3/1PP1R2p/P2B3P/Q5P1/2R4K b - -,c8d8
r1b1k2r/ppp2p2/3p2p1/6Pp/2P1NPn1/5BK1/PP2P2P/R6R b kq -,c8e6
1kr5/pp3Np1/4pn2/7Q/2P5/6P1/PP6/1K1R4 b - -,f6h5
r1q1r1k1/1pp2ppp/pbbp1n2/8/PPP1P3/6P1/1B1N1PBP/R2QR1K1 b - -,f6g4
r2q1rk1/1p3pbp/2p3p1/3n4/P2P4/1B1Q4/1B3PPP/R3R1K1 w - -,d3f3
7k/7r/p3p1P1/1prpPb1P/P1p1pB1R/2P1P3/1P4K1/7R b - -,h7g7
8/3Q2pk/p5p1/1p2P3/2p2P2/4q3/PP5P/3R2K1 w - -,g1g2
6k1/3b3p/1r2p1pP/1n1pPpN1/pBpP1P2/2P5/K1P3P1/R7 w - -,g5f3
r4rk1/8/p2p1p1B/2pPpP2/2PbP3/6P1/P6K/1R1N4 b - -,f8b8
rnbqk2r/1p2ppb1/p2p1np1/2P4p/4P2P/2N1B2N/PPP1BPP1/R2QK2R b KQkq -,d8a5
r1b2rk1/ppq1b1pp/4p3/4p3/2P1Bp2/P5P1/1PQN1P1P/R4RK1 b - -,f8f6
r5k1/p1p2ppp/2p2n2/3pr3/8/1PN1P3/P1PP2PP/R4RK1 w - -,f1f4
r2r2k1/1bq1bppp/p3pnn1/1p4B1/3NP3/PBN5/1P2QPPP/2RR2K1 b - -,c7e5
r3kb1r/1b3ppp/pq2p3/1pnnP1B1/3NN3/3B4/PP3PPP/2RQ1RK1 b kq -,c5d3
r1b2r2/ppq1ppkp/2p2Bp1/5n2/3P4/2PB1N1P/PP2QPP1/R3R1K1 b - -,e7f6
