8/8/4NK1k/6p1/6P1/5P2/3b4/8 w - -,f6f7
1rbqk2r/p3npbp/2np2p1/2p1p3/1p2P3/3PB1P1/PPPQNPBP/R2N1RK1 w k -,f2f3:e3h6
r1bqkb1r/pp4pp/n1p1p3/4PpB1/3P4/3Q1N2/PPP1N1PP/R3K2R b KQkq -,d8d7
4k3/ppp2ppp/1b1p4/8/3P1B2/2P5/PP3PPP/5K2 w - -,d4d5
6k1/6p1/5p1p/8/2p2P2/4PKP1/R6P/7r b - -,h1c1
7r/1p3p2/5k1p/3p2p1/p1pP1pKP/PnP2P2/1P2rP2/1R1RB3 b - -,f6g6
r1b1k2r/pp4pp/1qnbpn2/3p4/3P4/1N1B1N2/PP3PPP/R1BQ1RK1 w kq -,c1g5
1k5r/p4p2/1bp1q3/4p3/PP1pP1p1/6Nr/5PKP/2RQ3R w - -,a4a5
3r2r1/1R6/1p1p2k1/p1pP1p2/P1P2P2/2B2P2/5K1P/8 b - -,d8b8
1b1r1rk1/5ppp/2R5/4p3/4P3/2PnBP2/1PB2P1P/R5K1 b - -,d3b2
r7/2R2p1p/4k3/6p1/8/2N2P2/6PP/6K1 b - -,f7f5
2rr4/1b2kppp/pn1bp3/1p6/1P2n3/PNN1P3/4BPPP/R2RB1K1 w - -,a1c1
1k4r1/pp6/2pb4/1P1p4/3Pp3/PKR1P2r/4B3/2R5 b - -,c6c5
r1bq1rk1/1p2ppbp/3p1np1/8/p1P1P3/2N1B3/PP1QBPPP/1R3RK1 b - -,d8a5
r3k2r/1pqbbp1p/p2ppp2/8/3QPP2/2N5/PPP1B1PP/2KR3R w kq -,e2h5
2rq1r1k/3n3p/p2pb1pb/1p1Npp2/4P3/1NP3P1/PP2QPBP/3R1RK1 w - b6,d5b4
6k1/5pb1/1p3n1p/3p4/1P1N3P/1N6/1r4P1/5RK1 w - -,f1c1
1n1r1rk1/2q3pn/1p1p1p1p/pBpPpP2/P3P2P/4R3/1PPN1QP1/5RK1 w - -,g1h2
8/5k2/1K2p1n1/4P1pp/3P4/8/3B3P/8 b - -,g5g4
6k1/p5bp/3pNn2/1Np2P2/2p5/3r4/PP4K1/5R2 b - -,f6g4
r3k2r/1bq1bpp1/p1n1p3/1p1pP2p/1P1N1B2/2PB4/P3QPPP/2R1R1K1 w kq -,e2e3
1r6/4R3/2P5/1B6/5b2/4p1k1/2K5/8 w - -,b5d3
1rbq1rk1/p2nppbp/3p2p1/2pP4/2B1n3/1PN4P/PB2NPP1/R2Q1RK1 b - -,e4f6
4r3/1p3k2/2pn1pp1/3p3p/p2P3P/2P1NPP1/PP2R3/4K3 b - -,e8a8
8/2b2k2/1p5p/p2P1pp1/3B4/1P2K1P1/P6P/8 b - -,h6h5
r2qkb1r/pppn1pp1/3p1n1p/4pb2/2PPP2B/2N2P2/PP4PP/R2QKBNR b KQkq e3,e5d4
3rk2r/Rpp2ppp/5n2/2p1p1B1/1nP1P3/5N2/1PP2PPP/4K2R b Kk -,b4c2
2b3k1/p2q2p1/3p1n1p/Qp2pp2/3P4/1P3PP1/P2BP1BP/6K1 w - -,d4e5
6k1/r4p2/4pnpp/pR6/P3P1P1/5P2/4BK1P/8 w - -,h2h4
6k1/pp3pp1/2p1b2p/8/4P3/1PP5/P1B1K1PP/8 b - -,g8f8
8/4KB2/7k/8/8/r7/8/6R1 w - -,f7e6
4n1k1/1p3rbp/p2pqp2/1b1N2p1/4P3/4B1P1/PP1Q1P1P/2R1R1K1 b - -,b5c6
r1q1k2r/pp2ppbp/3pbnp1/4n3/2P1P3/1NN1B3/PP2BPPP/2RQK2R w Kkq -,b3d2
3q1rk1/2pnbppp/2bppn2/1p6/3PP3/1PPBBN2/2QN1PPP/r4RK1 w - -,f1a1
8/8/1KP5/6p1/5k2/1P2nP1p/7N/8 b - -,f4g3
6k1/1p2pp1p/pB1qb1pb/P7/2p1P3/2P2P2/1PB2QPP/6K1 b - -,h6c1
8/5kp1/8/7P/6n1/2BKb3/8/8 b - -,e3h6
6k1/3q1b2/p1pP2r1/6p1/P1p3Q1/2P4P/5PP1/3R2K1 b - -,f7e6
1n1r1rk1/1R3p1p/4p1p1/3nb3/1p1P4/1B4P1/1B3P1P/4R1K1 w - -,d4e5
5k1r/p4qp1/1p1p1r2/n1pPpPQp/2P1P1pP/2PK2P1/P1N5/5R1R w - -,c2a3
2rr2k1/3bb1pp/pn3P2/q1p1pP2/1pPnP2P/1P2B2B/P2RN3/3NQRK1 b - -,e7f6
r2r4/5k1p/p4p2/1p2pP2/2p1P1P1/2P1K3/P6P/3R1R2 w - -,h2h4
2rq1Nk1/1p3ppp/p3p3/6P1/P1BP1n2/1P5R/3Q1P1P/3R2K1 b - -,f4h3
r2qkbnr/pp2pppp/2n5/3p1b2/3P1B2/2P2N2/PP3PPP/RN1QKB1R b KQkq -,a7a6
r4rk1/pbqn1pb1/2pp1np1/1p2p1Np/3PPN1P/4BP2/PPPQB1P1/R3K2R w KQ e6,d4e5
2kr1b1r/p2p1pp1/bp2q2p/2p5/N1P1P3/1P1Q1N2/P1P3PP/2KR3R b - -,g7g6
r2q1rk1/p2n1ppp/2pb1n2/1P2p3/3PP1b1/1BP2N2/1P4PP/RNBQ1RK1 b - -,c6b5
1r1r4/Q4pk1/1pBqR1p1/2pP1n2/5P1p/5R1P/PP4P1/6K1 b - -,d6f8
2rq1rk1/p2bppbp/1p3np1/nP1p4/8/1N1P1NP1/PB2PPBP/1R1Q1RK1 b - -,a5b7
2r5/4kB2/3p2Pp/3P3P/1p2p1b1/1P3p2/2P2R2/2K5 w - -,f7e6
r2r2k1/1bq2ppp/ppp2n2/2b2N2/8/1P4P1/PB2PPBP/2RQ1RK1 w - -,d1c2
8/8/6R1/3p1p2/Pb2p3/2k4P/4KPP1/8 w - -,g6c6
3q4/1p3pk1/4n1p1/1Pp1N2p/4P2P/2P3P1/2Q2P2/6K1 b - -,e6c7
3r2k1/5pp1/4p1p1/p1R5/Pp4P1/4P2P/1P2KP2/8 b - -,d8a8
r2q1rk1/ppp1bppp/2n5/3np3/2B3b1/2PPBN2/PP3PPP/RN1Q1RK1 w - -,b1d2
2rrbk2/1p3pb1/pn1p1npp/3P4/5B2/2N4P/PP2NPP1/1B1RR1K1 w - -,g2g4
r1bq1rk1/pp3pbp/2np1np1/2p1p3/3PP3/2P2N1P/PPB2PP1/RNBQR1K1 b - d3,c8d7
6k1/2bB1b2/p1p5/1p1p2p1/3P4/Pr6/3R1PK1/B7 b - -,b3a3
2r3k1/5ppp/pq2pn2/1pNp4/1PnP4/P2QP3/3N1PPP/5RK1 w - -,d2b3
2k4r/1ppr1q1p/1nn2p2/pN1p2pb/Pb1P1B2/1B2RN1P/1P3PP1/2RQ2K1 w - g6,f4h2
8/p5r1/2P1k3/4p3/P4pK1/2R5/8/8 w - -,g4h3
r1b2rk1/p1q1n1bp/2pp1np1/4pp2/1PP1P3/2NN1P2/P2BB1PP/2RQ1RK1 b - -,c8e6
r3qrk1/p1nb1pbp/5Bp1/1ppPp3/5P2/2N3N1/PP1QB1PP/R4RK1 b - -,g7f6
4r3/4k3/p1pn1p2/2pp1NpQ/P7/1PqPP3/2P1K3/2R4R b - -,d6f5
r4rk1/p3qppp/2bb1n2/1p1p4/2pP4/1PB1P2P/P1B1NPP1/R2Q1RK1 w - -,c3b2
rn3rk1/pbppq1pp/1p2pn2/5p2/2PP4/2N2NP1/PP1QPPBP/R4RK1 w - -,d4d5
rnbq1rk1/ppp2ppp/3ppn2/8/2PP4/P4N2/1PQBPPPP/R3KB1R b KQ -,b8d7
r2b4/1p1q2nk/r2p1p1n/PNpPp1pP/2P1P1P1/R3NQ2/3BK3/R7 b - -,h7g8
2rb2k1/pp1qnppp/4p3/3pP3/3P4/P1R2N2/1PQB1PPP/6K1 b - -,h7h6
r4rk1/pp1qbppp/1np1p1b1/4Pn2/2NP4/1Q2BN1P/PP2BPP1/2RR2K1 b - -,b6d5
2Rn3k/p7/1p1p4/3Pppq1/1P2Pn2/P4QpP/8/5BK1 w - f6,e4f5
8/8/8/R2nk3/8/3K4/8/8 b - -,e5d6
8/8/1k3pp1/p7/PP1qr2p/3p3P/3Q2P1/1R5K b - -,a5b4
1k1r4/5bpp/pqpr1p2/1pb1p3/2P1P2P/P2P2PB/1PQ1N3/1K1R3R w - -,e2c3
2krr3/ppp1q1bp/6p1/3pnp2/1P3Q2/P3PN2/2PN1PPP/1R1R2K1 w - -,f3e5
8/pp2qk1p/2p2np1/3p1p2/2PP4/1P1Q1BP1/P4P1P/6K1 w - -,g1g2
3q1rk1/p3ppbp/R2p2p1/8/4PP2/3P2NP/1r4n1/1BQ2K1R b - -,d8b8
r1b1k2r/pp1nqppp/2p1pn2/3pN3/2PP4/1P2P3/PQ1N1PPP/R3KB1R b KQkq -,d7e5
1rb1k1nr/2qnbp1p/p2pp1p1/P7/2NNP3/3B4/1P2QPPP/R1B2RK1 b k -,g8f6
8/7k/8/p2q1p2/PpN3p1/1P2R3/5N2/4K3 w - -,e3d3
4r3/4r1k1/2np1pp1/p1p4p/2PpPP1P/PP3qP1/3N1K1R/4R3 w - -,f2f3
r2q1rk1/1p1bppbp/2np2p1/p1p2n2/2P5/P1NP2P1/1P1BPPBP/1R1QNRK1 b - -,a8b8
