1k6/p6n/K5pP/1P2p3/4P3/4P3/1P5P/8 b - -,h7f6
r3r1k1/pp3ppn/5n1p/1Pp1qR1P/2P1p1P1/P3P3/2QNBP2/3RK3 b - -,e5h2
rn1qk1nr/2p2pbp/p3p1p1/1p1pP3/3PNP2/5N2/PPP3PP/R1BQK2R w KQkq -,e4c5
8/p4k2/1p6/5r1p/2pB4/1PP2nK1/P6P/3R4 b - -,c4b3
3r4/1p3p1k/p1p3pn/P1P3q1/2Rb1N1p/5Q1P/2B2rP1/2R4K w - -,c4d4
8/Q2nqpkp/4p1p1/3p4/1r6/3B2P1/PP2PP1P/3R2K1 b - -,b4b2
r3kb1r/pp1q1ppp/4p3/3pP3/3Pn3/5Q1P/PP1N1PP1/R1B1R1K1 b kq -,f8b4
r1bq1rk1/pp1n2pp/2pb1n2/3Pp3/3P4/2N1PN2/PPQB1P1P/R3KBR1 b Q -,c6d5
3Rbk2/4Pp1p/6p1/5p2/3K1P2/8/6PP/8 b - -,f8e7
6k1/4bp1p/2P3p1/1B2P3/3p4/2r4P/5P2/3R2K1 b - -,e7c5
r4r2/1p1k1p2/p1pPp1p1/3pP3/1PPPbPPp/R3K2P/4B3/R7 b - -,e4g2
5rk1/pp3pbp/1q4p1/1r6/2p5/2P2N1P/PPQ2PP1/1R3RK1 b - -,f8d8
6k1/R7/4p1p1/8/p2rp2P/b3N1P1/5P1K/8 w - -,e3c2
rn3rk1/1p3ppp/1q2p3/3pb3/p2P1PP1/3PB2R/PP5P/R2Q2K1 w - -,d4e5
5r1r/p4bk1/Q2R4/4p3/2P3B1/1P2q1PP/P6K/5R2 w - -,a6b7
5k2/1p3p2/2n2n2/p4P1p/Pb3R2/1B5P/1P2r1P1/3R3K w - -,b3d5
3qr1k1/p2r1pp1/6n1/1p2PN2/3P2QP/2p1P3/PP4P1/1K1R1R2 b - -,d8a5
4b3/pp4p1/2n1Pk1p/5P2/5KPP/1P6/P7/5R2 b - -,g7g5
rnbqk2r/p3ppbp/2p3p1/8/1p1PP3/1BP1B3/P4PPP/R2QK1NR b KQkq -,b4c3
8/8/7r/1p2K1R1/2k3P1/5P2/8/8 w - -,g5g8
r7/p2r3p/3k2p1/3pBp2/5P2/P7/1P1b1P1P/1KR3R1 b - -,d6e7
r4rk1/p1q1b2p/1n2ppp1/2ppP3/5PP1/1BP1BQ1P/PP6/1R3R1K w - -,e5f6
8/2r2p2/1R4k1/6pp/8/4B2P/5PK1/8 b - -,f7f6
8/2B1k2p/2n2p2/5P2/n3P1P1/Pb6/1P1K2BP/8 w - -,h2h4
2R5/r3rk2/1R2p1p1/3pPp1p/p4P1P/P3PK2/1P4P1/8 w - -,f3e2
2rrq1k1/pb3pb1/1n1p1npp/1P2p3/4P3/BQN5/P2NBPPP/2RR2K1 b - -,d6d5
8/8/5k2/1r6/4BK1R/5P2/8/8 w - -,h4h6
2b5/1p3ppp/3k4/3p4/3P3P/r5P1/P2RKPB1/8 w - -,d2b2
1r4rk/pb1q2bp/3ppn2/2pN1p2/2P1PP2/3PB2P/P2Q1RBK/6R1 w - -,d5c3
1r2k2r/3q1pbp/p1pP2pn/8/2b1P3/5NBP/PPQ2PP1/R4RK1 w k -,c2c4
1r3rk1/2p3n1/p1bp1p2/1p2p1pp/1P2P1P1/2PPPNBP/P7/R4RK1 w - -,g4h5
8/8/8/8/1Q6/2p5/2k3K1/8 w - -,g2f3
8/5k1p/q4pp1/P1Q5/8/7P/6P1/6K1 b - -,f7e6
rnbqkb1r/pppppp1p/6p1/4P2n/8/5N2/PPPP1PPP/RNBQKB1R w KQkq -,d2d4
rnbqk2r/2p2ppp/1p2pn2/p1Pp4/3P4/P1b2P2/1P1BP1PP/R2QKBNR w KQkq -,d2c3
r2qkb1r/pp2pppp/2n2n2/3p4/3P2b1/2P2N2/PP2BPPP/RNBQK2R w KQkq -,e1g1
8/8/4kPK1/6P1/8/8/8/5r2 w - -,g6g7
r2qkb1r/1b1p1p1p/ppn1pnpP/2p5/2P1PN2/2NP2P1/PP3PB1/R1BQK2R b KQkq e3,d7d6
r5k1/ppq3pp/2n1p1n1/3pPr1P/3P1pQ1/P4N2/2P2PP1/1RBK3R b - -,g6f8
8/8/b2N1k2/8/5K2/2P3P1/8/8 b - -,f6e6
2r2qrk/1ppn1ppn/1b1p3p/pP1PpP2/2P1P1N1/P4P1P/3BR1RK/2QB4 b - -,f8e7
2k5/p7/1p2pR2/2npP1r1/5p2/P6P/7P/3R1K2 w - -,f6f4
r1bq1rk1/ppp1nppp/3p1n2/3P4/1bB1P3/5N2/PP1N1PPP/R1BQ1RK1 w - -,a2a3
8/r1p1rp2/3p2p1/3P2k1/1pRPPn1p/5K1P/1PB3P1/2R5 b - -,b4b3
r2q2k1/4r1pp/2pNp3/ppPnQp2/3P1P2/6RP/PP2P2K/1R6 b - -,d8f8
2k4r/1pp3pp/p1n3q1/3p1p2/3P1P2/P1PPr2Q/5BPP/4R1K1 w - -,e1e3
r7/2b1k3/1pPp4/1K1Pp1p1/4Pp2/5P2/5BP1/7R w - -,h1h7
r1q2r1k/1b3p1p/nQp1pPp1/8/1pP5/1P4P1/PB3PBP/3R1RK1 b - -,a6b8
r2qkbnr/pp2pp1p/1n1p2p1/8/2pPP3/2P2Q1P/PPB2PP1/RNB1K2R b KQkq -,f8g7
3r2k1/Q4pp1/p2q3p/1p1nBB2/1Pr5/5N2/5PPP/3R2K1 b - -,d6b4
1qk1r3/1p3n1r/p1p2Bb1/2Q1P2p/4N1pP/1PN5/1PP3P1/1K3R2 b - -,b8c7
4r1bk/1pp3pp/2n1qr2/p1Qnpp2/8/PP1PPN2/1B3PPP/2R1RBK1 b - -,b7b6
rr2n1k1/3nppbp/1q1p2p1/2pP4/P3P3/R1N2NP1/1P2QPKP/2B4R w - -,c3b5
r2r2k1/pb2nppp/3pp3/pP6/2PP4/2NB1P2/3K2PP/RR6 b - -,a7a6
5r1r/k3npq1/2n1p2p/pp1pP1pP/b1pP2P1/P1P1N1QB/1RPB1PRK/8 w - -,f2f4
r2q1rk1/pp1n1ppp/3b1nN1/3Pp3/8/2N1B3/PP2BPPP/R2Q1RK1 b - -,h7g6
r4r2/pppqn1k1/1b1p1pbp/3Pp1p1/2B1P1P1/2P2NPP/PP1N2K1/R2Q1R2 w - -,d1e2
8/6rk/p3q1rp/3p4/P4Q2/4R1BP/1P4PK/8 b - -,e6b6
1rr2bk1/4qp2/3p1npp/2nPp3/bB2P3/5NNP/4QPP1/1R2RBK1 b - -,f6d7
8/8/3p1k2/r2Pp3/6RP/8/5PK1/8 b - -,a5d5
8/8/7p/1B3pk1/P1N3p1/6P1/2r2PKP/8 b - -,f5f4
8/3k3p/4p2q/3p4/3P4/p7/6P1/4Q1K1 b - -,a3a2
2r1k1r1/1pp1n3/pbp1pBp1/4R2p/4P3/1N3P2/PPP1KP1P/3R4 w - -,e5e6
8/2k2p2/4p3/pP1pPn2/K2P1P1p/8/8/4B3 w - -,a4a5
r1bq1rk1/ppp2ppp/1nnp1b2/1B2p3/4P3/2PP1N2/PP3PPP/R1BQRNK1 w - -,h2h3
r2qr1k1/1p2n1pn/3pbp1p/pPp1pP2/2P1P3/P1NPQ1PP/4N1BK/2R2R2 b - -,e6f7
8/6k1/R4n2/6p1/6P1/5K2/8/8 w - -,a6b6
8/8/3p3Q/8/2p1p3/3r4/2K1k3/8 w - -,h6h5
r4nk1/5ppp/1q2p3/3nP3/1b1N4/3b1N2/1P3PPP/2BQ1RK1 w - -,d1d3
8/pp2nk2/1bp1bp2/4p1p1/4P1P1/P1N1NP2/1PP2BK1/8 w - -,e3f5
3q1r1k/3n1p2/pp1ppbp1/2p5/1PPPB3/4R1P1/P1Q2P1P/3R2K1 w - c6,d4c5
6k1/1p2bp2/p1p3p1/7p/1P1P4/2P1B2P/1P3KP1/8 b - -,f7f5
r1b2rk1/1pp1qppp/p1n2n2/2b1p3/4P3/1BP2N2/PP2QPPP/RNB2RK1 w - -,h2h3
4r1k1/5p2/7p/p4q1N/1pp3Q1/4B3/PP1n2P1/4R1K1 b - -,f5g4
r1b1k2r/p2n1ppp/1qp1pn2/1p4B1/PbpP4/2N1PN2/1PQ1BPPP/R4RK1 b kq -,c8b7
8/8/2k5/PR2p3/8/1K6/8/4r3 w - -,b5b6
2Q2qk1/p3rnpp/1p2pB2/8/3p4/3N1PP1/PP2P2P/2R3K1 b - -,g7f6
5k2/6pp/5p2/R1p2P2/1pPp2PP/3n4/P7/6K1 b - -,f8e7
r2qk1r1/1p1bbppp/p1n1p3/3pP1B1/7P/2NR1NQ1/PPP2PP1/2K4R b q -,d8a5
8/3bNk2/3P1p2/5N2/6r1/r7/4RP1K/8 b - -,g4g5
2r3k1/5pp1/p2r1b1p/3P4/2p3P1/2P4P/PP5R/1KNR4 w - -,h2d2
