8/4r1k1/5p2/5K2/6P1/3Q4/8/8 w - -,d3d6
8/4pk1p/R5p1/6P1/p5K1/8/6P1/r7 w - -,g4g3
r1b1r1k1/pp2pnbp/1q4p1/2pp4/5B1P/1QP1P3/PP1NBPP1/R3K2R b KQ -,e7e5
5rk1/4ppbp/1QBp1np1/8/1rn2B2/2N3P1/P3PP1P/2R2RK1 b - -,b4b6
b2R3k/5pb1/2p2q1p/2N1p3/1p2P2P/1B4P1/1PP2Q1K/8 b - -,f6d8
qr4k1/r2nbppp/5n2/8/1P1Np3/PQN1P1P1/R2B1P1P/4K1R1 b - -,d7e5
2q3kb/p3pp2/1p2n1pB/3pP3/3P4/2P2NP1/r4PKR/2Q5 w - -,c1h1
8/8/6k1/5Rp1/6P1/2P1K3/8/r7 w - -,f5e5
8/5k2/1b2p1p1/1B1bPp1p/3N1P1P/2P3P1/3K4/8 w - -,d2d3
2r2k2/5p1p/1r2b1p1/p3p3/2B1P3/1PK2P2/3R2PP/R7 b - -,e6c4
r4rk1/1b2bppp/1qnppn2/p1p5/1p2PP2/1P3NP1/PBPPQNBP/R2R2K1 w - -,d2d4
r4rk1/1q2bppp/p1bppn2/4P3/3B1P2/3B2Q1/1PP1N1PP/4RR1K b - -,d6e5
8/2p4p/8/2pk1pb1/8/1PPK1NPP/8/8 b - -,g5e7
rnb1k1nr/p2pppbp/6p1/qppP4/8/2P2NP1/PP2PP1P/RNBQKB1R w KQkq b6,e2e4
r4r1k/2q5/p2RBbp1/PpP4p/7P/4BP2/2P1QP2/4K3 w - -,e2d3
5r1k/3n1ppp/4qN2/1p6/4p3/6P1/PP1QPPBP/2R3K1 b - -,d7f6
2qb2k1/p1r2ppp/1pn2n2/3p4/1P5N/P3P1P1/1BQ2PBP/2R3K1 w - -,c2d1
6k1/4qp2/p1p3p1/1p2p2p/1P2P3/P4PP1/2PQ3P/6K1 b - -,h5h4
1R6/8/8/8/3K2r1/1p6/3k4/8 w - -,d4e5
rn1qkb1r/1p3ppp/p1p1pn2/4Nb2/P1pP4/2N1P3/1P3PPP/R1BQKB1R w KQkq -,f1c4
r1bqk2r/p3pp1p/1pp2npQ/2p5/4P3/2NP4/PPP2PPP/R3K1NR b KQkq -,f6g4
r1b1kb1r/ppp1pppp/2n2n2/1B6/4P3/2N5/PPP2PPP/R1BK2NR b kq -,c8d7
8/7p/2k1p1p1/1p4N1/3K1P2/2P3P1/b6P/8 b - -,h7h5
b7/2n4k/1rNp1pnp/1p1PpN1B/1Pp1P3/2P3P1/3K3P/R7 b - -,a8c6
4r2k/p2b3p/3p4/2pP1p2/2PqrR1P/P2B4/3Q2P1/5R1K b - h3,e4f4
rnbq1rk1/ppp1bppp/4pn2/8/2BPP3/2N2N2/PP3PPP/R1BQK2R w KQ -,e1g1
2rrb1k1/1pqnbppp/4p3/1P1pP3/5P2/2N2B2/R1PBQ1PP/5R1K b - -,d7b6
r4rk1/3b1pp1/4p2p/ppn1P1q1/3N4/2P2Q2/PPB3PP/R3R1K1 b - -,b5b4
2r1rbk1/1bqn1ppp/3p1n2/3NpP2/1p2P1P1/1P2NB2/2PBQ2P/R4RK1 b - -,b7d5
1n1r1k2/2q2bp1/1p3p1p/p1p1pP2/P3P1P1/4B3/1PP2QBP/4R1K1 w - -,h2h4
5k2/5Bpp/p2q4/n4Q2/P7/6PP/5P1K/5r2 b - -,d6f6
br2k2r/q2nbp2/4p1p1/4P2p/1p2pP2/4N1QP/PP1BB1P1/2R2R1K w k -,e2c4
7r/p4k2/1p1Rpp2/2p5/4P3/P1P2PK1/7P/8 b - -,f7e7
8/1p4R1/5p2/3kpr2/2p5/P7/1P6/3K4 b - -,b7b5
8/2B2nk1/p2p4/P2Pp3/1R2Pp1b/2Nb4/6P1/6K1 w - -,b4b6
r2qk2r/pp1n1p2/2p1p1p1/5n1p/3PBQ2/7P/PPP1NPP1/R3K2R w KQkq h6,e1c1
3r2k1/p4pp1/q3p1p1/bN6/Pn2PP2/1P3Q2/1B4PP/R6K w - -,a1d1
2k1br1r/ppq1n1b1/4p1Pp/3pP3/1PpP1BQ1/P5P1/2B2P2/RN2K2R b KQ -,c7b6
1k6/p7/3p2p1/2pPp2n/PpP1P1pP/1P4P1/3K4/5N2 b - -,b8c7
7r/b2bqpk1/1pp2R1p/2PpP1n1/1P1P3Q/7P/6BK/3RB3 b - -,b6c5
b2r1k2/Q4p1p/p2q1np1/1p1P4/8/P1N2B1P/1P4P1/4R2K w - -,a7d4
5k2/1pp4p/p3p3/8/2pP4/5KP1/PP2P2P/8 w - -,e2e4
rn3rk1/pb3ppp/1p1np3/2p5/P4B1N/3P2P1/1P3PBP/R3R1K1 b - -,b7g2
rn3rk1/1bq1bppp/pp1ppn2/8/2PNP3/1PN5/PBB2PPP/R2Q1RK1 w - -,d1d3
r3k1nr/ppp2ppp/2p1b3/8/3bP3/3B2P1/PPPN1PP1/R1B2RK1 b kq -,g8f6
2k2b1r/1pp1p1pp/p1B5/8/1P1r1q2/P1N2P2/2P3PP/R2QK2R w KQ -,d1e2
r3k2r/pppq1p2/2np3p/2b3p1/B2PPn2/5Q2/PP3PPP/R1B1RNK1 b kq -,c5d4
5k2/1pR1p3/5p2/2P2Pn1/4n3/r3N3/4PKB1/8 w - -,g2e4
5rk1/2qn1p2/2p1p1p1/2Pp2Pp/3P1P2/2NQ2P1/5P2/R5K1 w - -,g1g2
rnbq1rk1/1pn1bppp/p2p4/4p1P1/4P3/2N1BN1P/PPPQ1P2/R3KB1R b KQ -,b8d7
r1q2rk1/1b1nbpp1/p1p1pn1p/Bp6/3PP3/1PNB1N2/4QPPP/2R2RK1 w - -,e4e5
8/8/8/8/4p3/R2r4/8/4k1K1 w - -,a3a1
r2qk1nr/pp3pbp/2p3p1/3pB3/8/2NBPQ1P/PPP2PP1/R3K2R b KQkq -,g7e5
r4r1k/pbnq2b1/1p1p2pp/3Pp3/P1B2n1N/2N1B2P/1P3PPK/2RQR3 b - -,d7f7
2r5/4R1k1/1p6/p2P1ppp/P7/4P1P1/5K1P/8 b - -,g7g8
2r3k1/1b3ppp/p7/2Rp4/3B1q2/N5r1/PP4BQ/3R2K1 b - -,c8c5
r2q1rk1/pppb2pp/2nbp3/3pNp2/3PnP2/2P3P1/PP1NP1BP/R1B1QRK1 w - -,d2e4
8/1r6/1p1RpB1p/p1p2bPk/P1P1pP2/4K3/8/8 w - -,g5h6
6r1/p6p/4k3/4p3/2ppK3/5RPP/PP6/8 w - -,f3f5
8/q4pk1/5R2/P3P1p1/7p/7P/6P1/R6K b - -,a7d4
r4rk1/p2p1p1p/bqn2p2/2pB4/1b2PN2/2N2P2/PP1Q2PP/R3K2R b KQ -,f6f5
3r2k1/5pb1/p1rBp1pp/1qPp4/1P6/1Q2P2P/5PP1/1RR3K1 b - -,d8d7
2qrr1k1/pbp1b1pp/1p2pn2/n3N1N1/P7/1PP1Q3/2B2PPP/R1B1R1K1 w - -,e3h3
6k1/4brpp/1pRn1p2/pn6/3P1B2/3BPN1P/5PP1/6K1 b - -,e7f8
6k1/p2rpp1p/2p3p1/2q2b2/8/P1N2PP1/1PP1Q2P/2K1R3 w - -,e2e3
3r4/p4pk1/3q2pp/8/P1BpRPP1/1P1Qn2P/5K2/8 b - -,d6f6
3r2k1/2qr1pbp/1p2b1p1/p1p1p3/P1NnP3/1P1PB1P1/2Q1BP1P/2RR2K1 w - -,e3d4
2R5/8/1P1k4/8/K7/8/8/5r2 w - -,b6b7
r3r3/p3bkpp/1p2Nn2/3p4/b7/PP2B1P1/4PP1P/1R3RK1 b - -,f7e6
4r3/6k1/4BR2/6KP/8/8/8/8 w - -,f6f7
6k1/1R3p1p/4p1p1/pP1r4/P7/5P1P/r4P2/1R4K1 b - -,a2a4
3r4/pb3pk1/1p1p2pp/2pP4/7P/1P2rPP1/P3P1N1/4RRK1 b - -,e3c3
rn1qr1k1/4bppp/p1bp1n2/1p2p3/4P3/2P2N2/PPBN1PPP/R1BQR1K1 b - -,b8d7
2r3k1/p3pp1p/R2p1np1/2qP4/8/1P4PP/P2Q1PB1/6K1 b - -,c5c1
rnbq1rk1/pp3ppp/4p3/3pP3/2PPn3/P7/1BQ2PPP/R3KBNR b KQ -,d8a5
5R2/rp3pkp/6p1/n2r4/8/3B4/P3KPPP/7R w - -,f8e8
4Qbk1/5ppp/4p3/8/2P2P2/7P/P5P1/3q2K1 w - -,g1h2
5Q2/3p2pk/4p2p/3qn2P/3N4/p3P1PK/P4R2/2r5 w - -,f8a3
5b2/4r3/4pk1p/4p3/3pP1B1/3P2PK/7P/1R6 w - -,b1b5
3r4/1b5p/1p2k1p1/p1p5/P1P1p3/1P1nP2P/5PP1/3R2K1 b - -,b7c6
8/4b3/p1k3r1/2pRp1pp/2P1P3/4BP1P/1P2K1P1/8 b - -,e7d6
8/2k5/p4p2/2PK1p1p/1P5P/8/8/8 w - -,d5d4
