1K1Q4/8/1P6/7k/2q5/8/8/8 w - -,d8d1
r5k1/1pp2p1p/3q1p2/3PpQ2/4P3/r7/5PPP/R1R3K1 w - -,a1a3
r1q1k2r/pp2bppp/2n1pn2/3p1bB1/8/1Q1P1NP1/PP2PPBP/RN3RK1 w kq -,b1d2
8/8/5k2/R4p2/6p1/8/6PK/5r2 b - -,f1f2
3r2k1/pp2bpp1/5n1p/1b6/4p3/4B1PP/PP2PPB1/2R1NK2 b - -,b5c6
r1bqk2r/ppp2ppp/1Nnp1n2/8/4P3/1N6/PPP2PPP/R1BQKB1R b KQkq -,a7b6
3q2k1/1p3pp1/2p2n1p/2P1RP2/pP6/P1Qr2PP/5PB1/6K1 w - -,c3b2
8/pp5k/8/8/8/3p1qNb/PP1Q3P/6K1 w - -,d2f2
r1bq1rk1/p1p2pp1/1pnp2np/1B2p3/P2PP3/2P2N1P/2P2PP1/R1BQR1K1 b - -,c8b7
r1bqr1k1/1p1n1pnp/p2p1bp1/2pP4/P3P3/2N1B2P/1PQNBPP1/R3K2R b KQ -,f6d4
8/1r6/8/1k1K4/8/4B3/8/1R6 b - -,b5a6
5k2/R4p2/5p1p/1p6/7P/pP2P1P1/r4P2/6K1 w - b6,b3b4
2rq1rk1/pb3ppp/5B2/2pp4/6Q1/1P2P1P1/P4PBP/R3R1K1 b - -,d8f6
2kr2r1/p4p2/4p3/1p2P2P/bRn2PP1/P1N3R1/2P5/4KB2 b - -,c4a3
1r6/8/8/4rk2/5R2/6PK/8/8 b - -,f5g5
2r1r1k1/1p2q1pb/1Bn1pp1p/pN1pPP2/Pb2n1P1/1N6/1P2Q1BP/2RR2K1 b - -,c6e5
8/8/8/6K1/3R1p1r/5k2/3B4/8 b - -,h4g4
8/4k3/4n3/3R4/4P3/1p2K1P1/2r3P1/3N4 w - -,d5d2
7k/1b3rp1/p3Q2p/q6P/3N1r2/1P6/2PR2PK/3R4 w - -,e6g6
2kr4/1pq1b3/6p1/p1p1pb1p/2P1N3/P1BPQ3/1P4PP/5RK1 w - h6,e4f2
1rR5/5k2/4p1p1/1r1p1q1p/5Q1P/6P1/5P1K/8 w - -,f4c7
8/7Q/6p1/6k1/8/8/3q1K2/8 w - -,f2f1
1r1qnrk1/1p1b2b1/2pp4/p1nP1p1p/2P2R1P/2N1N1P1/PPQBB1K1/1R6 b - -,g7e5
6k1/3q3p/3P1p2/pP2p1p1/4P3/2r2PP1/Q6P/3R2K1 b - -,g8f8
6b1/1R5p/6pk/8/1p1r1p2/5B1P/5PPK/8 w - -,b7b8
b3r2k/p3r3/2p4p/2Nn4/2BRp3/1P4P1/P6P/4R1K1 b - -,e4e3
r4rk1/pb3pbp/1pnqp1p1/1B6/3PP3/1Q2BN2/P4PPP/3R1RK1 w - -,e3c1
6k1/1p3pp1/2b4p/p1B5/6P1/1RP4P/5P1K/r7 w - -,f2f4
2r3k1/1qr1bppp/p2pp3/n7/2P1PP2/3NQ1P1/P2N3P/2RR2K1 w - -,c1b1
r1bqkb1r/pp2pppp/2n2n2/2Pp4/2P2B2/5P2/PP2P1PP/RN1QKBNR w KQkq -,b1c3
r1bqk2r/pp2npbp/2n3p1/2pp4/4P3/2NP1NP1/PP3PBP/R1BQ1RK1 b kq e3,e8g8
8/1PR2p2/1r4k1/4p3/6p1/8/2P3PP/2K5 b - -,f7f5
1R3bk1/5ppp/3p1n2/R3p3/P1r1P3/4B1P1/r4PBP/6K1 b - -,c4a4
8/r3rkb1/1R2p1pp/p1N1Pp2/3P3P/4B1P1/P3KP2/8 b - -,e7e8
6rk/2q2p1p/3bp2P/5pPB/2pP1P2/2P1Q3/6RK/1r3R2 w - -,f1f2
8/8/2kr4/3n1R1P/8/2r5/3R1K2/8 b - -,c3c5
r5r1/1pqn1p2/p1p1pbp1/2Pp2Nk/5P2/1P2P2P/PBQ3R1/6RK b - -,f6b2
r2q1rnk/p2n1pp1/bpp1p3/3p2QP/3PP3/2N2P2/PPP1N3/2KR1B1R w - -,g5g3
3k4/7n/p2P4/2pRp3/8/P7/5P2/5K2 b - -,d8d7
r1b2rk1/ppqnpp1p/6p1/2P5/Q1p5/2P3P1/P3PPBP/R1B2RK1 b - -,d7c5
r2qk2r/p3bp2/1n2p1p1/n2pP2p/b1pP1P2/2P1NNQ1/P2B2PP/R2B1RK1 w kq -,d1a4
4r1k1/5ppb/p3P2p/2Pp1P2/4q2P/6Q1/P7/3B1RK1 w - -,e6f7
3r4/pp3b1p/2nb1pk1/2pNp1p1/4P1B1/1PP3PP/PB3P2/3R2K1 w - -,b2a3
1rb5/8/1pp2Rpk/8/6r1/P1p5/2K3NP/3R4 w - -,g2e3
6k1/3r4/p6p/6p1/1p1b2P1/1P1R2BP/P1P1K3/8 b - -,d7e7
1rb2rk1/p1p2ppp/P2p4/4p2q/3BPP2/1pPn2Q1/1P4BP/R4RK1 w - -,d4a7
8/8/r2b2p1/1b1Np1k1/1P2P2p/p1K1N2P/R5P1/8 w - -,c3b3
4r1k1/1p1nqppp/p2R4/4B1P1/2r1P3/1N5P/PPP3Q1/1K5R b - -,d7e5
r4rk1/b2p1ppp/3P1n2/1pn1p3/2b1P3/P1N2BP1/1P2NP1P/R1B1R1K1 w - -,c1e3
8/2kp4/6R1/3r1N1P/2p3K1/8/8/8 w - -,h5h6
8/5k2/8/5K2/4N1P1/8/8/8 w - -,g4g5
7n/5qbk/p3Q2p/2rNpN2/2p1P3/6P1/P4PK1/1R6 w - -,e6d6
4r1k1/1p3bpp/2n5/1N3p2/1qPp1Q1P/1P3PP1/6B1/1R5K b - h3,d4d3
r1bq1rk1/p3bppp/1pn1pn2/6B1/3P4/2NB1N2/PP3PPP/R2Q1RK1 b - -,c8b7
r1bqk2r/pp2n2p/1b2p3/1P1pp3/8/P7/1BPN1PPP/R2QKB1R w KQkq -,d1h5
r1b1kb1r/1pq2pp1/p1nppn2/6B1/4P2P/1NN5/PPPQBP2/2KR2R1 b kq -,c8d7
r2bqrk1/p5pp/bpp2n2/3p1p2/1P1B4/2Q1PPP1/P2N2BP/R3R1K1 b - -,a8c8
4r1k1/5p2/4qnp1/4p2p/1p2P3/1P2BP2/Q5KP/3R4 b - -,f6e4
3r2bk/2b4p/2p1p1q1/1pP1P3/pP2pPP1/P2pR2Q/3R4/1B3K2 b - -,d8f8
8/4r3/8/2R5/5k2/2P3p1/5P2/5K2 w - -,f2g3
6n1/2q1rp1k/p2b2pp/2pP4/1pP4N/1P4PP/PB1Q1PK1/4R3 b - -,e7e1
8/8/1k3K1p/1p3P2/8/2p5/1pB4P/rR6 b - -,b5b4
1k6/1pp5/1b1p4/p2P1R1p/P1B5/8/1PP4r/3K4 w - h6,f5f3
r3kr2/pp2p1bp/n1pq2p1/8/8/2P1RN2/PPPBKQPP/R7 w - -,f2h4
rnbqk2r/pp1pbppp/4pn2/8/2PN4/6P1/PP1BPPBP/RN1QK2R b KQkq -,b8c6
r3k2r/1bqnbppp/p2ppn2/1p6/4PP2/P1NB1N2/1PPB2PP/R3QRK1 b kq -,e8g8
4k1r1/1p2bp2/pBr1n2p/3N1p2/8/1P6/P2R3P/1K1R4 b - -,e7h4
6k1/pb4bp/1p1pp1p1/8/2Pn1B2/Q2R1P1q/PP3P2/4R1K1 w - -,f4g3
r2q1rk1/pppbnpb1/3p1npp/1P2p3/2P1N3/2NP2P1/P3PPBP/1RBQ1RK1 b - -,f6h5
2k1r2r/p1pp1p1p/b1p5/3nq1p1/2P5/1P4P1/PB3PBP/RN3RK1 w - -,b2e5
8/7p/p6k/3pB2P/1b3PP1/1P3K2/8/8 b - -,b4c5
8/7p/4b1p1/1p1p1kP1/1PpK3P/8/5B2/8 w - -,f2e1
rn2k2r/pp2n1pp/4p1q1/4P3/b2N4/P7/3BQPPP/R1R3K1 b kq -,b8c6
8/R7/3b2k1/5p2/3r4/5K2/5P2/8 b - -,d4f4
4k2r/1b2bpp1/p3pn1p/3p4/Pp2PPP1/1Rq2B2/2P1QB1P/5RK1 b k -,c3c7
r4rk1/5p1p/p2p1qp1/2pP1b2/Pp2P3/6P1/1P1Q1PB1/R4RK1 b - e3,f5d7
4r2k/6bp/p2q1np1/4n3/Pp1p1N2/1P1B2QP/1B3PP1/3R2K1 b - -,e5d3
2r1rbk1/pp3ppp/2n1q3/2pnpb2/2N2P2/2PP2P1/PP1BQNBP/R3R1K1 b - -,b7b5
1n3rk1/2r1bppp/1qp1bn2/1p1pNPB1/3P4/2NBP2P/1P2Q1P1/2R2RK1 b - -,e6c8
r4rk1/ppq2pbp/2b1p1p1/4P3/2p1N3/2P3B1/PP1Q1PPP/R4RK1 w - -,d2f4
rn1q2k1/pb1pb1pp/4p3/2p5/5r2/2PB1N2/PPQN1PPP/R3K2R b KQ -,h7h6
rnbqk2r/p3bppp/1pp1pn2/1B1p2B1/3PP3/5N2/PPPN1PPP/R2QK2R w KQkq -,b5d3
r1r3k1/P3np1p/1Q2p1p1/2P1P3/R7/2N4P/1Pq2PP1/3R2K1 w - -,a4d4
r2qk1nr/ppp2pbp/3p2p1/3P4/2PpP3/5B2/PP3PPP/RN1QK2R w KQkq -,b1d2
3q1r1k/6rp/p1Bp4/4bp2/PPb2p2/5Q2/2NR1PPP/1R4K1 w - -,c2e1
3r1rk1/1Rp2pp1/p6p/4pq2/2Q2b2/2PP1N2/P4PPP/5RK1 w - -,d3d4
