2k5/1pp3p1/p7/2R5/8/2P2K2/PP5P/1r6 w - -,b2b4
rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/5N2/PP2PPPP/RN1QKB1R b KQkq -,f8e7:f8b4:d5c4:b8d7:c7c6:h7h6
3r1rk1/1pp1q2p/p1n5/b2p4/3PbPpP/1Q2B1N1/PP2BPN1/2KR3R w - -,g3e4
r2q1rk1/pbpn1ppp/1p1pp3/8/2PPn3/2N2NP1/PP1QPPBP/R3R1K1 w - -,d2d3
3R4/pbr2k2/1p3pp1/4p1p1/6P1/2P1KP1P/PP2N3/8 b - -,f7g7
4k2r/3n2bp/1p4p1/1bpBpp2/2P5/5NP1/P2PPP1P/2B1K2R b Kk -,d7f6
r1b1r1k1/pppp1ppp/7q/1Bb5/3NP3/2N2P2/PP3K2/R2QR3 b - -,h6h2
3r1n1R/1r6/1p2k1p1/2p1PpP1/2Pp1P2/R7/1P1KN3/8 b - -,e6d7
1qrr1nk1/pb2b1p1/1p2pn1p/1NppN3/2PP4/1P1BP3/PB2Q1PP/3R1RK1 w - -,d4c5
3r4/rp3pk1/2p5/2P1n1pp/PR1pPq2/1B5P/5PP1/3Q1RK1 b - -,g5g4
5rk1/ppp2ppp/2nr2q1/8/2BP1Q2/5NN1/PP3P2/3R2K1 w - -,c4d3
6k1/2R3pp/p5n1/4p3/1rPN1P2/6P1/7P/6K1 w - -,d4e6
3R4/8/8/p7/2p1p3/2K1k3/8/4r3 w - -,c3c4
2krr3/ppp1bpp1/2n5/1N1p2qp/3P1N2/P2Q1PP1/1PP4P/R4RK1 w - -,b5c3
5rk1/3q3p/1p2r3/p2n1p2/2RP2p1/4P3/3B1PPP/2RQ2K1 w - -,d1b3
r3rnk1/6b1/pN2p3/3q1pPR/1p1p4/7Q/PPP2BP1/1K1R4 b - -,d5b5
7k/5p1p/B4n2/b3pN2/8/8/2P4P/7K b - -,f6e4
r1bqkb1r/4nppp/p1p1p3/3pP3/2P5/3B4/PP3PPP/RNBQ1RK1 b kq c3,d5c4
2r2nk1/pp3pbp/4bnp1/q2p4/3Pp3/1Q2P2P/PP1NBPPB/R2R2K1 w - -,b3b7
r4rk1/1pq1bp1p/6p1/p1npPp2/P1pN1PP1/2P1P2P/1P4K1/R1B1QR2 b - -,f5g4
8/rB6/P7/1p2kp2/1K2R3/4P3/8/8 b - -,f5e4
8/1P5R/4kp2/7p/1r3K2/7P/5P2/8 w - -,f4g3
r3kb1r/pp1q1ppp/2n1pn2/8/3P2b1/2N1BN2/PP2BPPP/R2Q1RK1 b kq -,f8e7
5n2/4B3/2p3k1/3b4/3K4/8/8/3B4 b - -,f8e6
rnbqk2r/1pp1ppb1/p4np1/3p3p/3P1B2/2N2P2/PPPQP1PP/2KR1BNR w kq h6,e2e4
3r1rk1/2q2pb1/1pn1b1pp/2pnp3/2N1N3/2PP2P1/1P2QPBP/R1B2RK1 w - -,f1e1
6k1/p4pb1/2p1rqp1/5r2/3p4/B2Q2PP/PP3P2/2RR2K1 w - -,d1f1
rnbqk2r/pp2nppp/3b4/3p4/3P4/NPP1BN2/5PPP/R2QKB1R b KQkq -,b8c6
r1b1qrk1/pp4bp/n2p1n2/3pppB1/2P3PN/2N4P/PPQ1BP2/R3K2R w KQ -,c4d5
r1bqk2r/ppp1bppp/2np4/3NP3/5P2/P7/1PP3PP/R1BQKB1R w KQkq -,e5d6
r3q1n1/p1pbbpk1/2p1pNp1/3pP1P1/3P1N2/5Q2/PPP2P2/1K4RR b - -,e7f6
1r6/1P5p/2K3p1/4k3/4B3/3p1P1P/8/8 b - -,d3d2
r3kb1r/pppqp3/5ppp/3p1b2/1n1P4/2NBP1P1/PPPQNPP1/R3K2R w KQkq -,e3e4
3r1k2/5Pp1/1Q4p1/p3P1P1/1b4B1/1P1q2P1/8/5R1K w - -,g4e2
2r3k1/pp2n1p1/4bqnp/3p4/1B1P4/P4NPP/1Q3PBK/2R5 b - -,c8c1
1rb1r1k1/1p2qpbp/p2p2p1/5p2/2PP1N2/2n1P1P1/P1Q2PBP/1R3RK1 w - -,c2c3
2r1k2r/1p6/p3R1p1/7p/3Bp1n1/2P5/PPN4P/7K b k -,e8f7
2r3r1/p1qknp2/1pn1pBp1/2ppP2P/3P1QP1/P1P5/2P1N3/2R1K2R b K -,g6h5
6k1/2Q2p1p/6p1/5n2/8/1q6/6B1/7K w - -,h1h2
k7/4r3/1R1B4/2K5/8/8/8/8 b - -,e7b7
1rbqk2r/pp2ppbp/2np1np1/8/4P3/2N3P1/PPP1NPBP/R1BQK2R w KQk -,e1g1
1r1r2k1/p1q1npp1/2p1p2p/1pR4P/P2P4/1PP2BP1/2Q2PK1/4R3 w - -,a4b5
r3nrk1/pp4bp/4bpp1/qP2p3/P2pP3/3P1NP1/3B1PBP/R2QR1K1 b - -,a5d8
1r3rk1/pp2qppp/b3p3/4P1bn/3NN3/1Q4P1/PPR2PBP/3R2K1 b - -,g5h6
rn1qkbnr/pbppp1pp/1p6/5p2/3P4/5N1P/PPP1PPP1/RNBQKB1R w KQkq -,c1f4
r1nq1rk1/1p1bbppp/p2pp3/n7/P3P1P1/2N1B3/1PPNQPBP/R3K2R w KQ -,e1g1
r1b1kb1r/pp3ppp/5n2/4p1B1/2Bn1P2/2N5/PP4PP/2KR2NR b kq f3,c8g4
1qrr2k1/4bppp/b2pp3/1p6/1PnBP2P/P4BP1/4QPK1/1NRR4 b - -,d8d7
k1b3r1/pp5p/2p2p2/4b3/PPP1N3/5B1q/2Q2PP1/3R2K1 w - -,g1f1
r1bqrnk1/pp3pp1/2pb1n1p/3p4/3P2P1/2NBP1BP/PPQ1NP2/R3K2R w KQ -,g3h4
4k3/2r4p/p3p3/1p1pN1rP/1PbPp1P1/2K1Pp2/P4P2/R5R1 w - -,c3d2
7k/6r1/4B1RP/5Pp1/3b2P1/5K2/8/8 b - -,g7a7
1r1q1rk1/pp1b1pbp/3p1np1/2p1p3/2P5/P1NPPQPP/1P1B1PB1/1R3RK1 b - -,d8c8
r4rk1/pp4bp/2p2np1/3pn3/N5P1/4BP2/PPP3P1/3RRBK1 b - -,b7b6
8/5k2/pq1p4/b1pPN1n1/b1P1PpP1/5P1p/1Q2N3/2K4B b - -,d6e5
1k6/5B2/5p2/1np5/p1N5/6P1/5KP1/2r5 b - -,a4a3
1R6/2p2rk1/2Pp2p1/b2P4/6Pn/2R5/8/7K w - -,c3a3
3r2k1/1p1P1pp1/r4n2/2p1N1pP/p5P1/5P2/PP1R4/1KR5 b - -,a6a5
r2qr1k1/6bp/b2p2p1/1NpPnp1n/4P3/N3B1PP/1P3PB1/R2Q1RK1 b - -,d8d7
2kr3r/1bq2p1p/p2pp1p1/2n3P1/1p1NPP2/3B1Q2/PPP4P/1K1RR3 w - -,f3h3
r2q1rk1/4nppp/ppn5/4p1B1/1b1pPP2/N2Q4/PPP1N1PP/2K2R1R b - -,f7f6
8/1Q2bk2/4pp1p/ppq5/5PPP/2P5/PP6/1K1R4 b - -,c5c4
r1br2k1/ppq2ppp/4p3/3n2b1/3PN3/6P1/PP3PBP/R2Q1RK1 w - -,e4g5
8/p3p2k/R5p1/pr5p/8/1Pb1BP1P/P4P2/6K1 w - -,a6a7
r2q1rk1/1p2b1pp/p1npb3/3Np3/P3Pp2/1N1Q1P2/1PP1B1PP/R4RK1 w - -,f1d1
r3q2k/6b1/p1b1B1np/1p2Prp1/1P1B4/1QP2p2/6PP/R2R2K1 w - -,e6f5
r2q1rk1/1p2b1p1/4pp1p/p1PpB3/3P2P1/7P/PP1Q1PK1/1R2R3 w - -,e5g3
6R1/p3kpp1/8/4PrPP/8/6K1/8/8 w - -,g8g7
r4rk1/pb1n2pp/8/2pq4/Ppp1p3/4B1N1/1P2QPPP/R3R1K1 b - -,d7e5
2b1rrk1/p1q2npp/8/2p2p2/2PpP3/1P3NPP/PB2R1P1/3QR1K1 b - -,c8b7
4r3/p4pk1/1p2p1p1/6Pp/2PR1P2/1P2r2P/P7/3R2K1 w - -,d1d3
rnb1r1k1/3nqpbp/p1p3p1/1p2p3/2P1P3/1NN1BP2/PPQ1B1PP/R4RK1 w - -,f1d1
rn3rk1/2qbppbp/p1pp1np1/8/3PP3/N1PBBP2/1PQ1N1PP/R3K2R w KQ -,e1g1
8/p2r1k1p/1p3P2/3n4/1P6/1K6/PB3R2/8 b - -,d7d6
4r1k1/p4ppp/n1p2b2/8/1p6/1B3R2/PPP3P1/R4K2 w - -,f3f5
5rk1/p4p1p/1b6/1p1B3p/4Q3/2r3q1/P3RPP1/3R2K1 w - -,d5b3
4r1k1/p2n3p/2pb2pB/qp1p1r2/3PpN2/2P1P3/PP2QPP1/R4K1R b - -,a5d8
4r1k1/2RQ1p2/1p2q1p1/p6p/8/1P2PPP1/P5KP/8 w - -,e3e4
6k1/3n1pp1/3P3p/5q2/pB6/8/1P4PP/R6K w - -,b4a3
k3r3/1b1r2pp/p6q/1pR5/3Pp3/4N3/PP1Q2PP/3R2K1 b - -,h6b6
8/2R1R2p/p2r2k1/5p2/7P/8/1PP3r1/1K6 b - -,g6h5
r1bqr1k1/3nbppp/1p2pn2/p2P4/P1p2B2/2N2NP1/1P3PBP/R2QR1K1 b - -,c8b7
5rk1/4bppp/4bn2/qpPp1p2/3P4/pQN1P1P1/3N1PBP/5RK1 b - -,f6e4
r2bk3/1pnR2pp/p4p2/P1p5/2P1P1B1/6B1/1P4PP/6K1 b - -,h7h5
3rb2r/p1k1bp1p/1pn1p1p1/2pnP3/4NP2/2P3P1/PP3BBP/R2NK2R w KQ -,d1e3
1rb1k2r/p1pp1n1p/1p2p1p1/2qnP3/4Q2P/3B1N2/PPPB1PP1/R3K2R b KQk -,c8b7
r5k1/2qb2bp/1p1p1r2/p2Pp3/P1P1Ppp1/Q2B4/3N1PPP/1R2R1K1 b - -,f6h6
