7k/R6p/8/5p2/3p4/2r5/P1P3PP/6K1 b - -,c3c2
r3r2k/1bn4p/3Q1p2/1p1p1Pp1/2pP2P1/2N1P2q/1P6/1BR1R2K w - -,h1g1
8/8/6p1/2p1k2p/P6R/P1r1PKP1/8/8 b - -,c3a3
2rq1rk1/pp1nbpp1/2p1p2p/3pP3/3P4/3P1N2/PP2NPPP/R2Q1R1K w - -,f3g1
r4rk1/pbqn1ppp/1p2pn2/2p5/3PP3/P1PB1N2/1B2QPPP/R3K2R b KQ -,c5c4
1r2r1k1/1bqn1pbp/1p4p1/2p1p3/2P5/3P1NP1/1BQ1PPBP/1R1R2K1 b - -,h7h6
r3kb1r/1p1n1ppp/pPp1p3/2Pp4/3Pb3/4PN2/1P3PPP/R1B1KB1R w KQk -,f3d2
8/r7/7P/8/5k1K/8/8/5R2 b - -,f4e5
r2q1rk1/pp2bppp/4bn2/3p4/2PQ4/P1N5/1P2BPPP/R1B2RK1 w - -,c4d5
2rq1rk1/1p2bppp/p1n1pn2/2p1N3/3pP3/2PP2BP/PPB1QPP1/R4RK1 b - -,c6e5
3r2k1/p1R3pp/1p2pp2/5n2/4bPP1/NP2p3/P6P/R2rB1K1 w - -,c7c1
4b1k1/8/p3p1p1/3pN1bp/1P1P4/3Q1RPq/P1r4P/6K1 w - -,d3c2
r1bq1rk1/b4ppp/p1n1pn2/1p6/1PB5/P1N1PN2/1BQ2PPP/R3K2R w KQ b6,c4e2:c4a2
8/7p/8/p4K2/Ppkb1N1P/4R3/2P5/8 b - -,d4e3
r3k2r/pp1n1pbp/1qp1pnp1/3p4/3PP2P/1BN1BP2/PPPQ1P2/R3K2R w KQkq -,e1c1
r1b1qr2/ppp1k1pp/2np1n2/2b1p1N1/4P3/1BNP3P/PPP2PP1/R1BQK2R b KQ -,e8g6
2b5/q5k1/3p2p1/P2Bp2p/2P5/4P2P/3Q2PK/8 w - h6,d2f2
3r2k1/ppr2pbp/2n1bqp1/3p4/3P4/P1N2NPP/1PR2PB1/3QR1K1 w - -,c3b5
8/1q5p/3pQ3/2pPp3/p1P1Pp1k/K1P5/6P1/8 w - -,a3a4
8/2k5/5NR1/8/3p1r2/P2P1b2/1KP5/8 w - -,f6e8
r2qr1k1/pp2ppbp/2np2P1/8/4P3/1PN1B3/1PPQ2PP/3R1RK1 b - -,h7g6
6k1/1R3p1p/6p1/8/p7/P1K1P2P/3r1PP1/8 b - -,d2a2
8/6p1/r7/3Pn1p1/4Pk2/1R1B3P/3K4/8 b - -,g5g4
8/1q2p1bk/2p1P1pp/r4p2/p1b2B1P/P3Q1P1/1P3P2/3NR1K1 b - -,b7b3
8/3R1pk1/4pp2/8/1pr3P1/5R1P/1r3PK1/8 w - -,d7b7
r1bqkb1r/pp2pppp/2p5/2p1P3/6n1/3P1N2/PPP2PPP/RNBQK2R b KQkq -,g7g6
1k6/p2q4/1p1Qp2p/4PbpP/2Pp4/P6r/K1N5/5R2 b - -,d7d6
r2q1rk1/1p1bbppp/p1n2n2/2p1p3/P3P3/2PP1N1P/1PB3P1/RNBQ1RK1 w - -,c1e3
r7/1p6/p1k1pp1r/3p2pp/3P1P2/1PPKP1P1/5P1R/R7 w - -,a1h1
2r3k1/5pbp/pN2p1p1/2Bb4/3P4/P7/5PPP/4R1K1 b - -,c8d8
rn1qkb1r/pbpp1ppp/1p2pn2/8/8/1P3NP1/PBPPPPBP/RN1QK2R b KQkq -,f8e7:d7d6
r4rk1/1p1n1p1p/1qp1p1p1/1P1p4/P2Pn3/3BPN2/2Q2PPP/R1R3K1 b - -,c6b5
6k1/pb6/2qr2p1/7n/2P2Q2/2NN1P2/P1P3PP/3R2K1 w - -,f4g4
r2q1rk1/pp1n1pbp/2p1p1p1/8/2PPQB2/7P/PP2BPP1/R2R2K1 b - c3,d8b6
8/2R5/4b3/4kp2/2pp3P/5B2/7r/4K3 w - -,h4h5
2r3k1/3nbp1p/3p2p1/3Pp3/qP6/8/5PPP/BQ1R1BK1 b - -,e7d8
r3rbk1/p1p2ppp/bnp5/8/2P1N3/P2B1K2/1P3PPP/R1BR4 w - -,b2b3
r1b2r1b/1pp2q1k/3p1N1p/p2Ppp2/2P5/2N2BP1/PP2QP1P/R4RK1 b - -,h8f6
3R2k1/ppq3bp/b1p3p1/8/8/1PN1pPP1/PBQ1P2P/6K1 b - -,c7d8
r1bqr1k1/5n1p/1p1p1bp1/pN1P1p2/2P5/4B3/PPRQB1PP/5RK1 w - -,e2f3
r1bqr1k1/3n1pb1/p2p1np1/1p1P2B1/2p1P3/2N2N2/PPB3PP/R2Q1R1K w - -,d1e1
5k2/R4p1p/6p1/1rn5/1p6/1Pb2N2/4KPPP/7R w - -,h1d1
1r1r2k1/2q1bppp/p1b1pn2/1p1pP3/5P2/P1NB3Q/1PPB2PP/4RR1K b - -,f6e4
r6k/1ppqbQpp/2np4/8/p4BpP/2P5/PPP2P2/2KR3R w - -,f7d5
6k1/5R1p/4K3/4P3/P4prP/8/8/8 w - -,a4a5
r1b1r1k1/1pq2ppp/p7/2b1p3/Pn2n3/1P1BPN2/1B2QPPP/R2R2K1 w - -,d3e4
r4rk1/ppp1q1bp/2npbnp1/5p2/2PN4/1PNQB1P1/P3PPBP/R4RK1 b - -,c6d4
r1b2k1r/1p1p1n2/p3pnB1/4qN1p/2p5/1PP5/P2PQ1PP/4RRK1 w - -,e2c4
5b2/2rn1pk1/2p4p/R1P1pPp1/4P1P1/2pB3P/2P2BK1/8 w - -,g2f3
r1b2rk1/p1q1bppp/2p2n2/3pp1B1/4P3/2PB2N1/PP2QPPP/R4RK1 b - -,d5e4
8/pp1R4/5k2/8/8/K1P5/P6r/8 w - -,d7b7
r2r2k1/4qpB1/p6p/1p1p2p1/4b3/1P3N2/1P1Q1PPP/R3R1K1 b - -,g8g7
8/1p1nR2k/2p2bp1/1nP2p1p/1PNp1B2/3P1B1P/5PP1/6K1 b - -,f6e7
1r4k1/3b1p2/p5p1/2pP3r/2P5/1P3R1P/P1B2P1K/1R6 w - -,b1e1
2k3r1/1pq2p2/p1b3rp/7n/3Npp2/1BQ2P1P/PPP3P1/3R2RK w - -,d4c6
8/1p3pk1/6pp/p2Rp3/P3q1P1/1P2P1P1/5PK1/2Q5 w - -,f2f3
2r5/1R6/6p1/p1P3k1/1P6/5K2/8/8 w - -,f3e4
r3k2r/1p2bppp/1pn5/3npb2/4P3/3P1NP1/PP3PBP/R1B2RK1 b kq e3,f5e6
1r6/7k/p3Q1p1/4P2p/1p2qP2/6P1/P3K2P/3R4 w - -,e2f2
5rk1/pp3ppp/1q6/8/3PPP2/P7/BB2Qn1K/8 b - -,f2e4
2b3k1/p1N2p1p/4p1p1/8/2pbP3/3NnP2/P3K1PP/1R6 b - -,e3g2
6k1/p4pp1/1p2r1n1/n1R1P1Qp/8/P3N3/6PP/2r2RK1 b - -,c1c5
r3r1k1/qp3pb1/2pnpnp1/p2pN2p/P1PP3P/BP1BPQP1/5P2/1RR3K1 b - -,a7b8
5r1k/3R1pb1/p1N4p/8/1P5P/5B2/b4PP1/6K1 w - -,f3d5
b7/8/7p/3k4/4NK2/6P1/7P/8 w - -,f4f5
2r2rk1/p4pp1/q4b2/7p/2pP4/2R1B1P1/P1Q2PKP/2R5 w - h6,h2h4
r5k1/pp1n2np/3p1qp1/2pPbp2/2P5/3BB2P/PP1QNPP1/R5K1 b - -,a8e8
6k1/p3pr2/2p1P1p1/8/6P1/6K1/Pr6/5R2 w - -,f1f7
r1br2k1/1pq1bppp/p1p1pn2/4P3/8/2N3P1/PPP2PBP/R1BQR1K1 w - -,c1d2
1r4k1/3p1ppp/q1b1pn2/p7/Pb1P4/N3PNP1/5PBP/R1Q3K1 w - -,a3b5
r4rk1/2q1ppbp/npp2np1/4N3/P2P4/1QN1B2P/1P3PP1/R4RK1 b - -,f6d7
1r3rk1/p1nb2pp/3b1p2/1pp2P2/3nB2q/3PN1N1/PP1BP2P/2RQ1RK1 w - -,e3g2
8/5Rp1/1k4Bp/2P4P/1K6/1P4r1/8/3b4 b - -,b6a6
7R/1Bbk4/2p1r1p1/p1Pp1n2/3P4/3N4/1P6/1K6 w - -,h8h7
r1b1k2r/1pqnbppp/p1p1pn2/3pN3/2PP1P2/1PN1P3/P2B2PP/R2QKB1R w KQkq -,f1d3
8/5pk1/R7/6p1/8/5qP1/5P1P/2R3K1 w - -,a6d6
1k1r3r/1pqbbpp1/p2pp2p/4P3/5PP1/1NN5/PPP2Q1P/1K1RR3 b - -,d6d5
r1b1qr1k/pppn2pp/3b1n2/5p2/2NPp3/2N3P1/PP2PPBP/R1BQ1RK1 b - -,d7b6
5r1k/1q5p/1p5R/p3p3/P2n1p2/8/1P3QPP/2R4K b - -,f8g8
6k1/1p2qppp/r1n5/2rB4/8/bQB1P3/R4PPP/3R2K1 w - -,e3e4
b4r2/7k/p2p4/3P1pqn/2N1P3/5Q2/P5B1/1R4K1 w - -,c4d6
2b2r1k/bp1n1qpp/r2P4/1N2pp2/1PN1n3/4P1P1/4BP1P/1RBQ1RK1 w - -,c1b2
r2q1rk1/1pp1n1b1/2n1b2p/p3pp2/6pN/P1NPP1P1/1PQ2P1P/1RBR1BK1 b - -,d8e8
rnbqk2r/ppppp1bp/5np1/5p2/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq c3,e8g8:d7d6
3r2k1/p3q1pp/b4r2/2p1N3/4pP2/1P1pP3/P1Q3PP/R2R2K1 w - -,c2c3
r4nk1/p4pb1/1p1R2pp/4p3/2r5/P1P1BN1P/1P3PP1/3R2K1 b - -,a8e8
2r3k1/3n2pp/1pp1rp2/p2p4/3P3N/1P2P1P1/P1R2P1P/2R2K2 w - -,h4f5
4n3/8/8/2p1k2p/2B5/1P3KP1/7P/8 w - -,c4f7
