R7/2k5/p7/4Kp1p/6bP/1P2P3/P2n4/8 w - -,a8a6
8/8/6R1/kr6/p6K/8/8/8 w - -,g6g8
r1b2rk1/pp2bppp/2nqp3/2pn4/8/2N2NP1/PPPPQPBP/R1B2RK1 w - -,f1d1
1r1qr1k1/3n1pbp/3p2p1/PppP4/1p2PP2/1Q3BB1/1P2R1PP/R5K1 w - b6,a5b6
rnbq1rk1/ppp2ppp/3p1n2/4p3/1bP5/2N2NP1/PP1PPPBP/R1BQ1RK1 b - -,a7a6
r4bk1/1b3p1p/1pp3p1/p2pP3/5nPq/PPN4P/1Q2PP2/R3RBK1 w - -,e2e3
8/8/6k1/3q1pp1/1P2p3/2P1BbP1/3Q1K2/8 b - -,d5d2
8/1RR1b1k1/5q1p/p5p1/P5P1/1P6/1KN5/8 w - -,b2a2
2r5/p3r1bk/p1NP3n/5pp1/7p/7P/PP3PPB/3R2K1 w - -,c6e7
8/7p/1P4nk/2Q5/1q3pp1/7P/6P1/2R3K1 b - -,b4e4
r1bq1rk1/pp1nbppp/4pn2/3pN3/3p4/1P1BP3/P1PN1PPP/R1BQ1RK1 w - -,e3d4
4r3/1P3k1p/3K1pp1/2N5/4P3/8/6PP/8 w - -,c5d7
RQb3k1/3q2pp/8/3P1P2/2p1P3/1p6/6PP/6K1 b - -,b3b2
5r1r/Qpqk3p/2b1p1p1/1BPp4/P7/2P5/5PPP/R4RK1 b - -,f8a8
r1b2rk1/1pnn1pbp/3p2p1/8/PpPBNP2/3B1N2/1P4PP/3R1RK1 b - -,a8a4
6rk/5p1r/4p3/2P1p1q1/4P2p/1P3RP1/P2bBQ1P/5RK1 w - -,f3d3
8/4k1pp/p3p3/8/1P2N3/3b4/5PPP/6K1 w - -,e4c5
6k1/pQ3pp1/3b3p/P2Pq3/1p6/6P1/5P1P/5RK1 b - -,e5d4
8/R4pp1/p2Bp1k1/3nP3/4r2p/P6P/4K1P1/8 w - -,e2f3
1rbr2k1/2qnbppp/pp3n2/2p1p3/P3P3/N1P1BP2/1P2BNPP/R2Q1RK1 b - -,d7f8
rnbr2k1/1p2ppbp/1qp2np1/p7/P2P4/2N1B1P1/1PP1NPBP/R1Q2RK1 b - -,b6b4
r3r1k1/pb1n1ppp/1p2pn2/2pp4/2PP1B2/P1P1P3/3NBPPP/2R2RK1 w - -,c4d5
r1b2r2/1p1n2k1/p2p2pb/3PpPqn/PP5R/2NB1PP1/2Q1NBK1/R7 b - -,g6f5
6k1/r2pbr2/Pq2p1p1/8/3p1P2/3B1QP1/1PR3K1/R7 b - -,f7g7
r1bq1rk1/pp2npp1/3p1n1p/2pPp3/2P2P2/2PBP3/P2N2PP/R1BQR1K1 b - f3,e5f4
5rk1/pp2bpp1/4p2p/1P1pP3/2r5/2P5/P2BRPPP/1R4K1 b - -,f8c8
8/p7/7k/3R4/2p5/2P4r/P7/6K1 w - -,d5a5
r1b2r1k/p1p2ppp/2p5/4p3/NbB1P2q/4Q3/PPP2PPP/R4RK1 b - -,f7f5
r5k1/1p4bp/1p6/2r5/P4PP1/1P1R4/7P/5RK1 b - -,b6b5
4kB2/1r6/4p1pp/5p2/1P1P1P1K/7P/6P1/8 w - -,f8c5
6k1/8/6pp/pp1R1p2/4p3/1P2P1PP/1P3PK1/2r1nB2 w - -,g2g1
r1br2k1/1p2qpbp/1n1p2p1/pPp1p2n/P1P1P3/1QNPN1P1/3B1PBP/4RRK1 b - -,c8e6
r4r2/1p2q1bk/2n3p1/p1p1pp2/P1N4p/2BP2P1/1P2PP1P/1R2QRK1 w - -,e2e3
r1bq1rk1/ppb2pp1/2n1pn1p/8/1PBP4/P4N2/4NPPP/R1BQ1RK1 w - -,c1b2
1rbq1rk1/1pp2pbp/p1np1np1/3Pp3/2P1P1P1/2N1BP2/PP1Q3P/2KR1BNR b - -,c6d4
2r3k1/1p1rp1bp/6p1/5p2/p7/P1P1B2P/1PR2PP1/4R1K1 b - -,e7e5
8/8/8/3kp3/1p3n1P/2p5/2R4P/4K3 w - -,e1d1
3r2k1/p5pp/1p2np2/2bqp3/8/6P1/P1Q1PPNP/B1R3K1 w - -,g2e3
5r2/3n1P1k/p2b2p1/1p6/2pB2P1/2P5/PP1r2BP/4RR1K w - -,f1f3
2r1rbk1/2n2ppp/2q5/3pPP1N/3P2Q1/4nN2/1B4PP/R2R2K1 w - -,g4g3
r4nk1/3p1r1p/2q5/1p1R1p1P/8/1N1NbQ2/PPP5/1K3R2 b - -,f5f4
4r1k1/p1n2pbp/1q2p1p1/1pR5/3P1Pn1/3N2N1/PPQ3PP/R5K1 b - -,g7d4
r1bqk2r/pp5p/1b2p1n1/1P1pB2Q/8/P7/2PN1PPP/R3KB1R b KQkq -,e8g8
4b3/2K3B1/3P4/8/4k3/8/p7/8 w - -,c7d8
1r1q1rn1/1p4bk/3pb1pp/5p2/1RP2P2/2NP3P/3BP1BK/3Q1R2 b - -,g8f6
r1bqk2r/pp1nbppp/2n1p3/3pP3/3P4/3B1N2/PP1N1PPP/R1BQ1RK1 b kq -,d8b6:e8g8:a7a5
8/1pp1kp2/1p1p3q/3Pp3/4P3/2P1KQrN/PP6/5R2 w - -,e3e2
1R3R2/6r1/2kP4/p3p2p/P2p3P/1P5r/3K4/8 b - -,g7g2
q1r1r1k1/1b2bpp1/pp1ppn1p/4n3/2PNP3/PPN3BP/4QPP1/2R1RBK1 b - -,e5d7
6k1/1b1r2pp/8/2PpPp2/r4P2/p5P1/P5BP/2R2RK1 b - -,b7c6
b5rk/Q4p1p/1p2pq2/5p2/3P3r/2PB1P1P/P1R3P1/5R1K b - -,f6h6
1qr3k1/1b1n1ppp/pp2p3/3p4/1Q1P4/6P1/PPR1PPBP/1N4K1 w - -,c2c8
5nk1/r4b1p/r5p1/3p4/8/2Q3N1/2B4P/6K1 w - -,g3e2
1r6/p2bk3/2p1p1p1/P1N1R2p/1P3P1P/2K3P1/8/8 b - -,d7c8
r3kbnr/1q1b1ppp/p2p4/1p2p3/2P1P3/N2Q1N2/PP3PPP/R1B2RK1 w kq -,b2b3
rnbq1rk1/ppp1ppbp/3p1np1/8/5P2/3PPN2/PPP1B1PP/RNBQ1RK1 b - -,b8c6
3r2k1/2rbqppp/pp1pp3/4P3/nPPN1P2/P3Q1P1/2R3BP/2R3K1 b - -,d6e5
2rq1rk1/4bppp/p1np1nb1/1p6/3BP1P1/2N2N1P/PPB2P2/2RQR1K1 w - -,d4e3
r2q1rk1/1b2ppbp/pp3np1/2ppn3/P2P1B2/2P1P2P/1P1NBPP1/R2Q1RK1 w - -,f4e5
2r2rk1/1p3pb1/4p1p1/p1N4p/5P1P/P2p2P1/1PQ1R2K/2R5 b - -,d3c2
r2qkb1r/pp2pppp/2n2nb1/3p4/3P2P1/2N1PN1P/PP3P2/R1BQKB1R w KQkq -,f3e5
2rq1rk1/1p2bppp/p1bppn2/3N2B1/P3P3/5B2/1PPQ1PPP/3RR1K1 w - -,d5e7
1BN1nrk1/1R4b1/r1pp2pp/p3p3/2P1p3/P2P1PPP/8/1R4K1 w - -,f3e4
8/3k3p/3b4/6P1/1p3r2/2p2P1P/P1R2K2/8 w - -,f2e3
3r1b2/3r1k2/6p1/nN3p1p/5P2/P1Bp3R/3P1NPP/2K5 b - -,a5c4
2r3k1/1b3p1p/1p1pp2r/p7/2P1PR2/PnB2B2/6PP/R5K1 w - -,a1b1
R7/8/8/5pkp/p7/r5P1/5PK1/8 b - -,a3a2
2r5/p1r2k2/5n2/3p4/1b1P1PP1/2N1PK2/1P6/R4R2 w - -,a1a6
5rk1/rp3p1p/n1p2bp1/1p1p4/1P1P4/P1NKPN2/5PPP/2R4R w - -,c3b1
4r1k1/pp3ppp/3p2n1/3P4/2PPrpq1/3Q1R2/PP1B2PP/5RK1 w - -,f3f2
2r5/2k5/qp2p2p/3rP1pP/b1pP1P2/p1P3N1/P7/K1Q1R2R b - -,g5f4
rnbqk2r/ppppbppp/3n4/4p2Q/8/1BN2N2/PPPP1PPP/R1B1K2R b KQkq -,b8c6
2rr1bk1/1bqn1ppp/pn1p4/1p2pN2/4PPP1/1PP1B2P/P3N1B1/2RQ1RK1 w - -,d1e1
8/4b3/6k1/4B2p/6P1/1K5P/8/8 w - -,e5f4
r1bqk2r/pppnppbp/3p1np1/8/3P1B2/2P1PN1P/PP3PP1/RN1QKB1R b KQkq -,b7b6:e8g8
8/8/4p3/5p2/5K2/1pk5/5P2/3R4 w - -,f4e5
4rr1k/ppp1R2p/6p1/5b2/2BR1p2/2P5/P4PPP/6K1 w - -,e7c7
r1bq1rk1/pp2bpp1/2p1pn1B/2P5/3P3P/P5P1/1P2RPBN/2QR2K1 b - -,g7h6
1qr1r1k1/1b1n1ppp/p3pn2/2N5/1Q1NPb2/5P2/P3B1PP/2RR2BK b - -,f4c1
r2qkb1r/pp1n1ppp/2p1p1bn/3pP3/2PP4/1P3N2/P3BPPP/RNBQ1RK1 b kq c3,h6f5
3rr1k1/pp1q1pb1/2p2npp/3pp3/P3P2P/2PP2P1/1P2QP1K/R1B1RN2 b - -,f6g4
1r2r1k1/1pqb1pb1/p2p1n1p/P1pPn1p1/4P3/R1N3NP/1PQ1BPP1/2B1R1K1 b - -,e8e7
r2qk1r1/2p1bppp/pp2b3/2p1P3/3NNB2/3P2Q1/PPP3PP/R4RK1 b q -,d8d4
r5k1/1q1nppbp/1npp2p1/8/1P1PP3/r1N1BP2/4Q1PP/1RRN2K1 w - -,h2h4
rn1qkb1r/pp2pppp/2p2n2/3p3b/2PP4/2N1PN1P/PP3PP1/R1BQKB1R b KQkq -,e7e6
r2qk2r/1b1n1ppp/4pn2/p7/1pPP4/3BPN2/1B3PPP/R2QK2R w KQkq -,e1g1
8/4R3/8/4pk1p/5p2/5K2/7P/8 b - -,f5f6
8/6k1/7p/2N3p1/2P5/2n1P1P1/4P2P/6K1 w - -,c5e6
