6R1/3R4/2rnp2k/1p3p2/p7/6PK/5P2/8 w - -,d7e7
8/p1r2kp1/1prp1n1p/n1P1p3/R7/P1P1B2P/3N1PP1/4R1K1 b - -,d6c5
r1r3k1/q2nbppp/2p1p3/p2p1b2/NP1P1B2/P1Q1PP1P/4B1P1/R1R3K1 b - -,g7g5
5r1k/pb2q2p/1p2P3/4R1pQ/1P6/P4p1P/2B2PP1/6K1 w - -,g2g4
8/6b1/8/3k1pp1/2n5/3NpPP1/4K3/8 w - -,d3b4
5rk1/R4ppp/4p3/8/8/4P1P1/n4PBP/6K1 b - -,a2b4
1r3rk1/1p1qn1bp/3pb1p1/p1pN1pB1/2PpP3/P2P2PP/1P1Q1PB1/1R3RK1 b - -,e7c6
8/8/5kp1/6p1/p2r4/4K2P/2B2PP1/8 b - -,d4b4
8/r4qk1/P2pRp1p/2nP4/3Q1p1P/3B2P1/7K/8 w - -,e6d6
2rqk2r/1b2bpp1/p3p2p/1ppnP3/n2PN3/3BBN1P/PP1Q1PP1/2R2RK1 b k -,d5b4
8/p4k2/1p1p4/2pP1b2/P1P2P2/1PN1p3/4K1n1/8 b - -,f5g4
r1bqr1k1/1p1nbppp/2n5/p3p3/2Pp4/PP1P2P1/1B1NQPBP/R3NRK1 b - -,d7f8
r4rk1/1p3pp1/2p2q1p/p2n4/1bQP4/1P3N2/P2B1PPP/R4RK1 w - -,a1d1
r6r/ppkn1p2/2p5/4PPBp/8/b1P2B1P/P1PK4/4R2R b - -,a8e8
3r4/1p5k/5qp1/P2n1p1p/3Qp3/P3P2P/1r1P2R1/2R2BK1 w - -,d4a4
r4rk1/pb1q1ppp/1pn1pb2/2pn4/8/PP1PPN2/1B1NBPPP/2RQ1RK1 w - -,d1c2
2brq3/r5kp/1p3R2/pP1p1np1/B1nP4/P2NP3/2Q2PPP/R3N1K1 w - -,f6c6
6k1/qp3rr1/p2Q4/2P5/4ppPb/1P3Pn1/PBBR2K1/6R1 w - -,b2g7
3r3k/1p2p1bp/2n5/2Nb1q2/5P2/6Q1/1P4BP/2B1R2K w - -,c5e4
r5k1/pbqrppb1/6pp/1R6/2p1P3/Q1PnBP1P/P2NB1P1/1R4K1 b - -,b7c6
r2q1rk1/pp2ppbp/2n3p1/2pP4/4P3/2P1BB2/P4PPP/R2Q1RK1 b - -,c6a5
8/1p1b4/p4B2/2k4K/8/6p1/1P6/8 w - -,f6h4
1rbq1rk1/1p1p1pBp/p1n1p1p1/2p2n2/2P5/2NP1NP1/PP2PPBP/R1Q2RK1 b - -,g8g7
r4rk1/pb2qpbp/2p3p1/3p3n/2PNP3/5PP1/PP1Q2BP/1K1R2NR w - -,c4d5
8/1p3p2/p2k1np1/b2p3p/5N1P/1PP2PP1/P1N2K2/8 w - -,f4e2
r3r1k1/p2bp2p/3qNppB/1p1P4/2n1PP2/6PB/P6P/3QR1K1 b - -,a8c8
7k/8/5PP1/3N3K/8/8/1b6/8 w - -,g6g7
r1bq1rk1/pp1nbpp1/4p2p/2pn4/2NP1B2/3BPN2/PPQ2PPP/R4RK1 w - -,a2a3
R7/1r1n2k1/6p1/8/7P/2K5/8/8 w - -,a8a5
r1b2rk1/pp2ppbp/2nq2p1/1B5n/4Q3/2N2N2/PPP2PPP/R1B2RK1 b - -,c8f5
rn3rk1/3pbppp/4p3/4P3/pqN3R1/3PP3/1P1N2PP/3QK2R w K -,d1f3
8/pppb1pk1/3p1qpp/3P4/2Pr4/P2BQ2P/1P2RPP1/6K1 b - -,c7c6
r1bq1r2/pp2n1bk/2np2pp/1Pp1pp2/P3P3/N1PP1NP1/5PBP/1RBQ1RK1 b - -,c6a5
5rk1/1p1rq2p/p1ppb1p1/8/2P1PP2/1P1R3P/P2Q2BK/5R2 w - -,f1d1
8/p7/4p1p1/bkp3Pp/5p1P/3K1P2/P2N4/8 w - -,d2c4
rn1q1rk1/1bppn1pp/1p2p3/p4p2/1bP1P3/3B1N2/PPQPNPPP/R1B2RK1 w - a6,f3d4
6k1/pp3rpp/2p5/2B5/4p2P/P3n3/1PP5/2K3R1 b - -,e3f5
6k1/8/6p1/R1n1r3/8/4P2P/5PB1/6K1 w - -,f2f4
4q1k1/7p/N5p1/1P1n1p2/2rb2PP/1Q1R4/3B1P2/6K1 b - -,e8e2
8/2k5/p2p1Q2/4r2P/4P1P1/1r2KP2/1P6/8 w - -,e3f4
R7/4bk1p/2n3p1/1K2N3/8/P1B4P/2r2PP1/8 b - -,c6e5
1rbq1r1k/1p2n1bp/p2p2p1/P1pN1p2/2PnPP2/3P1N2/1P4BP/R1BQ1RK1 w - -,f3d4
8/4rk1p/1p1p1qp1/p1nP4/P3Bp2/2P2P2/2Q3PP/4R1K1 b - -,g6g5
2r3k1/3b1qpp/p5n1/PpQ2p1R/4P3/6PP/1P2NP2/5RK1 w - -,c5d6
r3k1r1/ppq1ppBp/2n5/2N2p2/2P3n1/6P1/P1P2P1P/R2Q1RK1 w q -,g7c3
r2qk2r/pppb2bp/2np1np1/4pp2/1PP5/2NPP1P1/P3NPBP/1RBQK2R b Kkq b3,d8c8
r1b2rk1/1ppnqppp/n7/2pPp3/p1N1P3/P4NP1/1P2QPBP/R2R2K1 w - -,d5d6
8/8/1pk1p1p1/2b1B2p/P4P2/1P1Rr1P1/2K5/8 w - -,e5f6
2r5/1p2kpp1/2Rnb2p/1N1p4/8/R1PBP3/3K1PPP/8 b - -,c8c6
3r4/5p1p/p1k3p1/Pp1b4/1PpR3P/4N1P1/5P2/4K3 b - -,d8e8
2n5/1R3pk1/4p3/4N1p1/3PP3/r4P2/2K3P1/8 b - -,c8d6
r2qr1k1/1ppb1pb1/pn1p3p/3P2p1/7N/4B1P1/PPQ1PPBP/R4RK1 w - -,e3b6
r3kb1r/pp2pppp/1qn2n2/1B1p1b2/3P1B2/2N1P3/PP1Q1PPP/R3K1NR b KQkq -,e7e6
r1bq1rk1/1p2bppp/pBnp1n2/3Np3/4P3/1N6/PPP1BPPP/R2QK2R b KQ -,d8d7
8/p4p2/bp3kpp/8/3KP3/1B4P1/P4P1P/8 w - -,e4e5
1r1q1r2/p4p1k/4p3/5b1P/1p6/4RQ2/PP4B1/R6K w - -,f3f4
r7/1ppbkpp1/3p4/p2Pn3/1PP1P3/2N1K3/P3B3/7R w - a6,b4b5
2Q5/p3q1k1/8/5pp1/6pb/8/PPB5/1K4R1 b - -,h4f2
2r3k1/2qb2p1/R4p1p/Qp2p1n1/1Pp1P3/2P1BPP1/4B2P/6K1 w - -,a5a2
r1bq1rk1/pp1n1pbp/2pp1np1/4P3/4PPP1/2N2N1P/PPP5/R1BQKB1R b KQ -,d6e5
8/6B1/2p5/5p1p/2b1k3/7P/5KP1/8 b - -,f5f4
2q3k1/1p1RQpp1/p3n1b1/P1B5/1P2p3/6P1/4PP2/6K1 b - -,c8c6
6k1/6Pp/4b1p1/2R5/1P1rP3/5P2/1P3K2/8 w - -,c5c6
r2q1rk1/ppp2pbp/2np1np1/4pb2/2P5/2NP2P1/PP1NPPBP/1RBQ1RK1 b - -,d8d7
8/2qnr1pk/1p3p1p/p3p3/P1P1QP2/1P4P1/4RBKP/8 b - -,h7g8
r1b2rk1/2q1bppp/p1nppn2/1pp5/4P3/PPN2NP1/1BPP1P1P/R2QRBK1 w - b6,a3a4
r1q2r1k/pp1nbpp1/1np1p2p/N7/1P1P2PP/P2QPNB1/5P2/R4K1R b - -,f8d8
r5k1/1p4p1/p4p2/4p2p/2Prb2P/1P2BK2/P4P2/3R3R w - -,f3e2
4b3/8/2p2k2/1pNp1p2/p2P1P1K/P1P5/2P5/8 b - -,f6g6
r2q1rk1/1p2bppp/pnp1pn2/4N3/2PP1B2/2N5/PP2QPPP/R2R2K1 w - -,d1d3
4rr1k/2qn2b1/2ppbpB1/p3p2p/P1PP4/R2QN1PP/1B5K/5R2 b - -,e6f7
4rrk1/ppp3pp/8/2N2p2/3P2n1/2P1P2P/P4P2/R3K2R b KQ -,g4f6
2r5/p2q1pbk/1p2b1pp/3p4/3P4/5PP1/PP1QNKBP/2R5 b - -,c8c1
8/6pk/7p/2p1q3/2P1Q3/3P2PP/6PK/8 b - -,e5e4
rn1q1rk1/p1p1bpp1/1p2bn1p/3p4/3P3B/2NBPN2/PPQ2PPP/R3K2R b KQ -,c7c5
2rqn1k1/5pp1/1pp1p2p/1bPpP3/1P6/4P1PP/R1QN1PB1/6K1 b - -,b6c5
r7/7p/p2nk3/1p2pp2/1N6/2P3P1/PP1R2KP/8 b - -,d6c4
8/1pk1b3/2p5/5bp1/P2RN3/4PB2/1P3P1r/2K5 w - -,e4g3
2r3k1/3Nbpp1/p4n1p/3p1b2/1pr5/4B1PP/PP2PPBK/R3R3 w - -,d7f6
2r5/5p2/4pP2/2K1P1kp/1p2B3/1P1R4/4n2P/8 w - -,c5b4
r3r1k1/2q2p1p/p2p2pB/3P3n/R3P3/2p5/2Q2PPP/2R3K1 b - -,e8c8
3nrrk1/p5pp/3p4/2pPn2P/1P2Pp2/qP3P2/P3QBB1/1K1R2R1 b - -,a3b4
