8/p5p1/pr2k2p/R2p3P/5PP1/P3K3/8/8 b - -,b6c6
r1bq1k1r/pp2b1p1/2n1pPn1/2p4p/7P/2PP1NB1/P2NBPP1/2RQK2R b K -,g7f6
R6R/2r2k2/4n1p1/4p2p/2NrP2P/6P1/5PK1/8 w - -,c4e5
1r1k4/2b4p/1pPp4/3Pp1p1/4Pp2/5P2/5BPP/R5K1 w - -,g1f1
8/8/8/7k/1pp4P/6P1/1n1B4/5K2 b - -,c4c3
r4rk1/1p2qpbp/p1npp1p1/8/P1P1P3/1PN4P/2QB1PP1/1R2R1K1 w - -,c3e2
rnb1r1k1/pp3p1p/3P2p1/2pN2B1/3b4/5B2/P5PP/Q4R1K b - -,d4a1
r2q1rk1/ppp4p/3p4/3Pb3/2P1N1b1/4RN2/PP2QPP1/4R1K1 b - -,d8e7
1r3rk1/3p2pp/b1p1p3/3PPp2/1b3P2/P2B1Q2/1q3NPP/R4RK1 b - -,a6d3
8/8/p1K5/P1p5/2k5/8/8/8 w - -,c6b6
4r1k1/7q/pp2rBp1/3Q1p2/1PP3n1/8/P5PP/2R2R1K w - -,f6e5
2qkb1r1/1p2bp1p/pr2p2Q/3pP3/3P3P/2PBP1P1/5R1K/1N2R3 b - -,d8c7
rnbqk2r/ppp2p1p/3b1n2/3PN3/2B2ppP/8/PPPP2P1/RNBQK2R w KQkq -,d2d4
8/5k2/4b3/5r2/p7/4R3/2KR4/7r b - -,f5c5
3rr3/1p4bk/3p1pnp/p1pP2p1/1q2P3/1PN1R1PP/P1P2RBK/3Q4 w - -,f2f5
4rb1Q/pp3kp1/2p3p1/4B1P1/3P4/2P4R/q1PK1P2/8 b - -,e8e5
3qr1k1/3nbp2/p3p2Q/3pP1p1/3P2P1/4BR2/2nN3P/6K1 w - -,f3h3
r3k1r1/p1pqnp2/1pn1pBp1/3pP2p/P2P1N1P/2P2Q2/2P2PP1/R3K2R w KQq -,f4h3
rnbq2k1/pp2rppp/5n2/2p1N3/1PP1p3/P1Q1P3/1B3PPP/R3KB1R w KQ -,f1e2
r1b2r1k/b1p4p/p1p2q1n/4N3/4Ppp1/1PP4P/PB2RPP1/R2Q1NK1 b - -,h8g8
6r1/2p3kp/1p1n2r1/p1pP1p2/P1P1pP2/1P2N3/5KPP/3RR3 w - -,h2h3
rnbqkb1r/pp2pp1p/5np1/2pp4/5P2/3PPN2/PPP3PP/RNBQKB1R w KQkq -,f1e2
6k1/p3qpb1/R1n5/2pr2p1/8/Q5PP/1PP2P1K/8 w - -,a6c6
r2qr1k1/pbpnppbp/1p1p2p1/6B1/2PP4/4PB1P/PP1N1PP1/R2Q1RK1 b - -,d8c8
4r2k/pp4pp/2qn1b2/7P/5P2/2p2N1Q/PPR2P2/1K2R3 b - -,e8e1
r1b1k2r/pp2pp2/2pq2pp/2nP4/5P2/2b1QN1P/PPP3P1/2KR1B1R w kq -,e3c3
r1b2rk1/2q2ppp/p1p5/2bpnP2/P3p1P1/1PP1P3/2B1Q2P/RNB2RK1 w - -,b1d2
1r5k/2q3bp/p1p5/3p3Q/5P2/2N3P1/PPP4P/2K1R3 b - -,c7d8
r1b2rk1/1p2qpbp/n1n3p1/pN6/2Pp4/3Pp1P1/P3PPBP/R1BQNRK1 w - -,f2e3
Rn1brnk1/1rq3p1/2p1p1p1/1pPpPp2/1P1P1P1P/1N3BP1/2QB2K1/R7 w - -,a8a2
3rk2r/1p2pnb1/pNnpp2p/7B/4P2R/6B1/1PP2PP1/1K1R4 w k -,c2c3
3r2k1/1p4pp/p7/2rpPn2/8/2N5/PP4PP/2RR2K1 w - -,g2g4
r1bq1r2/1p1nb1k1/p3Q1p1/7R/3P4/1BP5/P4PPP/R1B3K1 b - -,d7f6
r4rk1/p3b3/1pb1q2p/2ppBpp1/2nP1P2/P2BP1N1/1P2Q1PP/R4RK1 b - -,f8f7
r2q1rk1/1bp1bppp/4p3/p7/Rn1Pn3/1QN2NP1/1P2PPBP/2BR2K1 b - -,b7c6
2rr4/p3kppp/1q2pn2/1p6/8/1PNP1PP1/1B2P1KP/1Q3R2 b - -,b5b4
r4rk1/pp1b1p2/1q2p1N1/1N1pP1Pp/1n1P4/4P3/P3BQ1P/5RK1 w - -,g6f8
r4k1r/1p2pp2/1q1p1Pp1/1NnP4/PR1NP3/4Q3/2B5/5bK1 w - -,f6e7
3q1rk1/p4pp1/1b3n1p/8/Q1B5/4P1B1/5PPP/R5K1 b - -,d8e7
2r3k1/r5pp/1p2pPb1/8/3b1P2/7P/PP4BK/3R1R2 w - -,d1d4
r6r/3bb1k1/p4qp1/3PpP2/2p4p/2P1BPPQ/6RP/R4NK1 w - -,g3g4
2r2k2/5p1p/6p1/2P1pb2/3p4/3B1P2/2K3PP/7R b - -,c8c5
4r1k1/pp5p/4N1p1/2P5/3p2n1/8/PP3PP1/R1BK1b2 w - -,e6d4
r2qkbnr/pp3ppp/2n1p3/3pPb2/1P1N4/P1P5/5PPP/RNBQKB1R b KQkq -,f5g6
4rrk1/1q1nppbp/p2p2p1/1ppP3n/P1N1P3/2N4P/1PP1QPPB/1R2R1K1 w - -,a4b5
r1bqk2r/pp2bpp1/4pn1p/8/2Bp3B/5N2/PPP1QPPP/R4RK1 b kq -,e8g8
8/5pk1/6p1/8/5P1P/4q1K1/5P2/8 w - -,f2e3
3q1r1k/6p1/b1r4p/p1bN4/P3pp2/1Q4P1/1P3P1P/R1R2BK1 w - -,d5f4
1rbqk2r/2p1bppp/p4n2/n3P1N1/1pp5/5PP1/PP2Q1BP/RNB2RK1 b k -,f6d5
5rk1/1ppqppb1/rnn3pp/1NQb4/8/P2PBNP1/4PPBP/1RR3K1 b - -,b6a4
r2q1rk1/pp2ppb1/4b1pp/3Nn3/2p1P3/2P3P1/PP2QPBP/R1B1R1K1 w - -,e1d1
4r1k1/p2rp1np/qnN2pp1/N1QPp3/8/1P5P/P4PP1/3RR1K1 w - -,b3b4
8/7p/8/5P2/2nB4/k3p3/p3K2P/1bN5 w - -,f5f6
5R2/6kp/2p2pp1/p1Nq4/P2P1Q2/2P4P/5PP1/6K1 b - -,g7f8
8/8/5pk1/6p1/3pP1P1/r2P1K2/2R5/8 b - -,a3d3
2r1nrk1/p5bp/2ppbqp1/8/1P3P2/P1N1BB2/3Q2PP/2RR2K1 b - b3,e6b3
r4rk1/4bppp/pqbpp3/n1p5/Pp2PPn1/3P1NQ1/BPP1N1PP/R4RBK b - -,g4h6
b3rnk1/8/5B2/2p2P2/2R3P1/4P2P/P7/6K1 b - -,f8d7
8/6kp/4p3/3p4/p2P3q/2Q5/6P1/6K1 b - -,h4f4
r2bk3/pp1b1prp/1q1ppp2/7B/4PP2/1nNQ4/PPP3PP/R4R1K w q -,a2b3
3n2k1/8/pq2b1p1/np2p2p/2p1Pp1b/1PP2P1P/PBBNQNP1/6K1 b - -,d8f7
r4rk1/p2b1ppp/1p3q2/2nPp3/2B1P3/4Q3/P2N1PPP/3R1RK1 w - -,f2f4
r2qkb1r/1p3ppp/p3pn2/3pn3/3P4/2N1P3/PP2QPPP/R1B2RK1 w kq -,d4e5
1rr3k1/p4ppp/3Qpn2/2n5/2q1p3/2N1B3/PP3PPP/R2R2K1 w - -,d1d4
4b3/p1n4p/2p1k1p1/2P5/PPNK1P2/6P1/8/8 b - -,e8d7:a7a6
8/6k1/3p2pp/3Q3P/4P1P1/5PK1/8/6q1 w - -,g3f4
6k1/6pp/P2pnr2/8/4p3/1N4P1/1P1B1PK1/8 w - -,d2a5
8/6p1/5k2/2R4p/7P/2P2KP1/2r5/8 b - -,g7g6
3q1bk1/2p4p/2PP2p1/4p3/2p1r3/4B3/Q5PP/5RK1 w - -,d6c7
8/8/pR1r4/2pP4/2P1k3/2r2pP1/P6P/6K1 w - -,b6d6
Q1b1r1k1/b2q1p1p/p3p1p1/3pPn2/NB3P2/8/PP2B1PP/2R2R1K w - -,b4d6
2r2rk1/1p1b2pp/p2p4/4pqb1/8/2B5/PPPNQPPP/2R1R1K1 w - -,f2f3
r3r3/1p2nkpp/1p1b1p2/3p4/3P4/PN3PP1/1P1B3P/2R1R1K1 b - -,h7h5
r1bq1rk1/pp3ppp/2pp1n2/2b1p3/2P1P3/P1N4P/1PP1NPP1/R1BQ1RK1 w - -,d1d3
r3r1k1/5pb1/p4n1p/1pN1p1p1/8/1PP1nPP1/PB3RBP/R5K1 b - -,g7f8
r6k/p2q1nbp/1pr1b1p1/3npp2/8/Q1NP2P1/P2BPPBP/1RR1N1K1 w - -,c3d5
7r/4Npk1/p2p1p2/1prR4/4P1K1/1PP1b2P/1P6/5R2 b - -,c5d5
r2q1b1r/pp1knpp1/1npNp1b1/4P1Bp/2pP3P/2N5/PP3PP1/R2QKB1R w KQ -,d6b7
2k4r/pppr1p1p/q5pb/1R5b/4N1P1/P4Q1P/2P2PB1/1R4K1 b - -,c7c6
8/p4k1p/4q3/2pp4/5Q1P/2p3P1/P6K/8 b - -,e6f6
1rbrnnk1/2q1bppp/pp6/2p1p3/P3P3/N1PNBP2/1PQ1B1PP/R4RK1 b - -,c8b7
rnb1k2r/4nppp/p7/1pp5/4P3/1NN5/PP1qBPPP/R3K2R w KQkq -,e1d2
r3r1k1/ppp2ppp/2np1q2/8/5Pb1/1PP2NP1/P1PQB2P/2KR3R w - -,d1e1
3rb1k1/1p2r1p1/2pNp3/1P2Pp1p/3P1P1P/2R3P1/3K4/2R5 b - -,d8a8
r7/3K4/8/8/1N5R/3k4/8/8 b - -,d3e3
8/4Qrk1/PK2p1p1/3bP1P1/8/8/8/8 w - -,e7d6
r1bq1rk1/p4pbp/2pQ2pn/8/5P2/2N1B3/PPP3PP/2KR1B1R b - -,d8a5
