3r3Q/6K1/8/6k1/8/8/8/8 b - -,d8h8:d8d7
r1k2b1r/p1pbnpp1/1pp4p/4P3/8/1PN2N1P/PBP2PP1/3R1RK1 w - -,f1e1:d1d2:c3e4:f3d4:c3e2
rn1qkb1r/1p3ppp/p1p1pnb1/3p4/P1PP3N/2N1PP2/1P4PP/R1BQKB1R w KQkq -,d1b3
8/pQ3pkp/3R1np1/BB6/5q2/4b2P/PP4P1/7K b - -,f4d6
r2q1rk1/ppbn2pp/2p2p2/2Ppp3/3PP3/P2N1Q1P/1P1B1PP1/R4RK1 b - -,d5e4
r2Rb1k1/p3bppp/1q2pn2/1p6/5B2/1B3N2/PPP1QPPP/3R2K1 b - -,a8d8
6k1/p3qp1p/1p2b1pb/2p5/4PP2/2N1B1P1/PP1rQ2P/6K1 w - -,e2d2
6k1/1N1n3p/p1p2p2/2p2bp1/8/BPK3P1/P4P1P/8 w - g6,a3c5
r1b1nrk1/ppq3bp/2p1p1p1/4Pp2/2PP1P2/6P1/PBQN2BP/1R3RK1 w - -,c2b3
4r3/p4pkp/2R3p1/8/8/1P3N2/P2K1nPP/8 b - -,e8e7
2r3k1/1p1q1pbp/p7/3Ppp2/2r5/5Q2/PP2NPPP/2RR2K1 b - -,c4c1
4k3/1R6/4p1K1/5p2/1p6/6P1/7r/8 b - -,h2e2
1q2k2r/4b1pp/p2pBp2/3Nn3/5B2/PbQ5/1P4PP/4R1K1 b k -,b3d5
r2r4/p1k2ppp/2n1p3/2B5/2N1R3/8/2P2PPP/6K1 w - -,h2h3
4rrk1/6pp/3pP3/p1p2P2/Ppn1N3/4p1P1/1P4KP/R4R2 w - -,b2b3
3r1knr/pp1qbpp1/2n5/1N1p4/5Bbp/NQP3P1/PP3PBP/R3R1K1 b - -,h4g3
8/4b3/p3p3/1q2P1k1/2pR2P1/P1B2R2/1P3P1K/8 w - -,f3h3
r2r2k1/pb2qppp/1p3b2/2np1N2/8/P1N3P1/1PQ1PPBP/3RR1K1 b - -,e7e6
r2qr1k1/1p1bnppp/3p1n2/P1pPp3/2P5/1NQ3P1/4PPBP/R1B2RK1 b - -,e7f5
4kbnr/rbq2ppp/p3p3/1p1pP3/3p1P2/1B1P4/PPP1N1PP/R1BQK2R b KQk f3,f8c5
r5kr/p1q1npb1/2p1p1p1/2Pp3p/BPP2P2/5QP1/P4B1P/1R3RK1 b - -,d5c4
rnbq1rk1/p1p1bppp/1p2pn2/3p4/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,c8b7
6k1/4qp1p/4b3/3pQ1pP/1p1P4/3B4/5PP1/2r1R1K1 b - -,c1e1
5bk1/5p2/pnn1p1p1/1p1pP1N1/1P1P1PP1/P1N1B3/8/6K1 w - -,e3c1
2r2rk1/5ppp/pp2p3/4n1Nb/PP6/1B1P1P2/2P3PP/R2R3K b - -,c8c6
r2q1rk1/pb1n1ppp/1ppb4/3p4/3PnB2/PQN1PN2/1P2BPPP/3RK2R w K -,f4d6
8/8/p3pkp1/7P/p1P2PP1/P3RK2/8/2r5 b - -,g6h5
3r4/3r1pkp/1p2p1p1/4P3/P1R2P2/6PP/6b1/4R1K1 w - -,g1g2
2kr3r/ppqNn2p/4pp2/nP1p4/3P3P/P2B1N2/5P2/R1BQK1R1 b Q -,c7d7
1k3r2/p7/B7/2RnNK2/5P2/6P1/PbP5/8 w - -,f5e4
3B4/8/4k3/4pn1p/7P/3K4/8/8 w - -,d3e4
2r1r1k1/1bq1ppbp/p2p1np1/Pp2B3/4P3/1NNB1P2/1PP3PP/R2Q1R1K b - -,d6e5
r2q1rk1/ppp1b1pp/4bp2/3np3/1P1n4/P1NP2P1/3NPPBP/1RBQ1RK1 w - -,c3d5
4r1k1/8/7P/R4B2/3p3P/1P6/P1PK1n2/8 b - -,g8h8
3r4/2kn2pp/4p3/p1p2p2/2P2P2/1P4P1/P2RB2P/4K3 b - -,g7g6
1rb1nr1k/3nqpbp/p2p2p1/2pPp3/2P1P3/3Q1NP1/1P1BNPBP/1R3RK1 w - -,f1e1
r1b2rk1/1pp1q1bp/2n3p1/3ppp2/2PP4/1P3NP1/1B1QPPBP/3R1RK1 b - -,e5e4
rr4k1/4bppp/3ppn2/p1q5/3NP3/2PQB3/1P3PPP/RR4K1 b - -,c5c7
r7/4b1kp/r5p1/5p2/1p1NN3/3P2P1/bRP4P/R5K1 w - f6,e4d2
1r2rbk1/5p1p/p2p1PpP/q2PpnP1/2p5/2N1BP2/PP1R1Q2/2K3R1 w - -,d2c2
8/1p1r3r/p4bk1/5p2/3P2p1/1PBR2P1/P3K3/5R2 w - -,f1f2
2r3k1/2r3b1/4p1pp/pp1qP3/2nPNB2/1Q6/P3RPP1/3R2K1 b - -,g6g5
r2q1r2/pp2np1k/1b2bp1p/4p3/3p1P2/1N1P2P1/PP1QP1BP/R2N1R1K b - -,e6d5
8/8/2k5/KR2P3/PPP5/4r3/8/8 b - -,e3e4
1rb2rk1/p2nppbp/3p2p1/2p5/qp1BPP2/P2P1NPP/1PPQ2B1/3NRRK1 b - -,c5d4
8/8/8/5k2/8/6p1/8/6K1 w - -,g1g2
4r3/1p3pk1/2b2rpp/p1Pp4/P4R1P/1P1RPNP1/5K2/8 b - -,f6e6
r3k1r1/5p2/3R1p2/1R2pBb1/6Pp/2P4P/PP6/1K6 b - -,e8f8
2K5/2R5/5k2/3q4/8/8/8/8 w - -,c7d7
rn1q1rk1/pp3ppb/2pbp2p/8/2BP1nQP/2P3N1/PP3PP1/R1B1R1K1 w - -,c1f4
4r1k1/p2n2bp/2p3p1/1p1pn3/N4rP1/1P3P2/P1P1BBP1/3RR1K1 w - -,a4b2
rnbqk2r/ppp2ppp/4pn2/3p2B1/1bPP4/2N5/PP2PPPP/R2QKBNR w KQkq d6,c4d5
4r3/p6p/3pk1p1/P2n1pb1/4p3/BPP3P1/2R1NP1P/5K2 b - -,g5f6
r2b1rk1/2qb1ppp/p2ppP2/2n3P1/4P3/1BB5/PPP1Q2P/2KR2R1 w - -,g1g4
3rrnk1/1p4p1/1qp2p2/2R4p/pN1PpBbP/P3P1P1/1P3QP1/5RK1 w - -,f2c2
r1bqk2r/4npbp/p1n1p1p1/1ppp4/4PP2/P1N2N2/1PPPB1PP/R1B1QR1K w kq d6,d2d3
3rr3/p4kpp/b1n5/2p2p2/2P2P2/1PKN2P1/P3p1BP/R6R w - -,g2d5
6k1/2rq3p/5p2/pp1Pp1p1/n1P1P3/R4PP1/Q6P/3R2K1 w - b6,c4b5
r1b1kb1r/pp3ppp/2n1p3/q7/1PpP4/2P1BN2/P4PPP/R2QKB1R b KQkq -,a5d5
rnb1r1k1/1p3ppp/3Bp3/p7/2P5/1P3B2/P4PPP/2KR3R w - -,d6b8
rn2kb1r/1b3ppp/pqp1pn2/1p2N3/P2P4/1Q4P1/4PPBP/RNB2RK1 w kq -,c1e3
3r2k1/pbqrbp2/2p3pp/1pn1PN2/2PR4/4P3/PBQ3PP/1B3RK1 b - -,e7f8
3r2k1/p1r1np1p/Bp2pp2/8/3P4/P1P2P1P/5P2/1RR3K1 w - -,b1b4
1r5r/2qb4/6k1/pp2ppQ1/2p5/3PB3/PNP3B1/R5K1 b - -,g6f7
2r2rk1/pb1nqppp/1p2p3/2pp4/P1PPn3/NP3NP1/1QR1PPBP/3R2K1 w - -,c4d5
8/8/3n4/3k1p2/1R3Bp1/3r4/5K2/8 b - -,d5c5
2r2rk1/1bq2pbp/pp1ppnp1/2P5/1P2P3/1NNnB2P/P3QPP1/2R2RK1 w - -,e2d3
8/5p2/5k1p/4R2P/5KP1/5P2/8/7r w - -,e5a5
r2r4/1bp1kp1p/4p1p1/2p5/2P5/1P2PP2/1KB3PP/3R3R w - -,d1d8
1r4k1/3bq2p/2n1p1pb/3p4/3P4/1rNBPN2/4Q1PP/RR4K1 w - -,b1b3
r2q1rk1/pb1n1pbp/3ppnp1/2p5/2P5/1PNBPN2/PB2QPPP/R4RK1 w - -,f1d1
8/8/3P1p1k/6p1/bpPQ3p/4K2P/r5P1/8 b - -,a2a3
5k2/5p1p/1p4p1/3Q4/P1p5/1qb1P1P1/5P1P/2R3K1 w - -,d5b5
6k1/2p4p/p7/3p1p2/1N1P4/1P2b3/5nPP/1r2R1K1 w - -,e1b1
8/2R2pkp/2Nn2p1/5p2/8/bB4P1/2P1QPKP/q5r1 w - -,g2h3
r2q1rk1/pp1bppbp/2n3p1/2p5/2BPP3/2P1BP2/P3N1PP/2RQ1RK1 b - -,a8c8:d8c7
3rk2r/p1b2pp1/2p1pq1p/1pPn4/1N1P1PP1/P3B3/KP1Q3P/3R3R b k -,d5b4
1r1q1rk1/3nbpp1/p3p1p1/3n4/2NP1P2/PQ1B3P/1B4P1/2R2RK1 w - -,b3a2
rnb1k2r/pp1pbppp/1q2p3/8/3P3P/2PB1N2/P1PB1PP1/R2QK2R b KQkq h3,h7h6
rn1qk2r/1b3p2/p3p1pp/1pbpP3/5P2/2NB2Q1/PPP1N1PP/2KR3R w kq -,a2a3
2k2r2/pR3ppp/3Pp3/2q3P1/5Q2/2P5/P4P1P/6K1 w - -,b7c7
r1bqk2r/1p2bppp/p1np1n2/3Np3/4P3/N7/PPP2PPP/R1BQKB1R w KQkq -,c1e3:d5f6
8/5k2/3K3p/4P3/5Nn1/8/8/8 w - -,e5e6
8/p7/2B4p/1P2k2P/P1n5/5K2/8/8 b - -,c4b6
r1b1kb1r/2qn1ppp/p2ppn2/1p6/3NPP2/P1NB4/1PP3PP/R1BQ1R1K b kq f3,f8e7
5k2/1R5p/6p1/1nr5/1pNbP3/1P3KPB/7P/8 b - -,d4c3
1r6/Rb1n2pp/1P6/R2pkp2/3N4/1P6/4PP1P/2r2BK1 w - -,e2e3
