4Q3/5pkp/3r2p1/1P6/8/5qPP/5P1K/8 w - -,e8e5
8/p7/Pk1p4/7p/Q2pB1pP/1K1P4/8/4q3 w - -,a4c6:a4d4
5rk1/p3q1b1/2pp2rp/2p1pb2/4Np2/1NPP1Q1P/PP3PP1/R3RK2 b - -,c5c4
1k6/8/1P1p4/8/2PK1n2/8/2P1B3/8 b - -,f4e2
3r3k/7P/pp4p1/5p2/P5n1/3q4/1P4BP/4QR1K w - -,h2h3
r3r1k1/3n1pb1/p1q1bnp1/1pp4p/5B2/2P1NP1P/PPB1NQP1/R3R1K1 w - -,a2a4
8/1R6/p2K1kpp/P2P4/1P3P2/7P/8/3r4 b - -,f6f5
8/7p/1k5P/5r2/PKP5/8/8/7R w - -,h1d1
8/p2k1p2/2p2pr1/1p1p3p/1P1P3P/P1P1R1PK/5P2/8 b - -,g6g8
1r1b1rk1/1q1n2pp/3p4/1p1Ppp2/pN6/2P1BP2/PP2Q1PP/2RR2K1 b - -,d8b6
3rb3/6k1/1p1p1pp1/p1n1p3/PnP1P1P1/1PN1P1K1/3N4/1B1R4 w - -,d1h1
r2qkb1r/1b1n1ppp/p1p1pn2/1p6/3P4/P1NBPN2/1P3PPP/R1BQ1RK1 b kq -,c6c5
r2qk2r/pp1nbpp1/2pp1np1/4p3/2PP4/2N1P1P1/PP3PBP/R1BQ1RK1 b kq -,d8c7
1r3rk1/p2b1ppp/1q2p3/1P6/2B5/2P1P3/5PPP/R1Q2RK1 b - -,f8c8
1r6/r5bk/6pp/1p3p2/1PB1p3/P1N3P1/5P1P/2RR2K1 b - -,b5c4
8/6bp/n1p3k1/1pPn1p2/1P3p2/6PP/2NB2K1/3N4 w - -,g3f4
r4n2/kpp1R2p/6p1/p4p2/2P2PBP/6P1/PP6/2K5 w - -,g4f3
bbr2rk1/p4ppp/5q2/3p4/n2Nn3/P3PN2/2R1BPPP/1Q1RB1K1 w - -,d1c1
r3rbk1/1p2qppp/2ppbn2/p1n5/2PNP3/1PN1B1PP/P1Q2PB1/3RR1K1 b - -,a8d8
7k/7p/p2r1pr1/8/R7/8/1PP4P/1K3R2 w - -,a4c4
rnb1k2r/ppppqppp/4p3/8/2PPn3/2B2N2/PP2PPPP/2RQKB1R b Kkq -,e8g8:d7d6
4r1k1/2q1rpp1/2p1nnb1/1pPp3p/pP1Pp3/P3P2P/K2BBPP1/1N2R1QR b - -,h5h4
r4r2/3q2bk/1p1ppnpp/p1p5/P1PPp3/1P2P2P/3NQPPB/R4RK1 w - c6,a1c1
r2qr1k1/pb1n1pbp/1p3np1/P1ppp3/1P2P3/2PP1N2/3N1PPP/R1BQRBK1 w - -,c1b2
4r3/1p5k/p1p1q2p/2Bn1pp1/8/PR5P/1P3PPK/3Q4 b - -,e6e5
r5k1/p2bppbp/Bp4p1/n2P4/8/4PNB1/P4PPP/2r2RK1 w - -,f1c1
1rbqk2r/pp2npbp/2npp1p1/2p5/4P3/2PPBNP1/PP1Q1PBP/RN2K2R w KQk -,e3h6
8/1N4kp/8/P1n1p1p1/P2p2P1/3P2P1/8/5K2 b - -,c5a4
4kb1r/5ppp/p1pp1n2/4p3/3RP3/2N1B3/PPP2PPP/6K1 w k -,d4a4
8/7N/5kp1/1n2p2p/4P2P/8/5K2/8 b - -,f6e7
r2q1rk1/ppN1npbp/6p1/8/2bpPB2/6P1/PP3PBP/R2Q1RK1 w - -,c7a8
5r2/pp2pkq1/3p1r1p/3P1P2/1PP2PPR/PQ5R/5K2/8 b - -,f8g8
4r1k1/1p1rqpb1/p1p1p1p1/7p/2PPQ2P/1P1R2P1/PB3P2/3R2K1 w - -,b2c1
6k1/1q4p1/2p5/p1Pp1Pp1/3P1bP1/P4Q2/2K5/4N3 b - -,a5a4
6k1/p4pp1/7p/P3r2n/2B1P3/5PnP/R5PK/2B5 b - -,e5c5
5rk1/1b1p2pp/1p6/pPpPb3/1n6/R1N5/P2B1PPP/5RK1 w - a6,b5a6
3bq3/1p4k1/p1n3p1/P1p4P/2B2Q2/3Pp2P/1PP5/5RK1 w - -,f4f7
r2bn2r/1p5p/p3B2k/4P3/7P/6P1/PP4P1/3R1R1K w - -,d1d7
b2r4/5k2/1R1b1p2/3n2p1/P2P4/1P1R2P1/5P2/2B3K1 w - -,b6a6
4r1k1/5pp1/2p4p/Q1Np2b1/3PP3/5RP1/r4P1P/5RK1 b - -,a2a5
2r2rk1/1bq2pbp/pp1ppnp1/4n3/2PNP3/1PN1BP2/P2Q2PP/2RR1BK1 b - -,e5d7
8/p4pkp/p5pn/Pr1Bp3/4N3/1PP3P1/5P1P/3R2K1 w - -,b3b4
r7/1kp2p1p/p4p2/8/3Rn1PB/2p5/P1K4P/8 b - -,a8e8
4rrk1/1p1b2bp/p1n3p1/3pp3/3Pp2q/1NP4P/PPN1QPPB/3R1RK1 w - -,h2g3
4rbk1/1pq2rpp/p2p4/3Q4/2P2P2/P7/1P4PP/4RRBK b - -,e8e1
rnbq1rk1/2b3pp/p1p2n2/2PppP2/8/2NB1P2/PP2N1PP/R1BQ1RK1 w - -,c1d2
8/pp2p3/2p1rbpp/3k4/1P1P1P2/P1BR1PKP/8/8 w - -,c3b2
2r1k2r/5pp1/2pqpn2/BB1nNb1p/3P4/P7/1P3PPP/2RQR1K1 b k -,f6g4
2r2b2/p3rk2/2p1pp1p/BbN3p1/1P1P4/1PR5/5PPP/4R1K1 w - -,h2h4
8/7r/4KR2/4p3/3kP1B1/5P2/8/8 w - -,e6f5
rn2k2r/pp2bpp1/1qp1pn1p/3p1b2/2P5/3P1NP1/PPQ1PPBP/RNB2RK1 w kq -,c4d5
8/2k5/6R1/3Kpp2/8/5r2/8/8 b - -,e5e4
r1b2rk1/p3qp2/1pp2n1p/3pN3/3P1P2/1P1QP3/P2N3P/R4RK1 b - -,c8d7
4r1r1/ppk4p/2nb1Rp1/3p2PP/3P4/3B4/PP6/1KBR4 b - -,g6h5
r1q1r1k1/p2R2bp/2Q1npp1/4P3/4BP2/BP2n1P1/P6P/5RK1 w - -,f1f3
b4bk1/3r1n2/r1p1p1p1/3qPpPp/p1pP1P1P/2P1BNK1/1P1RNQ2/7R b - -,d7a7
3rr1k1/2q2ppp/pp4n1/2n1p3/2PN4/P1Q1PP2/5BPP/1R1R2K1 w - -,d4f5
r4rk1/pp1q1pbp/6p1/2pb1P2/2P5/3P4/PP4PP/R1BQ1RK1 w - -,f5f6
r1b2rk1/pp1pppbp/1q3np1/8/2BpP3/3P4/PPP1NPPP/R1BQ1RK1 w - -,a2a4
r1b1k2r/1pq1bp2/p1n1p1pp/2npP3/6Q1/P1N2N2/1PP1BPPP/R1B1R1K1 b kq -,b7b6
r1bq4/2p1p1bk/2n1r2p/3p3P/p2Pp1NB/1p2P3/PPPQNPP1/1K1R3R w - -,c2b3
r1bqr1k1/1p1nbppp/p1p1pn2/3p4/2PP1B2/P1N1PN2/1PQ2PPP/3RKB1R w K -,f1d3
r4rk1/3n1ppp/pqb1p3/1pbpP3/3B1P2/2N5/PPPQB1PP/1K1R3R w - -,d4c5
3Q4/p6p/7k/2qp1r2/8/7P/5PP1/3R2K1 w - -,d8h4
r1q1k2r/1p2bppp/p1n1p3/2np1b2/4PB2/1QNP1NP1/PP3PBP/2R2RK1 w kq -,b3c2
r4rk1/p1qn1bpp/2p1np2/1p2pP2/4P3/4N1PP/PPPN1QB1/R4RK1 b - -,e6c5
r1b1nrk1/p1p1q1bp/1p1p1n2/3PppB1/2P5/2NB1P2/PPQN2PP/R3R1K1 b - -,e7d7
rn1q1rk1/pb1pb1pp/1p2p3/3n1p2/3PP3/P2B1NB1/1P1N1PPP/R2QK2R b KQ -,f5e4
2kr3r/ppp2p1p/2n5/3N1bp1/2P5/P2QB3/1P3PPP/R3K2R b KQ -,f5d3
r1bq1rk1/pp2npbp/2n1p1p1/2pp2B1/2P5/2NP1NP1/PP2PPBP/1R1Q1RK1 b - -,h7h6
rn3rk1/pp4bp/2p2pp1/4p3/3P2b1/P1q1BNP1/1PP1BP1P/2KR3R w - -,b2c3
3r4/6p1/5pk1/2rPn2p/R1pR4/P1P3BP/6P1/6K1 w - -,d5d6
rn1q1rk1/pb4pp/1p2pb2/2p2p2/2P1n3/2N2NP1/PPQBPPBP/2RR2K1 b - -,d8e7
r4rk1/ppq2pbp/2p3p1/P7/N2pP3/5Q1P/1PP2PP1/R2R2K1 w - -,a4c5
1k1r3r/1pnbb2B/pq2pP2/3p3p/3P1P2/PnN2N2/1PQ2BPK/5RR1 b - -,e7f6
8/5kpp/1pbqpn2/2p2p2/2P5/P1Q1PP1P/1B3KP1/5B2 w - -,f1e2
r2q4/1p1b1kbn/n2p2rp/2pPpNp1/pPP1P1P1/P1N1BP2/2K1B2R/R2Q4 w - -,b4b5
rn1q1rk1/1p2ppbp/2p1bnp1/3p4/p1PP3N/1P4P1/PB1NPPBP/R2Q1RK1 w - -,h4f3
8/5pk1/r3bp1p/2p5/p2pBRP1/1P5P/P1PK2P1/8 w - -,e4d3
5n1k/3n2b1/R7/2p4p/5P1B/8/bpB3PP/6K1 b - -,b2b1q
8/p4rkp/4p3/Pp6/1PpP1N1R/2r4P/8/7K w - -,f4e6
8/5pkp/6p1/3R4/8/4P1PP/P1r2rK1/3R4 w - -,g2g1
5nk1/1r3p1n/1rb4p/pp1pPPp1/2pP2P1/P1P3B1/1R1NBK1P/R7 w - -,a1b1
5rk1/p3Qpbp/6p1/8/3q4/5B2/Pr2NPPP/5RK1 b - -,d4e5
4rb2/1p3k2/p4p2/1Pn3pp/3P4/4NP2/1B3KPP/R7 w - -,d4c5
r5k1/5pp1/1p3qn1/4p3/PP2p2p/4P2P/1BQ2PP1/3R2K1 b - -,f6f5
