5n2/4k3/2p5/pp2PK1N/7P/1P6/P7/8 w - b6,h5f4
q4k2/3R2r1/p1P1Q3/1p6/5pPb/1P3Kn1/P1B5/4R3 b - -,g7d7
1Q6/5kpp/3rp3/2q5/2P4P/6PB/5P2/6K1 w - -,b8b7
6k1/p1p2ppp/1p1p4/3P4/2P1P2r/1P2KPrq/PB1Q1R2/3R4 w - -,d1f1
8/p4kpp/4N3/8/6P1/1Pr4P/P3R3/6K1 b - g3,h7h6
4r1k1/pp1r1pp1/8/1P6/3bpB2/P1N2pP1/7P/3R1K1R b - -,e8d8
r3r1k1/2q2ppp/1p6/p1nnp3/P1P1PP2/4Q1P1/6BP/2RR2K1 w - -,c4d5
8/8/8/8/5kP1/1P2p3/4B2K/4b3 b - -,e1b4
2nr2k1/1p1qppb1/p6p/P2P2p1/1Q5P/3PB1P1/BP3P2/2R3K1 b - h3,g7f6
3k4/5p2/1P5R/6P1/4Pr2/2K5/8/8 b - -,d8c8
rnb2rk1/pp2ppbp/1qp2np1/2Pp4/3P4/1Q3NP1/PP2PPBP/RNB2RK1 b - -,b6d8
8/2r3k1/3p1b2/3P2Pp/4B3/pPp5/P1K3R1/8 b - -,f6d4
r2q1rk1/pbn1ppbp/1p4p1/2pPP3/2P5/P2B1N2/1PQ3PP/R1B2RK1 w - -,c1f4
1r1q2nr/pp1bkpbp/3N2p1/3Np3/QP6/4P1P1/P4PBP/R1B1K2R b KQ -,e7d6
6R1/8/8/1p4r1/4K2k/7p/8/8 w - -,g8h8
2r2rk1/4qppp/p2pbn2/4p3/4P3/Q3BP2/PPP4P/2KR1B1R b - -,e7c7
r1b1k2r/pp3ppp/2n1pn2/q2p4/4P3/PNP1BP2/2PQ2PP/R3KB1R b KQkq -,a5c7
r4rk1/p4ppp/bbp1pn2/4N2q/Pp6/5NP1/1PQ1PPBP/R2R2K1 w - -,a4a5
8/3k3p/6p1/3bbp2/p6P/P4PP1/1P2R1KN/3r4 w - -,e2e5
r2qkbnr/ppp1pppp/8/3Pn3/2p2B2/2N2P2/PP3PPP/R2QKB1R b KQkq -,e5g6
r1bqr1k1/1p1n1pbp/p1p1pnp1/P2p4/2PP4/1QN2NP1/1P2PPBP/R1B2RK1 w - -,f1d1
2R2N2/3n1kp1/3p4/8/4P3/8/r1PBK2P/8 b - -,d7f8
5q1k/p6p/3p2P1/2p1n3/1p2Q3/3P3P/PPP3B1/5rK1 w - -,g2f1
3r1rk1/p1p3pp/2B1p3/2q1n3/1pP1QPn1/6P1/PP1N2KP/4RR2 w - -,d2b3
1b2rr1k/1q4pp/p4n2/3NppN1/1P6/PQ2P3/1B3PPP/3R1RK1 b - -,h7h6
r4rk1/1q1nppbp/3p2p1/ppp5/3PP1N1/2P2N1P/PP1Q1PP1/2R2RK1 b - -,d7f6
2b2rk1/B1p1ppbp/6p1/3B4/8/6PP/P1p2P2/2R1r1K1 w - -,c1e1
2b2r1k/r4pbp/q2p1Np1/3P2B1/pp6/6PP/nPQ2PB1/1R3RK1 w - -,c2d2
4nrk1/2q2ppp/2r1p3/p3Q3/N7/2P5/1P3PPP/3RR1K1 b - -,e8f6
3r1rk1/4qpp1/1pR1p2p/p2nN3/3P4/P5P1/1P2QP1P/2R3K1 b - -,e7g5
r1bqk1nr/pp1p1pbp/4p1p1/1Bp5/3nPP2/2NP1N2/PPP3PP/R1BQ1RK1 b kq -,g8e7
r2qr1k1/p4p1p/1pbp2pB/2p1n3/4P1PP/P2B2Q1/1P3P2/2KR3R w - -,g3f4
6k1/1rBqb1rp/3p4/1NpPnppQ/P7/8/1P3PPP/R3R1K1 w - -,c7d6
5rk1/3R1ppp/pp6/2p5/2P2P2/P4P1P/5P2/6K1 w - -,d7b7
r7/2R2pkp/6p1/4Nn2/5P2/7K/2P4P/8 b - -,a8a3
1k6/1b3ppp/2r1p3/P3Q3/2P5/3q1P2/1P4P1/R3K3 b - -,b8a7
2b2r1k/2p1np1r/1p1p2pp/p1nPp3/P1P1P1PN/4P1KP/1PBN1R2/5R2 b - -,h8g7
8/4p1k1/3p4/3Pbpp1/8/1r3BP1/5K2/3R4 w - -,g3g4
r2q1rk1/p4ppp/1pn2n2/2pp4/3P4/P1PQPP2/6PP/R1B1RNK1 b - -,d8d7
r4kr1/p1pb1p2/1p1p1q1p/n2Pp1pn/2P1P3/1BPN1PP1/P3QB1P/R3R1K1 w - -,g1h1
2b1rrk1/p2q2b1/1pn2npp/2p5/3p1PPN/P2P2BP/1P1QR1B1/4RNK1 b - -,e8e2
4r3/8/1p6/8/1PR5/3pp3/Pk3K2/3R4 w - -,f2e1
r2q1rk1/pp2ppbp/2n1bnp1/2Pp2N1/2P2B2/2N1P3/PP3PPP/2RQKB1R b K -,e6g4:d8a5
6k1/7p/1p1n4/p2Pq1p1/2P1prP1/1P4R1/2B1Q1KP/8 w - -,c2d1
5rk1/1b1nq1pp/3p4/r1p1pp2/2P1n3/P3P3/1BQNBPPP/R2R2K1 w - -,a3a4
rnb2rk1/pp2b1pp/1q2p3/3pPp2/3P1P2/P2B1N2/1PQ1N1PP/1R2K2R b K -,c8d7
r1r5/1p1k2p1/1p2pn1p/2bp1p2/1n6/2NPP1PP/PP1B1P2/R1R2BK1 b - -,d5d4
8/p1p3p1/b6p/8/3pk2N/1P4P1/P1PK3P/8 w - -,h4g6
1r1qr1k1/1ppbnpbp/p2p1np1/8/P1PNP3/1PN3PP/1B3PB1/R2Q1RK1 b - e3,d8c8
6k1/pp4pp/2p1p3/2P1P3/PP6/4bQBP/6P1/q6K w - -,h1h2
4rn1k/p5pp/3r1p2/1PpQ2B1/8/6P1/PP2qP1P/R2R2K1 w - -,d5d6
1n6/2k4p/8/p1P3p1/BP2rP2/2K5/3R2PP/8 b - -,a5b4
r4rk1/pQpq1ppp/3p3n/2b3N1/2BnP1b1/2N5/PP3PPP/R1B2RK1 b - -,a7a6
r1bq1rk1/1p1n1ppp/p1pb1n2/4p3/2BP4/P1N1PN2/1PQ2PPP/R1B2RK1 w - -,c1d2
2r5/1r3p1k/p1npbbpp/1pp1p3/4P3/1PPPB2P/P1BN1PP1/R3R1K1 w - -,a2a4
6k1/3R4/6P1/8/5PK1/8/1r6/8 b - -,b2b1
r1bq1rk1/pp3ppp/1bpp1nn1/4p3/3PP3/2PB1N2/PP1NQPPP/R1B2RK1 w - -,d2c4
r5k1/3nppbp/3p2p1/2pP4/P3q3/2B2N1P/3N1PP1/R5K1 w - -,d2e4
N1bq1b1r/3nkppp/3p4/4pP2/3p4/6Q1/PPP3PP/R1B2RK1 w - -,g3f3
5rk1/p5bp/1p6/2p1rp2/2P5/4B3/P4PPP/2R1R1K1 w - -,g2g3
2rr4/3p1pbk/1pnqp1pp/p1p5/2P1BP2/P1NP2P1/1P1Q1P1P/1R2R1K1 w - -,e4g2
rq3nk1/4rpp1/1p1p1n1p/pPpPp3/2P1P3/3BQN1P/1P3PP1/2R2RK1 w - -,f3h4
r5k1/7p/pnrbpp2/3p2p1/3P2P1/1PN4P/P1R1KP2/2BR4 w - -,e2d3
rnbqkb1r/p4ppp/2p1p3/1p1nN3/2pP4/2N3P1/PP2PPBP/R1BQK2R w KQkq -,e1g1:a2a4
4r1k1/R3r1p1/1pp4p/4N3/1n1P4/2K1P3/7P/R7 b - -,c6c5
3q2k1/5ppp/Qb6/8/P3rP2/R3P3/1P4PP/2BR2K1 b - -,d8d1
q4rk1/p2npp1p/1p1p1np1/2r5/2PQ4/1PN1N1P1/P3PP1P/R2R2K1 b - -,a8b7
rnbqk2r/pp1p1ppp/4pn2/2b5/2P5/2N5/PPQ1PPPP/R1B1KBNR w KQkq -,g1f3:c1f4:c1g5:a2a3
8/5nk1/p1pr4/2R1p3/1P2PpKB/8/P7/8 w - -,g4f5
4rr2/pp1b1q1k/2pp1b1p/4np2/1PP2R2/1Q1P2P1/PB1N2BP/4R2K w - -,f4f1
2kr4/1pnb1p1p/p5p1/2P1p3/1PPbB1P1/P1N2P2/2KR3P/7R b - -,c8b8
r1bk1bnr/1p3ppp/p1p1p3/4P3/5B2/2N5/PPP2PPP/2KR1B1R b - -,d8c7
2b1r3/1pB2pkp/p4b2/4pp2/P4P2/2P2B2/1P1R2PP/5K2 w - -,c7e5
r3r2k/pp1n1ppp/2p1p1b1/8/3PPPP1/PBB4P/1P6/R3R1K1 b - g3,f7f5
4r3/pp1k1p1p/2p5/3p1p2/3PRPb1/2P3P1/PP1K2NP/4R3 b - -,f5e4
r2q1rk1/1pp1bppp/p1np1n2/4p3/PPB1P1b1/1QPP1N2/5PPP/RNB1R1K1 w - -,b1d2
2r1k2r/pp1bppbp/3p4/2q1Pp2/5P2/2N5/PPPQ2PP/1K1R1B1R b k -,e8g8
r2q1rk1/p2p2pp/4pb2/n1p2P2/2P2P2/2N1Q3/PP2BP1P/2KR3R b - -,f6d4
rn1qrbk1/1bp2ppp/p2p1n2/1p1Pp3/4P3/1BP2N1P/PP3PP1/R1BQRNK1 b - -,b8d7:c7c6
r2qk2r/pb2npb1/1pn1p1p1/2p4p/3pPP1P/2PP2P1/PP1NN1BK/R1B1QR2 w kq -,f1f3
3q1k2/1p3pp1/2p1p1p1/p1n1Q3/2P5/5BPP/PP2PP2/6K1 b - -,c5a6
