7k/R7/7p/8/2r1P3/5K2/7P/8 b - -,h8g8
2rr2k1/pb2bppp/1p2pn2/3qN3/3P4/P1BQ1P2/1P4PP/1BR1R1K1 b - -,g7g6
8/p7/1p2k3/2p2ppp/2P1r3/1P3KPP/P2R4/8 b - -,g5g4
4r1k1/pp2qppp/2p5/4n3/1B6/4P2P/PPB1QPP1/R2r2K1 w - -,a1d1
r2qkb1r/p2b1ppp/5B2/1B1p4/8/4P3/PPP2PPP/R2QK2R b KQkq -,d8a5
1r6/2k5/p1bp4/7P/2ppP3/8/P5B1/2BN3K w - -,h5h6
4Qbk1/p6p/3pb1p1/4q3/7P/2Pn4/PPR1N1B1/3K1N2 w - -,e8a8
4rbk1/pb5p/4Ppp1/5P2/2Pq2P1/5N1P/P2B2BK/8 w - -,f3d4
8/1p6/pK2k3/8/8/3Q4/P4Pq1/8 w - -,d3c4
8/5r1k/2P4p/1p6/pP2R3/P4n1p/5B2/4R2K b - -,f3e1
2k2Q2/p2br2q/1p2p2p/3pP1pB/2pP4/P1P5/6PP/5R1K b - -,c8c7
2R5/5pk1/4p3/6pP/4KbP1/8/8/8 w - -,c8a8
1rnb2k1/1p3r2/n2p4/Nq1Pp2p/1P2Ppp1/N4P2/P4BPP/5RRK w - -,a3b5
2r3k1/p2R1p1p/1p4p1/1np5/2P5/7P/P2B1PP1/6K1 b - -,b5a3
6k1/pp2n3/4rpPP/5N2/P4P2/1P3K2/2P4R/8 w - -,h6h7
rn1qkb1r/1b3ppp/p3pn2/1ppp4/4PP2/P1NP2P1/1PP1Q1BP/R1B1K1NR b KQkq -,f8e7
rn2nrk1/1bq1bppp/p2pp2B/8/1p1NPP2/5BQ1/PPP3PP/1NKR3R b - -,b8d7
r3kb1r/p3nppp/2p1p3/4Pb2/2B5/2N5/PP2KPPP/R1B4R w kq -,c1e3
r2q1rk1/2p1b1pp/1p3p2/3p1b2/3P1B2/nPNN3P/P1n1BPP1/R2Q1RK1 w - -,a1c1
3r1k2/2p5/p3p3/7p/1p2P1p1/1P1P2P1/2P3KN/1R6 b - -,f8e7
8/p7/B4k2/5P1p/1P2K1p1/8/8/8 w - -,e4f4
2r5/pk6/bp4pp/3N1p2/5K2/1P1p2P1/1P1R1P1P/8 b - -,g6g5
8/2N3bk/3p4/5p1p/1P2pP2/7P/6P1/6K1 b - -,h7g6
rr4k1/1p1n1p1p/2pNb1p1/p7/2P2B2/5B2/Pb3PPP/3RR1K1 w - a6,d6f7
3r3r/p2bk2p/1pnqp1pP/2Pp1p2/8/Q1P1PN2/PP1N1PP1/R3K2R b KQ -,d6c5
6k1/p3rp2/b2N2p1/2R5/3p1P2/1P1P4/P6P/6K1 b - -,a6d3
r2r2k1/pp3p1p/4b1p1/8/3QPq2/5P2/1P2B1PP/R2R2K1 w - -,d4d8
2br3k/4n1p1/5p1p/5P1P/2qBBQ2/1p2P3/p5P1/R6K b - -,d8d4
r1bqkb1r/p4ppp/2p1pn2/2pp4/2P1P3/3P1N2/PP3PPP/RNBQK2R w KQkq -,b1c3
4r1k1/pp4pp/1qp1rb2/3p4/3P4/1P1QP1P1/PB2R2P/R3K3 b Q -,b6b4
3r1rk1/p1q2ppp/2b1pb2/2p1n3/2P2PQP/1P6/PBP3P1/2K1R2R w - -,f4e5
Q7/4bpk1/p4qp1/1p4Np/1P5P/P5P1/5PK1/8 w - -,a8b7
r3k3/1p2bpp1/p1n1b1r1/3qPp2/3p1P2/1P1P1NN1/PB3Q1P/R4RK1 w q -,a1c1
r2q1r2/3b1pbk/3p1npp/1pnPp3/pN2P3/P3BP2/1P1QN1PP/R2B1RK1 b - -,a8c8
8/1p3pk1/1qnQ1bp1/2p4p/2P4P/1p1B1RB1/P4PP1/6K1 b - -,c6d4
5rk1/pp2p1b1/4R3/3p2pp/3r4/1P5P/P4PP1/2B1R1K1 b - -,g7f6
r2q1r2/p3n1kp/1pn2pp1/2pbp3/4NP2/P2P2P1/3QP1BP/1RB2RK1 b - f3,d5e4
r3rb1k/1b3qpp/p3p3/1p1pPp1P/n2N2P1/2P2P1Q/PPB1R3/R1B3K1 b - g3,f5g4
5Q2/5b1k/2R4p/4qp2/4p3/8/2p2PPP/5K2 b - -,e5a1
3q1r1k/2p1b1p1/br5p/p2pP3/Pn1P4/1BR2N1P/3Q1P1N/2R3K1 w - -,g1h1
5rk1/3nppbp/q5p1/P2n4/3P4/4NP2/3QNBPP/2R3K1 b - -,g7h6
r3rnk1/pp3ppp/2pq1b2/3p4/3P4/3BPNP1/PP2QPP1/R4RK1 w - -,e2d2
4q3/p3r3/kpb1p2r/3pB1nP/2pP1QP1/P1P5/2P4K/3B1R2 w - -,f4g5
r2q1rk1/p4pp1/7p/3P1b2/1p2N3/P1N3P1/1Pn1QPP1/3R1RK1 w - -,a3b4
3r1rk1/ppq1bpp1/4b2p/4Pn2/2p1pB2/7P/PPP1BQPN/4RRK1 w - -,h2g4
r3r1k1/pp1q1pp1/n6p/8/P1QPN3/4bP2/4N1PP/3R1RK1 w - -,g1h1
r3kb1r/1pBn1ppp/p1p1p3/2Pp1b1n/1P1P4/2N1P3/1P3PPP/R3KBNR w KQkq -,b4b5
6k1/p5b1/8/1Pp2r1p/3p4/P4PP1/6KP/2R2R2 b - -,f5d5
5rk1/5pb1/2PRp1pp/p1q5/1p6/4Q1BP/PP3PP1/6K1 b - -,c5c4
r4rk1/ppq2pp1/2pbpn1p/5b2/N1PP4/4B1PP/PP3PB1/2RQ1RK1 b - -,f5e4
5R2/8/8/8/4p3/r3k2p/8/6K1 w - -,g1h2
r1bqk1nr/3nppb1/p2p2p1/1pP4p/4P2P/2N1BP1N/PPPQ2P1/R3KB1R b KQkq -,b5b4
r2qr1k1/p3bppp/2pp4/1p1n2B1/6P1/2P4P/PPPN1PQ1/1K1R3R w - -,g5e7
4r1r1/4kpp1/2pqp2p/1p5P/p1nP1R2/P1P2Q2/2P2PP1/2B1R1K1 b - -,f7f6
r7/pbpp2kP/5bP1/2PP3R/4npP1/8/PP6/2KR4 w - -,d5d6
5R2/6k1/4P3/8/6P1/7K/8/4r3 w - -,f8e8
3b4/r2B4/P3Pkp1/1K3p1p/R4P1P/6P1/8/8 b - -,f6e7
3r2k1/4rpp1/pP5p/4p3/1P2B1P1/P1qp2P1/5P2/2B2RKQ w - -,h1f3
r2q1rk1/ppp2ppp/2n1bb2/3n4/3PB3/P1N2N2/1P3PPP/R1BQR1K1 b - -,h7h6
rq1r1bk1/1b3ppp/p5n1/1pp2N2/4PP2/1P4P1/PB2Q1BP/2R2RK1 w - -,h2h4
r1bqr1k1/pppn1ppp/3b1n2/8/2P1p3/2N3P1/PB1PPPBP/R2QNRK1 w - -,e1c2
2r1r1k1/pp2qp1p/6p1/3p4/3R4/1P2P1P1/P2Q1PKP/3R4 w - -,d2a5
r1bq1rk1/pp1p1p2/2n1p2p/6p1/3N4/2PB2P1/P1P3PP/R2Q1RK1 b - -,c6d4
r1b1kb1r/ppq2ppp/2nppn2/8/4P3/PNN1B3/1PP2PPP/R2QKB1R w KQkq -,f2f4
r1b2r1k/pp1Nq1pp/5n2/4bp2/3PpP2/PQ2P3/1B4PP/2R2RK1 w - -,d7f8
r4k1r/1p2bpp1/p1b2n2/q3B2p/2B1P3/2N3Q1/PPP3PP/3R1R1K w - -,c3d5
8/2r1q1bk/2r3p1/3pp2p/PR4Q1/6NP/6P1/4R2K w - -,g4h4
r1bq1rk1/ppp1n1bp/3p1p1n/3Pp1p1/1PP1P3/2N2NB1/P3BPPP/R2Q1RK1 b - b3,e7g6
8/2n5/2P2kp1/7p/2B1K2P/5P2/8/8 b - -,f6e7
rn1q1rk1/1bpp1ppp/1p2pn2/p7/1bPPP3/3B1N2/PP1N1PPP/R1BQ1RK1 b - -,d7d5
1rbqk1nr/3p1pbp/p3p1p1/1pp1P3/3nBP2/2N2N2/PPPP2PP/R1BQ1RK1 b k -,d7d5
r2q2k1/r3bpp1/2p1pn1p/1p6/1P1P4/2P3PP/B1Q2PK1/2BR1R2 w - -,a2b1
2R5/8/5b2/8/1r2k3/8/2K5/8 w - -,c2d2
8/6p1/8/4KPpk/5r2/8/8/7R b - -,f4h4
5rk1/5pp1/Np1q1b2/3p2p1/1P1N2n1/4P1P1/5P1P/Q1R3K1 b - -,g4e5
1r3rk1/1b2qpbp/2npp1p1/2n5/1p2P3/1P1NB1PP/R1PQNPB1/5RK1 b - -,c6e5
2rr2k1/pb2qppp/1pp1pn2/3BN3/3P4/3NP3/PP3PPP/2RQ1RK1 b - -,c6d5
rn2k2r/5p1p/1ppPp1p1/3qP3/2R5/3B4/P3Q1PP/5R1K w kq -,d3e4
2kr3r/pp1nbpp1/3p2N1/2pP4/2q3p1/3RB2P/PPP1QPB1/2K1R3 b - -,f7g6
1b1r1rk1/p4pp1/5q1p/2R5/4p3/1Q5P/PP2BPP1/3R2K1 b - -,d8d1
r1b1r1k1/p1p2qbp/np1p2p1/3Pp1PP/2P1B3/BQP2P2/P3NK2/R6R w - -,h5g6
r5rk/pp3p1p/2p4B/q1b1pB2/4P3/2N4R/PPP3PP/R6K b - -,f7f6
r2q1rk1/4n3/ppn4p/2pb1pN1/Q7/P1PP1NP1/5PBP/1R2R1K1 w - -,c3c4
1Q3K2/3q3k/5P2/7P/8/8/8/8 w - -,b8e8
r7/4b2p/5p2/pk4p1/R3P3/5P2/6PP/4BK2 w - -,a4d4
1R3b2/6kp/3p2p1/r1n1p3/4P3/4B1PP/5PB1/6K1 w - -,b8c8
