8/5k2/1N1p4/p1p5/P1P2PK1/1n6/8/8 w - -,b6c8
r2qkbnr/pp1nppp1/2p3bp/8/3P3P/2P2NN1/PP3PP1/R1BQKB1R b KQkq -,g8f6
8/3k2K1/5P2/4R3/8/8/8/6r1 w - -,g7f8
3q2k1/1p1r2bp/p2p1n2/2pPp1N1/P1P5/1P4QP/2B3P1/5R1K b - -,d8e7
8/p1n1bb2/1pk2pp1/2p1pP2/4P3/N1PBB1P1/1P3K2/8 w - -,g3g4
8/8/6k1/3n2P1/4KP2/6N1/8/8 b - -,d5c3
r1bq1rk1/pp1n2pp/2pbp3/3p1p2/1PPPn3/2N2NP1/P1Q1PPBP/1RB2RK1 b - b3,e4c3:b7b5:d7f6
5rk1/8/4p3/3pP1P1/PnnP2KP/1R3P2/8/1BB1b3 b - -,c4a5
8/8/6k1/4r1p1/P1R5/8/3K1P2/8 w - -,c4c3
8/7k/3n2p1/P3B2p/7P/4N1r1/2BK4/8 b - -,g3g2
rnbq1rk1/pp3pbp/3pp3/2pP1p2/2P5/2N1P3/PPQ2PPP/3RKBNR b K -,a7a6
r4bk1/pqp1n2p/2p1bpp1/2B1p3/2P1P3/QP3NNP/P2R1PP1/6K1 b - -,g8f7
r1b1nrk1/2qp1ppp/p1N1p3/1p4P1/1b2P3/2N1BP2/PPPQ3P/2KR1B1R b - -,c7c6:d7c6
1q4k1/1b2bppp/1P2p3/3p4/2rP4/1Q3N2/5PPP/R4RK1 w - -,b3a2
r1bqk2r/pp3ppp/2n1p1n1/2bpP3/8/2PB1NB1/PP3PPP/RN1QK2R b KQkq -,e8g8
8/5pk1/1r1p1bpp/1P6/1R1p4/2r3PP/3Q1PK1/8 b - -,c3c5
3q2k1/Q1p3pp/4p3/1r2p3/3n4/1P6/P2N1rPP/2RK3R w - -,a7c7
3r4/3Nk2R/8/1B4p1/6K1/7P/3b4/8 b - -,e7d6
r1q2rk1/p2nbpp1/1p2p2p/3n4/3NN3/PP1bP3/1B3PPP/1Q1R1RK1 w - -,b1d3
1r1r4/pbN2nkp/1p4p1/4p3/6P1/3P2BP/PP2K3/R1R5 w - -,c7e6
3r2k1/p3pp1p/6p1/8/4b3/1P2P3/4BPPP/R5K1 b - -,d8d7
rnbqk2r/ppp2ppp/3b1n2/3pp3/8/3P1NP1/PPPNPPBP/R1BQK2R b KQkq -,e8g8
rn1q1rk1/pp3pbp/3p1np1/2pP4/4P3/2N5/PP1NbPPP/R1BQ1RK1 w - -,d1e2
rnbqkbnr/ppp2pp1/3p3p/8/2BPPp2/5N2/PPP3PP/RNBQK2R b KQkq d3,g7g5
3nr3/2p1rpk1/2p5/p2pPBpp/5P2/PPR2KP1/2P4P/3R4 w - -,d1d2
rn3rk1/pp1qppbp/6p1/2ppP3/3P4/2P2N2/PP1n1PPP/R1BQR1K1 w - -,d1d2
rn1qk2r/p4pp1/2p1p1p1/1P6/2pPP3/5PP1/1P1B4/R2QKB1R b KQkq -,h8h1
r3kr2/1p1bp2p/1q4p1/p1n5/2Q5/1BP3N1/PP3bPP/2KR3R w q -,b3c2
8/1pB2k1p/p2p2p1/P2P4/1b2n3/1B5P/6P1/6K1 w - -,b3c2
6k1/1pp1r2p/1p1q2p1/3P4/6n1/P1Q3PB/1P3P1P/3R2K1 b - -,g4f6
b1r4k/p3q2p/1pp1p2N/6bQ/P1PP1r2/3R1B2/1P3P1P/6RK b - -,f4h4
r2q1rk1/pp1bbppp/2nppn2/2p5/4P3/2P2N1P/PPBP1PP1/RNBQR1K1 w - -,a2a3:d2d4
8/6p1/1p3p2/pB5P/2p2P2/PkP5/1P2b3/2K5 w - -,b5e8
r2r4/1pk2ppp/2p2n2/p3p3/2P1P3/P4P1P/1n1B3P/2R1KBR1 b - -,b2d3
r3r1k1/1pq4p/p1bbp1pB/5pN1/3P3P/1PP2Q2/5PP1/3RR1K1 w - -,f3d3
8/1p6/p3k3/3r2pp/3p1r2/3R1PR1/PPP1K3/8 b - -,d5e5
2r3k1/pp3pb1/1r4p1/3RP2P/6q1/1P2Q3/NR6/1K6 b - -,g4h5
8/8/3pk1p1/8/3R3P/4NK2/8/1r6 w - -,f3f4
8/3kb3/p5p1/3PK3/P5p1/5P1P/8/8 w - -,h3g4
8/5pkp/8/2b5/5PB1/5KP1/7P/8 w - -,g4f5
r1b2rk1/pp2n1bp/1q2pnp1/3p4/3P4/1B3NN1/PP3PPP/R1BQR1K1 b - -,e7c6
r1q2k1r/1bp3b1/pp3pQ1/4p2p/4n2P/4B2N/PPP1BPP1/2KR3R b - -,c8e8
1k3b1r/1pr1n1pp/p1q2p2/2Pp4/3P1B2/5PP1/P4PKP/1R1QR3 b - -,e7c8
Q4k2/2q2p2/3r1p2/p7/2P2R2/6P1/1P6/6K1 b - -,d6d8
2kR3r/pp2bppp/2n5/4pbB1/8/1NP2P2/PP4PP/4KB1R b K -,h8d8
r4rk1/pp1bq1pp/2p1p3/3p1p2/2PP4/2Q2PP1/PP2P1BP/R3R1K1 b - -,f5f4
8/2kb1n2/1r2p2p/rP1pP3/p1pP1NBR/R7/2PK1P2/8 w - -,h4h1
1r4k1/5ppp/r2p3b/pN2p3/2P1P2P/1P4P1/5P2/R2R2K1 w - -,a1a4
3rn1k1/4bb1p/1Np3q1/6p1/3P4/2P2QNP/6P1/5R1K b - -,e8g7
4b3/p1k2r2/P1p4p/3p2p1/2pP2P1/2P2B2/1RP2KP1/8 w - -,f2e3
6k1/p4pp1/P5p1/1p1P1n2/2p5/2R2BPP/1P3PK1/4r3 w - -,b2b3
3r4/4k1r1/p3p2p/Pp5p/1Pp5/5R1P/2B1K1P1/4N3 b - -,d8d4
rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/1P3N2/P1P1PPPP/RNBQKB1R w KQkq d6,c1b2:g2g3
1r1r2k1/ppRn1ppp/4p3/4P3/3PQ3/8/qP2NPPP/5RK1 w - -,c7b7
rn3rk1/3p1p1p/bq2pbp1/3P4/2p5/2N2N2/PP1Q1PPP/1B1RR1K1 b - -,a6b7
rnbqk2r/2p1npb1/pp1pp1pp/8/P2PPP2/2N1B3/1PPQB1PP/R3K1NR w KQkq -,h2h4
r1r3k1/2qnbppp/ppbpp3/8/2Q1P3/P1N1B1PP/1PP2PB1/R3R1K1 w - -,f2f4
8/p3kp2/1p2p1pp/2p5/P1P5/4P1P1/1bBB1P1P/2n2K2 b - -,c1a2
8/1K6/2p3p1/8/n6P/1k6/7B/8 b - -,c6c5
r2q1rk1/p4pbp/1p1p1np1/n1pPpb2/2P5/P1N1P2P/1P1NBPP1/R1BQ1RK1 w - -,b2b4
r4rk1/ppnqb1pp/2pp4/3P1pP1/4Pp1P/2N1B3/PPP1Q3/2KR3R w - -,e3f4
3q1r2/4p1bk/p5pp/1rn5/P2pPN2/8/Q2B1PPP/R4RK1 b - -,b5b8
4r1k1/1p2rpp1/p4n1p/4q3/3R4/P1NQPR1P/1P4P1/6K1 w - -,b2b4
5k2/R7/8/5PK1/6P1/8/p1r5/8 b - -,c2b2
r1r2bk1/1p1b1ppp/1q2pnn1/p2p4/3P2P1/PP1BQN1P/1BPN1P2/R3R1K1 w - a6,a1c1
r7/5R2/6p1/6k1/5p2/7P/6K1/8 w - -,g2f3
2r5/pk3ppp/1b2r3/2p2P2/R2pp3/1R5P/PPPB2P1/2K5 b - -,e6e5
1r4k1/5pp1/2p2b1p/R4N2/8/1P2P1P1/3r1P1P/5RK1 w - -,a5c5
r3kb1r/pp1nppp1/1qp4p/5b2/3PpP1B/4P3/PPP1B1PP/1R1QK1NR b Kkq -,b6a5
r1br2k1/p1p1pp1p/1np3p1/3q4/4N1P1/3PBP2/PP2PQ1P/R2R2K1 b - -,d5e5
8/1p3b1k/1bp4p/3pP3/1P1Pn1r1/4P3/1Q6/5K1B b - -,e4g3
r3kb1r/1p3ppp/1pn1p3/1B3b2/3P4/4P3/PP3PPP/R1B1K1NR b KQkq -,e8c8
r2b4/p5B1/2k1pp1p/1p1b4/8/2P2B2/PP3PPP/3R2K1 w - -,f3d5
2R2r1k/1q4p1/p1Q4p/8/6R1/4P1P1/8/7K b - -,b7c8
r1b1k1nr/3pqppp/p1p1p3/8/4P3/2P1B1Q1/P1P2PPP/R3KB1R b KQkq -,f7f6
r1bqk2r/pp3ppp/2n2n2/3p4/1b1N4/2N3P1/PPP2PBP/R1BQ1RK1 b kq -,b4c3
8/p3p1nk/1qp4p/2p1Np2/2P2P1P/1P2P3/P2QK3/8 w - -,e2f3
r1bq1rk1/pp1nb1pp/2p1pn2/3pNp2/2PP4/2NBP3/PP3PPP/R1BQ1RK1 w - -,f2f4
3r1rk1/p1pbqppp/1bp5/3pPn2/3N1P2/2P5/PP1N1BPP/R2QR1K1 b - -,c6c5
2b1r1k1/1p3pp1/2p5/r7/1p1p1P1p/1P1Bb1KP/2P1N1P1/1N1RR3 w - -,g3h2
r2qkb1r/pp2npp1/2p1b2p/2Nn4/2BQ4/8/PPP2PPP/RNB1R1K1 b kq -,e7f5
5rk1/2n1p1qp/3p2p1/1ppP4/8/1Pr3PP/P3QPB1/4RRK1 b - -,f8f7
r2q1r2/pppb1pk1/3p2n1/3P2p1/2P1PpP1/2N2P2/PP1QB3/2KR3R w - -,d2d4
2N5/3B1k1p/6p1/p3Pp2/3P1P2/1b1r2P1/2R2K1P/8 b - -,b3c2
r1bq1rk1/1p4b1/p3pnpp/2p1P1N1/2Pn4/2NB4/PP4PP/R1BQ1R1K b - -,f6d7
4r1k1/5ppn/2p1p1np/p3P3/2PP4/4B1P1/P2r1PBP/5RK1 w - -,e3d2
rnbq1rk1/pp1p2bp/2p3p1/4Np2/2P5/2N3P1/PP2PPBP/R1BQK2R b KQ -,g7e5
r2q1rk1/1b1nppbp/p4np1/1p6/3P4/1BN2N1P/PP3PP1/R1BQR1K1 w - -,c1g5
