8/P7/1K6/4pk2/5n2/8/1P1R4/r7 b - -,e5e4
5n2/5kp1/2pr4/1pP5/p4pN1/P4P1r/1P6/1K4R1 w - -,c5d6
r3k2r/pp1n3p/1q2pPp1/3p4/3P4/3Q4/PP4PP/R1B2RK1 b kq -,e8g8
1r2r1k1/p2bppbp/3p2p1/3P4/5P2/2P3PP/P5B1/R2N1RK1 b - -,e8c8
3r2k1/pp1rbppp/1np1pnq1/8/3PP3/PPN1BQNP/5PP1/R2R2K1 w - -,a3a4
8/2pk2p1/2p1p1n1/pp2P3/2Pb1P1p/1P5P/P3K1PB/4N3 b - -,g6e7
1q6/7Q/1pp2kn1/p1n2N1p/2P4P/1P3PP1/P5B1/7K w - -,h7g7
r2qk2r/p2n1p1p/n3p3/1pppP1p1/3P4/1NP2R2/PP3PPP/R1BQ2K1 w kq -,f3g3
r1br2k1/p3qppp/4pn2/8/3Q4/6P1/PP2PP1P/RNB2RK1 w - -,d4h4
5k2/5p2/2b1pb1p/1pPP2p1/1r2p3/4N1PP/3R1P2/5BK1 b - -,e6d5
8/1p1br3/p5kp/3p2p1/3N2P1/P4PK1/1PP5/7R b - -,e7e5
2k5/r7/p2Q2pr/4P2p/7P/3R4/PPPK2P1/6q1 w - -,d6c6
r4rk1/1ppnq1pp/2p2p2/p1b1p2b/2N1P3/P2PBN1P/1PP1QPP1/R4RK1 w - -,f1e1
rnbqk2r/p1p1bppp/1p2pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq -,c8b7:e8g8
r4rk1/p4pbp/1q2bnp1/3pp1B1/2B5/2N2P2/PPP3PP/2KRQ2R w - -,g5f6
4k3/pp1q1pp1/3p2r1/3P3p/1Q6/2N4P/PPP2P2/5K2 w - -,b4h4
4R3/1pp2r1p/2n3pk/p7/6PP/2P5/1P2R1K1/8 w - -,g2g3
r1b1r1k1/2qn1ppp/p1nbp3/1p6/5P2/1NNB1Q2/PPPB2PP/4RR1K w - -,b3a5
4r1k1/pp1n1p2/2p3p1/2p2PP1/2P1P1R1/1PN5/P6P/7K b - -,d7e5
Qn1q2k1/3rbppp/pp1pp3/2r5/PNP5/1P4P1/3RPPBP/3R2K1 b - -,g7g6
5n2/p7/1pp4p/5k2/1P6/2P1K1PP/P2N1P2/8 b - -,f8e6
4r3/1p1b2pk/p1pBppq1/2Pr3p/3P1P2/2Q1R2P/PP4PK/4R3 b - -,h7g8
8/6k1/4R3/7p/5K1P/1r4P1/8/8 w - -,f4g5
1r4k1/1B3pb1/p2n1np1/4p3/1P1pP2q/6N1/3B1QPP/2RR2K1 b - -,b8b7
3q1rk1/1p3N2/1np1Ppp1/r2n1p2/p6P/P1N3P1/1PQ2PB1/3R2K1 b - -,d8e7
r3kb1r/pp1q1ppp/2n1pn2/3pN3/3PP3/8/PP3PPP/RNBQR1K1 b kq -,c6e5
r2qnrk1/ppp4p/2np1bp1/5P2/2P5/2NBBR2/PP4PP/R2Q2K1 b - -,c6e5
5rkr/pp4p1/2p3qp/3n1N1n/2PP3P/5Q2/PP3PP1/R3R1K1 w - -,e1e5
8/8/1p6/p1p2k2/P1PN2p1/R2P1r2/5PK1/8 b - -,c5d4
5qrk/ppr2pp1/2n1p2p/3pP2P/P2P1QR1/1P4R1/3B1PPK/8 b - -,a7a5
7k/1P6/8/8/4K3/8/5r1p/8 w - -,b7b8q
2r2rk1/1p2q3/3p2pb/1b1Pp1np/1PN1P3/3Q4/2R1BBPP/5RK1 w - -,h2h4
rn1qk2r/p1pp1ppp/bp2p3/8/1bPP4/P1N1P3/1P1QNPPP/R3KB1R b KQkq -,b4e7
r1r2bk1/3n1ppp/bqn1p3/3pP3/Pp3P2/1P3QP1/1B1NN2P/R2R1B1K b - -,c8c7
r5k1/3b1ppp/1p6/p2pPP2/8/1P1N4/1Pr3PP/R2R2K1 w - -,d3b4
8/1b1q2pk/p1p3p1/2Q2p2/PP1B3P/4P3/6P1/6K1 b - -,b7c8
1rb1k2r/3p1ppp/p1p1pn2/2b5/Q4B2/5B2/Pq3PPP/RN3RK1 w k -,f4b8
1rb2rk1/1pp1bppp/p3pn2/P7/3q4/6P1/1PQ1PPBP/RNB2RK1 w - -,c1e3
8/4K3/7k/8/5P2/8/8/8 w - -,f4f5
r1bq1rk1/pp3ppp/4p3/3pP3/1bPNnB2/2NQ4/PP3PPP/R4RK1 b - -,e4c3
2r3k1/5p2/1R2pb2/1p2np2/8/1PP3PP/4N1B1/6K1 b - -,e5d3
5r2/pp4kp/5p2/6p1/2PprP2/1P1Pn3/P3R1NP/6K1 w - -,d3e4
8/1b1r4/p2k3p/1p1n1pp1/1P6/3P1P2/3BK2P/2R3R1 w - -,h2h4
5k2/p5pp/4B3/5P2/3q1n2/6Q1/P4P1P/1r2R1K1 w - -,g3a3
5b1r/r2b1kp1/p2pp3/1p5p/2n1PPnP/P1N2NBB/1PP5/2KR3R w - -,d1d3
r3kb1r/pb1p1p2/n2Pp3/q1p3pp/NpP5/1P3NP1/P3PPP1/R2QKB1R b KQkq -,g5g4
r2q1rk1/1Bp1b1pp/np1pp3/pN3p2/2PP1B2/P5P1/1P2PP1P/2RQ1nK1 w - -,d1f1
r1r3k1/pp3p1p/5bp1/3p4/3P4/2P3P1/PB3P1P/R3R1K1 w - -,e1e3
6k1/1pq2r1p/r3p3/1p2npQ1/3BpN2/P1P3P1/1P5P/5R1K b - -,e5g6
r1b1k1nr/pppp1ppp/3b4/3N4/3PPp2/5P2/PPP4P/R1B1KB1R b kq d3,g8f6
2q1r2k/5ppp/R2P4/Q1ppn3/7P/3P4/1PP3P1/2B4K b - -,e5g4
5r2/1p3k2/2p2p2/7p/6P1/1P3Qp1/8/6K1 w - -,g4h5
4r2k/1b3Q2/p2p3p/1npPq1p1/1p4P1/1P5P/P5B1/2B2RK1 w - -,f1f6
rn1qkb1r/pp2pppp/2p2n2/3P1b2/8/2N1PN2/PP1P1PPP/R1BQKB1R b KQkq -,f6d5
r5k1/1ppq1pbp/3p1np1/p2P4/Pn1N1B2/2N3Pb/1PPQ1P1P/4R1KB b - -,a8e8
6kb/pb6/1pnNp1qp/3pP1pN/1P1P2P1/P4Q1P/6B1/6K1 b - -,c6d4
2r1r1k1/2qbbppp/p2p1n2/1p6/2BNP3/P4N1P/1P3PP1/R1BQR1K1 b - -,b5c4
8/p2b2kp/2p3p1/2P5/Q7/3q3P/P2r1rP1/3R1RK1 w - -,f1f2
5n1k/p3q1pp/1p6/3Q4/2P5/1PB5/P3p1PP/7K w - -,d5d2
1r2kb2/1pqb1ppr/p2ppn1p/2n5/4P1P1/1NN1BB2/PPP2PQP/2KR3R b - -,b7b5
2k1r2r/pp1b1ppp/2n5/8/1P2p3/B2B1N2/P1P2KPP/R6R w - -,b4b5
8/2k5/7R/2N1K3/8/8/8/4r3 w - -,c5e4
r2q1r2/pp3kpQ/4p2p/2pn4/3n4/P7/1PBB1PPP/R3R1K1 w - -,c2g6
8/2k4p/p7/2P1pp2/b2p4/Pr1P2P1/6BP/2K1R3 w - -,e1e5
r1b2rk1/1pqn1pbp/p2p1np1/4p3/P2pP3/N1P2N2/1PB2PPP/R1BQR1K1 w - -,c3d4
8/8/7p/2k4P/2P1Kp2/8/8/8 w - -,e4f4
8/4r2p/2pp1p1k/5P2/2P3R1/1n1B1K1P/8/8 b - -,c6c5
6k1/6p1/bB3p1p/P7/8/2b3P1/5PBP/6K1 w - -,g2f1
5b2/5pkp/1qN3p1/p2B1b2/P6P/2R3P1/P2n1P2/2R3K1 w - -,d5g2
rn1qk2r/p2p1pbp/bp3np1/2pP4/8/PQN2N2/1P2PPPP/R1B1KB1R w KQkq -,e2e4
7k/8/3p1p2/2p1nPp1/1pPpP1P1/3P4/q1P1B1K1/3Q4 b - -,h8g7
4rn1k/1p4pp/2p5/5B2/2nrP3/6K1/5P2/2B1R2R w - -,f2f3
2rq1rk1/pp2ppbp/2np2p1/7n/3PP3/2BB1P2/PP1QNP1P/R3K2R w KQ -,a1d1
r2q1rk1/1p2bppp/p1n2n2/2ppN3/3P2b1/1PN3P1/PB2PPBP/R2Q1RK1 b - -,g4e6
2r1knr1/q7/1pp1p3/3pP1B1/1P1PB2p/PN3R1P/5Q1K/8 b - -,d5e4
2r2k2/p4p1p/6p1/2rpP3/5P2/3R4/P3R1PP/6K1 w - -,e2d2
6k1/3b1p2/p3p1p1/3pP1Pp/Pp3P1P/1P1PK3/2r1N3/5R2 w - -,f1c1
8/4Qpk1/2pp2p1/p2q4/8/8/8/6K1 b - -,a5a4
2kr3r/1b6/p5pb/2p5/2pp4/2N3P1/PP3PBP/3R1RK1 w - -,c3a4
5rk1/4qp1p/Bp4p1/2p5/Pb6/5QP1/1P3PP1/3R2K1 b - -,f8d8
8/pp2Rppk/8/6np/2r5/2B3P1/P4PKP/8 w - -,c3d2
