8/5R1p/5Rpk/2b5/8/1P1n2PP/3r1PK1/8 b - -,d2b2
8/8/1k3p2/pP2b1p1/3pPpP1/1N1P1P2/1P1K4/8 w - -,d2c2
r4rk1/2p2ppp/p1p1bq2/P2Pn3/8/1P1BN3/2P2PPP/R2QR1K1 b - -,c6d5
rnb1k2r/pp3p2/4p1pp/2qpP3/5Q1P/2PB4/P1PK1PP1/R5NR b kq -,c8d7
6k1/5pb1/4p3/4P3/5P1P/2pK2Q1/r4P2/8 b - -,c3c2
2r3k1/4bp2/p3p3/7p/2N1n3/4B1P1/PP5P/3R2K1 w - -,b2b3
6kr/1b3p2/7p/5N2/3r1Bn1/2N5/1PP3PP/5RK1 b - -,d4b4
r5k1/5pbp/p2Rp1p1/1p2n3/2p1P3/NP2q1P1/P1Q1B2P/5K2 b - -,e3c5
2kr2r1/p1q1bp1p/Ppp1ppbB/3n4/3P3N/1B3Q2/1PP2PPP/R3R1K1 w - -,c2c4
8/7r/6R1/8/8/4kbK1/8/8 w - -,g6g5
1r6/4b1kp/1qPp2p1/4pp2/1pQ3n1/6P1/1PPB1PBP/4R1K1 w - -,e1e2
4r1k1/8/4r3/1Q2P1p1/2p3q1/6Pp/PP2R2P/4R1K1 w - -,b5d5
8/6bk/3n3p/2N4Q/1q1p1B1P/3P2P1/5P2/6K1 b - -,d6b5
8/6Np/4kp2/3p2p1/3n1PP1/7P/1K6/8 b - -,e6f7
r3r1k1/3q2p1/4pb1p/1pppp3/4P3/1QPP1N2/RP3PPP/4R1K1 w - -,a2a8
1r2nrk1/R2bqpbp/3p1np1/2pP4/1pP1PB2/3B3P/1P1NN1P1/3Q1RK1 w - -,e2g3
r1r3k1/3n1p1p/b1p1p1p1/p2p4/Nq2PQ2/1P2R1P1/P4PBP/2R3K1 b - -,e6e5
r4rk1/pp3ppp/2n1pn2/q7/1bB5/P1N1BQ2/5PPP/R2R2K1 w - -,a3b4
1r1q2k1/p5b1/2pp1r1n/2p1p3/4Ppb1/1P1P1N2/P1P2KP1/R1B1Q1NR b - -,b8b7
2q4k/1p4pn/p1p4p/3pP3/1Q1P2P1/7P/1P5K/5R2 w - -,b4e7
rnbqkb1r/ppp2ppp/4pn2/8/3P4/4Bp2/PPPN2PP/R2QKBNR w KQkq -,g1f3
3rn1k1/ppqr1pp1/2p1p2p/2PnR3/3P2P1/2PB1Q1P/P2B1PK1/R7 w - -,h3h4
8/3kb3/p5p1/3rp2p/4N2P/1PR2PP1/2K5/8 b - -,d5a5
3r4/4n3/1R6/5kpp/3P4/1N3KP1/5P2/8 w - -,b6h6
5rk1/6bn/pq1p2p1/3Pp1Pp/1p2P3/7B/PP1B1PQ1/2R3K1 w - -,b2b3
r4b1r/pp2pkp1/1nn1p2p/8/8/N1P2N2/P4PPP/1RBR2K1 w - -,c3c4
2r5/pp2k1pp/1n2p3/2b1p3/4P3/2NB2P1/PPP4P/1R5K w - -,h1g2
r4rk1/p4ppp/4pn2/2q5/Pp2b3/1Q3NP1/1P2PPBP/R4RK1 w - -,a1c1
4k3/4b1p1/p3pp1p/3pP3/1p1P3P/1N1b1KP1/PP1N1P2/8 b - -,e8d7
6k1/2p2rn1/1p1p4/pP1P2Q1/P1P3p1/6P1/7P/6K1 b - -,g8f8
r2q1rk1/1b2ppbp/1n1p1np1/2pP4/8/1PN2NP1/P3PPBP/1RBQ1RK1 w - -,e2e4
4r1k1/1R3p1p/2p3pb/2q1n3/3rP3/p3N1PP/P2Q1PB1/4R1K1 w - -,d2e2
5rk1/p4rbp/8/2pq2p1/3p1P2/P2Q2PP/1BR4K/2R5 b - -,g5f4
3r1r2/1p1q3k/p2p2pp/2p5/4Pn2/PP2QP1P/5P2/R1B2RK1 b - -,g6g5
r3r3/p2b1pkp/2pq2p1/8/1p2PN2/3PQ2P/PP4P1/R4R1K w - -,d3d4
r1b2rk1/ppq1npbp/2n1p3/2ppP1p1/8/3P1NPP/PPPNQPB1/R1B1R1K1 b - -,e7g6
2b3k1/4q1pp/1p2pp2/r2n4/6Q1/P1n1PN2/4BPPP/2B1R1K1 b - -,a5a4
8/8/2p2p1p/b2ppk2/P1p5/2P2K1P/8/2R5 b - a3,e5e4
r1rb2k1/1p1q1pp1/p2p1n1p/P2Pp3/8/2N1B2P/1PP1QPP1/R3R1K1 b - -,d8c7
2N4k/6pp/5p2/8/8/1R4P1/1p3PKP/4r3 b - -,b2b1q
r7/1bqn1pbk/3p1Np1/1p1Pp2p/2p1P3/2P1B1NP/1PBQ1PP1/4R1K1 b - -,g7f6
2r2rk1/pp2ppbp/2n1b1p1/q2p4/2PP4/PP3N2/1B1nBPPP/2RQ1RK1 w - -,f3d2
r3kb1r/1pq1np2/p3b2p/3pPp1P/PP1P4/2P2N2/1BNQ1P2/R5RK b kq -,e8c8
r1b2rk1/p1q2pbp/1pnp1np1/4p3/4P3/1NPBB2P/PP1NQPP1/3R1RK1 b - -,c8b7
rn2kb1r/pp2nppp/1q2p3/3pP3/3P4/2N2N2/PP2QPPP/R1B2RK1 b kq -,e7f5
r4rk1/8/p2p1p1B/2pPpP2/2PbP3/5qP1/P5Q1/1R1N3K b - -,f3h5
4k3/2bn2p1/3p1p1p/3Pp3/1KN1P3/5P2/3B2PP/8 b - -,d7c5
3rk2r/pp2bppp/2bppn2/q5B1/4P3/2N2N2/PPPQ1PPP/2KRR3 w k -,f3d4
3k4/2bb3p/B1p5/2Pp4/1P2p2P/P5R1/5r2/4R1NK b - -,c7g3
r4b1r/ppk2p2/2p1bp2/2n1p2p/4P2N/5P2/PPP1N1PP/1K1R1B1R w - -,e2c1
1r2r3/5p1k/3p2p1/1pb1n3/p3BB2/1P5P/P4P2/2RR2K1 b - -,a4b3
1rbr2k1/4bpp1/3p1n1p/1p1Pp3/p1q1P3/PpP1BNNP/1P3PP1/2RQR1K1 b - -,g8h7
8/8/3B4/8/5pp1/7r/R2nk3/7K w - -,h1g1
r1bqr1k1/1pp2ppn/p1np3p/2b1p3/B3P1P1/2PP1N1P/PP1NQP2/R1B1K2R w KQ -,h1g1
7R/2p1bp2/pkn3p1/1p1r2P1/1P1PN2P/P1PBK3/8/8 b - -,d5d7
r4rk1/p3ppbp/1p4p1/n3N3/3P1B2/6P1/PR2PPKP/5R2 b - -,f8d8
r1bqk1nr/1p1nbppp/p2pp3/8/4PP2/1N1BB3/PPP3PP/RN1Q1RK1 b kq -,g8f6
6rk/3n2r1/1pNp2q1/P2Pp3/1RR1PpNb/7P/4Q1P1/6K1 b - -,b6a5
3rr3/1p2q1kp/p1pbppp1/8/2PP4/3R1PP1/1P1Q1BKP/3R4 w - -,f3f4
r2r1k2/2pn4/4bppp/p1n1p3/PpP1P3/1P2P2P/2BNK1P1/R2RN3 w - -,e1d3
3r1rk1/2p2ppp/bp3n2/2b1p3/2PqP1P1/PR6/3NQPBP/2B2RK1 b - -,a6c8
2r2rk1/3b1p1n/p1npp1pp/q1p2Pb1/4P1P1/2PPB1NP/P2QN1B1/R4RK1 w - -,h3h4
2r2rk1/pb1q1p2/1n2pPp1/2pp3p/1nP2Q1P/1P3NP1/PB3PB1/3RR1K1 b - -,g8h7
3qnrk1/1p4pp/2p3n1/3p4/3PNP2/6PP/QB6/4RBK1 b - -,d8c7
r1b1r1k1/pp3pp1/2p2nnp/8/4P3/1NN3PP/PP2qP2/3RRBK1 w - -,e1e2
r1bq1rk1/pp2b1pp/4p3/3pPp2/3Pn3/2PBBN1P/PP2Q1P1/R3K1R1 b Q -,c8d7
8/4k2p/p3p1p1/5p2/1p1P4/2n1PPPP/P2K4/2N5 w - -,d2d3
1k1n1R2/3B4/1p1P1K2/2r2P2/P7/2p1P3/4b3/2B5 b - -,c5d5
8/p1Q4p/1p2p1pk/8/1q3r2/3nr3/P2N2PP/3R1R1K w - -,f1f4
r1b2rk1/4qppp/p3pn2/1pP5/2P4Q/1PR2N2/P3BPPP/5RK1 b - -,e7c5
8/5pk1/p1R4p/P6P/3r1p2/8/5PP1/5K2 b - -,f4f3
r2qk1nr/pb1pp1bp/2p3p1/4B3/2B5/2N2Q2/PPP2PPP/2KR3R b kq -,g8f6
8/4k3/3pp1p1/2p4p/r3PP1P/P1R1K1P1/8/8 b - -,a4a5
r2qbr2/1pp2pkp/1n2p1p1/8/p2PP1N1/1PN5/P2Q1PPP/R4RK1 b - -,d8h4
2qr1rk1/ppp2pbp/1nn1p1p1/8/3PP3/1PN1BP2/P3N1PP/2QR1RK1 w - -,e3g5
3r4/5b1k/2p2p2/p1N1qP1p/Pp2P2P/1P3KR1/8/6Q1 b - -,h7h8
1r1r2k1/p1p1np2/1p2b1pp/4P3/1N1q4/6PP/P4PB1/1RR1Q1K1 w - -,c1c7
r4rkb/p7/1p2q3/n1p1ppBN/6pP/2P5/PP2QPP1/R3R1K1 b - -,e6f7
6k1/5p1n/4p3/3pP1p1/1p1P4/pP2P2N/P3QKP1/1q6 b - -,b1b2
r5k1/pp4p1/4B1q1/2bp3p/8/6BP/PPP3P1/R4Q1K b - -,g6e6
r3k1r1/ppp4p/4pnp1/4b1B1/4P3/2N2P2/PPP3PP/R3K2R w KQq -,e1c1
rnbq1rk1/2p1bppp/p3pn2/1p6/2QP4/P1N2NP1/1P2PPBP/R1B1K2R w KQ b6,c4d3
r4Bk1/3n1pp1/4p2p/1N6/5n2/5q2/5PPP/1R3RK1 w - -,g2f3
8/6Q1/5p2/5q2/4p1k1/8/5P2/4K3 b - -,f5g5
rnbq1rk1/pp2bppp/8/3p4/3P1N2/P2B4/1P3PPP/R1BQK2R b KQ -,b8c6
4r1k1/Qp3p2/7p/3P2p1/8/5P2/PP4qP/KR6 b - -,g2h2
2N3k1/1p3pbp/p1n1p1p1/Pn6/4P3/1P3P2/5BPP/3R3K b - -,g7c3
5k2/5n2/3b4/5N2/7P/1pQ5/2r5/6K1 w - -,c3b3
2kr3r/1p1bbp2/p1nppp1p/4qP2/2B1P3/1NN4Q/PPP3PP/1K1RR3 b - -,d8g8
3r2k1/4Qp2/3P1qp1/1p5p/1Pr2P2/2P5/7P/4RR1K b - -,f6d6
