8/8/2pR3p/7P/2k1K3/3p3r/8/8 b - -,c6c5
r4k2/pp2br2/4p1Q1/8/4bq2/8/PPP2PPP/1K1RR3 w - -,e1e4
2bqnrk1/1pp4p/3p4/2PPbp2/1P3R2/2N1B3/4B1PP/Q5K1 w - -,f4c4
3r4/2k2p1p/4p3/N3n1p1/1pP1b3/4P1PP/1P2B3/2R1K3 b - -,d8a8
3R1rk1/p4pp1/q3p1p1/bN6/Pn2PP2/1P3Q2/1B4PP/R6K b - -,f8d8
4nqk1/pp4r1/4N2p/8/P3Q3/1P6/7P/7K w - -,e6f8
r1bqkb1r/1p3pp1/p1n1p2p/3pPn2/1P1P4/P1N2N2/4BPPP/R1BQ1RK1 b kq b3,b7b5
q1r4k/1bb2r1p/p2pNp2/5Q2/2p1P3/1PN5/P5PP/1B2R2K w - -,e6g5
2q1r1k1/pN3Bpp/6r1/4n3/1p2Pn2/1P2NP1P/P1Q2B1b/R3RK2 b - -,g8f7
r1bq1rk1/4bppp/p1np1n2/1p2p3/4P3/2N1NP2/PPP3PP/R1BQKB1R w KQ -,a2a4:c3d5
r3rnk1/pb1qbppp/1p1ppn2/8/3PP2P/3B1NN1/PP1B1PP1/R2QR1K1 w - -,h4h5
4r1k1/5pp1/pp3b2/2rp1q1p/P2N4/1P2P1P1/3R1P1P/3R2K1 w - -,d4f5
3r1r1k/1p2p2p/p3Ppp1/2pR4/2BbP3/1P3N1P/1Pn1K1P1/3R4 w - c6,d5d7
r5k1/1p1r1p2/2bpp3/p1n4p/2P1P3/1PN2Pp1/P2RB2P/5R1K w - -,h2g3
3r1n2/p4kp1/1p1bpnp1/1N1p1q2/Q2P4/4PP2/PP1B4/K2R3B b - -,a7a5
r1bqk2r/pp2bppp/2n1p3/2npP3/5B1P/2NB1N2/PPP2PP1/R2QK2R w KQkq -,d1e2
5r2/8/3R4/8/8/3n1K2/3k4/8 w - -,f3e4
1r3rk1/p4pnp/2pq2p1/2p5/2P5/2QP4/P1P1N1PP/R4RK1 b - -,g7f5
r2q1rk1/1ppb2p1/p2p3p/2bPpp1Q/8/2BPP1P1/PP3PBP/R4R1K b - -,a6a5
8/8/8/4pk1p/pR1r2p1/P3K2P/1P3P2/8 w - -,h3g4
5r1r/4k1pp/1p3p2/p1bBp3/P3P1P1/2P4R/1P2K2P/5R2 w - -,e2d3
2rq1rk1/p3npbp/1p2p1p1/n2pP3/3P1P2/P3RNP1/1PbN1BBP/R2Q2K1 w - -,d1f1
8/p4k2/1p3n2/3p2Q1/3P4/1P1P1p1B/P3qPK1/8 w - -,g2g3
r4qkb/4p2p/2ppb1p1/p1n1n3/2P1P3/P3NP2/3Q2P1/1RN1KB1R w K -,d2f2
5rk1/1p5p/3p2p1/p1pP4/P3PP2/2NK3r/1P5q/R1B2Q2 w - -,d3c4
qn3rk1/pb1p1pbp/1p2p1p1/1B6/3N1n2/2P2P2/PP3BPP/R2Q1RK1 b - -,e6e5
r2q1rk1/1n3pb1/pp1P2p1/2p1pb1p/2P4P/1P2BPN1/P2Q2B1/3RK2R b K -,d8d7
r6k/1p4rp/p1n2p2/P3p2P/6RR/3QP1P1/1P1B1Pq1/4K3 b - -,g7g4
8/8/3k4/3p2R1/8/2p1PP2/r7/3K4 b - -,a2d2
r5k1/1p2q1np/p2p2p1/2pPR3/2P3b1/1PN5/P4QBP/5R1K b - -,d6e5
4k3/2b2p2/4p1p1/3nP3/4K3/5P2/6PN/8 b - -,f7f5
3rr1k1/2q1bppp/p1p1pn2/1p5b/2PP2P1/1P2RN1P/PB3PB1/3RQ1K1 b - -,h5g6
5k2/7R/4P3/5K2/5P2/8/7p/7r b - -,f8g8
8/8/8/1p2pP2/p1k3pP/2P5/2K5/8 b - -,c4d5
3q1r1k/1r4bp/p2p2p1/4p3/1PPn4/R1N3P1/2N2P1P/3Q1RK1 w - -,c3d5
8/p2k2p1/bp2pp1p/4P3/2PKB1P1/1P6/P6P/8 w - -,h2h4
5R2/8/3rk2p/6pB/3n4/6PP/5PK1/8 b - -,e6e7
8/8/5k1p/4R3/4K1P1/r4P2/8/8 w - -,e5f5
8/6k1/4p3/6p1/3Rp2p/4P2P/r4PPK/8 b - -,a2f2
8/3b4/8/1p1p1P1k/1bp1p3/2P1P3/1P3K2/5B2 w - -,c3b4
r4rk1/1pp1qpp1/1p2bnnp/4p3/4P3/P1P2N1P/1PB2PPK/R1BQR3 b - -,b6b5
3r2k1/1p3pp1/1P3b1p/8/pq6/4B3/1n1N1PPP/1RQ3K1 b - -,a4a3
2rq1rk1/1b2bppp/p3pn2/1p2N1B1/3P4/1BP2P2/P1R1Q1PP/4R1K1 b - -,b7d5
8/2n5/pR1k4/P7/KP6/2r5/8/8 b - -,d6d5
rn3rk1/1p3ppp/p1pq4/3p4/1P1P4/3QP3/P2N1PPP/R4RK1 w - -,a2a4
8/p2r4/5k2/1p1pR1p1/2pP4/2P5/P1P2KP1/8 w - b6,f2f3
8/6k1/4ppbn/1p4p1/2p2P1p/2P2q1P/3rB1PB/4R1K1 w - -,e2f3
1r1r2k1/p3bppp/n1b1p3/4P3/P2N4/2B3P1/5PBP/RR4K1 b - -,c6g2
r1bqk2r/p3bppp/2pp1n2/8/4P3/2NB4/PP3PPP/R1BQ1RK1 b kq -,e8g8
rnb1k1nr/ppq2ppp/2pb4/3p4/3P4/2NB4/PPP1NPPP/R1BQK2R w KQkq -,e2g3
1r3bk1/1q3p1p/p1n1p1p1/2p1P3/2P1QPP1/5NB1/1P1R1K1P/8 b - -,a6a5
1r2rbk1/1p3p2/4b1pp/pP6/N1p1B3/7P/P4PP1/3RR1K1 b - -,f8b4
8/8/8/4p1k1/4P1P1/R4KP1/1r6/8 w - -,a3a8
r5k1/pp4bp/3P2p1/1r6/3BpN2/2P3PP/PP4B1/R5K1 w - -,d4g7
2kr1b1r/ppq2p2/2P1n3/1N2nN2/P7/8/2Q1PpB1/R4RK1 w - -,f1f2
r2qr1k1/pb3pbp/1pnp1np1/4p3/P2p4/1NP1PN1P/1P2BPPB/R2Q1RK1 w - -,c3d4
r4rk1/pb1q1ppp/1p2p3/5Pb1/3P4/1P2N3/PB4PP/R2Q1RK1 w - -,d1e2
3q2k1/p2nrpp1/1p2pn1p/1B6/3P3B/2P2P2/P3QP1P/3R2K1 w - -,e2e3
4k2r/1p2pp1p/p1r1b1pn/2P5/N1n5/3N3P/PP3PP1/R3KB1R b KQk -,e6d7
2rqk2r/b2n1pp1/4b3/3Np3/B1p1P2p/p1P2Q1P/PP4P1/1KBR1R2 b k -,e8g8
r2qr1k1/pp3pp1/2nb1n1p/3pp2b/8/1NP1PNBP/PPQ2PP1/1BR1K2R w K -,c2d2
1r3rk1/4pp2/2Np2pp/p1pP4/P1PbPP1q/3Q3P/6P1/3R1RK1 w - -,g1h2
4r1k1/5p2/p2pp1p1/1p3P2/3PR1P1/P1r5/8/5R1K w - -,f5g6
r1bqnrk1/4ppbp/p5p1/PppPp3/2P1P3/2NB1N1P/1P2QPP1/R4RK1 w - -,f3d2
rnbqk2r/ppp1ppbp/5np1/3p2B1/3P4/5N2/PPPNPPPP/R2QKB1R w KQkq d6,e2e3:c2c4:c2c3
6k1/3qNpp1/1p2b2p/8/3P2PP/2Q2PB1/p6K/8 b - -,d7e7
r1b1nrk1/1p1p1ppp/p3p3/q7/N2RP3/Q4P2/PPP3PP/2K2B1R b - -,b7b5
3r2nr/p1pk1ppp/2p1p3/7q/3bP3/PQN2PP1/4B2P/R1B1K2R b KQ -,h5a5
3rr1k1/ppp3pp/4npq1/1Pb1pn2/2P1R3/P2P1NP1/1BQ2P1P/3R1B1K w - -,f1g2
r4rk1/pb2bp1p/1pp3p1/4P2P/4q3/P1N2N1R/1P3PP1/2KR4 w - -,c3e4
r1bqk2r/pppp1ppp/2n2n2/2b1p3/1PB1P3/2P2N2/P2P1PPP/RNBQK2R b KQkq b3,c5b6:c5e7
rn1qkb1r/1b1n1ppp/p2pp3/1p4P1/3NP2P/2N5/PPP2P2/R1BQKBR1 w Qkq -,f1g2
r3k2r/pp1qbppp/2n1pn2/3p1b2/8/1QNP1NP1/PP2PPBP/R1B2RK1 w kq -,e2e4
r3r1k1/1q3pb1/p1Np2pp/1p1Pn1Pn/3BP2P/7B/PP6/2RQ1RK1 w - -,c1c3
rnbq1rk1/pp2ppbp/5np1/3p4/3P1P2/2PB1N2/PP4PP/RNBQ1RK1 b - -,b8c6
4r3/2kn4/1p5p/p1p1pp2/P1P2P2/2P2B1P/3K1P2/6R1 b - -,e5f4
r2qk2r/pp3ppp/2nbpn2/3p4/3P4/2NBPQ1P/PP1B1PP1/R4RK1 b kq -,e8g8
r3r1k1/pp1n1ppp/2p2n2/7q/1b3B2/1NNQ1PPb/PP2P1BP/3R1K1R b - -,d7e5
rnbqk2r/pp2ppbp/5np1/3p4/2PP4/2N1BN2/PP3PPP/R2QKB1R b KQkq -,e8g8
