8/8/PK6/1R6/2k5/8/8/r7 b - -,a1a2
2brrbk1/1p3qpp/2p1p3/1pP1Bp2/P2P4/4R1P1/4QPBP/R5K1 w - -,a4b5
r1bqrbk1/pp3pp1/1np2n1p/3p4/1P1P4/P1NBPP2/4N1PP/1RBQ1R1K b - -,a7a5
2r1q1k1/6pp/1n2p3/R4p2/1pPP4/4PP2/3Q2PP/R5K1 b - -,b6c4
8/5k2/R5p1/4p1K1/6P1/3P3P/8/3r4 b - -,d1d3
2b2rk1/1pr4p/p2p1qp1/P2Pb2n/1R2P3/1QN1BP2/1P1K1P2/5B1R w - -,f1e2
3r2k1/1p1r2p1/4Q2p/3Rp3/4P2P/4qPP1/6K1/8 b - -,g8h8
7k/4r3/pp6/1NpP2Rp/2P2KbP/1P6/P7/8 w - -,b5d6
b3rrk1/p6p/2pQB3/8/3P1qp1/8/PP3PPP/R1R3K1 b - -,g8h8
4k3/4p3/8/3rNR2/1p6/1Kb5/5P2/8 w - -,f2f4
2Q2bk1/pp3p2/4p2p/6p1/3Pp3/1P2P1PP/P3qPK1/8 w - -,c8b7
2k5/2b4P/1p2n1Q1/8/3q4/6P1/2R4K/8 w - -,g6e6
rnbqk2r/ppp2pQp/4pn2/3p4/1b1PP3/2N5/PPP2PPP/R1B1KBNR b KQkq -,h8g8
r5k1/2qnbppp/2bppn2/1p6/2pPP3/2PB1N2/1P1NQPPP/2B1R1K1 w - -,d3c2
r7/4k1b1/pnqp1p1p/2p1pP2/2P1P2p/4B3/PPQ3P1/1N1R2K1 w - -,b1c3
2kr1b1r/ppp2qpp/5n2/4n3/1PPp4/P2B1P2/2R2PPP/1NBQ1RK1 w - -,f1e1
r1bqk2r/pp3pp1/2pbpn1p/8/3P4/3B1N2/PPP1QPPP/R1B1K2R b KQkq -,d8b6:b7b6:e8g8:d8c7
r2qn1k1/pp3pp1/2p2bbp/3p4/3P1B2/2P2NQ1/PP3PPP/4RBK1 b - -,d8b6
r4rk1/p1q1n1bp/1pnpb1p1/2p1pp2/4PP1N/2PPB1PP/PP4B1/R1Q1RNK1 b - -,a8d8
r5r1/8/pbPp2k1/1p3bpq/P2p4/1QP3P1/1P3P2/R3R1K1 w - -,b3d5
2kr1bnr/ppp1pppp/2nq4/7b/8/2N2N1P/PPPPBPP1/R1BQ1RK1 w - -,d2d3
3r3k/5pp1/1pb5/4Pq2/2Bp3p/1P3PP1/4QK1P/3R4 w - -,f3f4
1rq2rk1/2nnppbp/pp1p2p1/3P4/PpB1PP2/2NQBR1P/2P3P1/1R4K1 w - -,b1b4
8/pp2k2Q/1n2n2p/3r2p1/8/2B3P1/PP5P/7K b - -,e7d6
6k1/1pb2pp1/1q5p/pbNp1P2/2nP2P1/B1P2Q1P/P7/KR6 w - -,a3c1
2rqk2r/1p1nbp2/p1n1p3/3p1bpp/N2P4/P3PNB1/1P2BPPP/2RQ1RK1 w k h6,h2h3
r1r5/5pk1/4p1p1/1RB1P3/p2PR1P1/2n2N2/P4P2/2b3K1 w - -,e4e1
B1b2rk1/5ppp/p2p4/1pq5/3bP3/P7/2P2PPP/1R1QR1K1 w - -,e1f1
r1bq1rk1/3nppbp/pppp1np1/2P5/3PP3/2N1BPN1/PP4PP/R2QKB1R w KQ -,c5d6
r2q1rk1/3n1pp1/p2b1np1/1p1N4/2p1P3/1B2BP2/PP2Q1PP/3R1RK1 w - -,d5f6
8/5k2/p3pp2/1pBbn1p1/7p/1P3P2/P1B2KPP/8 w - -,c5d4
6k1/5p1p/3nn1p1/8/1RP5/8/5KPP/8 b - -,g8f8
r1b2rk1/1p1pbppn/p6p/q1pQP3/1n6/2NBBN2/PPP2PPP/2KR3R w - -,d3h7
r1bbk2r/pp1n1ppp/2p2n2/4p1B1/P3P3/2N2N2/1PP2PPP/2KR1B1R b kq a3,f6g4
4n3/2p1q3/1pRr1kpQ/p3p3/P5Bp/5PP1/6KP/8 w - -,c6c2
r3k3/3nbp2/2pp3p/4p1p1/4P3/1B3P2/PPP2BPP/2KR4 w - -,c1b1
8/1k3p1R/p7/8/2nB3P/4P3/2r2PP1/6K1 b - -,a6a5
r2qk2r/pb1n1ppp/1pn1p3/2p1P1P1/8/5NP1/PPP1QPB1/RN2K2R w KQkq -,e1g1
2r2rk1/bp2q1pp/p1n1p1b1/2NpP3/1P5n/PN1B4/1BQ2PPP/2R2RK1 w - -,d3g6
R1r5/3n1ppk/4b2p/4p3/8/R7/2P1B1PP/6K1 b - -,c8c5
1Q4R1/5p1p/3b1qpk/8/8/r5P1/3N1PK1/8 w - -,b8c8
r2r3k/pp3Ppp/8/4Q3/5Bq1/5N2/P4PPP/R5K1 b - -,g4g6
r2q1knr/1p3ppp/p1np4/3P4/5Q2/1N1B4/PPP3PP/2KR3R b - -,c6e5
r1b2rk1/pp2qpp1/2n1p2p/b1PpP3/7P/P1NQ4/1PP1NPP1/R3KB1R w KQ -,f2f4
8/1p5p/p2pQnk1/P2P2p1/1q4P1/1p4NP/5PK1/8 b - -,b4f4
r2qr1k1/pb3ppp/1pn1pn2/3p4/3P1b2/PP1B1N2/1BPNQPPP/R3R1K1 w - -,a1d1
6k1/6p1/3b1p1p/p4P2/1pp1K1P1/2P4P/PP6/8 w - -,e4d5
5rk1/1p4p1/7p/4Q2P/P5P1/P2p2B1/3R1PK1/2q5 b - -,c1d2
3r4/2R5/5pk1/7p/pr2P3/5P2/1P3KPP/3N4 w - -,d1e3
8/5b1R/2p2kp1/p3p3/P3P3/2PB4/1rP3K1/8 b - -,c6c5
5rk1/3r1pp1/7p/2b5/1pB2R2/5KP1/1PP5/5R2 w - -,f3g4
5k2/4p2p/3p2p1/2nP1p2/p1P5/6PP/P1R2PK1/1r3B2 b - -,f8f7
2brrbk1/1p3pp1/1qpp1n1p/p1n5/P1PNP3/1PN1BB1P/2Q2PP1/3RR2K b - -,g7g6
8/1R3pk1/1P1p2p1/6r1/7p/7P/6K1/8 w - -,g2f3
8/2p5/pp3p2/1n1P2k1/3P2p1/8/P2K1PPB/8 b - -,b5d6
rn2k1nr/ppp2ppp/3b4/5b2/8/2P5/PP2BPPP/RNB1K1NR w KQkq -,g1f3
6k1/5pp1/r1p1q2p/7P/2RQ4/4P1P1/5PK1/8 b - -,a6a8
4rnk1/1pp1qrp1/1p1p3p/nP1P3N/2P2BP1/3Q3P/P4RK1/5R2 w - -,h5g3
rnq2rk1/pbppbppp/1p2pn2/8/2PP4/2N2NP1/PP1BPPBP/R2QR1K1 b - -,c7c5
8/pr2kpR1/2p2r2/1n1pN3/1P1P4/4P3/4KP2/R7 w - -,f2f3
8/8/5p2/4r1k1/4K3/2R3PP/8/8 w - -,e4d4
r4bk1/1r3ppp/1n1pp3/1n4P1/p3PP1P/1P1NNK2/P1R5/B1R5 w - -,b3a4
rr4k1/3nppbp/bq1p2p1/2pP4/8/1PN3P1/P1QBPPBP/1R1R2K1 w - -,h2h3
rn1q1rk1/pQ1bbnpp/3p4/4p3/2BN4/2P5/PP3PPP/RNB2RK1 b - -,e5d4
rnbqkb1r/1p1p1ppp/p3pn2/8/2PNP3/2N5/PP3PPP/R1BQKB1R b KQkq -,f8b4:d7d6:d8c7
1r1q1rk1/2p1npbp/p2p2p1/2p2b2/2P5/1PN3P1/P1Q1PPBP/R1BR2K1 w - -,c2d2
2r1r3/6p1/7p/pp2N1kP/2p2nP1/2P2R2/PPK5/4R3 w - -,e1e4
6k1/1pp5/2n2p1p/p4P2/4R3/Pq5P/1P4B1/5R1K w - -,e4e8
3rr1k1/3q3p/2p1pp2/pp3p2/PnnP4/1R2P1P1/4BP1P/2B1RQK1 b - -,c4d6
r1bqnrk1/1pp4p/3p2pb/3Ppp2/1PP1N3/2N5/4BPPP/1RBQ1RK1 b - -,h6c1
rr6/p3kpp1/1p1p1q1p/2pPn2n/Q3P3/2P1BP2/P3N1PP/1R3RK1 b - -,a7a6
6k1/6p1/R1p4p/p2p4/2nPrB2/6K1/6P1/8 b - -,e4d4
2r1r1k1/pp1n1p2/4bBpp/q2p3P/2pPP3/2P2P2/P1Q3P1/1N2RRK1 w - -,f6h4
rn1qkbnr/pb2pppp/1p1p4/2p5/2P1P3/2N3P1/PP1PNP1P/R1BQKB1R b KQkq -,g7g6
8/8/2p5/2Pp4/3P1p1P/2K1k3/6P1/8 b - h3,e3f2
r3k2r/ppq2ppb/2pbp2p/4N2P/2B1P3/8/PPPBQPP1/2KR3R b kq -,d6e5
r3kb1r/pp3ppp/1nb5/4pP2/8/1B2B1NP/PPP3P1/2KR3R b kq -,f8e7
7k/6p1/2b4p/4Q3/1q6/5P1P/5RK1/8 b - -,b4b3
2r2rk1/1q3pp1/4pn1p/p1b1P3/Qp6/5N2/PP2NPPP/R2R2K1 b - -,f6e4
r1q1r1k1/2pn2p1/p6p/1pp1P3/2P5/3R4/P3Q1PP/B4R1K b - -,e8e6
7R/1k6/2r4P/4K3/8/8/8/8 b - -,c6c5
r2q1rk1/pp1nppbp/2p3p1/3pN3/2PP1P2/1P1QP3/PB4PP/R4RK1 b - f3,d7e5
6rk/5p1p/R1Nr3b/1Pp5/2Pp4/3P1KP1/5P1P/4R3 b - -,d6f6
8/8/1p6/6p1/P5k1/8/5K2/8 b - -,g4h3
7r/1k2bb2/n1p2p2/RpPp1Bp1/1P1PP1P1/2N2PB1/6K1/8 w - -,e4d5
