8/8/1k6/3K4/8/3N3R/8/3r4 w - -,h3h6
r4rk1/pp2ppbp/2bp1np1/q1p5/4PP2/1PN2N2/PBPPQ1PP/1K1R3R b - -,b7b5
r4rk1/3Npp2/p5B1/3b3p/1pp2Q2/8/1qP1K1PP/3R1R2 b - -,f7g6
1B6/1p1kb2p/4n2r/1Pp2p2/2Pp1P2/P2P3P/6RK/6R1 b - -,h6h4
r1k4r/pp1n1p1p/2p2p2/8/1bb1PN2/2N5/PPP1B1PP/R4RK1 b - -,c4e6
rnbqr1k1/p1p1bpp1/1p3n1p/3p4/3P3B/2NBP3/PPQ2PPP/R3K1NR w KQ -,g1f3
4r3/2q2p1k/2pb1Qpp/p5n1/1pBpP3/6P1/PPP2PKP/2R1N3 w - -,e1f3
r1b1kb1r/1p1n1ppp/p2ppn2/q5B1/2BNP3/2N5/PPPQ1PPP/R4RK1 b kq -,h7h6
2r3k1/5p1p/6p1/1p1Rp3/p5P1/P1P3BP/1b3PK1/8 w - -,d5b5
4r1k1/p4ppp/n1p5/8/1p6/1B4bR/PPP3P1/R4K2 b - -,g3e5
r3k2r/4n1p1/1ppp1p2/p1QPp2p/2P1PP1P/3B2Pb/PP5K/2R1R3 b kq -,b6c5
r4r2/3bqnk1/3p2pn/2pPp2p/ppP1P2P/1P4PN/P2QBRKN/5R2 w - -,d2e3
r1b1k2r/pp3ppp/2n1pn2/2b5/8/4PNP1/PP3P1P/RNBK1B1R w kq -,f1b5
r3k2r/pb1p1ppp/2n1p3/2p5/2P1n2B/P2BPN2/1P3PPP/R3K2R b KQkq -,c6e7
2kr3r/2p2ppp/1b6/p1pqP3/P2pbP2/6R1/1PPQNBPP/5RK1 w - -,c2c3
rn1qk2r/pp1nbppp/2p1p3/3pP3/3P4/3B1b1P/PPP1NPP1/R1BQ1RK1 w kq -,g2f3
r2q1rk1/p1pnn1pp/1p1p1p2/1Q1Pp1bb/2P1P3/2NB1P2/PP3BPP/R3K1NR w KQ -,h2h4
7k/8/Rr6/6p1/8/7P/P5PK/4r3 w - -,a6b6
3r2k1/5p1p/p3bqp1/P1pp4/N6r/1P6/2PQ1PPP/R3R1K1 b - -,h4h5
r4rk1/3qppbp/3p2p1/p1pP4/npP1P1n1/2P3P1/1BQN1PBP/R4RK1 w - -,a1a4
r1br2k1/5p1p/pb1B2p1/1p5n/2p1P3/P1N4P/1P3PP1/RB1R2K1 w - -,c3d5
3r2k1/rp3pp1/2pb1q1p/n2pN3/P2P4/1NQ1P3/5PPP/1R3RK1 b - -,a5b3
r2q1rk1/pp1n2pp/4p2n/1B1pP3/6b1/1N3N2/PP1Q1PPP/R4RK1 w - -,b5d7
4r1k1/pp5p/2p2Bp1/3qP3/5pPQ/8/1P4KP/8 w - -,g2g1
r1bq1bk1/p6p/3P4/2P1p3/4Pn2/6p1/P3B1PP/2RQ1R1K b - -,d8h4
4r1k1/5ppp/5n2/2B1p3/8/5P2/qP2Q2P/3R1K2 b - -,a2e6
6k1/6p1/1pp3p1/3pPp2/1Q1P1P2/2P3PP/5K2/2q5 b - -,c1d2
q2rrbk1/1p1n1ppp/8/1P6/2p1n3/4P1PP/1BN1QPB1/1R4RK w - -,g2e4
1r1qkb1r/pppnppp1/3p1n1p/5b2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b k -,f6e4
r4rk1/1b1nppb1/2np2pp/p2P4/2q5/2N1QNPP/1B2PPB1/R1R3K1 b - -,c6e5
3r1bk1/6pp/p4p2/4p3/1P6/1R5P/3B1PPK/4N3 b - -,d8d2
8/3K2p1/p6k/P1R4P/5rP1/8/8/8 w - -,c5c6
6k1/R4pp1/P1p5/1r6/8/1P5P/6K1/8 w - -,a7b7
2rq1r1k/pp2n1b1/3p2pp/3Npp1n/1PB1P3/2PQ1PPb/P2B1RNP/5R1K b - -,b7b6
8/6k1/R6p/5pp1/8/6P1/1r5P/6K1 w - -,a6c6
r1bqk2r/pp3ppp/n3pn2/1Nbp4/8/4P1B1/PPP2PPP/R2QKBNR w KQkq -,c2c3
2bq1k2/p4pp1/5B2/2p3R1/5P2/8/PP5r/2K5 w - -,f6d8
8/5k1p/3B1Pp1/pP1bp1P1/P7/6P1/7P/6K1 b - -,f7e6
2r3k1/pN3pp1/6p1/6Pn/P2QB2P/1q2P3/2n1KP2/R7 w - -,d4d7
8/pb1k1p2/1p1P2p1/3r4/5R2/PN4K1/5P2/8 b - -,d5d3
rn1qk2r/1p2bppp/p2p1n2/3Pp3/8/1N2B3/PPP1BPPP/R2QK2R b KQkq -,e8g8
1k6/3K4/1r6/8/2Q5/8/8/8 b - -,b6b7
8/pp2Rkp1/7p/3N4/8/3P2P1/Pn5r/K7 b - -,f7f8
1r3nk1/pq3pp1/2nRp2p/2p1P3/P1B4P/1P3NP1/4QP2/6K1 b - -,c6a5
7r/4kp2/2bppp2/r4P1p/1pB1P3/pPb2NP1/P1P2K1P/3R1R2 w - -,f3h4
r1b1k1nr/p1pq3p/1pn1p1p1/3pPp2/1b1P4/P1N2Q2/1PP1NPPP/R1B1KB1R b KQkq -,b4f8
2r3k1/pp3pp1/3bp2p/qb1p4/3P4/P2BP1P1/1P1NKPP1/1Q5R b - -,a5a6
8/pkp4p/8/6P1/1P6/2P1b1B1/p3r1P1/R6K w - -,g3e5
r1bqkb1r/pp1n2p1/2p1p2p/3n4/N1pQ1P2/5N2/PPP3PP/R1B2RK1 w kq -,d4e4
r3kb1r/1b3ppp/p2qpn2/npp5/8/1BNPBN1P/PPP2PP1/R2QR1K1 w kq -,f3g5
2r3k1/p1r2pp1/1pp1q2p/4N2Q/3P4/1P2P3/P4PPP/2RR2K1 b - -,e6d5
1r3bk1/2pq2pp/4p3/4P1BP/3p4/5RQ1/5PP1/1R4K1 b - -,b8b1
r3r1k1/ppp1qnp1/5p2/2PPp1p1/2Q5/1P4P1/PB5P/4RR1K b - -,a8d8
5rk1/8/6p1/R2Q2P1/8/P5P1/4qPK1/8 b - -,g8h8
8/2r1kp2/4p1p1/R1pbP2p/2B2P1P/1PK3P1/8/8 b - -,d5e4
r3q1k1/1b3pp1/1p3n1p/p1bp1P2/3B4/2RPPNPP/8/Q4BK1 w - -,g1f2
8/2p1kp2/1p6/5P1R/2P4p/2K2r2/PP6/8 w - -,c3b4
r2qkb1r/pp2nppp/2b1p3/2PpP3/8/2P1B3/PP3PPP/RN1QK1NR w KQkq -,e3d4:g1f3
8/7p/2pk2p1/P5K1/r7/8/2R3P1/8 w - -,g5h6
2kq1r2/1p6/2p5/p3p1Pp/PnP3p1/2N1R3/1P2QPP1/6K1 w - -,e3e5
8/2rnk1p1/2r1p2p/4p3/R1p1P3/1pP1BP2/1P2K1PP/3R4 b - -,c7b7
8/1p2kp2/4p1p1/3p3p/1q5P/6PK/1r2BP2/3Q4 b - -,b4d2
rn1k3r/1b3p1p/p3p3/1pb2p2/8/2N2NP1/PPP2PBP/R4RK1 w - -,f3e5
3r1b2/7Q/5ppk/3Bp3/2p5/4P1P1/5P2/3R2K1 b - -,h6h7
8/2Q2p1k/3P1q2/2R3pp/8/7P/5PP1/6K1 w - -,d6d7
8/4nk2/1r2p3/4p1p1/2B1P1Pp/3R1P1P/8/6K1 b - -,b6b1
1r4k1/1b3rnp/1R2pqp1/8/2B1p3/PP2P3/5PQP/3R1NK1 w - -,f1g3
1rb2rk1/p2n1ppp/2Bp4/2pP2q1/Pp6/8/1P1N1PPP/R2Q1RK1 w - -,c6d7
8/8/1k1b4/3P4/Rp2K3/1P6/P4r1P/8 b - -,f2h2
8/8/8/4p3/2rk1pp1/8/6K1/3R4 b - -,d4e4
1qr1r1k1/1bb2ppp/pp1ppn2/4n3/NPPNP3/P3BP2/3Q2PP/2RR1B1K w - -,d4b3
3r4/6kp/p2bR3/2pp4/5p2/5K2/P6P/3N4 b - -,c5c4
r3kbnr/pp1b2pp/2n1pp2/q2pP3/1PpP4/N1PB1N2/P4PPP/R1BQ1RK1 b kq b3,a5c7
4nk1Q/1p6/p1p1q1p1/P2p3p/1P2bP2/5BPP/1BP4K/8 b - -,f8f7
r2qr1k1/2p1bppp/p1Qp1n2/8/p7/2N5/PPP2PPP/R1B1R1K1 b - -,d8d7
r1b2rk1/3nPpbp/p5p1/2p5/1qB5/2N1Q3/P2N1PPP/2R2RK1 b - -,f8e8
2rq1r1k/4bppB/p3p3/1p1n4/2nP1B2/P6P/1P2NPP1/1QRR2K1 w - -,f4g3
4r3/pq4kp/6p1/6Q1/3Pp3/1P6/P5PP/5RK1 w - -,g5e3
r4rk1/pb1qbp1p/n4np1/2p3B1/3p3N/1PN3P1/P1Q1PPBP/R2R2K1 w - -,g2b7
2b5/8/2p4p/2Np1k2/1PpP4/6KP/5P2/8 w - -,f2f3
r1bqk2r/pp1pbppp/2p2n2/n3p3/2B1P3/2NP1Q2/PPP1NPPP/R1B1K2R w KQkq -,e1g1
r2r2k1/1bq1npbp/pp1ppnp1/2p5/2PP4/PPN1PNP1/1BQ2PBP/2R2RK1 w - -,f1d1
8/2k3b1/p2pp3/3n1pPp/b1NP1P1P/3K2B1/2N5/8 w - -,c2e3
3r4/p4pkp/1pnp4/4pp2/8/2P2P1P/PP2BKP1/3R4 w - -,b2b4
rn1q1r2/pp3pkp/2p1p1p1/3p4/1PP1n3/NQ1PPB2/P4PPP/R4RK1 b - -,e4g5
1q3bk1/2n2n1p/5pp1/2PQ1b2/3P1p1P/1P6/1B1N1PP1/4R1K1 w - -,d5c4
