3R4/8/r7/5k2/8/3P4/3K4/8 w - -,d2e3
4Q3/2p3k1/pbPp1qp1/7p/5P2/3B3P/r5P1/5R1K b - -,a2a1
4rbk1/8/p2p2qp/2n1n1p1/3Q4/P4P1P/6P1/BR1R3K w - -,d4d5
6R1/8/3KpN2/4P3/p6k/Pr3bp1/8/8 b - -,g3g2
r1b2rk1/1pqnbpp1/p2p1n1p/P3p3/2B1P3/2N1B3/1PPNQPPP/R4RK1 b - -,d7c5
8/2k5/6RP/2p5/K1P5/P6r/8/8 b - -,h3c3
2r2rk1/1p1n1pb1/p3p1p1/q2pPn1P/2pP1NB1/2P5/1P1B1P2/2RQK2R b K -,g6g5
rnbqk2r/pp2ppb1/3p1np1/7p/3NP3/2N1BP2/PPPQ2PP/R3KB1R b KQkq -,b8d7:a7a6
6k1/5p2/2p1n3/NpP2Q2/1P2P2p/5q1P/5P1K/8 b - -,f3f5
2rb3k/1R6/2n1Np1p/pp2p1pP/1P2P3/P4KP1/1B3P2/8 w - -,b4a5
r6k/pp3pp1/2p1bP1b/q7/2Bp4/4P3/PPQ2P2/2K3RR b - -,e6f5
r1bqk1nr/2npp1bp/2p2pp1/pp2P3/3P4/1BN2Q2/PPP1NPPP/R1B1K2R w KQkq a6,a2a3
8/kp6/2p5/1P2Rpr1/2r5/5KP1/8/1R6 b - -,c6c5
8/4p1bp/1N4p1/2pk1p2/3P4/1KP1P3/5PPP/8 b - -,d5c6
8/1r1nk1pp/R3pp2/P2pP3/3P4/5NP1/5PKP/8 w - -,a6a8
rnb1k2r/2pp1ppp/p4n2/3P4/1bBN4/2N5/PP3PPP/R1B2RK1 b kq -,e8g8
r3r1k1/1p3ppp/2p1bn2/p3p3/1qPPp3/P1Q1P2P/1P2BPP1/1NKRR3 b - -,b4e7
rnbq1rk1/ppp2ppp/4pn2/3p4/1bPPP3/2N2P2/PP4PP/R1BQKBNR w KQ d6,c4d5:e4e5
8/8/1R4pk/6pp/8/r4P2/6K1/8 w - -,b6b4
rn2k2r/pp3n2/1P3b2/2BPp1qp/4Pp2/Q4P2/PP2B1P1/1K1R3R b - -,a7a6
r1bq1rk1/4pp2/ppp3p1/2p4p/4P1nP/2NP1N2/PPPQ1PP1/R3K2R w KQ h6,c3d1
5n2/p7/1p2k3/1P1p1p1p/3P1Pp1/4N1P1/1P2K2P/8 b - -,f8g6
4r1k1/pb3pp1/1p1q4/6Q1/1P3P2/P7/5N1P/2R3K1 w - -,c1d1
7r/p2k4/3b3p/5p2/1P4p1/PB6/6K1/7R w - -,h1e1
r1r5/pp2k1pp/2n1p3/4Pp2/4n3/1B2N3/PPP3PP/1K1RR3 w - -,g2g4
1r1q1rk1/pb2bppp/1p3n2/2p5/P4N2/1QBP2P1/1P3PBP/R4RK1 b - -,b7g2
3r1k2/p3q1pp/1pP2p2/2p5/8/1Q3P2/PP3KPP/3R4 w - -,d1d5
r1b2b1r/p4kp1/2pqppn1/2p4p/4Q2P/N2P1N2/PPP2PP1/R1B1K2R w KQ -,a3c4
r7/pp3rkp/2p2np1/3p1n2/3P1P2/2PB3P/PP6/2KRB2R b - -,f6h5
8/7k/2R4p/1p6/5PP1/P5K1/6P1/5b2 w - -,f4f5
5rqk/1pp4p/p2p3Q/3np3/7P/7N/PPP2P2/2K3R1 b - -,g8f7
1r4k1/1p2r1pp/p1pb1n2/N3pp1P/nP2P3/PN1P1P2/2R1K1P1/B6R b - -,f5f4
rnbqkbnr/3ppppp/p7/1pp5/3PP3/2N5/PPP1NPPP/R1BQKB1R b KQkq d3,c5d4:e7e6
6k1/2p2pp1/pbr4p/1p1q4/3P4/P1QR1PPP/1P3B2/6K1 w - -,c3d2
r1b2rk1/1pq1bppp/p2ppn2/4n3/2PN4/1PN3P1/PB1QPPBP/2R2RK1 b - -,e5g6
rr4k1/2pb3p/2p1n1p1/p2pPp2/Pq3P2/1N1QB3/1PP3PP/R4RK1 w - -,e3d2
1r2r2k/5p1p/3p1p1b/p2P1P1Q/2Bq4/1P2p3/P3R1PP/R6K w - -,a1f1
1r2k2r/p2b1ppp/2n1p3/q2p4/P2P4/1BP2P2/3Q1N1P/3RK2R w Kk -,b3c2
8/7k/p5p1/5p2/PP5Q/4PK1P/7q/8 b - -,h7g7
2r1k2r/1bqpbpp1/p3pn1p/8/1pPBP1P1/5PN1/PP1Q3P/2KR1B1R b k -,d7d5
r4rk1/p3bp2/4b1pB/2ppq2p/2p5/2P3N1/PRP2QPP/5RK1 w - -,h6f8
r5r1/p1p1k1b1/1p1pp2p/3b1qpB/6N1/Q3PPP1/PPP3P1/2KRR3 b - -,d5c6
2q5/3N1pk1/1p4p1/p4n2/P7/5Q1P/1r4P1/3R2K1 w - -,f3d5
5k2/5p2/2P2P2/Pp6/7p/6K1/8/3b4 w - -,g3f4
r5k1/5rpp/8/3N2b1/PBP2p2/8/2B3P1/4R1K1 w - -,c4c5
8/2r5/1K1kp1Bp/P6P/r7/8/1R6/8 b - -,c7c6
3qk2r/2r1bp1p/B1b2p2/2pp4/8/1PN5/P1P1QPPP/R3R1K1 b k -,h8g8
4rrk1/1p1b2pp/1q6/p1bpnp2/8/2PB1NP1/PPQ3KP/R1B4R w - -,f3e5
2r1r1k1/p2bpp2/3p2p1/2qP3p/Pp1Q4/1B3P2/1PP1RKPP/3R4 w - h6,h2h3
r1bqk2r/1p1n1ppp/pn2p3/3p4/3P4/1QN1P1P1/PP1B1PBP/R4RK1 b kq -,b6c4
5Q2/1pK5/p7/8/6k1/8/Pq3P2/8 w - -,f8g8
1r3qk1/1r1b1pN1/p2p1Ppp/2pPn3/2P4R/1P5P/2BQ2PK/1R6 b - -,h6h5
8/8/6k1/3p2pN/2bR2P1/5PK1/4r2P/4r3 b - -,e1g1
8/p1r3p1/1p2p3/4k1P1/2Pb4/3R3B/P4P2/5K2 w - -,h3e6
8/3k4/R5p1/3P2p1/1rp1p1B1/4K1P1/2b5/8 b - -,d7c7
8/2P5/8/R3Q3/5k2/6p1/5r1p/4K3 b - -,f4f3
5rk1/4b1pp/1q2p3/8/1nppPP2/B6P/6P1/1R1Q1RK1 w - -,g1h1
8/pp1k4/7p/1n1P2p1/rP2P1Pn/1R1K1PR1/8/8 w - -,e4e5
r1b2rk1/pp3ppp/8/8/2QP1n2/1BP2qNP/PP3P2/R3K2R w KQ -,h1h2
5r1k/1p4qp/p2p4/2pBb1p1/2P1R3/1P3P1P/P3Q1P1/6K1 b - -,g7f6
r1b2k1r/pp1n2pp/4pp2/2Pn4/1P6/2BB1N2/P1P2P1P/2KR2R1 w - -,c3d2
r3r3/pp2q1kp/4b1p1/1P1p1p2/P3n3/4PNP1/1Q3PBP/R4RK1 b - -,g7g8
6k1/8/7P/2r3P1/8/8/1R5K/8 w - -,b2g2
r3qrk1/pppn1ppp/8/8/1bBP2b1/2n1B3/PPQ1NPPP/R4RK1 w - -,b2c3
r1bqk2r/pp1nbppp/2n1p3/3pP3/3P4/P1N1BPP1/1P3K1P/R2Q1BNR b kq -,f7f5
1r4k1/5p1p/4p1p1/R2p4/P7/7P/2PR1PPK/1r6 b - -,b1a1
r3q1k1/4n3/4p1pQ/pp1nPpP1/2pP3P/2P5/5BN1/R5K1 w - -,h4h5
2k5/5p2/2b1pB2/2PpPpNr/q2P4/n7/5PP1/QR4K1 w - -,b1b2
2b5/ppR2pbk/2p2n1p/2N3p1/8/P1N3PP/1r3PBK/8 b - -,c8f5
1r2k2r/pBp2ppp/4pn2/1b6/3q4/b5P1/PPQ1PP1P/R1B2RK1 w k -,b7c6
r2rb1k1/pp3p1p/3p1p2/6q1/4PQ2/8/PPP2PPP/1K1RR3 w - -,f4f3
8/4kp2/6p1/3BP3/1p3PP1/1P1bbNK1/8/8 w - -,f3e1
8/5pk1/8/5KP1/5P2/3R4/8/1r6 b - -,b1a1
r6r/5pk1/3p1n2/p1p1p1pq/1p2P3/1P1P1P2/P1PQ1KPB/2R2R2 b - -,f6e8
r3k2r/ppp2ppp/2n1pn2/3q4/3P4/2P1PN2/P3QPPP/R1B2RK1 b kq -,e8g8
1r3rk1/ppnqb1p1/4b2p/2p1B3/4N3/3P2P1/PP1QP1BP/R4RK1 w - -,d2a5
8/8/Q5R1/2qk1p2/4b3/8/6PK/8 w - -,a6a2
