8/8/4R3/3p4/4nkP1/3K4/4B3/4r3 w - -,e6e8
8/3Q3p/5brk/5n2/7p/5PnK/8/6B1 b - -,g3f1
r1b1k2r/pp2np2/2P3pp/8/1q6/1NP5/P1P2PPP/R2QKB1R b KQkq -,b4c3
rnbq1rk1/pp3ppp/4p3/2pn4/1b1P4/2N2NP1/PP1BPPBP/R2QK2R b KQ -,c5d4
6k1/p4p1p/6p1/q3Pb2/3p1B2/1Pb5/P1Q1BPPP/6K1 w - -,e2d3
3rr1k1/1p2qppp/1b3n2/3pn3/3N4/P3P2P/1BQ1BPP1/2RR2K1 b - -,f6e4
8/p5k1/2R4p/1P4p1/P1N2rP1/7K/5b2/8 b - g3,f2d4
8/ppp1kp2/2p4p/3b4/8/1BP2P2/P1PK2PP/8 w - -,d2e3
4k3/p2q3p/1p1P1pp1/2pR4/7P/P3N1P1/1P1R1PK1/4r3 w - -,g2h2
3r2k1/p1p2p2/2br2pp/3p4/1P1R2P1/2P1N2P/P4P2/3R2K1 b - -,g8f8
5r1k/q5pp/r1bp1p2/2b1pP1B/ppP1P3/1P1R2P1/P3Q1NP/3R3K w - -,h5f3
8/8/6R1/P6p/1r4k1/7p/5P1K/8 b - -,g4h4
4R1nk/3q2pp/1ppp1p2/8/8/6N1/PP3PPP/4R1K1 b - -,d6d5
5r1k/7p/1p4p1/2bB2P1/P1P5/2R5/6KP/8 w - -,c3f3
r1b1k2r/ppp1qppp/3p4/4n3/2P2B2/P1Q5/1P2PPPP/R3KB1R w KQkq -,e2e3
r3r1k1/3N2pp/p1bb4/2p5/1p6/4B3/PPP2PPP/R3R1K1 w - -,d7c5
7k/5pp1/Q3p2p/P1Bn4/1P1Pq2P/6P1/5P1K/8 b - -,e4e1
5r1k/p5pp/3q1p2/2p1n3/Q2n4/P2PB1P1/1r3PBP/2R1R1K1 w - -,e3d4
8/8/3p2r1/pPk1pR2/P1p1P3/2P5/5K2/8 b - -,g6g4
8/8/2p5/1p6/5k2/R1P2P2/6PK/2r5 w - -,a3b3
r2qr1k1/pp3ppp/4bn2/n1pp4/3P4/P1PBPPN1/R5PP/2BQ1RK1 w - -,a2f2
6r1/pp3brk/3qp2p/3p1p2/3P1P2/P3R1PP/1P4RK/4Q1N1 b - -,d6b6
2R5/p2r2pk/1q2p2p/3b1p2/3P4/1N2P2P/P1Q3P1/6K1 w - -,c2c5
1qr2rk1/pb2ppBp/1pnp2p1/8/2P1PP2/1P2NB2/P5PP/R2Q1RK1 b - -,g8g7
r1b2rk1/ppp3pp/1b1p1n2/3Ppp2/1PB4q/P1NPP3/5PPP/R1BQ1RK1 w - -,c3a4
rn1qkbnr/pp3ppp/4b3/2Pp4/8/3B4/PPP1QPPP/RNB1K1NR b KQkq -,f8c5
2r1r3/1p3pkp/p4np1/2qpn3/8/2N1PP1P/PP1Q2P1/3RRBK1 w - -,d2d4
8/p1n1kppp/8/4K3/2B1PP1P/p5P1/8/8 w - -,e5d4
1r3rk1/1p2qn1p/p3p3/P1Pp1p2/3P2p1/2N1P3/3Q1PPP/1RR3K1 b - -,b8c8
4K3/8/8/8/3Q1k2/6qp/8/8 b - -,f4f3
4r3/qprnppk1/p2p1np1/P2P3p/1P3P2/R1N4P/2PQB1P1/1R5K w - -,e2d3
r2qk2r/pp1bbppp/2np1n2/2p1p3/P3PP2/2PP1N1P/1PB3P1/RNBQK2R b KQkq a3,a7a6
r1bqkbnr/ppp2p1p/2np2p1/4p3/3PP3/2N5/PPP1NPPP/R1BQKB1R w KQkq -,h2h3
r2q1rk1/1pp2pbp/2npb1p1/p1n5/2P1P3/1PN1B1P1/P3NPBP/1R1Q1RK1 b - -,a5a4
3r1rk1/pb3ppp/2nqp3/2p5/3p1N2/1P3B2/P4PP1/B1RQ1R1K b - -,d6f4
r4rk1/p2q4/3p1b1p/1b1P2p1/1p3p2/5N2/PPPQ1BPP/1K2R1R1 b - -,b5c4
rnb1k2r/3p1ppp/p3pn2/1p6/3NP3/2P1BP2/P1P3PP/R3KB1R w KQkq b6,c3c4
r1b2rk1/1p4pp/p4n2/2pp3q/8/2PB4/PP1Q1PPP/R2NR1K1 w - -,f2f3
rn1qkb1r/pp2ppp1/2p2n1p/3p1b2/8/3P1NP1/PPPNPPBP/R1BQK2R w KQkq -,e1g1:b2b3:c2c4
R7/4kpp1/Pn2p2p/8/3PNP1P/6P1/7K/8 b - -,b6a8
kr6/r4p2/1q2b1p1/1PNpPpNp/1QnP4/8/2R2PPP/2R3K1 w - -,b4b3
2br4/6k1/2Bp1q1p/2pP1p2/7P/2b1QNP1/4RPK1/8 b - -,d8f8
5r2/pb2kp2/1n2p2p/1B6/Pp6/6P1/1P4PP/R4RK1 w - -,a1c1
r1bq1rk1/p4ppp/1p2pnn1/8/1P1P4/2N5/P2BBPPP/2RQ1RK1 w - -,e2f3
1rb2rk1/p4pp1/2pb1Q1p/3p4/8/2NB4/PPP2PPP/1R2R1K1 b - -,g7f6
r1b2rk1/2q1bppp/p1pppn2/8/4P3/1BN3Q1/PPP2PPP/R1B2RK1 w - -,c1h6
rnb2rk1/1pq1ppbp/2pp2p1/p6n/P2PPB2/2N2N1P/1PP1BPP1/R2Q1RK1 w - -,f4g5
b4rk1/3pn1pp/P4q2/1N2p3/4p3/B1R4P/P1r1N1P1/4QBK1 b - -,c2a2
1rkb2R1/2p5/1pQ1p3/4Pq2/1pP5/8/P4B2/6K1 b - -,f5h3
8/1kprn3/pp1bb1pp/4pP2/2P3PP/P1K3N1/1B2N3/5R2 b - -,g6f5
3q3k/5Bnp/1p6/p1p2pP1/P4P2/2P5/4QK2/8 b - -,d8c7
8/8/1pp4r/p4k1P/P2P1p2/1P6/5K2/7R b - -,f5g4
1k1r3r/pppqbppp/bn2p3/4P3/1n1PB3/PPN2P2/4N1PP/2RQ1RBK b - -,b4d5
8/4bk2/p5p1/1p1r4/3BRPP1/1PK5/P6P/8 w - -,e4e5
2r3k1/pqr2ppp/3bp3/p7/3P4/P4N2/1P1Q1PPP/3RR1K1 w - -,d1c1
4q3/5p1k/1p4rp/pP6/2pP3P/2R3P1/5P2/3Q2K1 w - -,d1b1
r2q1rk1/4b1p1/p2pbn2/1N1n1pBP/1p1Pp3/4PP2/PP1QB3/1K1R2NR b - -,a6b5
2r1k2r/1p2pp2/pq1p2p1/3P1n1p/2P5/1PNQ4/P4PPP/3R1RK1 w k -,f1e1
2r3k1/1N3pp1/R3bb1p/3p4/5B2/2p2P2/2P3PP/6K1 w - -,b7d6
2r2n1k/2qr1pp1/pp3b1p/4p3/2PN2QP/BP4P1/P2R1P2/3R2K1 w - -,d4b5
rnbqkb1r/1p1ppppp/p4n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,b1c3
rn1qkb1r/pp2pppp/2p2n2/3pNb2/3P4/6P1/PPPNPPBP/R1BQK2R b KQkq -,e7e6
r4rk1/3nqppp/p3p3/1pbb4/4P3/1P1B1N2/PB2QPPP/2RR2K1 b - -,d5b7
r1b2rk1/2p3pp/p7/1ppq1p2/3p4/2P4P/PPN2PP1/R2QR1K1 w - -,c3d4
r1bqk2r/pp2bppp/4pn2/2pp4/1nPP4/1P2PN2/PB2BPPP/RN1Q1RK1 b kq -,a7a5
8/8/p1p2p2/1k2p1p1/2p1P3/1PP2P2/P4bP1/1KB5 w - -,b1c2
r1b1k1rb/p1qp1n2/2p1p2p/2N1Ppp1/2B2B1P/6Q1/PPP2PP1/3RR1K1 w q -,c4a6
8/1b2r1pk/pP5p/7P/2p5/3nB3/2p1NPPK/R7 w - -,e2d4
6q1/8/5Qp1/p4pP1/kp3P2/6PK/8/8 w - -,f6a1
r1bqk2r/pp3ppp/2n1p3/3pPn2/3B4/P4N2/1PP2PPP/R2QKB1R w KQkq -,c2c3
3k4/p1r4p/R1P3p1/8/8/6KP/6P1/8 b - -,d8e7
2r2rk1/p5pp/1pq1ppn1/2b2P2/2PBn1P1/3BPN2/P6P/1R2QRK1 b - -,e6f5
1rbr2k1/1p2qpbp/p1np1np1/2p5/2P1PP2/1PN1B1PP/P2QN1B1/R4RK1 w - -,a2a4
rn1q1rk1/1bp2ppp/pp1b1n2/3p4/3P4/1PNBPN2/PB3PPP/R2Q1RK1 b - -,d8e7:b8d7
5k2/ppp5/3p2Q1/5B2/2Pq4/5bPK/P6P/8 w - -,g3g4
8/6p1/2p1k3/B1K3pp/1P6/5P2/4n1PP/8 b - -,e6d7
8/8/2k5/P1b2p2/2K5/6P1/5P2/4B3 w - -,a5a6
3Q2nk/pp4q1/3p2p1/2pP4/2P1BP2/5K2/P7/8 w - -,d8d6
8/2r1kpp1/7p/pR6/2pP4/2K1P1P1/P4P1P/8 w - -,b5a5
8/8/8/k1p4R/1pP2r1p/1K6/8/8 b - -,f4f3
2r3k1/4qpbp/1p2p1p1/p2pP1P1/3P2NP/P2Q4/1P3RPK/2r2R2 b - -,c1f1
