8/8/8/2k4p/6bP/4R1P1/rrB2R2/2K5 b - -,b2b4
r2q1rk1/1p2ppbp/p1B3p1/3pPb2/3P4/2P1BN2/P3QPPP/R4RK1 b - -,b7c6
8/7k/8/6Q1/6K1/5P1P/8/q7 b - -,a1d4
2r1r1k1/p1q2p1p/1p4p1/2pP4/Q2b3B/3R3P/PP3PP1/3R2K1 b - -,e8e4
3k4/1R6/1b2pK2/8/1r3p2/8/6B1/8 b - -,b4b2
1r4k1/1q3p1p/p2Rb1p1/1rQNp3/8/4P1P1/P4P1P/3R2K1 w - -,c5c4
5rk1/5p1p/4p1p1/1R1b4/2p2q2/B7/2Q1B1PP/5K2 w - -,f1e1
rq4k1/5pp1/2b1pn1p/2ppQ3/2P5/3PP2P/1B2BPP1/5RK1 w - -,e5b8
r2qr1k1/3b1pbp/p1np1np1/1p2p3/3PP3/1P3NNP/P1B2PP1/R1BQR1K1 b - -,a8c8
3r1rk1/pbq2ppp/1p1b4/2p1N3/2B1n3/1P2P3/PB2QPPP/3R1RK1 w - -,e2h5
8/8/5k2/3P4/6b1/r5p1/P2RN1P1/4K3 b - -,f6e7
8/p5Np/2k5/2p1K3/2P5/2P3P1/P6P/5b2 w - -,g3g4
3r2k1/p4pp1/1p3n1p/1Pp5/P7/2n1R1P1/3B1P1P/3q1QK1 w - -,d2c3
4rk2/pBr1np1p/1p6/8/1P4QP/P1b3P1/4PP2/2R3K1 w - -,g4f3
r1bq1rk1/pp2bppp/2Bp1n2/4p1B1/4P3/3Q1N2/PPP2PPP/RN3RK1 b - -,b7c6
r3r1k1/pp1q1ppp/8/3p4/3Q2n1/2R1B1P1/PP2PPKP/2R5 w - -,h2h3
k5r1/p7/5p2/1Q6/2P2P1p/4q3/P1K5/3R4 b - -,e3e4
3r2k1/1q3pp1/1p2p2p/2prP3/7P/5QP1/PP3P2/R3R1K1 b - -,b7d7
r4rk1/pp1bppbp/3p1np1/4n1N1/4P3/2P1B2P/PPB1NPP1/R2R2K1 b - -,h7h6
4b3/4kp2/Rp6/P1bB1Pp1/4K1Pp/7P/8/8 b - -,e8b5
r4rk1/1ppnqpp1/p1p4p/8/3PP3/7P/PP3PP1/R1BQR1K1 b - -,d7f6
r1bq1rk1/1ppnnpb1/3p2pp/1P2p3/2P5/2NP1NP1/1B2PPBP/1R1QK2R w K -,b1a1
2bb1rk1/1q3ppp/p5r1/1p1QR3/1PpN4/2B1RP2/1PP3PP/6K1 b - -,d8b6
3rnrk1/1bq4p/p2p2p1/2p1p3/PpN1Pp2/1P1P2PP/2PQ1PB1/R3R1K1 w - -,g3g4
r2q1rk1/p3bppp/2p1bn2/3p2B1/2pP4/2N3P1/PP2PPBP/R2Q1RK1 w - -,d1c2:b2b3:e2e4:d1d2
6k1/p3rp2/1p2p3/1P2P1p1/Rn6/8/5PP1/5BK1 b - -,b4d5
6k1/5pb1/p7/5p1p/PB2b2P/4R1P1/r1r2P2/1N1R2K1 b - -,c2f2
2B1bk2/6pp/5p2/p1p1r3/P1R1PP2/4K1P1/7P/8 b - -,e5h5
rnbqk2r/pp2ppbp/2p2np1/3p4/5P2/1P2PN2/PBPPB1PP/RN1QK2R b KQkq -,e8g8
2r1k2r/1p1nqppn/p2pb3/4p3/P3PP1p/1PN3PP/2P1N1B1/R2Q1RK1 b k -,h4g3
rnbqk2r/pp2b1pp/2p1pn2/3p1p2/2PP4/5NP1/PP1NPPBP/R1BQ1RK1 b kq -,e8g8
6k1/R7/4K3/p3Brp1/2p4p/2Pb1P2/P5P1/8 w - -,a7a5
r3k2r/pp3ppp/2p1pn2/q3Pb2/1bB5/2N5/PPPBQPPP/2KR3R b kq -,f6d5
8/5pk1/1q1p2pp/p3p3/4P3/2Q2P2/PP2K1PP/8 b - -,b6g1
8/1p3kpp/p1p1p3/8/3rP3/P1R2P1P/1PP3P1/2K5 b - -,f7e7
r4r1k/p2bqp2/1pp2n1p/3pN3/3P1P2/1P1QP3/P2N3P/R4R1K w - -,f4f5
r2rn1k1/p2nqpbp/1p4p1/2pPp3/4P3/P2NB1PP/1PQ2PB1/R2R2K1 b - -,e8d6
2r3k1/1b1q2p1/p2bpr1p/1p1n4/2pPBP2/P5PN/1P2Q2P/R1BR2K1 w - -,c1d2
r2qk2r/pp2ppbp/2bp1np1/2p1P3/5P2/2NP1N2/PPP3PP/R1B1QRK1 b kq -,f6d5
r3kb1r/1bq2ppp/p1nppn2/2p5/1p2PP2/3P1NPP/PPPBN1B1/R2Q1RK1 b kq -,d6d5
r2qr1k1/1bpnbppp/pp1p1n2/1B1P4/3NPB2/P1N5/1P3PPP/R2Q1RK1 w - -,b5c6
1k6/pp3p2/3p2p1/4p3/2PpPP1N/P2Pn1P1/KP5Q/3q4 w - -,f4e5
r1bqkb1r/pp3ppp/2n1pn2/8/3P4/2NB1N2/PP3PPP/R1BQK2R w KQkq -,a2a3:e1g1
2rqr1k1/1b3p1p/1p3np1/pPbpn3/Q2N4/4P1N1/PB2BPPP/1R3RK1 w - -,b1d1
3r1rk1/pp2ppbp/n1p1bnp1/8/1q1PP3/2N2NP1/PP2QPBP/R1B2RK1 w - -,f1d1
2kr3r/Bp3np1/b2p2q1/3Q1p2/5P1p/3PPN2/P1P3PP/1R3RK1 b - -,h4h3
rnbqkb1r/p1pp2pp/1p2pn2/5p2/8/1P2PN2/PBPP1PPP/RN1QKB1R w KQkq -,f1b5:f1e2
8/1k6/1p3Kpp/8/P1R4P/6r1/8/8 b - -,g6g5
7k/1Q2r3/3b4/P4B1p/5p1q/5P2/6PP/6RK w - -,b7c8
2Q3k1/p4ppp/B3pb2/3q4/8/1P4P1/P4P1P/5nK1 b - -,f6d8
r4rk1/1q2bp1p/2bp2pB/p1p1p2n/2PnP2N/1P1Q2P1/P1N2PBP/R3R1K1 b - -,f8e8
r1br4/pp3pk1/6pp/2pqp3/3bR1n1/3P2PN/PPQ3BP/5R1K w - -,e4g4
8/8/4kp2/8/pRK5/P5P1/1P4r1/8 w - -,c4b5
1r3rk1/pp1q1pbp/6p1/P3p3/b1P5/5B1P/1P2QPPB/R1R3K1 w - -,f3d5
r3k1nr/1bpp2pp/p1n3q1/2b1p3/1p2p3/1B4N1/PPPP1PPP/RNBQ1RK1 w kq -,c2c3
r2r2k1/1p2bpp1/p1n1p2p/3q4/4NB1P/2P2PP1/PP2Q3/R4K1R b - -,e6e5
2k2R2/1r4p1/4p1p1/1p1p4/1PpP1P2/2P3PP/1K3P2/8 b - -,c8c7
1rb2knr/p1N2p1p/3q4/8/1Pp3p1/3pP3/P5PP/R1Q2RK1 w - -,c1c4
r4bnr/1pkn2pp/2p1bp2/p3p3/N1P1P3/P3B3/1P1N1PPP/R3KB1R b KQ -,g7g6
b2r4/2bqnknp/5pp1/r2p4/1NpP1P2/P1P1N1P1/4R1BP/1RB1Q1K1 w - -,g2f3
r1bq1rk1/pp2npbp/2np2p1/2p1p3/4P3/2P2NP1/PPNPQPBP/R1BR2K1 b - -,d6d5
rn1qk2r/pb2bppp/1p1ppn2/2p5/4P3/2PP1NP1/PP3PBP/RNBQR1K1 b kq -,e8g8
8/8/4k3/6pr/6R1/P7/3N4/2K5 w - -,d2f3
6k1/5p1p/6p1/r3p3/1R2P1P1/8/Qnq2PPK/2R5 b - -,c2f2
1R6/2r1k1p1/2p1p2p/4p3/2NN2PP/2P1K3/r4P2/8 w - -,c4e5
1r1qrbk1/3b1ppp/p2p1nn1/1ppP4/P1P2P2/1PNB3P/2QBN1P1/4RRK1 w - b6,a4b5
2rq1bk1/1b3p1p/p4np1/1p1n4/3NB3/1P4N1/PB3PPP/3RQ1K1 w - -,e4d5
8/8/3PR3/2p1n3/P1Pk1pP1/1r3B2/6K1/8 w - -,d6d7
7r/p1k3b1/2p1p2p/6p1/6P1/4P3/P1K1NPP1/1R6 b - -,h8d8
8/8/p1kbpBp1/6P1/P2PKP2/8/8/8 w - -,f6g7
1n1r4/5k2/p5Rp/1p4p1/3n4/P2P1B1P/1P6/R5K1 w - -,f3e4
8/4b1kp/2p5/pp2pp2/8/PnP1B2P/1P3PP1/3N2K1 w - -,f2f3
3r4/1k1r1npp/2pBbp2/ppP5/3RP3/1P6/P2RB1PP/6K1 w - -,g1f2
3q1r2/6rk/1p1p3b/p1pP3B/2P1pp2/2R3PP/PP3P1K/3Q1R2 w - -,d1b1
r2qrbk1/5p1p/p1bpp1p1/Pp1n4/3P4/2PB1NN1/1P1Q1PPP/R3R1K1 b - -,f8g7
r5k1/p3n3/2q1p1pQ/1p1nPpP1/2pP4/2P5/5BNP/R5K1 b - -,a7a5
4r2k/1p1r3p/p7/5p2/1q1pB3/6PP/P2R1Q1K/3R4 b - -,e8e4
7Q/p3nk2/4b1p1/4p3/3qPP2/1PN5/1KP3P1/8 b - -,e7c6
r2r2k1/pp4bp/n1b2pp1/2p5/3qPP2/6P1/PP1NQRBP/R1B3K1 w - -,d2f1
1rbqk2r/5ppp/p1np1b2/1p2p3/4P3/N3B3/PPP1BPPP/R2QK2R w KQk -,e1g1
1R6/5kp1/p2p1b1p/8/3nP3/6q1/2B1Q1P1/5K2 w - -,e2c4
2r5/1p3pkp/3p1n2/p1rPp3/4b2P/5B1P/1R3PK1/R5N1 w - -,b2b7
r5k1/6pp/2b1qr2/8/4p2P/1Q4N1/PpP2P2/1K1RR3 b - -,e6b3
r3qr2/4np1k/pQ1p2p1/2pP2Pp/2P1Pp1P/2P2P1b/6NR/1R5K w - -,h2h3
2r3k1/1p4b1/1B1p4/PN1Pp2p/1P2Pn1q/6p1/4Q1K1/5R2 w - -,f1f4
1r3r2/1bq2p1k/3p1b1p/1ppBpN1P/4PpP1/2PP1Q2/RP3P2/R5K1 w - -,a2a7
r2qkb1r/pp1n1ppp/2p1pn2/3P3b/3P4/2NBP3/PP2NPPP/R1BQ1RK1 b kq -,e6d5
