8/8/1p6/1P4p1/2Bb1k1p/7P/R5K1/4r3 w - -,c4e2
r3bbk1/pp1q2pp/2n1p3/3p4/3P1Q1N/4B1P1/PP4PP/1BR3K1 b - -,g7g6
2r2rk1/1q1b1pbp/p2pp1p1/P2nP3/1p1P1Pn1/1N1B1N2/1PQB2PP/R3R1K1 w - -,c2d1
r2r4/pp1bb1k1/1q6/4p2Q/8/P1PR4/5PPP/R1B3K1 w - -,d3g3
r1bq1rk1/pp2ppbp/n2p1np1/2p5/2PPP3/2N1BP2/PP1QN1PP/R3KB1R b KQ -,c8d7
r1bqkb1r/1p1n1ppp/p1n1p3/2ppP3/3P4/2PB4/PP1NNPPP/R1BQ1RK1 b kq -,b7b5
r1b2r1k/pp3ppp/1qnbpn2/3pN3/3P1P2/PPPB4/1B4PP/RN1Q1R1K b - -,f6d7
r4rk1/p3q1bp/1ppp2p1/4np2/2P5/6P1/PPQBPPKP/R3RN2 b - -,e7e6
8/p4p2/1pkp4/5P2/P2r4/5P1P/1PBn2K1/3R4 w - -,h3h4
2r2rk1/5p2/p1bqpn2/1p1p2p1/P2P3p/1QNBPP2/1P3KPP/2R4R w - -,a4b5
3r1k2/1pp3pp/1p3pb1/8/5P2/P1P1R2P/1P4P1/3BK3 w - -,d1f3
r1bqkb1r/pp3ppp/2p2n2/8/4P3/8/PP3PPP/RNBQKB1R w KQkq -,d1c2
4qk2/2p3bp/p2p2p1/5pN1/P1Qn4/8/1PPB1PPP/6K1 w - -,c2c3
r1bq1rk1/1p3ppp/p4n2/b2pn3/3N4/1QN1P3/PP1BBPPP/3R1RK1 b - -,a5c7
r4rk1/1p1qnp1p/p1np1Bp1/3N4/P3P3/1Q6/1PR2PPP/2R3K1 b - -,e7d5
r1bq1rk1/pp1pnpbp/6p1/8/3pP3/N5P1/PP3PBP/R1BQ1RK1 w - -,c1f4
4rq2/ppr2p1k/2p1pR1p/3pP2Q/P2P4/1P1PP3/7P/R6K w - -,a1f1
2b2rk1/1p1p2pp/1QpN1q2/3p1p2/3P1P2/4R1P1/4P2P/1R4K1 b - -,f6d6
3r1nk1/p3bpp1/1p2p2p/5Q2/2P4P/2B5/PP3PP1/4R1K1 b - -,e6f5
4r2k/6p1/2p2p2/1PP4p/5Q2/3qr1PP/2R5/5RK1 w - -,b5c6
r5k1/3P1ppp/8/8/1p1Q4/1q5P/1P4P1/3R3K b - -,a8d8
8/2Q5/8/P4pk1/7p/8/6PK/4q3 b - -,f5f4
8/2p2kp1/2Prnp1p/1p6/pN6/P3R2P/2P2PP1/6K1 w - -,g1f1
6k1/1p3qb1/p2p2pp/2pNn3/P3Q3/1P4P1/2P2PKP/2B5 w - -,c1f4
rrq1n3/2nb1k2/p2p1bNP/P1pPp2B/2p1P3/1PN1B3/3K1P2/R2Q4 w - -,h6h7
2k4r/pbpp1p1p/2p5/r5P1/2P2nP1/1P3N2/1K3P2/3R1B1R w - -,h1h6
1r4k1/7p/3P2p1/1pN1bp1n/8/6PP/1P4BK/R4R2 b - -,h5g3
2r1r1k1/1p1q1pn1/2p3p1/p2pP2p/1P1P1Q1P/2R2NP1/P4PK1/4R3 w - a6,b4a5
8/2R2p2/4pkp1/3p3p/3P3P/2P1PPK1/4r1P1/8 w - -,c7c4
r4rk1/pp1qppbp/5np1/2pPp3/4P3/2P2P2/PP4PP/RNBQ1RK1 w - -,c1e3
7k/6pp/pN6/8/2P1P3/8/4r2P/7K w - -,c4c5
rn1q1rk1/p3bppp/bpp2n2/3pN3/3P4/2N3P1/PP2PPBP/R1BQ1RK1 w - -,a1b1
r3nr1k/pb2q1p1/1p2p2p/3P1n2/5P2/P2B2P1/1B3N1P/R2Q1RK1 w - -,d5e6
6kr/1bNnnqbp/pp1p2p1/5P2/P2P4/2N5/1PP3PP/R1BQK2R b KQ -,e7f5
8/p2R1pp1/1p2pk2/1B6/P7/1PP3P1/1r3PK1/4b3 w - -,d7a7
r4rk1/2q1bppp/p2p1n2/1pn1pP2/4P3/1PN1B3/1PPQB1PP/2KR3R w - -,e3c5
1rr2bk1/1b3p2/p2q2pp/Q1ppN3/3P4/4P3/P3BPPP/2R1R1K1 w - -,c1c5
r1b2rk1/pp3pp1/1n5p/5P1Q/3qN3/1Bp5/PP4PP/4RRK1 w - -,g1h1
3rr1k1/1Bp3bp/6p1/1Pp2b2/p1P2P2/3P1R2/PB2q2P/1R1Q3K w - -,b2g7
r2qk2r/pp3ppp/2n1pn2/2bp4/Q4Bb1/2PBPN2/PP1N1PPP/R3K2R b KQkq -,e8g8
4k1nr/1p3p1p/4p3/3rP3/1b3p2/2N1B3/PP3P1P/R3K2R w KQk -,e3f4
3q4/1b1n2bk/3pB3/1ppP4/5Q1P/8/1PP3P1/7K w - -,f4f5
8/8/p2P2R1/8/1P3k1P/P2r4/4K3/8 b - -,d3d4
3r1k2/3q2p1/5p2/2p5/1pQ1P3/1P3PPK/PB6/8 w - -,g3g4
8/7P/2p5/p7/4B3/8/1k2K3/q7 b - -,b2a3
3qr1k1/Np1n1pbp/2r2np1/2pp4/3P1BP1/3QPP1P/PP1N2K1/R6R b - -,c6b6
r2r2k1/4bppp/1qp1p3/p2n4/3PN3/P7/1P2QPPP/R1BR2K1 w - -,c1g5
4rb2/6kp/R2p1ppn/2pP4/4PP2/2B3NP/1P4PK/8 w - -,h2g1
8/8/1pk2pp1/3p1b1p/1P3P1P/4P1P1/3KN3/8 b - -,c6d6
2rqk2r/1R1b1ppp/pB2p3/3pP3/1bPQ1P2/8/P4KPP/1N5R b k -,d8b6
r5k1/pp1n2p1/2p4p/7Q/R2Pprp1/1q2P3/5PBP/R5K1 b - -,f4f8
5k2/5n2/P5R1/5PP1/3rP3/1P6/1KP5/8 w - -,a6a7
4rr2/p5k1/1p6/3B1p2/3PN2n/2P5/PP4P1/5RK1 w - f6,e4g5
r1bqk1nr/2p2ppp/pbnp4/1p6/3PP3/5N2/PPB2PPP/RNBQK2R w KQkq -,h2h3
8/4P2R/8/8/8/8/4K1p1/r5k1 b - -,a1a2
1r2q1k1/2r4p/pP5R/3p1p2/P2Pp1pP/B3PnP1/5PB1/1R1Q1K2 b - -,c7c3
r1b2rk1/5pbp/p5p1/1Ppq4/3p4/5P2/PPQ2BPP/2RR1BK1 w - -,c2c5
1Q1nkb1r/1p3p2/3p4/1PpPp3/4P3/6q1/PP1N2P1/4RRK1 w k -,d2f3
1r2r2k/4P1bp/6p1/3Q4/1B6/6KP/8/8 w - -,b4d6
r2q1rk1/1p2nbpp/2pbnp2/p2pp2P/4P1PN/3P4/PPP1QPBN/R1B2RK1 w - a6,c1e3
1r6/5pk1/6p1/p1n3p1/2p1P3/2P2P1P/Pr1R1KP1/3R1N2 w - -,d2b2
r3qrk1/pp2b1pp/2b1pn2/2ppBp2/3P4/2P1PNN1/PPQ2PPP/R4RK1 b - -,f6d7
8/ppR3pk/7p/1r6/P5PP/8/5P1K/8 b - -,b5b2
r1bqk2r/p3p2p/4p1nB/1ppP4/2p5/2b5/PP3PP1/R2QKB1R w KQkq -,b2c3
2r3k1/1N1R1p1p/4p1n1/4P1p1/1pP5/6PP/rP2RP2/7K b - -,c8c4
2q3k1/2p1n1p1/2r1bp1p/4p3/1Pp1P3/2P1N3/3N1PPP/1Q2R1K1 b - -,c8d8
r2qr1k1/pb2ppbp/1pn1n1p1/2pN4/P1PpP2B/3P1N2/1P3PPP/R2QRBK1 b - -,f7f6
1r6/5R2/8/8/K7/6p1/8/5k2 b - -,f1g1
8/1p2p1k1/p3p1pp/1nPbP3/8/4B1P1/PP2K2P/3B4 w - -,a2a3
8/2r5/2Pk4/1P5B/P2pb3/6P1/5P2/2R3K1 w - -,f2f3
3rr3/pQ4kp/1p1P4/2p1q1p1/4P3/1P4P1/P5BP/3R2K1 b - -,g7h8
rq1r1bk1/1p1n1p2/2p1p1pp/p6n/P2PP1P1/1Q1N1P2/1P2NB1P/2RR2K1 b - g3,h5g7
r1b1k2r/1pq2pp1/p1n1p1n1/3pP2p/7P/P1B2NQ1/1PP2PP1/2KR1B1R b kq -,c8d7
r2qnrk1/2p2pbp/bp4p1/p7/3PPB2/1N4P1/P2Q1PBP/2RR2K1 b - -,a5a4
rr1q2k1/5pp1/4p2p/2b1P3/ppPp2R1/3Q1P1P/P2B1P2/1R4K1 b - -,g8h8
5q2/p2r4/1p4k1/4Rp1p/1PPp1Pp1/3Q2P1/P1K4P/8 w - -,c2b3
5k2/4bp2/1R4pp/8/1p4P1/2P2K1P/1P3P2/8 b - -,b4c3
2rqk2r/pQ1B1ppp/4p3/2bP4/4P3/2P5/P4PPP/R1B1K2R b KQk -,d8d7
r2q1rk1/1bp2ppp/1p2pb2/8/p2P1P2/PnP1B1N1/1PQ1B1PP/R4RK1 w - -,a1d1
3r4/2p1qpk1/p5p1/1p1pN2p/1P1P3P/4P1P1/P2Q1P2/1B4K1 b - -,d8d6
rr4k1/5ppp/3pqn2/pbn1pN2/4P3/PP4PP/3N1PB1/R2QR1K1 w - -,d2f3
3r4/1p2nk2/p4n1Q/2P2p1P/3P1N2/P7/1P4P1/6K1 w - -,f4g6
5k2/p1R2p1p/b3p3/6r1/1r4n1/5B2/PP4RP/3N3K b - -,h7h5
r1bq1rk1/pppp2pp/5n2/1B2pP2/3b4/3P4/PPP1NPPP/R1BQ1RK1 b - -,c7c6
5rk1/1r3p1p/1p1p2p1/8/PNPpP3/4QP2/6PP/3R2K1 b - -,d4e3
5rk1/4ppbn/3p4/p2q1PP1/1p5Q/3P4/PP4RP/5R1K w - -,f5f6
