8/K3k3/P7/8/8/3R4/8/1r6 w - -,d3h3:a7a8
rnbqr1k1/pp3ppp/2p5/3n4/2NPp3/B1P5/P1P1BPPP/1R2QRK1 w - -,e1d2
3r4/1B2p1k1/p3pnp1/7p/P1r5/6PP/1P3P2/1R3RK1 w - -,b2b3
8/1p3p1p/p3k1p1/1b3p2/3B1P2/3K4/PP3P1P/8 w - -,d3e3
1n1q1rk1/1r3pp1/p3bn1p/P1p1p3/BpN1P3/2P1N2P/1PQ2PP1/R4RK1 b - -,b4b3
Q4rk1/2p1p1bp/1n2bpp1/8/N2PP3/5NB1/P4PPP/R1r3K1 w - -,a1c1
8/3b2K1/2n5/6k1/8/8/8/8 b - -,c6e5
r2r2k1/pp3pbp/5q1n/4p3/P4p2/2P2P1P/1P2BBP1/R1Q2RK1 w - -,c1c2
8/5p1p/P3pkp1/3p4/2r5/8/5PPP/R5K1 b - -,c4c8
r1bqk2r/pp1nb1pp/2n1pP2/3p4/5B1P/2NB1N2/PPP2PP1/R2QK2R b KQkq -,d7f6
r1bq1rk1/pp4pp/2pb1n2/4pp2/2PP4/2N1PBP1/PPQ4P/R1B2RK1 w - -,d4e5
8/5pp1/4p3/2B2k2/8/7K/8/8 w - -,h3g3
8/1k1r4/p7/5NQ1/1p2p1PP/1Pq5/P1np3K/3R4 w - -,g5f4
2r2rk1/1b2bppp/p3p3/np1q4/3P1B2/P2B1N2/1P2QPPP/1R1R2K1 w - -,d1e1
8/8/4R3/5p2/4bkp1/r7/3N3P/4K3 w - -,e6b6
8/pp3pkp/5rp1/4Q3/2Pp4/1q3P2/6PP/5R1K b - -,b3c4
rnb1kb1r/pp1ppppp/1q3n2/2pP4/8/2N5/P1PBPPPP/R2QKBNR w KQkq -,e2e4
2R5/8/p1k2r2/3n4/8/1P3P2/PK6/8 b - -,d5c7
r4k2/2p2ppp/8/4P3/3N1P2/p3K3/6PP/Rb6 b - -,a3a2
r4r1k/1ppbq1pp/5p2/p2Pp3/2P1P3/bN2BP2/P4QPP/R4RK1 w - -,e3c5
4R3/5p2/3p2k1/1P1P3p/5B1b/1r5P/4B1K1/8 b - -,g6f5
8/p1q1kp2/2P3p1/8/2R4p/P4P2/3K1PB1/8 b - -,e7d8
rnbqk2r/pp2nppp/4p3/3pP3/3p2Q1/P1PB4/2P2PPP/R1B1K1NR b KQkq -,b8c6
6n1/5k2/7p/6p1/3B2P1/5K1P/5P2/8 w - -,f3e4
r4nqk/1p4r1/1B2bb1p/PB2p3/5p2/5P2/2Q1N1PP/2R3RK b - -,a8c8
7r/p2RP3/1p4p1/3N1p2/2Pkp3/1P1b4/P4PPr/2KR4 b - -,d4e5
1qr1k2r/1b1nbp1p/pp1ppnp1/8/2P1PP2/1NNBB2Q/PP4PP/4RRK1 w k -,b3d4
3q1rk1/1brnbppp/p1npp3/8/4P3/1NN1BBP1/PP2QP1P/3R1RK1 w - -,f3g2
4r3/5pk1/2Np2b1/3Pp1bp/6q1/R6R/6P1/1n2Q2K w - -,a3g3
2r1kbnr/1p3ppp/pqn1p3/3pP3/3P4/P1N1BP2/1P1Q1P1P/R3KB1R b KQk -,b6b3
1r4k1/2p2pp1/7p/R1Nn4/8/2P5/1P3PPP/4K3 b - -,b8b2
8/4k1p1/7p/p1n5/PpB1p3/1P2P2P/4KPP1/8 b - -,e7d6
1r2r1k1/3q1ppp/n1pp4/p1b1p3/3PPP2/PP4P1/1B2N1KP/R2Q1R2 b - -,e5d4
1r1qr1k1/7p/p2p2p1/R1nb1p2/2P1P3/1P1B4/R2Q1PPP/6K1 w - -,a5c5
7r/2p2ppp/8/1P5r/1kP5/1Q4Pq/P3PP1P/3R2K1 b - -,b4a5
2R5/2Q3pp/r3ppk1/p2q4/Rr1PpP2/1P1nP2P/3N2PK/8 b - -,b4b7
1r2r1k1/pbq2pp1/1pp4p/2P1p3/P2P3P/1P2QBP1/5PK1/2RR4 w - -,d4e5
r3k2r/1pq1bp2/p1bppnn1/6Pp/4P3/2N2NBP/PPP1QRB1/3R2K1 b kq -,f6d7
rn2kbnr/pp3pp1/4p2p/2qpP3/8/3Q2N1/PPPN1PPP/R1B2RK1 w kq -,c2c4
2k1r2r/1p4p1/1bp1b3/1p2P3/q2p3p/3P1Q1P/2P3BB/1R3R1K w - -,b1a1
1r1qk2r/1bp2ppp/2np1n2/1p2P3/5P2/1BQ5/1PP3PP/RNB2RK1 b k -,f6e4
5r1k/2r2pbp/1q2pNp1/R3P1P1/3p1P2/1N1n3P/3B2Q1/6K1 w - -,a5a3
8/1Pb2k2/5pp1/6P1/7P/4K3/2B5/8 b - -,f6g5
4r1k1/B6p/2p1Pb2/5p2/8/2N4P/Pn3P2/2R3K1 b - -,b2d3
8/1p4bk/8/3p3P/4pP2/4n2q/4BQ2/7K w - -,h1g1
4q1k1/2n4p/3rrbpP/1pp1Np2/2P5/6P1/1B2RP2/2Q1R1K1 b - -,b5b4
r4rk1/1pqbbp1p/p1N1p1p1/6P1/2n1BP2/2P1B3/PP2Q2P/2KR2R1 b - -,d7c6
8/6k1/6p1/1r2p1P1/7P/4R2K/5P2/8 w - -,e3a3
5r1k/R7/6p1/p1p4p/PpBb1p1P/1P4P1/2P3K1/8 w - -,g3f4
r1b2rk1/ppq1bpp1/5n1p/4p3/7Q/3BBN2/PPP2PPP/R3R1K1 w - -,e3h6
2b1rr2/4qpk1/p1n1p1pp/PpNpP3/1PnP4/1N1B3P/4RPP1/4QRK1 b - -,f8h8
3rr2k/2R4p/1p2bp2/pP3p2/4p3/P1N5/6BP/2R4K w - -,c3e2
8/1pp1r1kp/1n3pp1/8/5P2/PPK2N2/6PP/3R4 b - -,e7e3
R4bk1/5p1p/pr2p1p1/N7/P3n3/4N1P1/5P1P/6K1 w - -,a5c4
1Q6/5pk1/8/1p1p2P1/8/2q3K1/8/8 w - -,g3g4
2r1k2r/1bqnppbp/p2p1np1/1p1N2B1/3NPP2/3B1Q2/PPP3PP/1K1RR3 b k -,f6d5
3r4/3P4/1R3p1k/3R2p1/4B2n/p3P2K/5P2/6r1 w - -,b6f6
1r2r3/1p1k2n1/p1pPp2p/2P2pp1/2BP1P2/4P2P/1P2K1P1/R6R b - f3,g7h5
r2q1rk1/pp1nppb1/1np1b1pp/8/3PP3/2N1BN1P/PPQ2PP1/2KR1B1R w - -,c2d2
2b5/4ppkp/3p2p1/2p5/2P1P2P/1P1RKP2/r1r3P1/1R3B2 b - -,f7f5
2r2rk1/1pq2ppp/p2pbb2/3Bp3/P2nP3/N1NQ4/1PP2PPP/4RRK1 b - -,d4c6
8/8/8/8/k1K5/2N3R1/8/2r5 b - -,a4a5
rnbqkbnr/ppp2ppp/8/4p3/2pPP3/8/PP3PPP/RNBQKBNR w KQkq e6,g1f3:d4d5
3br1k1/1bqr1p1p/p2p1np1/1p2pPB1/4P3/P1NB3Q/1PP3PP/4RR1K b - -,f6h5
r5k1/5p1p/6pb/2p1P3/1p1p1P1P/1P1B2P1/4R1K1/q2Q4 w - -,d1a1
r3k3/1b1n1p2/p3p1p1/q3P2r/Pb1NpP2/4B3/1PR2QBP/5RK1 w q -,f1c1
8/1pk5/2pn4/q4pb1/8/2PQ1N2/1PN5/1K6 b - -,g5f6
2r1k2r/pp2bpp1/2n1p3/3q4/3P4/2N2NPP/PP4P1/2RQ1RK1 b k -,d5a5
r4rk1/1ppb1pb1/p1np2q1/P3p1pp/4PnN1/1BPP2NP/1P3PP1/R1BQR1K1 w - h6,g4e3
r1bqr1k1/1ppn1pbp/2np2p1/p7/2P1PP2/2N3P1/PP2N1BP/1RBQ1RK1 b - f3,d7c5
r1b2rk1/1p1n1pnp/p2p4/2pPpp2/P1P1P2N/2N1q1P1/1P4BP/R2Q1R1K b - -,d7f6
2r5/pb2kppp/4p3/pP1r4/P2R1P2/5P2/3R1KPP/3B4 b - -,c8c3
r1bqk2r/ppp1p1bp/2n2np1/3p4/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,c1e3
1rb2rk1/5pp1/p1p1p2p/3p4/P3PP1P/5B2/P1PR2P1/2K4R w - -,c2c3
r4rk1/p1P2ppp/1p1N1b2/2nQ4/PB1p2q1/6P1/4PP1P/2RR2K1 b - -,d4d3
r1nr2k1/1p3pbp/n1pB2p1/p3Pq2/P1B5/1PN3QP/2P2PP1/3RR1K1 w - -,e5e6
2b1kr2/ppr1p2p/2pN2pb/8/5PP1/4R2P/PPP1N3/2K4R b - -,e8d8
2rq2k1/5ppp/1p2n2r/pB1pP3/P4P2/3R4/1P3QPP/3R2K1 b - -,c8c5
r1bq1rk1/p2nbpp1/1pp1pn1p/3p4/2PP3B/2NBPN2/PP2QPPP/R4RK1 b - -,c8b7
5rr1/p3k2p/1pp1p3/4PpnP/2pP1N2/P1R2P2/2P3P1/4R1K1 w - -,g1f2
r2R2k1/1p2qppb/1np4p/4p3/p1P1P3/PP3B2/1Q2NPPP/R5K1 b - -,a8d8
4n1k1/r4pbp/p5p1/1pp1q3/6QP/P2R4/1P4P1/3R3K b - -,h7h5
r3r1k1/p4ppp/2pN4/1p5n/4P1b1/1P4P1/P1Pb1PBP/1R3RK1 w - -,d6e8
