2r5/8/4p1k1/1R4p1/1P2N3/7P/6P1/6K1 b - -,g5g4
r2q2k1/p1p1nr1p/1p1p2p1/3P1p2/b1PNnP2/2P1BR2/P5PP/1Q2RBK1 b - -,a4d7
r3r1k1/pbp1P1b1/6Rp/q1p2p1n/2p2P1B/1PP4P/P2Q2P1/4RNK1 b - -,g8f7
r4rk1/1p2b1pb/2p3q1/2P1p1n1/1P2Pp1p/5P2/2QN2PP/2RR1BNK b - -,g8h8
r1bqk2r/3nbppp/p3p3/1p1pP3/5B2/2NBP3/PP3PPP/R2Q1RK1 w kq b6,c3e2
r2q1rk1/pp1n1ppp/2pbpn2/8/2PPp3/P1NQ1N2/1P3PPP/R1B2RK1 w - -,c3e4
8/3k1Bp1/4p3/1p2bppP/1P2P1n1/5K2/8/2B5 b - -,e5c3
b7/B2n3p/3k2p1/4p1P1/2P4P/4KP2/2B5/8 b - -,d7f8
3r2k1/p4p1p/1p1q2p1/2p5/3n4/P3Q1P1/1P3P1P/2R2BK1 w - -,f1g2
2b2nk1/p3Rpp1/1p5p/3r3P/7Q/3B1N2/P4PPK/2q5 w - -,d3c4
4k3/pR6/8/3P1pn1/8/r5P1/5K1P/8 b - -,a7a5
5k2/2p2p1p/8/1pNbPP2/1Pp5/7P/1P3R1K/3r4 b - -,f8e7
r4rk1/ppq2bbp/3p1np1/2p3B1/2PpPN2/1P3PP1/P5BP/R2Q1RK1 w - -,g2h3
r2q1rk1/pp1n2bp/2p1p3/3pPpp1/2P2P2/1P2P3/PB2B1PP/2RQ1RK1 w - -,d1e1
3q1r1k/3r1p1p/2npb1p1/p2Np1b1/1pP1P3/1P1R1B2/P1N1QPPP/5RK1 b - -,c6b8
3rr1k1/pp2bppp/1q2p1n1/2pnN3/3P4/2PB3Q/PP2RPPP/2B1R1K1 w - -,c3c4
rnbqk2r/ppp1bppp/4pn2/3p4/8/1P3NP1/PBPPPP1P/RN1QKB1R w KQkq -,f1g2
r1bq1rk1/5ppp/p3pb2/1p1n4/3PB3/1QN2N2/PP3PPP/2R2RK1 w - b6,c3d5
1n2kb1r/1brppp2/p6p/P3P1p1/RN6/5N2/1PP1BPPP/3K3R w k g6,h2h3
r1b2rk1/p1R1ppbp/5np1/3p1q2/1P6/Q3PN2/PB1N1PPP/5RK1 b - -,g6g5
r3r1k1/pp3pp1/1qn4p/3p1b2/2pPnB2/2Q2NP1/PP2PPBP/R3R1K1 w - -,c3c1
r2q1rk1/pp3pbp/2n1p1p1/2Pp4/3P3n/1P2BB1P/P2QNPP1/R2R2K1 w - -,f3g4
r2q1rk1/pb2bppp/1pn1pn2/8/3P4/P1NBBN2/1P3PPP/R2QR1K1 w - -,d3c2
8/2p2ppk/p6p/P3N3/2b1P3/7P/5PP1/6K1 b - -,c4e6
rnbq1rk1/pp2ppbp/5np1/2Pp4/5B2/2N2N2/PPPQPPPP/R3KB1R w KQ -,f4h6:e1c1
3r2k1/4bppp/2q1p3/2n1P2N/1p6/1P6/PB2Q1PP/5R1K w - -,e2g4
8/1B4k1/6p1/p1p1p1r1/1pP1Pn2/1P6/1PKR4/8 b - -,g5g2
rnbqkb1r/pp3ppp/3ppn2/8/2PP4/P4N2/1P3PPP/RNBQKB1R b KQkq -,f8e7
rn1qkb1r/pp3ppp/2p2p2/3p4/3P4/2NbP3/PPP2PPP/R2QK1NR w KQkq -,d1d3
3rq1k1/pp2rpbp/n3p1p1/P1pp4/3P3P/2PNPQPB/1P2RP2/R5K1 w - -,h4h5
1rbq1r2/2p1ppk1/2np1np1/1p5p/3PP2P/2N2P2/PP1QN1P1/R3KB1R w KQ -,e2g3
r2qr1k1/1b1pppbp/p1n2np1/1p6/3P1B2/1BP2N1P/PP1NQPP1/R3R1K1 b - -,d7d5
5k2/R7/5P1p/4KP2/1r6/8/8/8 w - -,a7h7
8/5r1k/6r1/3Q4/7K/2P5/7P/2b5 b - -,f7f4
8/1pp4p/2np2k1/p7/P3P3/2P2N2/1P2B1K1/8 w - -,g2g3
6r1/p2k1p2/2p2p2/1p1p3p/1P1P3P/P1P1R1PK/5P2/8 w - -,f2f3
5rk1/2n1q1bp/pp2n1p1/2pp4/P4P2/5B1P/1PP3P1/R1BQ1RK1 b - -,e7d6
4k2r/2p1b1p1/1pp5/4Pp2/2P1N1P1/pP4K1/P7/3R4 w - -,g4f5
8/p1k3p1/4pp1p/8/7P/PR4P1/1P1K1P2/5r2 w - -,b3c3
8/r7/PR6/5k2/2B5/5p2/1P6/1K6 w - -,b6b7
rnb1k1nr/1pq2pbp/p2pp1p1/8/3NP3/3BB3/PPPN1PPP/R2Q1RK1 w kq -,c2c3
r2qr1k1/pp1bppbp/1nN3p1/8/4P3/2N3P1/PP3PBP/R1BQ1RK1 b - -,d7c6
8/p5bp/1p1knpp1/1P2p1P1/2K1P3/4BN2/2P2P1P/8 w - -,g5f6
r2q1rk1/3np1bp/p2p2p1/1p3p2/2PpPP2/1PNP2PP/PB4K1/1R1Q1R2 w - -,c3e2
2rrq1k1/p3np1p/2p1pbp1/1PR5/3PQ3/P3B3/4BPPP/2R3K1 b - -,c6b5
2k5/8/1r5p/p2RB2p/P1P5/6P1/1pb2P1P/6K1 w - -,e5b2
1r4k1/5pp1/4n1p1/1B6/1P6/b4NP1/5P1P/1R4K1 w - -,b5c4
2bq1r2/2n1ppbk/pr1p1npp/2pPP3/2P2B2/2N2N1P/1P1QBPP1/R3K2R b KQ -,f6e8
r4rk1/n1qbbppp/p3p3/3pP3/1PpP1P1P/P1B2N2/3QN1P1/R4RK1 w - -,d2c2
3r4/5pk1/5Q2/3P2p1/5PP1/3R4/6K1/8 b - -,g7f6
r2qk2r/ppp3bp/3pbnp1/3N4/2PpP3/1P4P1/P4PBP/R1BQK2R w KQkq -,c1g5
7r/pp2kn2/2p2nbb/4pB1p/7P/2N2PN1/PP6/2KRR3 w - -,c1b1
r4rk1/ppbn1pp1/2p1n1bp/4p3/1PN1P2B/2P4P/P2N1PP1/R2BR1K1 w - -,d2b3
6k1/1pN2p1p/p3r1p1/Pq6/1P1QP3/5P2/6PP/6K1 b - -,b5g5
rnbqk2r/pp3ppp/5n2/2bp4/8/3B1N2/PPP2PPP/RNBQ1RK1 b kq -,e8g8
r4b1r/3k1pp1/p3p1bp/N3Pn2/2p5/5N2/PP3PPP/R1B2RK1 b - -,a8c8
r4k1r/ppq1pP2/2n3pb/1Bp5/8/1QN5/PP3PPP/R3K2R b KQ -,c6d4
7k/7p/R2N4/8/4K3/PP2P3/n6r/8 b - -,h7h5
8/4n3/p1k1pp2/6p1/P2K2P1/8/3B1P2/8 w - -,d2a5
1rrq2k1/3b1pbp/pp1ppnp1/n1pP4/P1P5/1PN1PNPP/1BQ2P2/R1R2BK1 w - -,e3e4
2r5/2r1k3/1p1pnpp1/pP2p3/P1P1P1PP/1B5R/1K6/4R3 b - -,c8h8
rnbqkb1r/pp2p1pp/2p2n2/3p2B1/3P4/2N2N2/PPP3PP/R2QKB1R w KQkq d6,d1d2
1brk4/3q1p2/2p1p3/1pP1QpPp/1P1P3P/6B1/R6K/8 w - -,e5f6
8/2r1bp2/5k2/pRP2B1p/2K3p1/8/8/8 w - -,f5e4
r5k1/5qpp/3R4/4r3/3Q1N1P/5PK1/6P1/8 b - -,a8e8
1r3rk1/1b1P1p1p/p7/3N4/8/8/P4PPP/2R2RK1 w - -,d5f6
q3r1k1/3nppb1/1p3np1/r2P3p/1QPB4/p5P1/P2N1PBP/1R2R1K1 b - -,a5a4
2r2rk1/4b1pp/3pp3/4p3/p1PqP2P/3N2P1/PP2QP2/R3K2R w KQ -,e1g1
2r2rk1/3bnppp/p2qpn2/1p1pN3/3P1P2/P1N1P3/1P4PP/1BRQ1RK1 b - -,a6a5
rn1q1rk1/pp2ppbp/2p2np1/8/P2PN1b1/3B1N2/1PP2PPP/R1BQ1RK1 w - -,c2c3
r6r/4kppp/4p3/3pP3/p1pP4/P4R2/1P1R1PPP/5K2 b - -,f7f6
r2q3r/3nbpk1/2P1p1p1/p1ppPn2/3P1P1p/3B1Q1P/P3NBPK/R4R2 b - -,d7b8
8/2R4R/p6r/5p1k/7P/8/1PP3r1/1K6 w - -,h7f7
4k3/r5b1/p1bppp1r/1pq4p/4PN2/3B4/PPP3PP/1K1RQR2 b - -,c5e5
r1bqkb1r/pp3pp1/4p2p/3pPn2/1n1P4/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,b4c6
7k/4Q2n/p4r2/8/8/1P4K1/8/8 b - -,h8g8
3b1r2/6k1/3N2p1/p2Pp3/Pp4K1/1P2p3/2P5/4R3 b - -,f8f4
1nkrr3/1p2bpp1/p1qpb2p/2pn4/5BP1/2N2N1P/PPPQ1P2/2KRRB2 b - -,d5c3
r1b1qrk1/ppp1b1p1/3p3p/4np2/7P/2PBB2N/PPPQ1PP1/2KR3R b - -,e8a4
1rr1n1k1/5pp1/3p3p/pPqRp3/P3P3/1Q3P2/4B1PP/3R3K b - -,c5c2
2n2rk1/pp5r/2p1n1p1/2p1P3/2P2P1p/1P3B1P/P2RN3/5RK1 w - -,f3g4
4r1k1/p4r2/1q5p/1P1p4/P1p3Q1/6P1/2B2P1P/1R4K1 b - -,g8h8
1r4k1/pq3pp1/7p/4r3/1PR1P3/7P/2Q2PP1/3R2K1 b - -,a7a5
8/r3k2p/5p2/1R3p2/8/1P2P1PP/P4PK1/8 b - -,a7a2
3b2k1/5p1p/p6B/1p6/7P/PN3b2/1PK5/8 b - -,d8h4
