8/4N3/6RP/4p1kr/8/8/6K1/8 b - -,g5f4
r1bq1rk1/pp2pp2/2n2bpp/2pN4/8/3P2P1/PPPNPPBP/R2Q1RK1 b - -,f6b2
r1bqr1k1/4bppp/p1np4/1p6/4PB2/7P/PPB2PP1/R2QRNK1 w - -,a1c1
q4rk1/1rBnbp1p/4p1p1/P1p5/2B1P3/2R5/1P2QPPP/5RK1 w - -,c7g3
6k1/1p1n3p/p1p1p3/2PpPqpQ/3P4/1P6/P2NK1PP/8 b - -,d7f8
1r4k1/2q3pp/1n1bQ3/p2P4/P1pP1r2/1pP2PB1/1P5P/R3R2K b - -,g8f8
3r4/p7/4R1nk/3pP1p1/Pr4P1/7B/2R4K/8 b - -,b4b6
r3r1k1/p4ppn/qp1p1n1p/2pP4/4PPP1/2P2Q2/P2BbNBP/R5RK w - -,f3g3
1nk5/ppq1b1p1/7p/1PpNPp1P/5P2/P3B3/2P5/2KQ4 b - -,c7d7
r5k1/3b2pp/1q2p3/2bpP3/P5p1/4P3/P1R2NBP/3Q2K1 w - -,g2d5
r2qkb1r/pppn1ppp/4pn2/3pN3/6b1/1P4P1/PBPPPPBP/RN1QK2R b KQkq -,d7e5
1k4r1/p1qp4/Bp1bp3/n4p2/Q6p/P1P3NP/1P3Pb1/R2R2K1 b - -,g2e4
3r1rk1/q4p1p/6pb/p7/P7/1NP2Q1P/5PP1/1RR3K1 w - -,c1d1
1n6/2rnkbp1/1p1Rp2p/1Pp1P3/N4P2/4B1PB/7P/6K1 w - -,a4b6
5bk1/5p2/3Pp1pp/p1PnN3/8/1P5P/r5P1/2R4K b - -,a5a4
6q1/1k1rn3/bBn1R2p/P1Rp4/2p3p1/6P1/5P1P/3Q1BK1 w - -,e6e1
rnbqkb1r/p2p1ppp/4pn2/1PpP4/8/5N2/PP2PPPP/RNBQKB1R b KQkq -,f6d5:e6d5
8/2k2p2/7R/2n2P2/1pB3P1/2n5/7P/6K1 b - -,b4b3
3r1rk1/p1nq2p1/4p2p/1pp5/2Pb4/PPN1NR2/1BQ3PP/R5K1 w - -,f3f8
r4rk1/2pqbppp/p1np1n2/1p2p2b/3PP3/1BP1BN1P/PP3PP1/RN1QR1K1 w - -,d4e5
8/8/3kp1p1/3p2P1/bp1PpK2/3B1P2/P7/8 w - -,f3e4
4k2r/p3qpbp/2p1b1p1/1pP5/1P2P3/P1Nr3P/5PPN/R3QR1K w k -,e4e5
rnbqkb1r/pp2pppp/2pp4/3nP3/3P4/5N2/PPP1BPPP/RNBQK2R b KQkq -,c8g4
r1b1k2r/pp2ppbp/2n2np1/q2p4/3P4/1QP1B3/PP1NBPPP/R3K1NR w KQkq -,h2h3
r1b1kb1r/pp1n1p2/2p1pqpp/2Pp4/3P4/2N1PN2/PP3PPP/R2QKB1R w KQkq -,f1e2
r4r2/1ppb3k/3p1qpb/3Ppp1p/p1P1N2P/8/PP2QPP1/1K1B1RBR b - -,f5e4
1b4nr/1p3pk1/p1r1p1p1/3pP3/1P4PB/2PBPK2/1P6/R6R w - -,h4f6
4q3/R1b3pk/1p2b2p/1Pp1p3/4P3/N4r2/1N2QB1P/6K1 b - -,e8h5
1r1qr1k1/3b1pb1/n2P3p/pp4p1/2p1B3/P4NBP/1P3PP1/R2QR1K1 w - -,d1c2
8/1p2r1pp/p1k5/1P6/P1P3P1/2K2R1P/8/8 b - -,a6b5
r1b5/p4kp1/1p4n1/3pp2Q/1R6/P1q1B3/2P2PP1/5RK1 w - -,h5f3
3r1k2/p1rp1p2/1p1Rpqp1/8/2P4P/1P3BP1/P2QPP2/6K1 w - -,g1g2
3R1rk1/1p2b1p1/p7/5np1/2P2P2/1P3BP1/5B2/R5K1 b - -,e7d8
r2r2k1/1bpnqpbp/1p3np1/p3p3/P1B5/2P1PN1P/1PQN1PPB/R2R2K1 b - -,f6e8
3rrbk1/1b1n1p1n/p1qp2p1/1p2p2p/4P3/1BP1BQNP/PP3PPN/R3R1K1 b - -,d7f6
8/4k3/5p2/4p3/6Pp/3NKRbP/8/r7 w - -,f3f5
r3r1k1/ppqn1ppp/2p2n2/2b1p1Bb/4P2N/2N3PP/PPP2PB1/R3QR1K w - -,g5f6
3r4/2p4p/2p2pp1/1kR1N3/p3PP2/K3B2P/6P1/3r4 b - -,b5a6
rnbqkb1r/2p1pppp/p2p1n2/4P3/1p1P1P2/2N5/PPP3PP/R1BQKBNR w KQkq -,d1f3
r6r/P1k1p1bp/4Bpp1/4P3/4P3/4BP2/2K3PP/1R6 b - -,f6e5
1rqn1rk1/3bp1b1/p1Pp2pp/5p2/1pP5/4BNPP/PP2PPBK/2RQ1R2 b - -,d8c6
rnbqk2r/1pp1b1pp/3ppn2/p4p2/2PP4/1P4PN/P3PPBP/RNBQ1RK1 b kq -,e8g8
5r2/8/3k4/R7/3Np3/6K1/8/8 w - -,g3g4
r1bq1rk1/pppn4/4pn1p/3pNpp1/1b1P4/2N1PPB1/PPP3PP/R2QKB1R w KQ -,a2a3
6k1/6p1/4r2p/1p1pP1nP/6P1/P1B5/1P4K1/3R4 b - -,g5e4
r1bqkb1r/1p2pppp/p2p1n2/2p1n3/4P3/5N2/PPPP1PPP/RNBQRBK1 w kq -,h2h3
1r4k1/3PB3/pq5p/2p3p1/2Pb4/7P/P3Q1P1/5R1K w - -,e2f3
2r5/4nr2/kp6/pN5R/P5p1/2P1B1K1/1P3PP1/8 b - -,e7f5
8/8/rp2k2p/1R3ppP/pPP5/P7/4KP2/8 b - -,e6f6
r7/p2Rbr1k/2p1p2p/2B5/4p2P/8/PP2PP2/R5K1 b - -,f7g7
r1bq1rk1/3n3p/pp1p2p1/3Pppb1/1PP5/2NB1PP1/P1Q2B1P/R4RK1 w - -,a1b1
4r1k1/1p3pp1/7p/pP6/q2P4/r4PB1/4BP1P/2Q2RK1 w - -,c1c4
6k1/6b1/2p2Pp1/4p2p/p4n1P/B1P2P2/1PKN1Q2/7q b - -,g7f6
1r2rk2/2pp2Rp/1p4p1/pnnP4/8/1P3qP1/1B3PBP/5R1K w - -,g2f3
2q3k1/5p1p/2n2bp1/p1Bp1p2/P2PrP2/1P4P1/3R3P/3Q1R1K b - -,c8e6
1k1r3r/ppqbnpp1/4p2p/P2pP3/3P4/R2B1N2/2P2PPP/3QR1K1 b - -,e7c6
4r1k1/p2n1pbp/b1pp2p1/q3p3/2nPP3/1QP2NN1/P4PPP/1BB1R1K1 w - -,b1c2
bqr2rk1/4ppbp/pNnp2p1/8/2P1P3/1P2BP2/P2QB1PP/2R1R1K1 b - -,c8c7
8/8/7n/7P/4n3/5k1K/8/8 w - -,h3h4
rnbqkb1r/3n1ppp/p2pp3/1p4P1/3NP3/2N1B3/PPP2P1P/R2QKB1R w KQkq -,a2a3
2r1b1k1/1p4pp/4p3/1P2n3/p3P3/P1N3PP/4N3/5RK1 w - -,f1c1
8/4r1k1/1pqp4/4n1Pp/1pPP1r1P/8/1Q4R1/R6K b - -,f4h4
r1N2rk1/5pb1/5p2/4p3/p1P1PnQ1/5N2/1PB2PPP/5K2 b - -,f8c8
r1bq1rk1/pppnbppp/4pn2/3p4/3P4/1P1BPN2/P1PN1PPP/R1BQK2R w KQ -,f3e5
3r1r1k/1p1n2qp/pN2p1p1/2Pp1p2/1P1Q4/4P3/P1P3PP/R4RK1 w - -,b6d7
r1b2rk1/pp1nbppp/3qp3/8/8/2P2N2/PPBN1PPP/R2Q1RK1 w - -,d2e4
8/4N3/8/7r/1k1KR3/8/8/8 w - -,e7g6
r2q1rk1/1bp1bppp/p2p1n2/1pn1p3/4P3/PB1P1N1P/1PP1NPP1/R1BQR1K1 w - -,b3a2
r1bn1k1r/ppq2ppp/8/bB1pPp2/P2P4/1RP2N2/5PPP/2BQK2R b K -,a7a6
r1b2rk1/ppq1bpp1/2p2n1p/2n1p3/4P3/P1N2N1P/BPP1QPP1/R1B2RK1 b - -,c5e6
r1b2rk1/bpq3pp/p2ppp1B/4n3/1PP1Pn2/P1NB4/5PPP/2RQ1RK1 w - -,h6f4
1r3k2/6pp/2bN1p2/p1P5/4P3/5P2/P2R2PK/8 b - -,g7g6
r4rk1/pp2bpp1/5np1/1B1p4/3P4/4P1P1/1P1B1P1P/R3K2R w KQ -,e1e2
2r3k1/1p3pp1/1q2b2p/p2pPp1P/3P1P1N/Pn1QB3/6P1/5RK1 w - -,h4f5
r4rk1/pp3pb1/2n3pp/1n6/3P2PB/1B1bRN1P/PP1N1P2/R5K1 b - -,g6g5
5k2/pn3ppp/1p1qp3/8/1PPQ4/P4N2/5PPP/5K2 w - -,f1e2
8/4k2p/5Rn1/1p6/1P1B1P2/r3P3/4K2P/8 b - -,a3a2
4r3/1pp2k2/p2p2p1/3PbnPp/1PP4P/5R2/P2KNB2/8 w - -,d2d3
1nkr1bn1/p1p4r/1p3p2/1P2P1pp/2N5/2Q2NPq/PB2PP1P/2R1K2R b K -,f8c5
r2k3r/p5pp/2p1pn2/8/Nb2p3/8/PP2KPPP/R1B4R b - -,f6d5
1r1q2k1/p1pbrpp1/1bpp1n1p/8/3NP3/1PPB1P2/P2BQ1PP/4RR1K b - -,d8e8
1rr3k1/p3p1bp/3p1Bp1/qp4Q1/4b1P1/P4P2/1PP5/2KR1B1R w - -,f3e4
2q1r1k1/1p3pp1/p2pr2p/P2Np3/1PP1P2b/5R2/4QPPP/3R2K1 b - -,h4g5
r1q1k2r/p4p1p/3b1n2/2pQ2p1/2Ppp3/6P1/PP1PPP1P/R1B1K2R w KQkq -,d5d6
8/4Bp1p/1pp3k1/8/3bP3/P2K1P2/1P4P1/8 b - -,d4g1
