8/8/8/4kpPB/4pn2/8/5K2/8 w - -,h5e8
r1bq1rk1/p3ppb1/1pn3pp/1RpN4/8/3P2P1/P1PNPPBP/3Q1RK1 w - -,d5b6
3r3k/p5bp/1p1rQ3/1bp2p1p/3q4/PP1P2R1/4R1PP/7K w - -,e6e7
4r1k1/pp3p2/6pB/2pb4/6Pp/P5bP/2B1R3/6K1 w - -,e2e8
2rr2k1/5pbp/2q3p1/1p1np3/p7/2P2R1P/PP1NQPPB/4R1K1 b - -,f7f5
r4rk1/1b1n1p1p/pq2pbp1/8/2pPN3/4PN2/P1Q2PPP/1BR2RK1 w - -,c2c4
r4rk1/pp1nppbp/2pp1np1/7q/2PPP3/2N2NPb/PP3P1P/R1BQR1KB w - -,b2b4
8/5k2/1p6/p1bP2P1/P3RP2/1P2p1N1/3r4/6K1 w - -,g1f1
3rkb1r/ppq3pp/5p2/2p5/b3PP2/2PQ1N2/3P2PP/R1B2RK1 w k -,d3e2
8/p5k1/1ppn2r1/3p4/2PRp2P/4Nr2/P3R2K/8 b - -,f3e3
r1b2rk1/ppq1bppp/2p1pn2/8/2PPQ3/5NP1/PP3PBP/R1B2RK1 w - -,e4c2
5rk1/p2b1p2/P3p1p1/Qp2P2p/2rP1P1P/3R2P1/2PKB1q1/R7 b - -,f8c8
2b3k1/3nqp1p/pp1b1np1/3p4/3B1P2/1P1BPN1P/P3Q1P1/5NK1 b - -,d7c5
r1b2rk1/ppqn1pbp/2pp1np1/4p3/2PPP3/2N1BN1P/PPQ1BPP1/R4RK1 b - -,f8e8:e5d4
2k5/1pp1q1p1/p3pn1p/P3p3/2QrP3/6NP/1P3PP1/2R3K1 w - -,c4e2
r2qr1k1/1bp2pb1/p2p1npp/Pp1P4/1P1Bn3/R1N2N1P/B1P2PP1/3QR1K1 b - -,e4c3
rn1q1rk1/1pp1bppp/p1b1p3/3n4/P1QP1B2/5NP1/1P2PPBP/RN3RK1 w - -,f4d2
2qr2k1/pp2bppp/6b1/3pP3/6P1/1Q1nBN1P/PP3PB1/5RK1 w - -,f3d4
8/3b4/pp1p1k2/2rP1p1p/P1P1pP2/4P2K/1R4PP/2R5 b - -,b6b5
r1b1k2r/1pq2ppp/p2ppn2/2b1n3/3NP3/P1N1B3/1PP1BPPP/R2Q1RK1 w kq -,g1h1
1r4k1/2q4p/p2bp1p1/4npB1/4B3/1P4QP/5PP1/4R1K1 w - f6,e4b1
rn1q1rk1/pb4pp/3p1n2/2b1p3/1pP5/5NP1/1P1NPPBP/R1BQ1RK1 b - -,f6g4
3r4/5kpp/4p3/pB1nBp2/Pb6/5P2/5P1P/2R2K2 b - -,g7g5
1k6/1p6/p2pqP2/4p3/3nP3/4B3/P2Q1K2/8 w - -,e3g5
1rn2rk1/bpp2pp1/3pq2p/PP2pn2/2P5/1QN1P1P1/5PBP/R1B2RK1 w - -,c3d5
3rr1k1/p1p2ppp/4p3/1qpnP3/2p1QPP1/2B2R2/PP2P2P/R5K1 w - -,a1f1
3b4/3k4/5p1r/p2R4/Pp1P4/7P/1P2R1K1/8 b - -,d7c8
r1b1kb1r/pp3ppp/2nqpn2/8/2BP4/2N1BN2/PP3PPP/R2QK2R b KQkq -,a7a6
2r1k2r/2qbppbp/p2p2p1/1p1P2B1/nP2PP2/7P/2PQ2P1/2RNRBK1 w k -,c2c4
r1bk4/3B2b1/p2Qp2p/1p2n1p1/4q3/1R6/P5PP/3K1R2 b - -,e5d7
r2qk1nr/1p1n1pbp/p2p2p1/2pP4/P3PB2/2N2B2/1P3PPP/R2QK2R b KQkq -,g7e5
r5k1/1pq2rpp/p1b1p3/3p4/3B1P2/P2PQ3/1P4PP/2R2RK1 b - -,a8e8
6k1/5bp1/4p2p/3pB2P/3P1PP1/2R3K1/8/7r b - -,h1g1
3rk2r/pbq1npRB/1p2p2B/4P2p/2p5/2P3Q1/P1P2PPP/R5K1 w - -,g7f7
4r3/1r6/Rpkpp1p1/1RB2p1p/2P1PP1P/3P2P1/3K4/8 b - -,d6c5
3r2k1/3rq3/1p1pb3/pNn1ppp1/2P5/4QP1P/PP1R2P1/3R1BK1 b - -,e6f7
rnbqnrk1/pp2ppbp/2p3p1/3pP3/P2P4/1BN2N2/1PP2PPP/R1BQK2R w KQ -,h2h3
8/8/4p3/8/kR6/2BK4/8/7r b - -,a4a3
r1bqk1nr/ppp1ppbp/2np2p1/8/3PP3/2N5/PPP1BPPP/R1BQK1NR w KQkq -,c1e3
r2q1rk1/1bpn1ppp/pp1bpn2/3p4/2PP4/1PNBPN2/P1Q2PPP/R1B2RK1 w - -,c1b2:a2a4
r3r1k1/p5bp/qppBpnp1/6N1/3P4/2P1Q2P/P4PP1/R4RK1 b - -,g7h6
8/1p1n4/p2rp3/4p3/P3P3/1PKN1k2/8/4R3 w - -,a4a5
8/8/2p5/1PP2p2/2R1p1k1/4P1P1/1r6/5K2 b - -,b2b5
r4r1k/2pn3p/3p3b/3PppP1/pPq5/P3BP2/2BQ1R2/3R2K1 w - -,f2h2
8/8/P6R/7p/6pk/r7/5K2/8 b - -,a3a5
r1R5/1p1bkp1p/1p1bp1p1/nB1p4/P2P4/3NP2P/1P1B1PP1/2R3K1 b - -,a8c8
8/5p1k/1P4p1/8/3Qp3/6P1/2q2P2/4K3 b - -,c2b3
1r3r2/pp1qn1kp/4p1p1/2p5/3nP3/2NP2P1/P1PQ2BP/1R3RK1 w - -,e4e5
r2q1rk1/6pp/1p1p2n1/3Ppp2/pP1BP3/P2Q1P2/4B1PP/3R1R1K b - -,e5d4
2r1k2r/1bq1bppp/pn1pp3/1p4P1/2nNP3/1BN2P2/PPP1Q2P/1KBR2R1 w k -,h2h4
8/pq2r2k/1P2rbp1/P4p1p/1PQp3P/3R1PPN/8/3R2K1 b - -,a7b6
1r4k1/1nr1qpb1/4p2p/1Q4p1/2NPP3/6P1/PP3PP1/2KR3R b - -,b8c8
r1r3k1/1p2ppb1/1p1pbnpp/n7/3P1B2/P1P2N1P/1P1NBPP1/R3R1K1 w - -,e2d3
r3k2r/2q2pp1/2pb1np1/p1pp4/6P1/1P1PP2P/PB1N1P2/R2Q1K1R b kq -,e8g8
r1b3k1/4q1pp/p1n1pr2/1pnp4/5P2/2NB1N2/PPP2QPP/R4RK1 w - -,a1e1
r4k2/p4ppp/8/4P3/3p4/8/PR4PP/5K2 w - -,b2b7
r1bq1rk1/pp2ppbp/2np1np1/2p5/3P1B2/2P1PN1P/PP1NBPP1/R2QK2R b KQ -,c5d4
r1q1k2r/pp1bbpp1/2pp1n2/4n3/2PNP1Pp/2N1B2P/PPQ2PBK/R6R w kq -,c2e2
8/K5p1/5p2/P4P2/6kp/8/8/8 w - -,a7b8
1rb2rk1/p2nq1pp/4p3/1p1pPp2/3Q1P2/P2B2N1/1PP3PP/R4RK1 b - -,d7c5
rnbqk1nr/ppppppbp/6p1/8/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq -,d2d4:f1g2:c2c4
8/1p6/4knP1/2P1p3/1P2K3/8/8/8 w - -,e4d3
r4rk1/pR3pbp/n3p1p1/2p5/2NP4/5P2/P1P1NKPP/7R w - -,c2c3
8/8/1r2n1k1/3R2pp/8/5NP1/5P2/5K2 b - -,g6f6
8/1p1nkp1R/p5p1/8/4P3/1P1P3P/P1r3P1/6K1 w - -,h3h4
r4rk1/pp2qpbp/2p2np1/3pN3/1P1P4/P1N1P3/4bPPP/2RQ1RK1 w - -,d1e2
2krn2r/1b2bppp/1pnpp3/1Np3N1/2P2B2/6P1/PP2PPBP/R2R2K1 b - -,e7g5
r2q1rk1/pp2bppp/5n2/8/bPPp4/P5B1/2Q1BPPP/3RK2R w K -,c2a4
rnbqkbnr/ppp1pp1p/3p2p1/8/3P1P2/8/PPP1P1PP/RNBQKBNR w KQkq -,g1f3
8/1p6/p3k2p/3Nb1p1/1PPp4/P3p1P1/4K2P/8 b - -,b7b5
3rr1k1/pppq2pp/1bn5/5p2/4N2P/2PP1QP1/P1P2PBK/1RB5 w - f6,e4g5
2r1k2r/1b2ppb1/5np1/pq2n1N1/1ppBP2P/P4P2/1PP1BQ2/1NKR2R1 w k -,a3a4
1nbqr1k1/1p2bppp/2pp4/3Pp2n/1PP1P3/3B1N2/1B1N1PPP/Q4RK1 w - -,f1e1
r1b2rk1/2q1bppp/p4n2/npp1p3/4P3/2P2N1P/PPBN1PP1/R1BQR1K1 b - -,c8e6
1r3k2/2q1r3/1pPp2p1/pQ1Bnp2/P2B3p/1R5P/1PPb2P1/5RK1 w - -,c2c3
r2qk2r/ppp1nppp/2nb4/3p4/3P2b1/2PBBN2/PP3PPP/RN1Q1RK1 b kq -,e8g8
rnbqk1nr/pp3ppp/1b2p3/3pP3/1P6/P7/2P2PPP/RNBQKBNR w KQkq -,d1g4:g1f3
r1b2rk1/1pq2pp1/p1np1n1p/2b1p3/2P5/P1N2NP1/1PQ1PPBP/2BR1RK1 b - -,c8g4
1kr5/p1p5/4QBp1/4P2p/2P5/PP4q1/2KR4/8 w - -,e6d5
r1b2rk1/1pp1qpp1/7p/p1p5/2Pp4/P2P2P1/1P1QPPBP/4RRK1 b - -,e7d6
1q3n2/2p2pk1/2Pp1np1/3Pp3/4P3/Q2N1PPB/6K1/8 b - -,b8b1
6k1/1p3pb1/3P2p1/P7/Q1N1r3/1P2B2p/R2K1P2/5q2 b - -,h3h2
