8/8/8/2kpn3/8/2K5/2P5/1R6 w - -,b1b7
8/5p2/p3k1pp/1pn1p1b1/2p1P1P1/PPP2P2/2K1N2P/2N5 w - -,b3c4
2r2r1k/5ppp/3p4/2Bnp3/4P3/P4P2/6PP/5R1K w - -,c5d6
1r3r2/2q2bpk/5p1p/1pp1pP1P/p2pPn2/P2P1Q2/1PPB1PB1/5RRK b - -,f7h5
8/1Q2ppbk/3p2p1/1p1n3p/3q1P1P/5NB1/5PK1/8 b - -,d5f4
rn1qkbnr/p4ppp/bpp1p3/3pP3/3P1P2/3B4/PPP3PP/RNBQK1NR w KQkq -,d3a6
rn1q1rk1/pp1n1pbp/2p3p1/4pb2/2PpP3/NP1N2PP/PB1P1PB1/R2Q1RK1 b - e3,f5e6
8/6p1/3k1p2/3Pp3/r6P/1K6/p5P1/R7 b - -,a4a5
r4r1k/p1q3pp/1ppbpp2/3p4/2PPnPb1/4PN1P/PP2B1P1/2RQBRK1 b - -,g4h5
1r3r2/1p1n2kp/pN1Pp1p1/P1p1pp2/4P3/1R1RKP2/1PP3PP/8 b - -,f8d8
8/3b4/3k3p/5p2/pPB1pP1P/2K1P3/8/8 b - -,d7e8
2r2rk1/p6p/8/1PPp2pb/3qp3/Q5P1/1R4BP/4R2K b - -,d4c5
1r1q2k1/pp3p1p/2p2b2/3p2p1/3P4/2PQ2P1/PP3PP1/R4NK1 b - -,d8d7
8/2P5/1K2k3/7p/R6P/p7/2r5/8 w - -,a4a3
4r3/pppn2bk/2p1q1pp/2P1P3/1P2BB2/P5P1/5PK1/2Q1R3 w - -,f4h6
8/N2k2p1/2p4p/3b4/3P4/4K3/P6P/8 w - -,a2a3
N4rk1/1p3ppp/pB2b3/5n2/8/8/qP3PP1/2RQ1RK1 b - -,f8a8
8/pp4pk/6rp/5p2/2pP4/2P2N1P/PP4PK/8 w - -,f3e5
5rk1/5ppp/p1B1p3/1p2P1b1/n7/P5B1/1P1r1PPP/R3R1K1 b - -,d2b2
r1bq1rk1/pp3ppp/2nbpn2/2ppN3/3P4/1P1BP3/PBP2PPP/RN1Q1RK1 b - -,c5d4:c6b4
8/7p/1p3kp1/1Nb2p2/2r4P/4P1P1/P3RK2/8 w - -,e2d2
1r4k1/6pp/1pr1pp2/p7/2PP4/B1P1N1P1/5P1P/1R3K2 w - -,f1e2
8/4R3/P4R2/5bk1/8/8/3K4/r7 w - -,f6b6
2r3k1/pp2n1pp/8/1Q1p1PP1/3P2Pq/BP6/P5B1/7K w - -,h1g1
6k1/5rqp/2pr2n1/1p1p1R1Q/3N1P2/p1PP4/P1P5/2K3R1 w - -,f5f7
r4rnk/1q4pp/p2pBb2/2pPp3/2P3QP/RP4P1/3B1PK1/4R3 b - -,f6d8
3q1r2/1r5k/p5p1/P1pPNn1p/4pRP1/2Q1P3/5R1P/6K1 b - -,h5g4
2r3k1/pp3pp1/4p2p/3pPn2/7Q/3P1P2/PP4PB/4R1K1 b - -,f5h4
8/5Q2/8/1pK4p/7P/8/6k1/5q2 w - -,f7f1
r1bq1rk1/pp3pbp/2n1pnp1/2pp4/4PP1Q/1BNP1N2/PPP3PP/R1B2RK1 b - -,d5e4
2rr2k1/pp1b1ppp/2p1p3/2R1Nn2/3P4/P3P1P1/1P3P1P/2R2BK1 b - -,f7f6
1r1k4/p1r3p1/2p4p/2P5/1P2B3/4KPP1/P6P/1R6 b - -,c7e7
r3k2r/2pqbppp/2p1b3/3pP3/p7/1N1Q4/PPP2PPP/R1B1R1K1 w kq -,b3d4
rn3rk1/ppq1ppbp/1npp2p1/4Pb2/2PP1P2/2N2N1P/PP2B1P1/R1BQ1RK1 w - -,c1e3
r2r2k1/1b2qpp1/p4n1p/1p6/2pR4/P1N1PP2/1P1Q1BPP/3R2K1 b - -,d8d4
r5k1/1p2ppb1/6pp/2r1P3/2P1R3/p1P2NP1/P4P1P/R4K2 b - -,b7b5
rnbqk1nr/pp3pbp/3p2p1/2pPp3/2P1P3/5N1P/PP3PP1/RNBQKB1R b KQkq -,g8e7
4rrk1/2pbqpp1/p2b3p/1p1Pp3/8/1P2BN1P/1PP1QPP1/3RR1K1 w - -,c2c4
2r3k1/3Q1p1p/1p2p3/6p1/5P2/4P1P1/P2R2BP/2q1K3 w - -,e1e2
6k1/1qbn1ppp/4p3/3p4/2rNn3/PN2P1P1/1B2QP1P/1R4K1 w - -,b3d2
8/p3kp2/1pn2rpp/3R4/4P3/P3K1P1/7P/2R5 b - -,f6e6
3q1rk1/3nbp2/p3p2Q/3pP1p1/3P2P1/4B3/2nN3P/5RK1 w - -,f1f3
r1b2r1k/pp2Npbp/3pp1p1/n7/3pP3/3P2P1/PPP2PBP/R1N2RK1 w - -,e4e5
6k1/7p/p1pN2p1/3n4/R6P/1P4r1/P1P5/2K5 b - -,g3c3
8/p7/3k4/8/PP3p1p/2p5/4KPP1/8 w - -,f2f3
r2qkbnr/pp3ppp/2n1p3/2ppPb2/1P1P4/P1P5/4NPPP/RNBQKB1R b KQkq b3,c5d4
4r3/p2kr3/1bp2Q1p/5P2/5R2/7P/P4BPK/2Rq4 b - -,d1c1
2rr4/4kp1p/2np2p1/4p3/1p2PP2/P2RK2P/BP4P1/2R5 w - -,d3d5
2kr4/1p4p1/p1p1pbp1/1nP5/1P1P3R/4B2P/1PK2PB1/3R4 b - -,f6h4
r1bq1rk1/ppn3bp/2p3p1/3p1p1P/3P4/2PBN3/PP2NPP1/R2QK2R w KQ -,h5g6
1r6/5k2/5p1p/8/1p5R/3B2P1/2P1K2P/2b5 w - -,e2d1
r1bq1rk1/1p1nbppp/p3p3/4N3/3P4/1BP4R/P3QPPP/R1B3K1 b - -,g7g6
q3n3/4r1p1/1p1k1pB1/b1p1pN2/2P1P1Q1/6PP/5P1K/8 b - -,d6c7
r1nq1rk1/bb3p1p/p1np2p1/4pP2/Pp2P1Q1/1N1B2NR/1PP3PP/R1B4K b - -,d6d5
r3kb1r/1bqn1p2/p2ppp2/7N/1p1NPP1p/5QP1/PPP4P/2KR1B1R w kq -,f1d3
4r1k1/1Q1R1pp1/p3p3/3n4/8/2r2qB1/5P1P/4R1K1 w - -,b7a6
r1bqr1k1/1p1n1pb1/p4np1/3PpP1p/P1B5/2N3N1/1P4PP/R1BQ1RK1 b - -,d8b6
1k6/5Q2/pp5p/2q1p1p1/2P5/1P6/1KB5/8 w - -,f7g8
5rk1/2n2nbp/pr1p1qp1/2pP4/N3RP2/5B1P/1P1Q2PB/R5K1 b - -,b6b3
3rr3/pppq1pk1/2nn3p/3Q2p1/1P1Pp1P1/P1N1P2P/5PB1/2R1R1K1 b - -,c6e7
r2q1rk1/pp1b1pp1/7p/3R2N1/P7/8/1P1Q1PPP/R5K1 b - -,h6g5
1rr3k1/2q2pp1/4pP1p/3pP2Q/3Nn1P1/Pp6/1P5P/1K1RR3 w - -,f6g7
5k2/3R1p2/p7/8/3Pp2Q/4P1K1/1q6/8 b - -,b2b8
r2q1bk1/pp4p1/2n1B2r/2ppp1N1/8/1PP1PQ2/PBP2P2/R3K3 b Q -,h6e6
2q2rk1/5pb1/2PRp1pp/p7/1p5B/7P/PP3PP1/4QbK1 w - -,g1f1
5r1k/3b3p/3Qp1p1/r2pP3/1pp5/4R1NP/PP3qP1/4R1K1 w - -,g1h2
6k1/5p1p/1p3q2/2pP1p2/2Pb1P2/3Q1R2/4r1PP/2B1rR1K b - -,g8f8
3r1r1k/p3q3/1pQp3p/5np1/P2RP3/5PP1/1PP4P/3R2K1 w - -,e4f5
r1bqk2r/pp1n1ppp/4pn2/2pp4/2PP1B2/2Q2N2/PP2PPPP/R3KB1R w KQkq c6,e2e3
1r6/2pkn3/2n2pp1/p1Pp3p/3P1N1P/2PK2P1/3B1P2/R7 b - -,b8a8
8/p1p3pp/1p1p1k2/4rp2/2P5/1P2P1P1/P3KP1P/3R4 w - -,d1d4
3r2k1/5p1p/6p1/7r/1p2q3/pQn1PN1P/P1R2PP1/5R1K w - -,h1g1
4qrk1/5pb1/B5p1/2pp4/5P2/4N2P/PP1B3P/R3K1R1 w Q -,e1f2
r2q1rk1/p4ppp/bpnp1n2/2p5/2PP1P2/3BP3/P1QN2PP/1RB2RK1 b - -,c6b4
8/p6k/1p4r1/2pNb3/2Pn2p1/1PB2pP1/5P1K/R7 w - -,a1a7
8/3kb1p1/n6p/3B4/1P1N1pb1/1K1P4/3BP2P/8 w - -,b4b5
2r3k1/5p2/p2pp1p1/2qn4/1p2R1P1/3Q4/PPP4P/1K1R4 b - -,a6a5
4r2k/6pp/3r4/5b2/8/P1B1pP2/1PP1R2P/1K3R2 b - -,f5e6
r2qrbk1/ppp2pp1/6nP/3pp3/2B5/P2PPN1P/1PP3Q1/R3K2R w KQ -,f3g5
2bq1rk1/2r2pbp/1p1Q2p1/1Bn1p3/4P3/4BN2/PP3PPP/R3K2R w KQ -,d6d8
8/8/1n5p/1P1p4/2k3P1/2P1KP1P/8/8 w - -,e3d2
8/8/1p1rk3/2p2pp1/P7/1P1RK1P1/5P2/8 w - -,d3d6
5k2/5p2/1pK5/5N2/2P1P2p/7P/N7/7r b - -,h1h3
r3k2r/1p1q1ppp/p1pbp1b1/8/P1BP4/4PP2/1P2Q1PP/R1B2RK1 w kq -,e3e4
