8/p4r2/1pbP3R/4P3/5Bk1/6P1/PP6/4K3 w - -,e5e6
r2qr1k1/pp2bpp1/2p2n1p/3p1N1P/2nP1B2/2NQPP2/PP4P1/2R1K2R w K -,b2b3
2r2b2/2Pk4/2R5/5Npp/4K3/4P1P1/7P/8 w - -,e4d5
rnq1r1kb/pb2pp1p/1p1p1npB/2p5/2P2Q2/2NP1NP1/PP2PPBP/R4RK1 w - -,h2h3
1r3rk1/2p2p1p/3p2p1/2nNp3/p1Pn3q/5P2/PP1QPPBP/1R3RK1 b - -,d4e6
rnbqkb1r/ppp1pp1p/3p1np1/8/3P1B2/2P2N1P/PP2PPP1/RN1QKB1R w KQkq -,f4c1
6k1/1bp1rp1p/1n4p1/3qP1B1/4p3/6QP/1PB3P1/1N4K1 w - -,g5e7
r1bqk1nr/pp1nppbp/2pp2p1/8/P2PP3/2N1B3/1PP2PPP/R2QKBNR w KQkq -,g1f3
1rb1r1k1/2qnbppp/2N5/4n3/QP3B2/2pP2P1/5PBP/1R2R1K1 b - -,b8b6
8/p3rpk1/3r1n1p/R5p1/1R1p4/P2P1BPP/4PP2/6K1 w - -,b4a4
8/3R4/3ppkp1/P2P3p/4P2P/5PP1/r7/6K1 b - -,f6e5
rnb2rk1/ppp1bppp/3q1n2/3p4/3P4/P1N2N2/1PP1BPPP/R1BQ1RK1 w - -,f3e5
1r2r1k1/p1q2pbp/5np1/2pP1b2/2p5/P1N2N2/1P1QBPPP/R3R1K1 w - -,e2c4
r2q1rk1/1bpn1pbp/3pp1p1/p2nP3/3P1P2/2PB1NN1/P2B2PP/R3QRK1 b - -,b7a6
8/8/5k2/3p2pp/2pP4/p1P1K1P1/Pr3R1P/8 b - -,f6g6
8/5pkp/6p1/4p3/2q1P3/rpP4P/1R1Q1PPK/8 w - -,d2d6
r3r1k1/5p1p/6p1/1R6/1n2P1P1/pb2B3/P4PP1/1B1R2K1 w - -,d1d2
8/5p2/5Pkp/4P3/r4R2/4K2P/8/8 b - -,a4a3
8/5pp1/2k1p3/3nP1P1/1P1P1P2/5R2/5N1r/4K3 b - -,d5b4
r2qk2r/1p2bppp/p1n1pn2/3p4/3P1B2/2NQPN2/PP3PPP/R4RK1 w kq -,h2h3
6k1/pbr2p2/1p2nn1p/3p2p1/PP1P4/3B1PP1/7P/R3B1NK w - -,g1e2
r1bqkb1r/pppn1ppp/4pn2/6B1/3PN3/8/PPP1QPPP/R3KBNR b KQkq -,f8e7
3r2k1/5pp1/3qp2p/1pQ5/3P4/1b3PN1/6PP/R5K1 w - -,a1a8
2r2bk1/6pq/2r1pp2/3pB3/1p1P4/2P4P/1n3P1K/1N1QR1R1 w - -,d1e2
r2q1rk1/p2bppb1/2p3pp/3n4/1p1P4/N1PB4/PP1B1PPP/R2QR1K1 w - -,a3c4
8/5b2/2pB4/1pPk3p/p4K2/P1P2P2/6P1/8 w - -,f4f5
2r2r1k/4q1bp/p2p4/1pnP2PB/2pBPp1P/3n4/PP1NQ2R/5R1K w - -,d4g7
8/pp6/4k3/3pb1B1/1Pr5/P2R4/3K4/8 b - -,c4g4
r4rk1/pp2qppp/5n2/4p1B1/2BbP1b1/5N1P/PP2QPP1/R4RK1 b - -,g4f3
r1b2rk1/ppp1b1pp/3p4/3P1p2/3pP3/P2P2P1/1P3PBP/R1B1R1K1 b - -,e7f6
1r6/3nkppp/3bp3/p2p3b/1p1P4/1P2P3/1P1N1PPP/2R1BBK1 b - -,h5g6
7r/8/8/1k1Rp2P/4r3/pP6/P7/1KR5 b - -,b5b6
8/8/8/6R1/8/6KP/4p3/3r1k2 w - -,g5e5
8/6p1/1p1kbp2/p1p5/4BP1P/P1P2P2/1P3K2/8 b - -,e6f7
r2r2k1/p4ppp/5n2/1BB5/qp2P3/5P2/P1P2QPP/1K1R3R b - -,a4b5
2r3k1/5ppp/1p1q1n2/1Q1p4/P2Pp3/4P2P/5PP1/R4BK1 b - -,h7h5
2r1r1k1/1pp2ppp/3p4/p1bNnb2/1PP4q/P3P2P/1B2BPP1/R2Q1RK1 b - -,c5a7
r1bqrbk1/1p3ppp/pnpp4/8/3NPnP1/2N3QP/PPP2PB1/3RR1K1 w - -,g3f4
2br1rk1/2q2pb1/p1n4p/3p2pP/2p5/P4P2/1PPNNBP1/1R1QR1K1 w - -,d2f1
6k1/6pp/2p2r2/p2p4/P4r2/1P2RP2/2P3PP/5RK1 b - -,f4d4
8/6bp/8/8/8/1k1K3P/1p6/1N6 b - -,b3a2
2n5/1K6/4k3/8/4p1p1/4P3/7B/8 w - -,b7c8
r2q1rk1/1pp1ppbp/1nb3pB/p7/3PP3/1PN2N2/P2Q1PPP/R3K2R b KQ -,a5a4
5rk1/1p2b2p/2pp1n1q/1P3b2/2P1pN2/4P1PP/1Q2N1B1/5RK1 b - -,f6d7
1r1r2k1/5ppp/4pn2/pP6/Nq1P4/1P1Q2PP/5PK1/3RR3 w - -,b5b6
5rk1/4qp1p/p2b1p2/4p3/Pp3P2/1P2PQ2/1B4PP/2R3K1 w - -,h2h3
6k1/5p2/6pp/p3R3/6P1/5b1N/P3pK1P/3r4 b - -,d1f1
r2q2k1/1b1n1pp1/1p1bp2p/p2p4/P2P1N2/1P2PNP1/5PKP/2RQ1B2 b - -,d7f6
r4rk1/pp3ppp/3n4/8/3N2b1/8/PP1KPP1P/R4B1R w - -,e2e3
r6r/p1pnkp2/1pq1p1p1/P3P2p/2NP1P2/3Q4/2P3PP/R4RK1 b - -,h8d8
2b3k1/6r1/p2rq2p/3p4/2pP1R2/2Q5/P1B2PPP/4R1K1 b - -,e6d7
8/4n1p1/3k1p2/6p1/3PB1P1/4K2P/5P2/8 b - -,e7c8
r2q1rk1/p2nbppp/bpp1pn2/3p4/2P5/1PNP1NP1/PBQ1PPBP/R4RK1 b - -,a8c8
4rr1k/pp1q3p/2np2p1/2pB4/P4P1b/2PP1QPP/1P1B4/R4RK1 b - -,h4f6
r3k2r/pp2bppp/2n1b3/2P5/8/2P2N2/P3BPPP/R1Bq1RK1 w kq -,f1d1
r2q1rk1/pppbppbp/2n3p1/7n/2QPP3/2N1BN2/PP3PPP/R3KB1R b KQ -,d7g4
b2r1bk1/5p1p/1q4p1/1p1p2P1/1P1n4/2R1Q3/2P3BP/3R3K b - -,f8g7
rn4k1/p2q1ppp/1p1b4/1R1p4/3P2b1/2PB1N2/P4PPP/2BQ2K1 w - -,h2h3
r1b1kb1r/pp1n2p1/2n1pq1p/3p4/3P4/3B1N2/PP2NPPP/R1BQ1RK1 b kq -,f8d6
8/1R6/8/p2r3p/kb2KP2/7P/8/8 b - -,d5d1
6k1/8/p2p2p1/1r3p2/2p1b3/2P4R/PP3KPP/2B5 b - -,b5d5
r4r1k/bpp2qp1/p1npB2p/4p1Bn/1P2P3/P2QNN1P/2P2PP1/R4RK1 b - -,f7e6
5kr1/4b3/p1r1p2p/3pBbp1/3P4/2P5/PP1N1P1P/2KR2R1 b - -,f8f7
rn1q1rk1/pp2b1pp/4p1p1/3pP3/P2P4/3NQ3/1P1B1PPP/R4RK1 b - -,b8c6
r1b2r2/1pq2pkp/p5p1/3Rp3/2P5/P5P1/1Q2PPBP/R5K1 b - -,f7f6
2r1r3/1p1b1pbk/p2p1npp/3Np2q/2PBP3/1P1B1P2/P4QPP/2RR3K w - e6,d4b2
2r3k1/p2q1ppp/1p5r/2p5/3p4/P2P2P1/1PR1PPKP/2R4Q w - -,b2b4
3r1r1k/bBnb2pp/p2R1p2/1pp5/4P3/2P1BN2/PP3PPP/4R1K1 w - -,e1d1
5k2/p2nN3/1r4pp/3p1p2/8/1P3P1P/P5P1/4R1K1 w - -,e7d5
5rk1/5pbp/2np4/q1pR1p2/8/2N1P3/1PQ1KPPP/r4B1R w - -,d5d2
r2q1rk1/ppp1b1p1/4p1p1/3nP3/6P1/5N1P/PP2QP2/R1BR2K1 w - -,c1e3
r2q1rk1/ppp1np1p/6p1/4p3/N7/1P1bP3/P1P2PPP/R2QK2R w KQ -,d1d3
r1bqk2r/ppp1nppp/3p4/8/3bPP2/2NB1Q2/PPPB2PP/R3K2R b KQkq -,e7c6
r4rbk/ppqnb1pp/4p3/3pP3/2pN1PP1/P1P1B2B/1P5P/R3QRK1 b - -,d7c5
8/5pk1/4p1p1/4P1P1/p1Pp1P1p/5Q1P/2N5/1q1K4 w - -,d1d2
r1r3k1/5p1p/p1nq1p2/1p2p3/6P1/2P1BP2/PP1N3P/1K2Q2R b - -,d6d3
8/6pk/1pn1q2p/p2pp3/P7/4Q2P/1P2RPPK/8 b - -,e5e4
r1bq1rk1/pp1nppbp/3p2p1/1Bp1n3/P3P3/2NP1N1P/1PP2PP1/R1BQR1K1 w - -,f3e5
r4qk1/7p/p1p2Pp1/1pbp1n2/8/1BP2Q2/PP3PPP/R3R1K1 b - -,f5d6
8/pp1R4/4r3/3Nb2p/P3k3/1P5P/5PK1/8 w - -,f2f3
2rr2k1/p4pp1/Qn4qp/1Npp4/8/P1R1P3/1P3PPP/2R3K1 w - -,b5a7
r1b1k2r/ppp1qppp/2p2n2/2b1p3/4P3/1P1P1N2/P1P2PPP/RNBQK2R w KQkq -,c1b2
1kr1b2r/1p2bp2/p3p3/2Np1p2/PP1P1P1p/2P2R2/6PP/R4BK1 b - b3,h8g8
