1R6/6pk/p1r4p/7P/6K1/8/1P6/8 w - -,g4g3
5rk1/q5p1/2n4p/1p2p3/1Pb1Q3/P3n1PB/5N1P/4R1K1 w - -,e4e3
4rbk1/6p1/1Nn4p/8/3p1B2/P6P/1P6/5RK1 b - -,f8c5
r1bq1rk1/pp1nbppp/2p1pn2/3p4/2PP1B2/1Q3NP1/PP2PPBP/RN3RK1 b - -,d5c4:a7a5
8/p1q4k/1p1nB1p1/3P2P1/5QK1/P4P2/1P6/8 b - -,c7c5
r4rk1/3bq1b1/p2p2p1/3PppQ1/P7/1P6/1P2B1PP/R1B2R1K b - -,e7e8
2b5/p1k3pp/2p1p3/1r6/2R1NP2/1P2K3/P5PP/8 w - -,e4c5
1r3rk1/1p1b1ppp/p2pp3/7q/PbPNN1n1/1P1Q2PP/4PPB1/2RR2K1 b - -,g4e5
r1bqnrk1/1pp3bp/3p4/p1nPpp2/2P1P3/2N1BN1P/PPQ1BP2/R3K2R w KQ -,e3g5
r2q1rk1/1b2ppbp/1p1p2p1/p1n5/2P1P3/1PN3P1/P2Q1PBP/R1B1R1K1 w - a6,a1b1
2r1bbk1/ppq2p2/2n1p1pp/3rP3/4Q2P/1BP1BN2/P4PP1/2R1R1K1 b - -,d5a5
r5k1/p5bp/1q4p1/3p4/4p1b1/Pp1p3P/1P1Q2P1/R4R1K w - -,h3g4
8/7p/2p2bp1/p3Np2/PkP2P2/3K3P/5P2/8 b - -,c6c5
1r4r1/1p6/p1nbp2k/3pNpq1/3P1R2/4P1PP/PP2Q2K/2R5 w - -,e5f7
4r1k1/1r2pp1p/1np2np1/q3b3/p1P5/P1N2R2/1P4PP/2QBR1BK w - -,c4c5
r2qk2r/ppp2ppp/5n2/2p1p3/4P1b1/1P1PBN2/P1P1nPPP/R2QK2R w KQkq -,d1e2
r3r1k1/1b2ppbp/pqn2np1/3pN3/1p1P1B2/1BP2N1P/PP2QPP1/R3R1K1 w - -,e5f7
r2q1rk1/5pp1/p6p/1p1nN3/2pP4/b1P3B1/P1Q2PPP/R2R2K1 b - -,d8a5
r1bq1rk1/ppp2ppp/2n2n2/3p4/Q1PN4/P1B1P3/1P3PPP/R3KB1R b KQ -,c6e5
r3r1k1/p1pb1ppp/2p2q2/3pp3/2P1nP2/B1P1P3/P1QPB1PP/R4RK1 w - -,d2d3
8/4b2R/5kp1/3r4/7P/5K2/8/8 b - -,d5a5
3n2k1/3n2p1/4ppp1/1r1pP1N1/5PrP/2P1R1B1/8/4R1K1 w - -,e5f6
8/5p1p/6r1/pk2P1P1/1p1B3R/1P1K4/2P5/8 b - -,g6g5
3r2k1/1q2bppp/3p4/4p3/1PB5/1Q2PN1b/5PP1/2R3K1 b - -,d6d5
8/8/8/pp1k4/8/P7/1PK4r/2N5 w - -,c2c3
8/8/8/8/8/5k2/5p1K/R3r3 w - -,a1a3
r2r1bk1/1b1n3p/pq2ppp1/R2p4/BP1P4/4P1P1/3N1PP1/1QR1N1K1 w - -,e1d3
r1b2rk1/2q1n1bp/p3p3/2ppP1P1/1pP3P1/6KP/PP2Q1B1/R1B1R1N1 b - -,e7g6
r1b2rk1/pp2ppbp/2n3p1/q7/3P4/Q1P2N2/P3BPPP/R1B2RK1 w - -,a1b1
r1bqr1k1/1pp3bp/6pn/pNpPpp2/2P1P3/5NP1/PPQ2PBP/3RR1K1 b - -,f5e4
r3k2r/np1n1p1p/2b1p1p1/p2pP3/Pq1P1P2/1PNB1N2/Q5PP/R1R4K b kq -,e8g8
1r2kb2/pq1n1pp1/1p1p1r2/2p3pP/Q1PPp1P1/B1P1PP2/P2KB3/1R3R2 w - -,f3e4
r1q2rk1/4ppbp/p3bnp1/1pn5/4P3/2N2N2/PPQ1BPPP/R1BR2K1 w - -,f3d4
6k1/1b3p1p/1p2p1p1/p2p4/P2P1PP1/2r5/3n2KP/1RNB4 b - -,d2b1
r1b3k1/1p1nrpbp/2pq2p1/p2p4/3P4/P1NBPN1P/1PQ2PP1/2R1R1K1 b - -,f7f5
r2qkb1r/1p3ppp/p1n1pn2/3p4/3P1Bb1/P1N1PN2/1P3PPP/R2QKB1R w KQkq -,f1d3
2r2rk1/1p2b1np/pB2p3/4Pp2/P5p1/2N5/1PP3PP/3R1R1K b - -,f8f7
4qrk1/pb4p1/1p1n4/2p2p2/2P2P1p/P2B1N2/2Q1r1PP/4R1K1 w - -,e1e2
8/1p2k1pp/2p1n3/p2rPp2/P2P1P2/1P2KN2/7P/2R5 w - -,c1c4
2rq2k1/p2n2r1/Qp2p3/3pPp2/3p4/1P2PNb1/PBP5/R4R1K w - -,a1c1
3b4/8/6Bp/4k1p1/P3P3/5K1P/8/8 b - -,d8a5
r2r4/2pnk1pp/p3np2/Rp2p3/1P2PP2/1P2N1P1/2P1NK1P/7R b - -,c7c5
3r4/p1q1kp2/b3p2p/1ppP2p1/P1p1P3/2P3P1/2Q1BPP1/1R4K1 b - a3,b5b4
r1bqk1nr/pp1p1pb1/2n1p1pp/1N6/2Pp3P/5NP1/PP2PPB1/R1BQK2R b KQkq -,d7d5
6k1/3qppbp/1n1p1np1/rPpP4/4PP2/1QN2N2/1P1B2PP/5RK1 w - -,e4e5
7r/p3k3/1pb2n2/2p3pp/1PP1p3/P1N1P2P/4B1PK/3R4 b - -,h8d8
6k1/p4p2/5Qp1/8/2P5/4P2P/6PK/3q4 b - -,d1d7
1k1r4/1ppr1pp1/p1p1qn2/b4P2/6P1/P1NP2QP/1PPB4/1K1R3R b - -,e6e7
r4rk1/ppp2ppp/3q4/8/3p4/2P2Q1P/PP2RPP1/R5K1 w - -,c3d4
r2qk2r/pp1n1ppp/2p1p3/5b2/2PP1b2/P4N2/1P2BPPP/RN1Q1RK1 w kq -,b1c3
rq4k1/pb2bp1p/4p1p1/2P1P1N1/Q7/5N2/1P1r1PPP/4R1K1 w - -,f3d2
r2r2k1/4q1b1/p5p1/3b1p2/3PpP2/1p2P3/3Q1P2/B2RKBR1 b - -,e7e6
3r3k/1b4p1/p6p/3BQp2/1qP4P/p5P1/4R3/2K5 b - -,b7d5
4r1k1/6pp/p1n1q3/1p3p2/3prP2/P2Q3P/1PPB2PK/4RR2 b - -,g8f7
1r3rk1/4p2p/p5p1/2Pbbp2/8/2N3P1/PP3P1P/2RR2K1 w - -,d1d5
3r2r1/pkpp2pp/bnp2p2/4P3/2P1N1Q1/qP1B4/2K2PPP/3R3R w - -,d1a1
8/3b1p2/5P2/p3P1pR/P1K2k2/8/7P/8 w - -,c4d4
r4rk1/1p5p/4b1p1/p2p1n2/3q1P2/1P1B2P1/PQ1B3P/1R3R1K w - -,b2d4
r2q1rk1/pb2ppbp/1pnn2p1/3p4/3P1B2/2PB1N2/PP1N1PPP/R2QR1K1 w - -,h2h4
r2q1rk1/pppnbppp/5n2/3p4/3P1Bb1/3B1N1P/PPPN1PP1/R2Q1RK1 b - -,g4h5
8/4pk2/8/p3rp1p/1p6/1PbKBPPP/P7/3R4 b - -,e5e6
8/5pp1/p3r1k1/BpR4p/1P6/7P/1b3PPK/8 w - -,h2g3
rn3rk1/ppqb1pbp/3p2p1/2pP3n/4PB2/1QN5/PP1N1PPP/R3KB1R w KQ -,f4e3
5q1k/6pp/2Q5/pp1B4/1b6/1P4P1/P3PP1P/6K1 b - -,b4c5
r4rk1/5pbp/pR1p4/5p1n/3P4/4BN2/5PPP/2R3K1 b - -,a6a5
r5n1/pp1bk1b1/2n1p1Bp/3p4/3p4/5P2/PP4PP/RNB1K2R w KQ -,c1f4
8/4k1p1/1p1q3p/p1n2p2/P1P2P2/1P3Q2/5B1P/5K2 w - -,f2c5
r2qkb1r/1b1n1ppp/pn1p4/1p2pPP1/4P3/PNN1B2P/1PP5/R2QKB1R b KQkq -,b6a4
rn2rbk1/pp5R/1q2b1p1/2p1P3/3p2P1/2NBBP2/PPPQ4/R3K3 w Q -,d2h2
8/1K6/1P2pkp1/R6p/7P/8/8/1r6 w - -,b7c6
1r1qk2r/1ppb1pb1/p1n1pnpp/8/B7/2NP1PQ1/PPPBN1PP/R3K2R w KQk -,e1c1
8/8/5pp1/2bkp2p/2N5/5PK1/7P/8 w - -,c4d2
2b2r1n/r5pk/p4q1p/1p1pNp2/2pP1P1P/2P2P2/PP3QRK/1B4R1 b - -,f8g8
1nbb3k/6rp/rq1p1p2/p1pPp1p1/2P1P1P1/RP1BNN1P/2Q2PK1/R7 b - -,a6a7
2r3k1/6pp/p1p2pb1/3n4/2pN2P1/8/P1P2BPP/4R1K1 w - -,h2h4
5B2/1p6/5k1p/1B4p1/P2b1p2/5P1P/1rb3P1/2R2K2 w - -,c1e1
4k3/pp4p1/2b1p1Np/4P2P/8/P3P1K1/1P3R2/2r5 w - -,f2f8
2R5/q5pk/4pr1p/pp5P/5N2/6P1/1PQ1P2K/8 b - -,f6f5
6r1/5k2/3b1p2/7p/p1pPp2P/4P3/PKR5/4B3 w - -,c2c4
rnbq1rk1/pp4pp/2pbpn2/3p1p2/2PP1B2/2N1P2N/PPQ2PPP/R3KB1R w KQ -,f1d3
rn2k1nr/pp1qppbp/3p2p1/2p5/4PP2/2N2N2/PPPP2PP/R1BQ1RK1 b kq -,b8c6
8/4n3/4kp2/7p/K7/8/3B3P/8 b - -,e6d5
r1bqk2r/1pp2ppp/3p4/2bNn3/1PP5/4P3/1B3PPP/R2QKB1R b KQkq -,a8a1
