8/8/3k4/PK1n4/1P6/8/8/8 b - -,d5b4
r4Bk1/ppp2q1p/5p2/1B1pnb2/8/8/PPP2PPP/R2Q1RK1 b - -,a8f8
1B4b1/p5b1/Bp2n1p1/3k1p2/4p3/6P1/P4P2/5K1R b - -,e6c5
r3k2r/p1p1q1pp/2p1bp2/2bp4/5Bn1/3B3P/PPP1QPP1/RN3RK1 b kq -,g4e5
2r3k1/pb2q1pp/1p1n1p2/4rP2/P2RPQ2/1P1P4/6BP/2R2NK1 w - -,c1c8
r4rk1/1b1qppbp/p5p1/1p1Pn3/3NP3/1Q2B3/P3BPPP/R4RK1 b - -,f8c8
1r4kr/5p2/p2BpPpp/3p4/b4P1Q/1P1P2RR/1P2K2P/2q5 b - -,c1b2:c1c2
r5k1/p1qn2pp/bpp1pr2/3p1p2/2PP4/1QP1P1P1/P2N1PBP/R1R3K1 b - -,a8c8
r7/5k1p/P5pB/1p1R3n/1p6/5P2/1P2r2P/R6K b - -,e2b2
8/5k1r/p1R2p1P/1p2p3/5BP1/5K2/P4P2/8 b - -,e5f4
8/4kppp/8/8/PR2K1P1/7r/8/8 b - a3,e7f6
r3k2r/p1pq1ppp/1bb1P3/2p5/3p1P1B/5N2/PPPQ2PP/R4RK1 b kq -,f7e6
3r4/4k3/1prpn3/5p2/2P1bP2/B2BR3/2P5/2KR4 b - -,e4d3
r2r2k1/ppq1b1pp/2n1pn2/4p1B1/7P/PNN1P3/1PQ2PP1/1K1R3R b - -,d8d1
r1bqr1k1/bpp2ppp/p1n2n2/3pp3/B3P3/2PP1N1P/PP1N1PP1/R1BQR1K1 b - -,b7b5
r2q1rk1/p1n1ppbp/1p1p1np1/2pP4/P1P1P1b1/2N2NP1/1P3PBP/R1BQ1RK1 w - -,h2h3
1r1r2k1/pp1qppbp/3p2p1/8/2P3n1/1PN2QPb/P2BPP1P/2RR2KB b - -,g7d4
r1bq1rk1/pp2bppp/2np1n2/4p3/2B1P3/2N1BN2/PP2QPPP/R2R2K1 w - -,b2b4
kb2R3/1p6/1Pp5/2P2p2/P7/8/8/1K6 w - -,b1c2
r1q1r1k1/3b1pb1/np1p1n1p/p2Pp1p1/2P5/PP2N1NP/2BB1PPK/1RQ2R2 b - -,e5e4
5rn1/2p5/1p1p2k1/p2P1Rp1/2PK2P1/5B2/PP6/8 w - a6,b2b3
r4rk1/1p4bp/pq1p2p1/3Pp2n/4N3/3N2PP/PP3P1K/R2Q1R2 b - -,h5f6
r2q1rk1/pb1nppbp/1p1p1np1/3P4/3NP3/2N1BP1P/PP2B1P1/R2Q1RK1 b - -,d7c5
6k1/2p3pp/6p1/R7/3Pnp2/P4N1P/2P2PPK/1r6 w - -,f3g5
r1bk1bnr/pppn2pp/5p2/4p3/8/2N1B3/PPP1PPPP/2KR1BNR b - -,c7c6
rn2r1k1/1p2bppn/3pq2p/pP1Np1P1/2P4P/P3PQ2/1B2BP2/R3K2R b KQ -,e7d8
rnbqkb1r/pp3pp1/4pn1p/2pp4/2PP4/5NP1/PP2PPBP/RNBQK2R w KQkq c6,c4d5
r2r4/5k2/2p2Np1/3p1bPp/1b1B4/pP3P2/2P1R2P/K3R3 w - -,c2c3
r7/4kpbp/p2p4/4p3/1P2K3/p5P1/P4P1P/2R4R w - -,e4d5
rn1q1rk1/pb2b1pp/8/2ppNp2/4n3/1P4P1/PBQ1PPBP/RN3RK1 w - -,b1c3
8/B7/5b2/6p1/p5P1/3Kpk2/8/8 b - -,e3e2
2q2rk1/2rnpp1p/6p1/3p4/2Bb4/Q3P3/PP3PPP/R1B2RK1 b - -,d4c5
r5k1/1p3pp1/7p/pqrp4/3Q4/1P2P1P1/P4PKP/R2R4 w - a6,a1c1
8/2b2pk1/2P3p1/1P5p/P2pP2P/6P1/1r3P2/5RK1 w - -,f1a1
RR3n2/5Pk1/6p1/P3p2p/8/5nP1/r7/4K3 w - -,e1d1
r4rk1/pp2bp2/2p2n1p/6p1/4P3/2NnBBPP/PP3P2/R4RK1 w - -,f3e2
r2q2b1/ppp3k1/3p1pp1/P2r4/3Q3N/3B1N2/P1P2PPP/5RK1 w - -,d4g4
6k1/4bpp1/b1n1n2p/3pP2P/5BP1/1pP2NKB/rP2QN2/1R6 b - -,a6e2
8/2k5/p7/2P5/3K4/8/P1P5/8 w - -,d4d5
1kr5/5p1p/4pP2/Pn2P2Q/2p5/1p2q1P1/6BP/5R1K b - -,e3a7
7R/5k2/5pp1/3p3p/3P3P/4PKP1/r4P2/8 w - -,h8h7
8/2nR1pk1/p5p1/2p5/1p4P1/8/5bK1/8 b - -,f2d4
2r5/1r4k1/1p1p2p1/1P1N1p2/2P1np2/4P3/2R1K1P1/R7 w - -,e3f4
2R4k/3qp1bp/1p3pp1/pP1b4/P2P4/3BB3/3Q1PPP/6K1 b - -,d7c8
8/5p2/5n1p/Pk2K3/8/8/8/8 b - -,f6d7
8/8/1k6/1p1K2pB/8/2p5/5b2/8 w - -,h5d1
r2qrn1k/pb2b1pp/8/2ppN3/8/1P1B3Q/P4PPP/R1B2RK1 b - -,b7c8
r2q1r2/1p2npbk/4b1pp/1N1pp3/1RP5/3P1NP1/4PPBP/2Q2RK1 w - -,f3d2
r4rk1/pp1qbppp/3p1N2/2p1n2b/P3P3/3P3P/BPPB1PP1/R2QR1K1 b - -,e7f6
8/7p/2b1n1k1/R4p2/P2np1pP/2N3P1/4BP2/5K2 w - -,e2b5
2rqr1k1/pb2bppp/1pnppn2/2p5/P3P3/2PP1NP1/1P1NQPBP/R1B1R1K1 w - -,b2b3
r6k/7p/2Rp4/P4p2/3b4/8/3B1PPP/5K2 b - -,d4c5
1rb1r1k1/5pbp/p2p1np1/2pP4/2R5/1qN3PP/1P2PPB1/2BQ1RK1 w - -,d1b3
6k1/pp3ppp/2q1p3/8/3PpB2/bP2P2P/P3QPP1/6K1 w - -,e2c4
r2q1rk1/pp2p1bp/2p2pp1/3p4/2PPn1b1/1P1BPN2/PB3PPP/R2QR1K1 b - -,e7e5
1r3rk1/pp1qnpb1/4b1pp/3p4/3Pp3/1QN1P1P1/PP1N1PBP/2R2RK1 w - -,b3b5
rn1q1rk1/pb3npp/1p1pp3/2p1Pp2/2PP4/2PB1P2/P1N3PP/R1BQ1RK1 w - -,f3f4
8/4bk2/8/p2P1Kp1/3N1p2/8/PP6/8 b - -,e7f6
2k2b1r/pp1rp1p1/2p3qp/5p2/NPP2PPB/8/P3Q2P/2R2RK1 b - -,e7e5
4rbk1/5p1p/5Qp1/1p1PP3/3q1P2/7P/P5P1/5RK1 w - -,g1h1
rnbqk1nr/pp2ppbp/6p1/1BP5/3pN3/5N2/PPP2PPP/R1BQK2R b KQkq -,b8c6
8/5p2/4pk2/2p4p/3bPPpP/6P1/R3K3/8 w - -,e2d3
5k2/1r3pp1/3p3p/3Pp3/1P2P2P/2P3P1/4KbB1/5R2 b - -,f2g3
8/3k4/8/1p4r1/pP1K3R/P7/8/8 b - -,d7c6
r2qkn1r/1p2bpp1/p1p2np1/3p4/3PP3/2NB1QP1/PP3P1P/R1B2RK1 b kq -,d5e4
4r1k1/pq3pbp/2P3p1/4p3/Q1Pp4/B5PP/P4PK1/R3n3 w - -,a1e1
rr2n1k1/5ppp/p2np3/3p3b/N2P3N/2RBP2P/P4PP1/5RK1 w - -,f1c1
8/pk5p/8/4ppp1/PK6/4B1P1/2r2P1P/8 w - g6,b4b3
rn1qkbnr/pp3ppp/4p3/1bpp4/4P3/1P6/PBPPQPPP/RN2K1NR w KQkq -,e2b5
r5k1/pb2qpp1/1p2p2p/4N3/2B1N2P/b3P3/2Q2PP1/1K1R4 w - -,f2f3
2r1r1k1/p3qp1n/1p1p1npb/2pPp2p/2P1P2P/PPBN1PPN/4Q1K1/1R5R b - -,e7d7
8/8/8/6p1/5p2/4k2K/1r2n1B1/4R3 w - -,h3g4
5rk1/1p2b3/pB2Nq2/P2pnn2/R5p1/6P1/1P2QPB1/6K1 b - -,f6e6
6rb/pp2k3/2npbn2/1B2p3/8/P1N1p1P1/1PP3PB/2K2N1R b - -,f6g4
8/2k5/3p4/1pnPpN2/2p1Pn2/2P2P2/1PB5/2K5 b - -,f4e2
1k1r3r/ppq2p1p/4p2p/3nP3/3P2P1/8/PP1Q4/1K1R1B1R w - -,h1h6
b2r4/p1r3k1/4p1p1/N1p1bp1p/PpB5/1P1PP1PP/2PNnK2/4R3 w - -,e1e2
rnbqkbnr/1p2pp1p/p2p2p1/2p5/4P3/2N2NP1/PPPP1PBP/R1BQK2R b KQkq -,f8g7
r4rk1/p2n1ppp/b2bpn2/qp1p2B1/3P4/PNN1P3/1PQ2PPP/1KR2B1R b - -,a5b6
rn2kb1r/pp3ppp/4pn2/1q1p2B1/3P4/2P2N2/PP1N1PPP/1R1QK2R w Kkq -,d1b3
