8/r7/P1B2k2/1p3p1p/1K6/4P3/4b3/R7 w - -,c6b7
6k1/5pp1/8/p7/Pp6/3rB2P/1P1nrPP1/1R3RK1 w - -,b1e1
2rr2k1/1p1b1pbp/p2Rpnp1/n7/4PP2/1NN2B2/PPP3PP/5RBK b - -,a5c4
3r2k1/p2bRp1p/5p2/2pp4/8/1P1B2PP/P1P3P1/6K1 w - -,g3g4
r1bqk1nr/pp1p1pbp/2n3p1/2p1p3/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w kq e6,b1c3
r1b1q1k1/7r/p1Np2n1/Bp1PpP2/5p2/5P1P/PP3bBK/2RQ2R1 w - -,f5g6
r3r1k1/ppqb1ppp/5n2/3pn3/3N1Q2/1N3P2/PPP3PP/R3RBK1 b - -,f6h5
1qr1r1k1/1b1n1pbp/pp2pnp1/3p4/2P1P3/1PN5/PB1NQPPP/1BRR2K1 w - -,c3a4
rnb1r1k1/pp3pbp/1qp2np1/4p3/2P5/1PN2NP1/PB2PPBP/R2Q1RK1 w - -,d1d6
r1b2rk1/ppq2ppp/5b2/2p1n3/3pN3/3P2PP/PPP1NPB1/R2Q1RK1 b - -,f6e7
3r2k1/1Q3pp1/p3q2p/PP1NpRbP/4P3/6P1/5PK1/8 b - -,a6b5
r2qk2r/pp2bpp1/1n6/2p1Pb1p/4NP2/6PP/PP4B1/R1BQ1RK1 b kq -,d8d4
r2qk2r/pp1nbppp/2p1p1b1/3pPn2/3P4/1N3N2/PPPBBPPP/R2Q1RK1 w kq -,g2g4
r1bqk1nr/ppp1ppb1/2np2p1/7p/3PP2P/2N4N/PPP2PP1/R1BQKB1R w KQkq -,c1e3
r1bq1rk1/pp3pbp/3Pp1p1/2p5/4PP2/2P5/P2QB1PP/1RB1K2R b K -,b7b6
r2q1rk1/p2bb2p/2p2np1/3p1p2/N7/3BPP2/PP1B2PP/2RQ1RK1 w - -,a4c5
2r3k1/3n3p/2p1b1p1/p2NPp2/3P1P2/r3B1P1/2R3BP/6K1 w - -,d5e7
6k1/4bp2/3pp3/2q3pp/4P3/2B2PP1/P3Q1KP/8 w - -,c3a1
r4rk1/pp2ppbp/n2p2p1/1NpP4/2P1BPb1/4BN2/Pq4PP/R2Q1RK1 b - -,b2a1
8/1p1b4/p1p2k2/P2p4/1P1P2P1/2P3K1/5N1p/8 b - -,f6g5
rq3rk1/3n2bp/2p1bnp1/1p1p1p2/P4B2/1N1Q2P1/1P2PPBP/RN3RK1 b - -,d7e5
rnb1k2r/1ppnqpp1/p3p2p/3pP3/3P1PQP/2N5/PPP3P1/R3KBNR b KQkq -,e8g8
6r1/5pkp/3p3R/p1p1r1PN/3pP3/4nP2/PPP5/2K3R1 b - -,g7f8
k2rr3/ppq2pp1/2pbpn1p/7P/2PP4/2B2NP1/PP2QP2/1K1R3R w - -,f3e5
5k2/8/5P2/2p4P/1p3nN1/3K4/8/8 w - -,d3c4
r1bq1rk1/1p2ppbp/2np1np1/p1p5/2P5/P1N2NP1/1P1PPPBP/1RBQ1RK1 w - a6,f3e1
r2qrbk1/pp1n1ppp/2p1pn2/3p4/2P5/1P1P1bPP/PBQNPPB1/R4RK1 w - -,g2f3
r1b1k2r/pp1nqppp/2p1p3/3p4/2PPN3/1Q2PN2/PP3PPP/R3KB1R b KQkq -,d5e4
4r2k/p2r3p/1p6/1N6/3R4/3n1PP1/P2R2KP/8 b - -,d7d4
8/8/6rp/1k6/5RP1/4KP2/8/8 w - -,e3e4
r6k/1p3Qp1/p7/3P1Nqp/3p2b1/3n4/PP4BP/5R1K w - -,f5d6
r2q4/p7/1p1P2k1/2pPB2p/2P3n1/2P5/P1Q5/6RK b - -,g6h6
rn2kb1r/ppp1pppp/5n2/q4b2/2B5/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,d2d3
rnbqk2r/p3b1pp/4pn2/1Ppp2B1/8/4PN2/PP3PPP/RN1QKB1R b KQkq -,a7a6
r2qkb1r/1b1p2pp/ppn1pn2/2p5/2P5/2N1PNP1/PP3PBP/R1BQK2R b KQkq -,f8e7
3q1rk1/4Rp2/Q4np1/p6p/3r4/5B1P/5PP1/4R1K1 w - -,a6f6
8/p6k/2p4b/6q1/1P1P4/P3PQ2/4B3/5K2 w - -,e2d3
8/2r2p1R/p3p1p1/1p2P3/1P1PK1kP/P7/7P/8 w - -,e4d3
1r6/6kp/5npb/2q1p3/3p4/3P4/Q3BPPP/B4RK1 w - -,e2f3
1r1qkb1r/pbpn1ppp/1p2pn2/8/3PN3/6P1/PPP1NPBP/R1BQ1RK1 w k -,e4f6
1r2r1k1/3q3p/3pp1pB/ppn1b3/4P1P1/P1PB1Q1P/1P6/1KR2R2 w - -,c1c2
3rk2r/p1p2ppp/1p6/2p1Pn2/2b1N3/1PB4P/P1P2PP1/R3R1K1 b - -,c4d5
r3kb1r/1p1n3p/1pb1ppp1/3p4/3P1BPP/P3PN2/1P2BP2/2R1K2R b Kkq g3,h7h5
8/6kp/p1N1pnp1/5p2/1PN2P1P/2b2PK1/4P3/8 w - -,c6b8
3K4/8/3P4/7p/4kp1P/R5P1/8/2r5 w - -,g3f4
2rr4/1b2k2p/3ppp2/p3n1p1/1pP1P3/1P2NPP1/P2R1K1P/3R1B2 w - -,f1g2
8/1b2kP2/2p4b/ppp2P2/P1P1K3/1P6/1B3N2/8 b - -,b5c4
r5k1/5p2/p5p1/3P2r1/n1P1Pq1p/5P1B/P4Q1P/2R3RK b - -,g5g1
2rR1rk1/2P2p2/5qp1/7p/2Q4P/6P1/5P2/3R2K1 w - -,d1d6
r5k1/ppp3p1/3pb1n1/PP2p1qp/2P1P3/3P3P/5QBK/5R1R w - -,f2g3
2r1nrk1/p2nqppp/bp2p3/4P3/QbPB4/5NP1/P2N1PBP/R1R3K1 b - -,e8c7
rnbq1rk1/pp1p1pp1/2p2n1p/4p3/1bP1P2B/2NP1N2/PP3PPP/R2QKB1R b KQ -,f8e8
1q5r/3k1p2/1pb1p3/3p4/PQ1P2p1/1PR1P3/5P2/2KN4 b - -,b8a7
r4rk1/ppq1b1pp/2n1b3/4pp2/4B3/PN2P3/1PQ2PPP/R1B2RK1 w - f6,e4c6
4k3/1pq1r3/p1pRpppp/2P5/2Q1PP1P/1P4P1/P5K1/8 b - -,b7b5
8/2k2ppp/8/P1K5/5P2/1R3P1P/r4P2/8 w - -,c5b5
3r2k1/p4bbp/4qpp1/1rp1p3/2NnPP2/1P1PB1P1/P2Q2BP/2R1R1K1 w - -,f4e5
1r1q1rk1/1p3ppp/pNpbb1n1/P3p3/2B1P3/4B3/1PP2PPP/R2Q1RK1 b - -,d8e7
rnbq1rk1/p3bppp/1pp1pn2/3pN3/2PP4/1P4P1/P2BPPBP/RN1Q1RK1 b - -,f6d7
8/3k1ppp/p3r3/2bp4/5P2/3K4/PP1B2PP/7R w - -,h1e1
r2qnrk1/pb1nbpp1/1pp1p2p/3pP3/2PP4/5NP1/PPQN1PBP/R1BR2K1 w - -,c4d5
2r3k1/p2b1pbp/qP1B1np1/3P4/1Qp5/2N2N1P/1P3PP1/4R1K1 b - -,a7b6
4r1k1/7p/1Np3p1/p3bp2/3n4/6BP/P4PPK/5R2 w - -,g3e5
1r4k1/6pp/4p3/2PnK3/3P2P1/pp6/3R3P/B7 w - -,a1b2
8/4n3/1p1rk1p1/p5P1/4B1K1/PR3P2/8/8 w - -,f3f4
1q4k1/2b2pp1/7p/3p4/1P5P/2Q1P1P1/1B3P2/6K1 b - -,f7f6
r1b1k2r/pppp1n1p/2n3p1/7Q/1PBp4/8/PP1N1PqP/R1BKR3 b kq -,e8f8
rnbq1rk1/pp1p1pbp/2p1pnp1/8/2P1P3/2N2NP1/PP1P1PBP/R1BQ1RK1 b - e3,d7d5
4r1k1/r4pbp/pp3np1/2p3N1/2Q5/P3qB2/1P4PP/3R1R1K w - -,f3c6
8/p7/P6p/2bk1K2/3r1P2/5R1P/8/8 w - -,f5g6
1R6/4kp2/5p2/4pP1N/p2bP2P/P7/2K5/6r1 b - -,g1a1
r5k1/1ppb1p1p/5qp1/p2Pr3/5B2/2N3PP/PP4B1/R2Q2K1 b - -,f6b6
3r4/4k3/4p3/p3K3/PpRP3P/1P4P1/8/8 b - -,d8g8
r4rk1/1bpnqpbp/pp1p2p1/6n1/P2Pp3/N1P1P2P/1PQNBPPB/4RRK1 b - -,f7f5
rr2b1k1/4q1pp/1Pp1p3/pP1p1p2/P2P1P2/6P1/2Q1P1BP/1R3RK1 b - -,c6b5
1r2k3/1p2qp1r/p2p4/2pPpR1p/P1P1PnbP/2N1Q1P1/1P3R2/2K2B2 b - -,f4g6
4k3/R4p2/1N2n1p1/2p5/3r1P2/5KP1/8/8 w - -,a7a4
r2q2k1/1pp3rp/p2bPnn1/4p1p1/4Pp2/2N2P2/PPR1BBPP/3Q1RK1 w - -,c3d5
3b4/pB4k1/2n2p2/2B1p1pp/1P2b3/4N1PP/P4P2/6K1 b - -,f6f5
r2q1rk1/1p1bpp1p/p2b2p1/3Pn3/1PB2P2/Q2P2N1/P5P1/R1B2RK1 w - -,f4e5
8/5n2/R4pk1/6p1/4Nr1p/5P1P/5KP1/8 w - -,a6e6
3rkb1r/3n1ppp/p1p1p1b1/1P6/1npP2P1/2N1B2P/1P1NPPB1/R4RK1 b k -,c6b5
r1bqr1k1/ppp2pbp/3p1np1/3P4/8/1P2BNP1/P3QPBP/1R3RK1 w - -,e2c4
r1bqrbk1/1pp3pp/2n2p2/p2np3/8/PP1PPN2/1B1NBPPP/2RQ1RK1 b - -,c8e6
5r2/1p1kr1pp/p1pbp3/3p4/3pPP1n/1B1P4/PPP1RRPP/5NK1 b - -,d5e4
2rq1rk1/p3bppp/4p3/2n5/PpPpPB1P/1P4P1/4QPB1/1R1R2K1 b - -,d4d3
r1b2rk1/pp4pp/4pn2/3pN3/1n1P1N2/3B4/PP3PPP/R4RK1 b - -,f6g4
3r1rk1/4Pp1p/p5p1/q1p1b3/PnB5/8/1PP3PP/R1BQ1R1K b - -,d8d1
