8/8/2QP2p1/5pP1/7k/3K1P2/8/6q1 b - -,g1d1
r3k2r/p1q2pbp/b2ppnp1/1p6/2pPPB1P/2PR1NP1/PPQ2PB1/4KN1R b Kkq -,c4d3
1rbq1rk1/pp1nbppp/3p1n2/2pP4/P7/2N2NP1/1P2PPBP/R1BQ1RK1 b - a3,b7b6
1R6/6q1/4Q3/2p2P2/pk1b1P2/5K2/P4P2/8 b - -,b4a3
4Br2/3Pk2P/8/6K1/4P3/8/8/8 b - -,f8h8
4r2k/7p/p1q3p1/P1pp4/3b1P2/1P2n3/4RBPP/2Q2BK1 b - -,c6e6
r2q1rk1/pp1b1pbp/2n1pnp1/3p4/3P4/2NQ1NP1/PP1BPPBP/R4RK1 w - -,f3e5
4r1k1/3n2pp/p3p3/2p1Rp2/2P5/1P3BP1/P4P1P/6K1 w - -,e5e2
4rr1k/pp1n2pp/6q1/4P3/3P1p2/1P3Qb1/PB4B1/R4RK1 w - -,a1c1
6k1/4bpp1/p3p2p/1b1pP3/1p1P3P/1N2QNP1/PPq2P2/6K1 w - -,e3c1
r2qk2r/ppp2ppp/2np1n2/2b1p3/2B1PP2/2NP1Q1P/PPP3P1/R1B1K2R b KQkq -,c6d4
5k2/1p1r2p1/p2PR2p/4p3/4P3/4P3/PP4PP/6K1 w - -,g1f2
5n2/5k2/1K2p3/4P1pp/3P4/2B5/7P/8 b - -,f8g6
2rr2k1/1b1nqppp/p1pbp3/1p6/3PB3/1P2PN2/PB2QPPP/2RR2K1 w - -,d1d2
6k1/8/r2BK1p1/6P1/5P2/8/8/8 b - -,g8g7
2R2bk1/5pqp/5p2/4p2P/4P1Q1/5KP1/5P2/8 b - -,h7h6
2r1r1k1/1p1npp1p/pq1p2p1/n1pP4/2PNP3/P7/1PQBBPPP/4RRK1 b - -,c5d4
8/r5pk/7p/p2R3P/P3P3/6P1/5PK1/8 b - -,g7g6
r2qk2r/1b2p1b1/pnppP1pn/1p3pNp/P2P1P1P/2N1B3/1PPQ2P1/R3KB1R w KQkq f6,a4a5
2r3k1/2q2p1p/6p1/4p3/2B1b3/1Q6/5PPP/5RK1 w - -,c4d5
r1b1kb1r/1pp1pppp/p1nq1n2/8/3P1B2/2N2NP1/PPP2P1P/R2QKB1R b KQkq -,d6d8
2k2b1r/pp1npppp/r7/2p1N2q/2QP2b1/2P5/PP1N1PPP/R1B1K2R w KQ -,e5g4
r7/pp4kp/3q2P1/8/3p1r2/P2B4/1PP4R/4R1QK b - -,h7h6
6r1/8/8/5K2/6P1/8/4k3/8 w - -,g4g5
8/8/7k/p5Rp/5P2/6K1/5P2/4b3 w - -,g5e5
8/8/8/8/4k1pp/8/5KP1/8 b - -,e4d3
1nkr1b1r/1pp2p2/p5bp/3P2p1/QPPN1p2/7P/P2N1P2/5RK1 w - -,b4b5
8/1p1kpb2/7R/n1P3P1/5p2/2P5/5KP1/8 b - -,a5c6
r1b2rk1/pp2ppbp/1qnp1np1/2p5/B2PP3/2P2N1P/PP3PP1/RNBQR1K1 b - d3,f6d7
8/1k6/3rp3/1p3p2/5Pp1/1pP3P1/1R2K3/8 w - -,b2b3
r1bqk2r/pppn1ppp/3bpn2/3p2B1/3P1P2/3BP3/PPPN2PP/R2QK1NR b KQkq f3,h7h6
r1bq1rk1/pppp1pp1/2nb1n1p/1B2p3/4P1P1/P1NP1N2/1PP2P1P/R1BQK2R b KQ g3,d6c5
8/5B2/R7/7P/1b1k4/p7/6K1/3b4 b - -,d1c2
2r1k2r/3nq1bp/p2p2p1/1p1Pp3/6PP/P3B3/1PP2Q2/2KR1B1R w k -,h4h5
1r1qnr1k/3bn2p/p2p2pb/1p1Pp3/4Pp1P/1QN2NP1/PP1BBP2/1KR4R w - -,c3d1
8/8/3p4/3Pp1nk/8/5K2/8/4B3 w - -,f3e3
3r4/5k2/1p6/8/p3B3/P1B5/1P6/K3R3 w - -,e4c6
r1bq1rk1/p3bppp/1pn1p3/2p5/3PPB2/2P2NP1/P4PBP/R2Q1RK1 b - -,c5d4
4r2r/1kp4p/pp1b1pp1/2pRn3/4P3/4NPB1/PPP3PP/3R2K1 b - -,b6b5
1r1k1b2/1p2ppp1/p2r4/1qNP3p/PP2Q3/4PP2/7P/R4R1K b - a3,b5e2
r5k1/5pp1/2p5/7p/P1P5/n7/P2RNPPP/5K2 w - -,d2d6
r2qrnk1/1pp2ppp/p2b1n2/4p3/P2PP3/2P2NN1/5PPP/R1BQR1K1 w - -,d1b3
1r1r2k1/1n3pbp/p1n3p1/1pp1P1B1/4N3/5N1P/PP3PP1/3R1RK1 b - -,d8d1
r2r2k1/p2qb2p/2p1p1p1/1p2Bp2/1nPP4/5BQP/P4PP1/1R3RK1 b - -,b5c4
r3k2r/pbq1bppp/1pn1pn2/2ppN3/3P1P2/2PBPN2/PP4PP/R1BQ1RK1 b kq -,a7a6
r1bq1rk1/ppn3bp/2p2ppn/3p4/3P4/2PBB3/PPN1NPPP/R2QK2R w KQ -,h2h4
3rnbk1/8/1R3p1p/6p1/P2P3P/1P2BbP1/5P1K/4R3 b - a3,f8d6
2kn4/4b1r1/1R2p2p/3pr3/2pn1B2/6P1/5PNK/R7 w - -,f4e5
r1q2rk1/3nbpp1/5n1p/1pp1p3/p1P1P3/3NB1P1/PP1NQPKP/R4R2 b - -,b5c4
4r1k1/p2R1ppp/b1n5/1r4B1/2p5/P1P2P2/4B1PP/5K1R w - -,h2h4
r1b1k2r/pp1n2pp/1qn1pp2/3pP3/1b1P1P1P/5NK1/PP4P1/R1BQ1BNR b kq -,b4e7
2krr3/pp1n2pp/5p2/3Pp3/5P2/P1B5/1P2R1PP/2KR4 w - -,e2c2
r1bq1rk1/ppp1n1bp/3p4/3P1p2/2P2n2/2N1B3/PPB3PP/R2Q1RK1 w - -,e3f4
r2q1rk1/pp3pbp/4bpp1/3N4/8/4QP2/PPP3PP/1K1R1B1R w - -,f1c4
r3b1k1/p4pbp/4p1p1/2Q5/q5N1/2P5/4BPPP/3R2K1 b - -,a4c6
r3k2r/1b1qn2p/p5p1/1p1p1pB1/2p5/1PNP1QN1/1PP2PPP/4R1K1 b kq -,e8c8
8/2p5/5p2/p2kp2p/4b2p/1KP1P1P1/8/4N3 w - -,g3h4
2r2rk1/3q4/2Npn1p1/1P1Np1bp/Q1K1P3/5P2/6PP/R6R b - -,e6d4
r2qkb1r/1p1n1ppp/p1p1p3/8/2PPb3/5N2/PP2QPPP/R1B2RK1 w kq -,e2e4
6k1/ppq1r1pp/2p5/3pnP1n/5p2/P4P2/1PQB2PP/1B2R2K w - -,f5f6
r4rk1/pp1qbppp/2n1b3/3p3n/5B2/1BNP1R1P/PPP1N1P1/R3Q2K b - -,a8e8
r1bqk2r/p2pbppp/2p2n2/4p3/2B1P3/8/PPP1QPPP/RNB1K2R w KQkq -,b1c3
1q1r4/p1k1n1b1/1p5p/Q1Pp4/3Pp1B1/4P3/P2N1rP1/KR5R w - -,c5b6
2kr3r/pbq1bpp1/1pn1pn1p/2pp4/4PB1P/2PP1NP1/PP3PB1/R2QRNK1 b - -,e6e5
8/1p2b1pn/p1ppk3/4p3/P1P1P1P1/1P2BKN1/2P5/8 b - -,g7g6
2r3k1/5pp1/R2R3p/8/2r5/8/PPP5/2K5 w - -,c2c3
r2qr2k/p1p1n2p/1p2pp2/3p4/2PP1P2/1P2PR2/PN2Q1PP/R5K1 b - -,e8g8
4rrk1/1pp3np/p1pq1pp1/8/3P1Pb1/1PP2NB1/P2Q2PP/3RR1K1 b - -,g4f3
r1b2rk1/1p2nppp/p1n3q1/8/4p3/Q3N3/PPPB1PPP/R3KB1R w KQ -,e1c1
rnbq1rk1/ppp1bppp/3p1n2/8/8/3B1N1P/PPPP1PP1/RNBQ1RK1 w - -,c2c3
r2q1rk1/ppp2ppp/2np2b1/4p1b1/4P3/2PP1NNP/PPB2PP1/R2QR1K1 w - -,f3g5
1rb2rk1/p2nppbp/1qnp2p1/2p1P3/1p3P2/2PP1NPP/PP1NQ1B1/R1BR2K1 b - -,b4c3
6k1/p2RBp1p/6p1/P3b3/r7/3K4/5PPP/8 w - -,d7a7
rn1qk2r/1b1p1ppp/pp2pn2/2b5/2P5/P1N1PN2/1PQ1BPPP/R1B1K2R b KQkq -,d8c7
r4rk1/1p2ppbp/1qnp2p1/p2P4/2P3b1/1PBQ1NP1/P4PBP/R4RK1 b - -,g7c3
5r2/6pk/5q1p/3QNp2/3P4/P5b1/1P2BpP1/2R2K2 w - -,d5f3
2b2rk1/1p1p4/2pP3p/2P3p1/1r1PNp2/p6P/5PP1/R4RK1 w - -,f1d1
5r2/8/8/5K2/2k5/1p4P1/8/7R w - -,f5e5
4Q3/p2q3k/2p2rp1/4R2p/2PP4/1P2Bb1P/PK3P2/8 b - -,f6f7
8/4R3/5k2/1B3p2/P7/5K2/r7/8 w - -,e7e2
r3r1k1/1bpn3p/pp1bp1p1/5p2/2PP1B2/2N2P2/PPB3PP/2KR3R w - -,f4g5
