8/5p2/5k2/4pn2/p4K2/P4P2/1P3B1P/8 w - -,f4e4
8/6pp/1p3p2/1ppk1P2/3p1PP1/PP1P4/3K3P/8 w - -,d2c2
2rqr1k1/1b3pbp/p2p1np1/2pPn3/1p2P3/1P2BP2/P2QN1PP/1BRN1R1K w - -,d1b2
6k1/2r5/p7/P5K1/6P1/2BRp3/1P1p4/8 w - -,c3d2
r1b1r1k1/1p3pp1/2p3p1/3p3q/p2P4/P3P2P/1PQN1PP1/3R1RK1 w - -,f1e1
r1bq1rk1/p2n1pbp/1pn1p1p1/2ppP3/8/2PP1NP1/PP1N1PBP/R1BQR1K1 w - -,d3d4
2b2r1k/p3qpp1/2p3rp/8/2B1p3/1PP1R2P/P4PP1/R2Q2K1 w - -,d1e2
r1b2rk1/1pppnppp/pbn3q1/8/3NP3/N1P1B3/PP1QBPPP/R4RK1 w - -,d4c6
2br1r2/1p2n1k1/p1pp1qp1/P3ppn1/1PP1P2p/2N2P1P/3Q2P1/R3RBNK b - -,f5e4
7R/8/5k2/r4pp1/7p/7P/5KP1/8 w - -,h8g8
r3k2r/pp1bbppp/1q2p3/n2pP3/3P1B1P/2P2NP1/P3QPB1/1R3RK1 b kq -,b6c7
4k3/4P3/3B3p/p2K2bP/P7/8/8/8 b - -,g5f6
8/8/7p/4kBp1/4PnP1/1K5P/8/8 b - -,f4h3
R7/5kpp/4p3/8/3P4/4Pp2/P2K1RqP/8 w - -,d2e1
1q1rrbk1/1p3pp1/p3p2p/2n5/2PN4/P1B3R1/1P2QPPP/4R1K1 b - -,c5a4
r4rk1/1bpnqpbp/pp1p1np1/4p3/PP1P4/2P1PN1P/3NBPPB/R2Q1RK1 w - -,d1b3
1r6/2b4p/p1n1k1p1/2B2p2/pP2pP2/2P3P1/2N1K2P/R7 w - -,c3c4
8/4k3/1R6/6n1/P3pr2/8/1PP5/1K1R4 w - -,b6b3
r4rk1/3bq1pp/4p3/p1PpP3/n1p5/P1P1QNN1/3R1PPP/3K3R b - -,a8b8
1r3r1k/p5bp/bqnp4/2p2p2/1p3P2/2PP4/PP1Q1BBP/R2N1RK1 w - -,d1e3
r2q1rk1/pp1n1pbp/2pp1np1/1P2p3/2PP4/2N1PB1P/P4PP1/R1BQ1RK1 b - -,d8c7
r3kb1r/ppq2ppp/2n1pn2/1B1p1b2/3P4/1Q2PN2/PP1B1PPP/RN3RK1 b kq -,f6d7:f8d6
rnbqkb1r/ppp2ppp/3p1n2/8/8/2N2N1P/PPPP1PP1/R1BQKB1R b KQkq -,f8e7
3q1rkb/p2bpp2/3p2pB/3P3p/1pr3PP/1N3P2/PPPQ4/2K3RR b - -,h5g4
7k/6p1/5p1p/p1B5/4QPPK/4P2P/q7/3r4 w - -,c5d4
r1b1k2r/5pbp/p7/np1Pp1Bp/4P3/5N2/P3BPP1/1R2K2R w Kkq -,f3d2
6k1/7p/3p2p1/1BbPp3/2P1r3/6P1/R5KP/8 b - -,e4e1
5rk1/p4qbp/1p4p1/1Pp2nQ1/5P2/P2R4/5PBP/4R1K1 b - -,g7d4
2rq1rk1/pb2np1p/1p2pp2/8/2BP4/P1RQ1N2/1P3PPP/5RK1 w - -,c4a6
8/2k5/2p5/7N/4p3/2P1P1K1/r1B5/8 b - -,a2c2
r4r1k/p1p1q3/1p2b2b/2pPQn2/2P1Np2/3B1P2/PP5P/2KR2R1 b - -,h6g7
2r3k1/p3p2p/4pb2/4q1p1/6P1/1PpQ1P1P/P3P3/2R2RK1 b - -,e5g3
r3k3/pp3pp1/1q1p1nnr/2pPp1Qp/2P1P2P/2N3PB/PP3P2/R4RK1 w q -,a1b1
r1b2rk1/4qppp/p3p3/2Q5/Pn2NP2/8/1P2B1PP/2R2RK1 b - -,e7a7
rnbq1rk1/ppp1ppb1/3p1npp/8/2PP3B/4PN2/PP2BPPP/RN1Q1RK1 b - c3,c7c6
3rr1k1/1pq2ppp/2p1nb2/4p2b/1PP1P3/4RNP1/1BQ2PBP/3R2K1 w - -,d1d8
rn2k2r/pp2qppp/2pbpn2/3p4/2PP4/2N1PPB1/PP3P1P/R2QKB1R w KQkq -,d1b3
5R2/1q4p1/p6p/1p2kp2/2n1p3/1B5P/PP2RPP1/6K1 w - -,f8e8
5r2/8/2k1K3/7p/1P1B1p1P/1P2n3/3R2P1/8 w - -,d4e3
1r1r2k1/p1p2pb1/2nq2pp/1p2p3/P3P3/2PPBBPP/2Q2P2/1R1R2K1 b - a3,a7a6
r1r3k1/4b1pp/pp1pp3/2n2p2/2P5/1PN1P3/PBR2PPP/3R2K1 b - -,g8f7
r4rk1/3npp1p/3p2p1/q1pP4/8/2B3P1/bPQ1PPBP/R3R1K1 b - -,a5b5
r1b1kbr1/1p2pp1p/p2p4/3N1p2/4P3/8/PPP2PPP/1K1R1B1R b q -,a8b8
5rk1/1Q1R1ppp/1n3q2/8/p2N1P2/6P1/1PP4P/1K6 w - -,c2c3
8/5k2/r7/P3pp1p/2p5/7P/1P3KP1/R7 w - -,f2e3
r7/1pq1kp1r/p2p1np1/N3p2p/4PP2/2PR2PP/PP1Q2B1/5K2 b - -,c7a5
r1b2rk1/pp3ppp/5n2/3pq3/8/3BP3/PPQB1PPP/R4RK1 b - -,h7h6
2r2rk1/1p2bppp/p2pb3/6B1/P2Qn3/2N2R2/1qP1B1PP/2R4K w - -,c1b1
r4r1k/pR4pP/4p3/3p4/8/2qpR1Q1/5PPK/8 w - -,e3e5
8/R4p2/1p4pk/7p/3R2PK/1P6/4rr2/8 b - -,g6g5
r2q1rk1/pp3pbp/4b1p1/3p4/3P4/1Q2B1P1/PP3PBP/R4RK1 b - -,d8d7
r1r3k1/4b1pp/p4p2/P1pR4/8/2P1BN1P/5PP1/5RK1 w - -,d5d7
2rq1rk1/1p3pp1/p1nbpn1p/3p4/1P1P4/P1N1PNP1/3B1P1P/R2QRK2 b - b3,b7b5
rnb1kb1r/pp1ppppp/5n2/2q5/8/2P2N2/PP2PPPP/RNBQKB1R w KQkq -,c1e3:b1d2
2rq3r/3kn3/ppb1p2p/3pPp2/P2P4/2R5/1PB2PPB/2RQ2K1 b - -,c6b7
8/6kp/1b3pp1/1P1Pp2P/4Q1P1/1qrB4/8/3R3K w - -,d1d2
6k1/pB2pp1p/1p1q2p1/n1p1b3/8/1PP1B1P1/P1Q2P1P/1N4K1 b - -,a5b7
1N6/1R6/5pk1/p5p1/8/4NPPp/bp1r3P/6K1 w - -,b8c6
2rbr1k1/1p1n1ppp/p1pBpn2/2Pp1b2/1P1P4/1NN1P2P/1P3PP1/R3KB1R w KQ -,b3a5
8/p7/1pk1ppp1/5P1p/1PPK2PP/8/P7/8 b - -,e6f5
1r1q1rk1/2n1ppbp/1p1p2p1/pP3P1b/P1P1P3/2N1B2P/2NQ2P1/1R3RK1 b - -,g6f5
1Bb1r1k1/7p/1np2pp1/1p1p4/1P1P4/PK2PP1P/3p2P1/N3R3 w - -,e1d1
r1bq1r1k/1pp1b1pp/2np1n2/p3pp2/2P5/P1NP1NP1/1PQBPPBP/R3K2R w KQ a6,e2e3
4k1r1/1b3p2/4pp2/1P1qn3/1b1p3B/5P2/1P2Q1PP/R2RNK2 b - -,b4e1
2r3k1/1R4p1/p4bp1/2R2P2/3P4/1PBK3P/1P4r1/8 b - -,c8d8
r1b2rk1/pp2ppbp/2n3p1/8/3PP3/4BN2/P2qBPPP/1R2K2R w K -,e1d2
2r1k2r/1pb2pp1/p1p2n2/4n1B1/2P3P1/1PN2B1P/1P4K1/3R3R b k -,e8f8
r1b1qrk1/pp6/2p2b1p/3p1ppP/3P4/2NQP3/PPP1NP2/2KR3R b - -,f5f4
2b3k1/1p2r1pp/p1p5/2Pp3r/R6P/5P2/PP2PKB1/2R5 w - -,e2e3
r3k2r/1p1bBp2/2p4p/p5pn/P1N1P3/2NP3P/1PP2b2/R3K2R w KQkq -,e1f2
3R2k1/1p3pbp/p3p1p1/8/b4P2/1N6/2P2RPP/3r2BK b - -,d1d8
3r2k1/p3ppbp/qn4p1/1R1p4/P2P1BP1/1Q5P/2r2P2/1N1R2K1 b - a3,c2c6
8/8/k1n2p1p/1pp1pPpP/3pP1P1/1PbP4/2P5/1NBK4 w - -,c1a3
r4rk1/1ppb1p2/p3pq1p/P6P/2pP4/5N2/1PQ2PP1/R3K2R w KQ -,f3e5
4r3/p1b5/2p2pk1/2N2B2/3P4/1P3Kp1/P5P1/3R4 b - -,g6f5
r1q5/2p2p2/rpNp1b1k/3PpPp1/P1P1P1Pp/RQ5P/R5K1/8 w - -,g2f3
r2qr1k1/pp3pb1/3p2pp/4nn2/4N3/1P2BPP1/P2Q1PBP/3R1RK1 b - -,f5e3
8/1pp3p1/p2p1nk1/3P1p2/2P2P2/1P1N1K1P/P7/8 w - -,d3f2
4rrk1/p3qppn/1p1np2p/3p4/3P1NPP/2P3RQ/P4PB1/4R1K1 b - -,e7d8
r1bqk2r/pp2ppbp/2n3p1/2p5/8/1Qn2NP1/PP1PPPBP/R1B2RK1 w kq -,b2c3
6k1/3r1p2/7p/R3R3/P7/1P3P1P/2r3PK/8 w - -,a5d5
5rk1/p4pp1/p1rpp2p/3N4/2n1PP1b/6P1/PPPBR3/2KR4 b - -,e6d5
5r1k/4Q1p1/p3p1Pp/1p1pP3/4nP2/2PR1R2/4K3/2q5 b - -,f8g8
rnbq1rk1/p1p1ppbp/1p1p1np1/6B1/2PPP3/2N2P2/PP1Q2PP/R3KBNR b KQ -,b8d7
8/4Qpkp/2r3p1/4P3/5q2/7P/6P1/4R2K b - -,f4f2
n3n1k1/4pp1p/p2q2p1/3PN3/2P2p2/1P6/4B1PP/3QR1K1 b - -,d6e5
