5R2/5P2/2pkPK2/1p6/8/8/8/5r2 w - -,f6g7:f6g6
3r4/3r1pkp/1p2p3/1Pb2p2/R7/5BP1/2R2PKP/8 b - -,d7d2
2r1rbk1/1b3p1p/p4n2/1p1p2pq/3Bn3/P1N1PN1P/1P3PP1/1BRR1QK1 w - -,c3e4
3r4/1p3rk1/2bp1n1p/p3p1p1/1qP1P3/1PN1QB1P/P2R2P1/3R3K b - -,g7g6
4r1k1/5p1p/6p1/p1q1r3/4pN2/4R1P1/P2Q1P1P/6K1 b - -,c5c6
1k1r3r/1q2bppp/p1bpp3/1pn2PP1/4P3/P1NBB3/1PP4P/1K1RRQ2 b - -,d8c8
r2qr3/1p3pbk/n1p2npp/2P1p3/1Pb1P3/2N3P1/3BNPBP/1RQR2K1 b - -,d8e7
r1bq1rk1/pp3pbp/2pp1np1/2n3B1/2PNP3/2NB1P2/PP1Q2PP/R3K2R w KQ -,d3c2
1r2k2r/p1q2p1p/n1p2Pp1/4p3/2P1Q3/8/PB4PP/1B1R1R1K b k -,b8b2
8/4r2p/1p4p1/p3Pp2/P2Qq3/1kR5/6PP/5K2 b - -,b3a2
1B2b3/4k3/3p1p1p/1p1Pp1p1/4PnP1/1PK2P1P/1P6/5B2 w - -,c3b4
r7/P7/8/1K2kp2/R7/8/8/8 w - -,b5b6
3r2k1/5p1p/6p1/1B1Pp3/PqP2p2/3Qb2P/6P1/5R1K w - e6,f1d1
1R1r2k1/6pp/3N1b2/3r1p2/8/5PB1/2n2P1P/1R4K1 b - -,c2d4
5r2/6kp/8/p3p3/2P1bR2/1P6/P5P1/4R1K1 b - -,f8f4
3q1rk1/pr1pbppp/n3pn2/P7/QP3B2/6P1/2N1PPKP/RN3R2 w - -,b1a3
1rq2rk1/1p1bppbp/pNnp2pn/8/P3PP2/1N6/1PP1B1PP/R2Q1RBK b - -,c8d8
1B6/1p6/p3k3/8/7b/2P5/P3Kn1N/2n5 w - -,e2e3
2r4k/7p/3pBq2/P2Pp3/8/3bQ1P1/5P2/6K1 w - -,e6c8
5rk1/pb4pp/8/1p6/3PqB1P/2P1n1Q1/P3N1P1/R4K1R w - -,f1e1
r1q1kb1r/pb3p1p/2n1p1p1/1p2N3/2pPpP2/P1P1P1BQ/1PB3PP/R3K2R b KQkq -,f8g7
4r1k1/5p1p/p5pQ/1p6/3q3P/1PR5/5PP1/6K1 w - -,c3f3
8/1p6/p3k3/7p/1PP1pR2/2B1rn1P/1PK5/8 b - -,f3g5
2b2rk1/r3p2p/pqp2bp1/2Np2Nn/3P4/2Q4P/PP3PPB/R3R1K1 w - -,g5f3
4rk2/1pq2pbQ/3p3B/2pP1B2/2n3P1/P7/5P2/5K2 b - -,g7h6
R7/5pkp/p1n1p1p1/8/1p2rP2/6P1/P6P/1R5K w - -,a8a6
r2qkb1r/pp1n1ppp/2p2n2/3p4/8/5BPP/PP1PPP2/RNBQ1RK1 w kq -,f3g2:d2d3
8/p5rp/8/P7/5RP1/4P1K1/1k6/8 w - -,f4f5
6k1/5pp1/p4b1p/P6r/1Pb5/R1P2BB1/6K1/8 b - -,h5g5
r1r3k1/7p/p2p2pb/P1nP4/1BB1pqp1/1P6/5P1P/R2QR1K1 w - -,a1a2
r5k1/5Rp1/p2B2Bp/8/3b4/P7/8/5K2 b - -,a8d8
r1bq1rk1/p3bppp/2n1pn2/1ppp4/4P3/3P1NP1/PPP1QPBP/RNB1R1K1 w - b6,b1d2
r1b2rk1/pp2ppbp/n4np1/1N3q2/2BQ4/2P1BN2/PP3PPP/R3K2R w KQ -,d4d3
rnbq1rk1/ppp2pbp/3p1np1/4p3/4P3/2PP1N2/PP1NBPPP/R1BQK2R w KQ e6,e1g1
5rk1/p4p1p/b2Qr1pP/b1p3N1/4p3/1PqPP3/P1PRBKP1/2R5 w - -,g5e6
r6k/1pp5/3p4/p2Pp3/2P1Nrpq/3Q1p2/PP3P2/2R1R1K1 b - -,h8g7
8/8/R5p1/P1k4p/2p5/7r/2K5/8 b - -,h3g3
3k4/8/2pb1pp1/3p3n/2pP2KP/PrN1B3/1PR2P2/8 b - -,h5g7
1rb5/7p/p2p1bk1/3Pp3/2P1Pp2/R1B2N1P/5KP1/8 b - -,b8b1
7r/4ppk1/1p1p2p1/bPr4p/2P1PP2/4K1P1/R1R1B2P/8 w - -,h2h4
8/5k1p/6p1/1p2B3/4KP2/3n3r/8/1R6 w - -,b1b5
br1r2k1/2qn1pp1/pp1pp2p/4n3/1PP1P3/PN2Q2P/1N3PP1/2RR1BK1 b - -,d7f6
6k1/1p3b2/7R/p2p1N2/Pr6/1P6/2B2K1P/8 b - -,d5d4
8/pp3pkp/6p1/8/5rP1/3p1P2/7P/3R3K w - -,d1d3
rnbq1rk1/ppp2pb1/3ppnpp/8/2PP3B/2N1PN2/PP2BPPP/R2QK2R b KQ -,g6g5
r2qk2r/ppp1npb1/2npb1pp/4p3/4PP2/2NP1NP1/PPP3BP/R1BQ1RK1 w kq -,c3e2
r1b1kb1r/1p1p1pp1/p1n1p3/q7/1P2P1Q1/P1NBB1P1/2P2P2/1R3RK1 b kq b3,a5c7
1r1qnrk1/1p1n1pbp/p5p1/P1pPpP2/4N3/3B1Q1P/1P4P1/R1B2R1K b - -,h7h6
1k2r3/1r2q3/2Q5/1p1p2P1/5N2/P1P2R2/5K2/8 b - -,e7e1
1r2r3/1pq1p1k1/3p1pp1/p1nB3p/1PP4P/P3Q1P1/4PP2/2RR2K1 b - -,a5b4
6k1/3r2pp/1p1p3r/pNn2q2/2P1p3/5P1P/PP1RQ1P1/2R3K1 b - -,e4f3
5rk1/3r1p1p/B4bp1/1p6/8/8/P4PPP/3R2K1 w - -,d1d7
r3r1k1/q3pp1p/b1pp2p1/4b3/pPP1P3/P5PP/2QN1PB1/1R2R1K1 w - -,d2f1
r2qr1k1/1p1n1ppp/2pbpn2/p2p4/2P3b1/PP1P1NPP/1B1NPPB1/R2Q1RK1 b - -,g4h5
4k3/5p1R/2b5/2P5/8/7P/r4KP1/2B5 w - -,f2g3
r4rk1/pb1nqppp/1p1bpn2/2pp4/2PP4/1PNBPN2/PBQ2PPP/3R1RK1 w - -,c4d5
8/3r1pkp/6p1/4q3/p1Br2P1/1PQ4P/P5P1/5R1K b - -,a4a3
1rbq1rk1/5nbp/p1pp2p1/2p1p3/4P3/1PNP1NQ1/P1PB2PP/R4R1K w - -,f1f2
2B5/5p2/P4k2/2R3pp/2n5/5P1P/r4P2/3K4 b - -,c4d6
5bk1/1p5p/3p2r1/3Pp3/1P4Pq/2Q2p2/P4PB1/2B1RK2 b - -,f3g2
4R3/6r1/8/4pp2/4b3/4k3/8/3R2K1 w - -,g1f1
8/2b2k1p/p5p1/2n5/P2NPP2/2N3P1/6P1/5K2 b - -,c7a5
5r2/7r/2k3Np/p1pp1P2/3bp1P1/1P5P/P1K4R/3R4 w - a6,c2d2
2r2r2/pp3ppk/2b1pb1p/3qB2Q/8/8/P1P2PPP/3RR1K1 w - -,d1d5
3rq1k1/ppb1rpp1/2p1bn1p/3n4/3P4/P1N1BN1P/1PQ2PP1/2RR1BK1 w - -,e3d2
rn1q1rk1/pp2ppbp/3p1np1/1PpP4/4P3/2N2N2/1PP2PPP/R1BQ1RK1 b - -,b8d7
r2q2k1/3nrp1p/2bppbpB/p7/B3P3/R6P/1PPQ1PP1/4R1K1 w - -,a4c6
8/3b4/1b6/4k1p1/2B5/4PPN1/4K3/8 w - -,g3h1
r1b2rk1/pp1nqppp/2p5/3np3/4N3/1P2PN2/P1QPBPPP/R2R2K1 w - -,e4g3
2r5/p3k1pR/5p2/P4P2/4P1N1/1K1P4/2n5/8 b - -,c2d4
4r1k1/3N1pp1/R6p/8/2P1b3/2b1B2P/2r2PP1/3R2K1 w - -,c4c5
3r1rk1/1p2p1bp/4pnp1/pB1P4/P7/2N1KP2/1P4PP/R3R3 b - -,f6d5
r4r2/1b1qnpkp/2pp2p1/p2P4/1p1QP3/1P3N1P/1P2NPP1/R4RK1 b - -,g7g8
r3kb1r/pppnqppp/2b1p3/8/3PBB2/2P2N2/PP2QPPP/R3K2R b KQkq -,c6e4
r3R3/pbpp1ppk/1p1b3p/8/8/P1B2KP1/1P2NP1P/7R w - -,f3g4
6k1/pR5p/3Npnp1/8/3P3P/2r1PK2/P1r3P1/1R6 b - -,f6d5
r1b1k2r/pppp1ppp/5q2/1Bb5/8/2P5/PPP2PPP/R1BQ1RK1 b kq -,e8g8
2r3k1/pp1rbp1n/q2Pp1p1/P1p5/R1P1NP1p/7P/3N1BPK/QR6 b - -,e7d6
r4rk1/1p2q1bp/1P1p2n1/3b1pp1/2B1p3/4P2P/2QN1PPB/1RR3K1 b - -,d5f7
3q1rk1/r1N2pbp/p2p2p1/1ppN2n1/2P2B2/1P4PB/P4P2/3RQK2 w - -,d5e7
r2q1rk1/pppnppbp/3p1np1/8/2PPPP2/2N2b1P/PP2B1P1/R1BQK2R w KQ -,e2f3
r1bqkb1r/pp3p1p/2np1np1/2p1p3/2B1P3/1PN5/PBPPNPPP/R2QK2R w KQkq -,e1g1
3q1rk1/3n2bn/p2p1pp1/3Pp1Pp/Np2P2P/7B/PP1B1PQ1/2R3K1 b - -,f6g5
3rn2k/2r2Qpp/1p1b1p2/1Pp1p3/4P2N/2BP2PP/3RqP2/1R4K1 w - -,f7c7
2r5/pp1q1pkp/4pnp1/8/3P4/1Q3B2/PP3PPP/R5K1 w - -,a1d1
8/p2n4/3P2k1/1pp5/4N1P1/8/PP6/6K1 b - -,c5c4
7k/5p2/8/p3n3/P4B2/2P4P/3pr3/6RK b - -,e5f3
