8/8/4n1P1/Pk5P/4p3/6K1/8/8 w - -,h5h6
r4k1r/2p1bpp1/PnQp1qnp/3P4/3P4/5N2/1PB2PPP/R1BR2K1 b - -,e7d8
8/1k1Q2p1/1p5p/6q1/2P3P1/7K/8/8 b - -,b7b8
8/1pr5/p2p3p/3Pkp2/1P6/1BP1p1PP/1P4P1/6K1 w - -,g1f1
r1r3k1/3n1ppb/P1N4p/2bp4/8/4q3/4B1PP/R2Q1R1K w - -,e2b5
1r5r/pp2kp1p/4b3/2qBp2N/2P3P1/5R1P/P1Q1P2K/8 w - -,c2e4
rn1qk2r/p1pp1ppp/bp2pn2/8/2PP4/P1P1PN2/5PPP/R1BQKB1R b KQkq -,e8g8
r1b1rnk1/1pq2pbn/2pp2p1/p3pPPp/2PPP3/2N1B2P/PP1QN1B1/R4RK1 b - -,e5d4
5rk1/pp1rq1pp/2pp4/4p3/2P1P1b1/1P1R2P1/P2Q1PBP/5RK1 w - -,h2h3
r3rnk1/1pqb2pp/3bpp2/p7/2P1BP2/2BN4/PP2Q1PP/2R2R1K w - -,b2b3
r1bqk2r/pp2npb1/2n1p1p1/3pP2p/3P4/2N3P1/PP2NPBP/R1BQ1RK1 b kq -,a7a6
2r1r1k1/p4p1p/5np1/8/2P1B3/q4P2/2Q3PP/2R1R1K1 w - -,c4c5
r4rk1/pp3ppp/4b3/2np4/8/P1P1BP2/3KP1PP/3R1B1R b - -,c5b3
8/2R3kp/6p1/1B6/6P1/7P/b2r1PK1/8 b - -,g7g8
2k4r/1b2q3/ppnrPp1p/2p3pR/3pB3/3P2P1/PPPBQ2P/5RK1 b - -,c8b8
1k6/2nBbK2/2P5/B3P3/8/8/8/8 b - -,e7h4
5k1r/1p6/1p2p3/8/2P1qbP1/4p3/Q7/6KR w - -,a2a8
r4rk1/1bpqn1pp/pp1ppn2/5p2/1PPP4/P2N1PP1/1BQ1P1BP/R4RK1 b - -,e7g6
4rrk1/pp1n2pp/2pnp3/3p1p2/2PP1Nb1/1PNBP3/P4PPP/2R2RK1 b - -,g7g5
3r2k1/2p1qpbp/bpn2np1/r3p3/p3P3/P4NP1/1PPB1PBP/R1Q1RNK1 b - -,a5b5
2r3k1/1p2bppp/p1r1pn2/B4q2/Q7/1P2P3/P3NPPP/2RR2K1 b - -,c6c1
r6k/1ppnq1pp/5pn1/1p1Qp3/1P2P3/r1P1BN1P/P4PP1/R3R1K1 b - -,c7c6
r1b4k/pp4qp/3p4/6n1/4Pb2/5B2/PPN2P2/R2Q1K1R b - -,c8e6
8/p6p/1pKpk3/6p1/3PP3/8/P5PP/8 w - -,g2g4
2kr3r/ppqn1ppp/3bp1b1/2p5/2BP2P1/2P2N1P/PP1BQP2/2KR3R w - -,d2e3
2R5/1P6/8/4p3/2Nk1b2/8/6K1/1r6 w - -,c4d6
5Rk1/p3q2p/1p3p2/6p1/1n4P1/PP6/1B3PBP/R5K1 b - -,g8f8
1r4k1/3bbpp1/6qp/3pP3/1Pp5/5N1P/2N2PP1/1R1Q2K1 w - -,g1h1
3r1rk1/1bpqbppp/p1n2n2/1p1P4/3P4/1B3N1P/PP3PP1/R1BQRNK1 b - -,f6d5
r1b1k2r/pp1nqpnp/2p3p1/3p4/3P4/2NBP1N1/PPQ2PPP/R3K2R w KQkq -,e1g1
1b4k1/5p2/6p1/2P4p/p3q3/4B2P/Q4PP1/6K1 w - -,g1f1
5k2/RB6/p4r1p/8/5pKP/8/6P1/8 b - -,f6f7
r2q1rk1/3bbppp/p3pn2/1p1pP3/5B2/2NBP2P/PP3PP1/2RQ1RK1 b - -,f6e8
r3k2r/ppq2p1p/2n1bp2/2N1p3/4P3/P1P5/2PQ2PP/R3KB1R b KQkq -,c7b6
2r4k/3R3P/pppp3n/5p2/2P5/1P1B1P2/P2K4/8 b - -,b6b5
r7/1pprk3/1p1pbp1p/6pP/P2RP1P1/1PN2P2/2P5/2KR4 b - -,a8d8
1r3rk1/4Q3/p7/2p2q1p/2p1p3/4P1P1/PP3P2/2KR3R b - -,f8e8
8/5r2/5B2/3k1KP1/5P2/8/8/8 b - -,f7f8
7R/6p1/5k2/3b1p1q/4pP2/4P1P1/6K1/8 w - -,h8h5
3r2k1/5ppp/2q1pn2/2p5/3P4/NRQ1PPP1/5K1P/8 b - -,f6d7
r4k2/4b3/4p3/5p2/2P5/8/PR2KN2/8 b - -,e7f6
1rq4k/n3n2p/2pR2p1/p1P1N3/PP3P2/6Pb/1Q2PK1P/8 b - -,h8g8
1k5r/pp6/8/1P3p2/4Q2p/P1q1nPpP/4B1P1/6RK w - f6,e4e7
rn3rk1/7p/4p1p1/1Bpp1q2/P7/2P5/5PPP/R2Q1RK1 w - -,d1e2
2r3k1/p2qn1p1/1p1b1p1p/1P1p4/PN1P4/1Q3N2/5PPP/4R1K1 w - -,b4d5
8/5R2/3K4/2p2P2/3k2q1/8/8/8 b - -,c5c4
2kqr2r/pp1b3p/3p2p1/2pPpp2/1P2R2P/3P1B2/P1PQ1PP1/2K4R w - f6,e4c4
r5k1/p4pb1/2p1q1pp/4p3/1r1nP1P1/1P2RN2/P2QNPP1/3R2K1 b - -,c6c5
2q5/3kbp2/4p2p/p2pPn2/PppP1P2/4BN2/1P2K3/6Q1 b - -,c8h8
r1b4r/p2pkppp/1pn1p3/2b5/2P1P3/P1NB2B1/1P3PPP/3RK2R b K -,c5d4
4B3/8/5kP1/8/P7/2b2K2/8/8 w - -,f3e4
8/8/p7/2b5/P3p3/5k2/3K4/2N5 w - -,c1e2
1r3bk1/1rqn1pp1/2Q4p/p1pPp3/2B1P3/B1P3P1/5P1P/R3R1K1 b - -,c7d6
r1b3k1/4qpb1/1r1p2pp/p1p1p1n1/2P1Pn2/BP1B1N1P/P2Q1PPN/1R2R1K1 w - -,d2e3
4n1k1/4q2p/2p1p1p1/1pPpP3/pP1P1QPP/P5K1/2B5/8 b - -,e7f8
6k1/R7/6Kp/4P3/7P/8/8/1r6 b - -,g8f8
2b1r1k1/2q1rpp1/1pppnn2/7p/1PP1PP2/2Q1R1PP/2NN2B1/5RK1 w - -,d2f3
r5k1/6pp/1b1R4/1p2P3/pP6/P5K1/R5PP/2n5 b - -,c1a2
6k1/1R3p2/1Bp1p1n1/4P2p/2P2b1P/1q6/r3B1Q1/6K1 b - -,f4e3
8/n6p/3p1k2/1p1PpPp1/1P2P1P1/1PNK4/8/8 w - -,d3d2
2r3k1/pr2nbb1/5pp1/q1Ppn3/Np1N1B2/1P4P1/P1Q2P2/1K1R1B1R w - -,f4d2
r2r2k1/4R1pp/p4p2/1p6/3n4/P1N3P1/1P3PP1/3R1K2 b - -,f6f5
2rq1rk1/pb2pp1p/1p1p2p1/2n5/2PQPP2/1PN2B2/P5PP/3R1RK1 w - -,f4f5
2rr1bk1/pp1q1pp1/2n2n1p/3p4/3P4/P1NQBB2/1P3PPP/3R1RK1 b - -,c6a5
r7/1p3bkp/2p2bp1/8/P1P1B3/5NP1/6KP/3R4 b - -,a8a4
r4rk1/pp1qnpbp/2np2p1/2pNp3/2P5/2NP2Pb/PP2PPBP/R1BQ1RK1 w - -,c1h6
4r1k1/p4pbp/3n2p1/5rB1/2Bp2nP/1P1P1N2/P3PPK1/2R1R3 w - -,g2g3:c1c2
8/p4kp1/1p6/1P3P2/2P4P/4K3/8/8 b - -,f7e7
r1q2rk1/4bppp/p1Nnp1b1/1p4P1/5Q2/2P1B2P/PP3PB1/R3K2R b KQ -,c8e8
2r5/pq2n2k/2b1p1pp/1pR2p2/4P3/P1Q3P1/1P3PBP/2R3K1 b - -,f5e4
3r1rk1/p2q2n1/4p1pp/2p1N3/2p2P2/7P/PPQ3PK/4RR2 b - -,d7e8
2r1r3/2pRP1k1/1pNb2pp/1P6/6PP/5R2/5PK1/8 b - -,c8a8
3r4/p5k1/b2r4/1p1R3R/7P/8/PPP3P1/2K5 w - -,h5g5
3r2k1/ppq2pp1/4pn1p/4N3/bPPr4/P3Q1PP/5PB1/R1R3K1 w - -,e5f3
1q4k1/5ppp/1nQp1b2/p2PN3/p3n3/B6P/B1P2PP1/6K1 w - -,f2f3
r1b1r1k1/pp2qpb1/2pp2np/8/1PP1P3/2N4P/P2QBPPN/2R1R1K1 b - -,g7e5
4r1k1/pp2R2p/6pB/1P6/2b2R2/2P5/P6P/2K3r1 w - -,c1b2
r7/5k2/5p2/P1p1pn1p/R2b2p1/1N5P/5PPB/5K2 b - -,a8a6
r2qr1k1/1p1b1ppp/p1pp1n2/8/2PbPP2/3P1Q1P/PP1BN1BK/3R1R2 b - -,d4a7
8/6pk/4Q1p1/1n1p3P/p1qP2P1/5P1K/1r6/8 b - -,c4d3
4n2k/pp6/3pQn2/2pP4/2P2P2/4q2P/PP4PK/5R2 b - -,e3d2
1n2k1nr/p4ppp/4p3/3pPb2/2pP4/2b1BN2/P1q1BPPP/QR4K1 w k -,b1b8
r1q1rbk1/pp1n1pp1/2pp1n1p/4pN2/1PP5/1QNP2P1/P2BPPKP/1R3R2 w - -,e2e4
b4r1k/4bqpp/p7/1p2pP2/3p2Q1/P2P1PN1/1Pr3PP/1RNR3K b - -,f8c8
