6R1/8/4pN2/2K1P3/p5pk/Pr3b2/8/8 b - -,g4g3
r5k1/pn5r/1p1p2p1/3P4/2PB1Pq1/1PN1Q2b/P4R1R/7K b - -,b7c5
r2qr1k1/1p3pb1/p1p1bnp1/2Pp4/PP3N1p/4P1P1/1B3PBP/1R1Q1RK1 b - -,e6f5
3r2k1/3r4/4b1pp/2R2p2/P2R4/4P1P1/5PBP/6K1 b - -,d7d4
r4rk1/1q1n1ppp/2b1p3/ppbpP3/3N4/P2BQPPP/1PP2B2/R3R1K1 b - -,b5b4
r1b2rk1/2qnbppp/3ppn2/p7/1p2PP2/1N1B4/PPPBQNPP/4RRK1 w - -,b3d4
3r3r/1pqbkp1p/p1n1p3/5N2/2B1Qp2/8/PP3PPP/2RR2K1 b - -,e7f8
r1b3kr/pp1pp1bp/6p1/1q4N1/3P4/4B3/PP3PPP/R2Q1RK1 b - -,h7h6
r4b2/pp3bp1/nk3p2/8/nP1NPPP1/P1P5/5B2/3RK2B b - -,f7c4
r4rk1/2qn1pbp/2p3p1/ppP5/1P1NpP2/P1Q1P2P/5P2/R1B1K2R w KQ -,c1b2
8/pp2r2p/3k2p1/3p4/PR4P1/3P3P/5K2/8 b - a3,d6c5
r4rk1/1bq1bppp/p2ppn2/1pn3P1/3NPP2/P1NBBQ2/1PP4P/4RRK1 b - -,f6d7
2r4k/p5p1/Bp4r1/n4p1p/1Q1Pq2P/2P1Pp2/P2K4/2R3R1 b - -,g6g1
8/1p1nk2p/p2pp1p1/P5P1/1P2PP2/8/2KBBb1P/8 w - -,e2g4
6B1/1R6/1n3K2/2kp4/8/1p2r3/8/8 b - -,b3b2
3r1rk1/4bppp/p3p3/3N4/3Bn3/1P3B2/P4PPP/2R2RK1 b - -,e6d5
8/6pk/4p3/p2p2q1/8/1P5P/P7/1K3Q2 w - -,f1a6
6k1/5ppp/1q6/1p1pP3/1B1P3P/1Pr3P1/rb1Q1P2/3RR1K1 b - -,c3f3
r2q1rk1/pp1b2pp/2n1pb2/2p5/2Pp1P2/3P1NP1/PP3B1P/R2QKB1R b KQ -,e6e5
1b1r2k1/pp3ppp/2n5/5q2/P2P4/1PP1QN1P/1B4P1/R5K1 b - -,f5c2
7r/2k2pp1/p3p2p/1p2P3/3N4/1PnB3P/5PP1/5K2 w - -,d4c2
r4rk1/pp2Qpp1/4bn1p/1R2qp2/2B4B/8/P1P2PPP/5RK1 b - -,e5e4
3r1qk1/1brn1p1p/pN1p2p1/P1pPP3/1p3P2/1P4PP/5QB1/3RR1K1 w - -,e5d6
3B4/6pk/1p6/1P1Bpp1p/4P2P/5PP1/4K3/3r4 b - -,d1a1
1r2rb1k/1q1n1ppp/b2pp3/7n/Np2P3/1B1NBP2/1PPQ2PP/R2R3K b - -,h5f6
r3r1k1/5ppp/1q2n3/1p1pP3/3P3P/bP1Q1NP1/3B1P2/3RR1K1 b - -,e8c8
k4rqr/3p4/nB1Np3/2p1P2p/P1P3p1/8/1P3PPP/4RR1K b - -,h5h4
r2r2k1/p4pp1/4b2p/2Rp4/3Q4/3BP3/PP3qPP/5R1K b - -,f2f1
4rr2/5kpp/p2q4/1pbP3P/4QP2/P7/1PP1B3/2KR3R w - -,e4g2
3r2k1/2b1qpp1/p4n1p/1p6/4p3/PQ2P1P1/1P1N1PBP/3R2K1 w - -,d2b1
rnbqk2r/pp3ppp/4p3/2Pp4/1b1Pn3/2N5/PP1BNPPP/R2QKB1R b KQkq -,b4c3:e4d2
3r4/8/1R6/p4p2/Pk3P2/4P3/6PP/6K1 b - -,b4a4
1r2r1k1/1pn2bbp/pnp3p1/2N1pq2/1P1P4/P5PP/1BQ1NPBK/1R1R4 w - -,c2f5
r3kb1r/1p1b1pp1/4pn1p/1p1p4/3P3B/2PB4/PP1NKPPP/R6R b kq -,b5b4
3R4/kp4pb/3N1p2/5P1p/8/P5P1/3r3P/7K b - -,d2b2
8/7p/4pkp1/1B3p2/8/1P1KP1P1/5P1P/4b3 w - -,f2f3
3b1r2/2p4k/1p1pB1p1/1P3n2/4RPP1/1P6/5B2/5qK1 w - -,g1f1
4k3/8/4P3/p7/PpP1N1bR/1P5p/6r1/5K2 b - -,g4e6
rn1q1rk1/1p3pbp/p2p1np1/2pP4/P3PP2/2NB1bPP/1P4K1/R1BQ1R2 w - -,d1f3
4r1k1/pp3p1p/1b4p1/8/P7/2P2P2/1P2rP1P/R1B2RK1 b - a3,e8e5
r2q1rk1/2np3p/p1p1pbp1/1P6/PP1PQ3/3B2P1/1B3P1P/R2R2K1 b - -,a6b5
r1bq1rk1/pp1n1p1p/2pb2P1/5p2/2BP4/2N1P3/PP2NPP1/R2QK2R b KQ -,h7g6
r1b2rk1/2qp1pp1/p3pb1p/1p6/4PP2/P1N1Q1P1/1PP1B2P/R4RK1 w - b6,e4e5
1r1q1rk1/p2bb2p/2n1p1p1/1p1pPp1N/3P4/3BP3/PP1B1RPP/3Q1RK1 w - f6,e5f6
8/4R3/8/6p1/4prk1/8/5PK1/8 w - -,e7e4
3r1r2/1b3pkp/p1np2p1/1q6/1p2PQ1P/1P1p1NN1/P4PP1/2RR2K1 b - -,f7f6
r1bq1rk1/4ppbp/ppn3pn/2p1P3/4NP2/5N1P/PPP1B1P1/R1BQ1RK1 w - -,c2c3
3q1rk1/p2b1p2/6rp/2p3p1/1bPpQ3/6P1/PPBN1PPK/3RR3 w - -,e4d5
r7/1p4k1/1qn1brpp/3p4/Pp1PpP2/1B6/2NQ1PP1/RR4K1 w - -,g2g3
rnb2rk1/ppp3pp/5p2/3P1n2/5q2/2Q2N2/PPPN1KPP/R4B1R w - -,g2g3
r4n1k/3r1ppp/nb1NN3/p3P3/P4P2/8/6PP/2RR2BK b - -,f8e6
2r2br1/pp1b1k2/3p1n1p/4p1p1/5p2/1NP1PN1P/PP3PPB/3RR1K1 w - -,e3f4
4r1k1/6p1/p4n1p/1p1pq3/3N3Q/P4P1P/1P4P1/3R2K1 w - -,g2g4
2kr2r1/1p1bpp1p/pq1p3b/2pPnp2/2P2N2/2N1P2P/PPQ1BPP1/2KR3R b - -,b6a5
r1b1k2r/pp1n1ppp/5n2/q1pp2B1/1b1P4/2NBPN2/PPQ2PPP/R3K2R b KQkq -,e8g8:c5c4
2bqnr1k/r2nbppp/pp1p4/2pPp3/P1P1P3/2NQ2PB/1P2NP1P/R1B2R1K b - -,g7g6
3rr1k1/5pbp/n5p1/3n4/b2B4/5NPP/PP2PPB1/R3R1K1 b - -,d5b4
1r1q1rk1/2p2pp1/1bppbn1p/p3p3/4P3/1PPPBNNP/P3QPP1/R3K2R w KQ -,e1g1
1r6/3r1pk1/3p2p1/1ppNP2p/2Pb1PqP/1P3QP1/4R1K1/4R3 b - -,d6e5
7k/4q1p1/2bp3p/2b1pPP1/1pP1P3/1P1Q1BNK/r7/3R4 w - -,g5h6
3k4/5ppp/2B5/p1KP4/1r4PP/5P2/8/8 w - -,d5d6
2rqkbnr/pp4p1/2n1ppp1/1B1p4/3P2PP/2N5/PPP2P2/R1BQK2R w KQk -,b5d3:d1d3
6k1/ppp5/r4r1p/3p4/3P4/2P1Rp2/P4P1R/6K1 w - -,h2h3
r5r1/3b1p1k/p2p1q1b/1p1Pp2B/4PN1P/4B3/PP1Q4/1K3R1R b - -,e5f4
8/p1r1ppk1/6p1/1p1Pq2p/3R4/2P3P1/3Q1PKP/8 w - -,h2h4
r6k/1p3q1p/3p2n1/3Qp1B1/2P4P/5P2/1P6/rNKR2R1 b - -,f7f5
rnbq1rk1/ppp1bppp/1n6/8/2BP4/2N2N2/PP3PPP/R1BQK2R w KQ -,c4b3
r3kb1r/pp2pppp/n1n5/4P3/2B2Bb1/P4N2/1P3PPP/RN1K3R w kq -,b1d2
1qb1nrk1/3nppbp/p2p2p1/2pP4/P3P3/2N5/1P1NBPPP/2BQ1RK1 w - -,d2c4
8/3nkp2/6p1/R1p1P1Pp/P3R3/4K1P1/8/5r2 b - -,f1f5
r1b2rk1/2q1bppp/pn1ppn2/8/3NPP2/1BN1B3/1PP3PP/R2QK2R w KQ -,e1g1
8/pp4pr/3k1b2/3pp3/6B1/7P/PP4P1/5RK1 w - -,f1d1
1rb2rk1/4bppp/p3p3/2p3P1/1q2PP2/1BN5/1PP1Q2P/2KR2R1 w - -,g1g3
2rq1rk1/pp3ppp/1nnppb2/3P1b2/2P5/1PN1BN2/P3BPPP/2RQ1RK1 b - -,f6c3
2kr3r/B4ppp/2p1pn2/8/1bp5/2N3P1/PP2PP1P/R3K2R w KQ -,a2a3
r4r1k/pbpn2pp/1p1bp2q/5p2/1PBPn3/P3PN2/2Q2PPP/R1BR1NK1 w - -,c2b3
8/8/3B4/1kp5/p5p1/1bP1P3/1K6/8 w - -,d6e5
1B3rk1/1p3p1p/p2Q2p1/P1p5/6b1/8/1Pq3PP/R4RK1 w - -,d6f4
2r2rk1/1pq1n1bp/4p1p1/1p1pP3/1P6/P3B3/2NQ1PPP/R3R1K1 w - -,e3c5
r1r5/p4pkp/1p1pp3/2p2p2/1PP5/P2P2P1/4PPKP/RR6 w - -,a3a4
4rbk1/5pp1/2p4p/3n1P2/P1pp4/6BP/PqPQ1PP1/2NR2K1 w - -,d2d4
8/8/pk6/3B2pP/3K1rP1/8/2P5/8 w - -,d4e5
4r2k/1p4p1/7p/4q2P/8/P2Qp3/2P3P1/4R2K w - -,d3e2
rn1q2rk/2p1Q2p/p2p4/4PN1P/1p1P4/5P2/PPP2P2/R3K2R b KQ -,b8c6
8/5r2/4p3/2k5/7R/4N3/8/6K1 w - -,h4e4
r5k1/p2nb1pp/2pq4/1rpbpp2/N7/3PBPP1/PPQNP2P/R1R3K1 w - -,b2b3
