8/2R5/5kp1/P4n1p/8/1r5P/8/5K2 w - h6,a5a6
r7/1b1p1pkp/1r2p3/7R/3P4/1B4P1/P4P1P/2R3K1 w - -,h2h3
r3qrk1/pp2b3/4p3/1P1pPp2/7p/4PPNP/2Q2P2/R4RK1 w - -,g3e2
r1b2rk1/ppq1p1np/8/2pP1p2/2P5/P2B1NPP/1PQ5/2KR2R1 b - -,a7a6
r3k2r/3qnp2/3p2p1/p1pPp2p/Pp2P2P/3P1NP1/1P3PK1/R1Q4R w q -,c1g5
r2q1rk1/pp1nbpp1/2p1p1p1/3nP3/8/6P1/PPPN1PBP/R1B1QRK1 w - -,e1e2
r7/pp5p/3PNkp1/1r6/4p3/2P3PP/PP4B1/R5K1 w - -,e6c7
r2r3k/1pb1q1p1/p3p1B1/1b4P1/7P/1NPRB3/2QK4/1R6 w - -,d3d8
3rr1k1/5ppp/pp2b3/2p5/q1P1PN2/P1QR1P2/6PP/K1R5 b - -,d8d4
1r2rn1k/N1p3bp/1p1pbq2/5P2/2P3P1/5B2/PP1Q1B2/2R1R1K1 b - -,h7h5
2r5/R1b1kpp1/P1P5/3n4/4P3/5P2/8/4BK2 w - -,e4d5
r4r2/2pnqppk/pp1b3p/3Pp3/P1N1P2n/1Q2BPN1/1P4PP/R4RK1 w - -,a1d1
6k1/ppp1b1r1/2n3q1/5pB1/3P1P1P/P1P5/1P1Q2P1/4R1K1 b - f3,e7g5
rn1q3r/1bk1bppp/1p2p3/pP1pP3/2pP1P2/P1P5/2BQN1PP/R3NRK1 b - f3,g7g6
8/3rkp1p/1R2p3/1P5r/2B2b2/1P3N1P/4KPP1/8 b - -,f4d6
7r/8/8/8/R4k2/5B2/5K2/8 b - -,f4g5
r1q1kb1r/1p3ppp/p1n1pn2/3p1b2/5B2/1QNP1NP1/PP2PPBP/R4RK1 b kq -,f8e7
8/6pp/2k5/1Nb1pp2/2P3P1/5P2/P3K2P/8 b - g3,g7g6
rn1qr1k1/ppp2ppp/1n1p1b2/5b2/2PP4/2N2N1P/PP2BPP1/R1BQ1RK1 w - -,c1f4
r7/2n2pp1/pk5p/RpN5/1KpPP3/5PP1/7P/8 b - -,a8d8
8/R1k5/8/5K2/Pr5p/1P6/8/8 b - -,c7b6
8/8/3k2pp/8/5K2/6PP/P7/8 w - -,h3h4
2br1k1r/pR4p1/2p2B2/6p1/2PN4/1P6/P4P2/4R1K1 b - -,g7f6
r1b5/1p3k1p/p2r1n2/P3n3/4P3/2N5/P1P2PPP/R1B2RK1 b - -,d6c6
5k2/1p4p1/p1b5/P1K2P2/1P2P3/3P2R1/1r6/8 b - -,b2d2
8/5pk1/4p1p1/5nP1/1R1P1P2/1P4rp/P2R1K2/8 w - -,d2d1
2k5/4Q1p1/p1p2p2/B2p4/3P2qp/8/PPP2P2/2K5 b - -,g4g1
3q4/pp4pk/4p1rp/3pQ3/2pP4/2PbR2P/PP1N2PK/8 b - -,d8h4
5rk1/p4r2/bp1q3p/3P2p1/2P2bP1/3QR1N1/PP4PN/4R1K1 b - -,a6c4
4K3/8/2PkB3/b2P2p1/8/5P2/8/8 b - -,a5b6
2rqk2r/pp1bbppp/2nppn2/8/3PP3/P1NB1N1P/1P3PP1/R1BQ1RK1 b k -,h7h6
2kr1br1/ppnbp3/1qpp2p1/3P2B1/1P2P1n1/P1NQ2P1/2P1N1B1/R3K2R w KQ -,h1f1
8/r2k2p1/pR5p/1p6/1P1KP3/P7/6PP/8 b - -,d7c7
r1bq1rk1/4bppp/ppn1pn2/3p4/1PP5/P4NP1/1B1NPPBP/2RQ1RK1 b - -,c8b7
2rqr1k1/p4pbp/1pn1p1p1/3p1n2/3P1B2/2PQ1N1P/PP1NRPP1/2R3K1 b - -,g7f6
2q2r2/1R1Q1pkp/3pp1pn/8/8/3P1BPP/4PP2/6K1 w - -,d7d6
r3k2r/pb1qppbp/1pnp2p1/2p2n2/1PP5/P1NP1NP1/3BPPBP/1R1Q1RK1 b kq b3,e8g8
r4r2/1p1nppkp/p1pp2p1/q2P3R/4P3/2NB1P2/PPPQ1P2/2KR4 b - -,g6h5
2kr3r/pbqnbp1p/1pp1pp2/8/3PN3/3B1N2/PPP1QPPP/1K1RR3 w - -,h2h4
r3r1k1/1bp4p/p5p1/2p3N1/2P3P1/1P5P/P4R1K/5R2 b - -,e8e3
7k/8/8/P7/1P2Q1p1/4K3/6P1/2q5 w - -,e3d4
1r3bk1/2r2p2/p2N3p/2PRPPp1/1P6/2BK4/7P/8 w - -,d6e4
3q3k/1r1p3p/p1p1rN1n/2p4p/2P1P3/PP6/1B4Rp/5R1K b - -,b7b3
r1bqr1k1/1p3pbp/p4np1/3pN3/8/1PNBP2P/PB3PP1/R2Q1RK1 b - -,e8e5
r3kb1r/1bqp1ppp/ppn1pn2/8/2PNP3/2N1B3/PP2BPPP/R2Q1RK1 w kq -,a1c1
r1bqk2r/p1p2ppp/5n2/2bp4/8/2NB4/PPP2PPP/R1BQK2R w KQkq -,e1g1
2r1r1k1/1pq2pp1/p1b2n1p/2pp1P2/3PnPPP/P1NB2N1/1P4K1/1Q2RR2 w - -,g4g5
rn1qkb1r/pp3ppp/2p1pn2/3p4/2PP4/3QPN2/PP1N1PPP/R1B1K2R b KQkq -,b8d7
rnbk2nr/ppppb2p/8/4N3/4PQ2/2N5/PPPP3P/R1B1KB1q b Q -,b8c6
r1b1kb1r/1p3ppp/p1q1pn2/3P4/5P2/2NB4/PPP1Q1PP/R1B1K2R b KQkq -,f6d5
r2r2k1/p1Rbppbp/1p1q2p1/3P4/4PP2/1P1QB3/4B1PP/2R3K1 b - -,e7e6
8/5b2/2pk1p2/p1p4p/1p2PP1P/P1P4B/1P1K4/8 w - -,h3c8
r1bqk2r/pppp2pp/2n2n2/1B2p3/1b2P3/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,d7d6
3b4/1k6/6p1/1P1K1p2/5P2/4B3/8/8 w - -,d5c4:d5e6
1r2kb1r/3qn1pp/3pb3/pp2ppB1/1N2P3/2P5/PP3PPP/R2QKB1R w KQk -,g5e7
r3r1k1/1bqnbppp/pp6/4pP2/P3B3/1N6/1PP1QBPP/3R1RK1 b - -,b7e4
3r1rk1/p1Nqbpp1/1p6/3pBb1p/3P4/1Q5P/PP3PP1/2R1R1K1 b - -,h5h4
7k/2Pb2p1/2p1p2p/4Pp2/p4P2/6P1/PP4BP/6K1 w - -,g2c6
r1b2rk1/pp3ppp/5n2/2bp4/5B2/1N1BP3/PP3PPP/R3K2R b KQ -,c5b4
8/4b2k/6pp/N2Bp3/5p2/5P1P/1r4P1/6K1 b - -,e7h4
2b2rk1/1p5p/4p1p1/1RB2p2/8/1P2P1P1/5PBP/b5K1 b - -,f8f7
3q1rnk/1p4np/p2p2p1/3Pppb1/4P3/1P1BNPP1/P2B3P/2Q2R1K w - -,h1g2
2r5/5pkP/4p1p1/3p2P1/1prP1K2/3R4/PR3P2/8 w - -,f4e5
8/1R2k3/6Rp/8/7P/4rrP1/6K1/8 b - -,e7f8
1r1qr2k/6b1/p2p3p/2p1n3/1pP1BN2/1P4PP/P1Q5/2BR2K1 b - -,b8c8
6k1/2R2p2/pBB4p/P5p1/1bb5/1n5P/6P1/7K w - -,c6a4
r2qr1k1/pp4pp/2p1bb2/5p2/2Np4/3P1QPP/PPP2PB1/4RR1K w - -,e1e2
4r1k1/pp1qr1p1/5b1p/P1PQ2n1/R2P2b1/4P1B1/5PB1/1R4K1 b - -,g8h8
1rb1nr1k/3pq2p/pPp3p1/4P3/N4p2/3Q1P2/PPB3PP/3RR1K1 w - -,d3c3
2br2rk/p5b1/1pn1q1Q1/4p2P/4P1p1/B1PP4/PP2B2N/3R1RK1 b - -,g4g3
r1b1k2r/1pqnbp2/p2pp3/4n1p1/3NP3/2NB2B1/PPP2QPP/1K1R3R b kq -,b7b5
2kr3r/2q2p2/b2bp2p/p1pp3P/Pp1n2N1/3P2P1/1PP2PB1/R2QRNK1 w - -,c2c3
2bq1kr1/5p2/p2p4/p1pPp1P1/PrN1PnPp/1P3P2/2PN3R/R1Q4K b - -,h4h3
8/8/8/1p1k1p2/3P4/2K3P1/3N1n2/8 w - -,c3b4
r4rk1/1ppbqp1n/3p2p1/2nP3p/p1P1PP1N/P5Q1/1P1N2BP/R4RK1 w - -,a1e1
r3nk2/1b3ppp/B2p4/2P1p3/4P3/R1N3P1/1r3P1P/3R2K1 w - -,d1a1
r7/q7/2Q1ppk1/2Pp1bpp/3P4/1R3N1P/5PPK/8 b - -,a7a4
8/8/p2n1k2/5P2/1p1NK2P/6R1/5r2/8 w - -,e4e3
r3r1k1/1p3p1p/p7/2QP3n/P1P3bN/2N3P1/RPq1p2P/4R2K w - -,c5d4
5k2/5p2/5P2/4PPR1/8/5K2/r3r3/8 w - -,g5h5
8/6Bp/7P/6k1/2p1n3/1p6/1P6/2K5 b - -,g5g4
8/R4p2/6k1/6p1/1p1np1P1/1P5P/P4BK1/3r4 b - -,d1d2
2r2r2/p3bk1p/1p2p3/3bB1p1/2PPNp2/1P6/P4NPP/4R1K1 b - -,d5e4
r2r2k1/pb2qpp1/1p3n1p/1N1np3/1PB5/P3PN2/4QPPP/2RR2K1 b - -,a7a6
r3r1k1/p1q1npbp/1p3np1/2p1p3/1PPpP2N/P2P1BPb/1B1N1P1P/R2Q1RK1 w - -,h4g2
8/1r4p1/1P6/7p/1R6/5k2/2K5/8 w - -,c2d1
3r2k1/5pbp/2p1b1p1/p7/N7/1P2PP2/P2r1PBP/2R2RK1 w - -,a4c5
