8/R4pkp/8/6Pp/1p3PK1/pr6/8/8 w - -,g4h5
rr4k1/1b2npp1/1R1bp2p/p2pN3/2pPnB2/2P1PN1P/P3BPP1/2R3K1 b - -,b7c8
3r1rk1/ppq1bp1p/4bnp1/4p3/1n2p2N/1PP3P1/PB1N1PBP/R2QR1K1 b - -,b4d3
8/2b5/2n1p1p1/3kPpN1/5P2/6P1/4K3/8 w - -,g5f7
8/8/3p1q2/3Pp1k1/2Q5/8/6P1/6K1 b - -,f6f4
8/8/3n1k1N/2pP1ppP/n1P3P1/3K1P1B/8/8 b - -,a4b2
r1bqkb1r/pp2pppp/1nn5/8/3p4/1QN1PN2/PP3PPP/R1B1KB1R w KQkq -,f3d4
rn1qkb1r/1b3ppp/p4n2/2pP4/PpB5/6N1/1P3PPP/R1BQK1NR w KQkq -,c1g5
r1bqr1k1/1pp2p1p/p2p2pB/2P1b3/3n4/2N3P1/PP2PPBP/R1QR2K1 b - -,c8g4
1rb2r1k/1n3nbp/p2p1q2/2pPpp2/P1P5/2NB1P2/3QNBPP/1R3RK1 w - -,b1b6
8/4k3/pp4p1/P1pP1p1p/2K2P1P/1P3P2/8/8 b - -,b6a5
rn1qkb1r/pp3ppp/2p1pn2/3P1bB1/3P4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,e6d5
3r2k1/3q1p1p/2p2bp1/1p1n4/3N4/PB2p1B1/1P3PPP/3RQ1K1 w - -,d4f3
r3r1k1/p1p2ppp/4bn2/4q3/3Q4/6P1/PP2PP1P/RNBR2K1 b - -,e5e2
8/p5k1/p1R5/5Bp1/3P2P1/8/5nPK/r7 b - -,a1a4
rn1qk2r/pbpp1ppp/1p3n2/3p4/1bP1P3/2NB4/PP3PPP/R1BQK1NR w KQkq -,c4d5
1rb2rk1/p2nppbp/1qp3p1/3pP3/3Q1P2/2N1B3/PPP1B1PP/1R3RK1 w - -,c3a4
r2r2k1/pq1nb1p1/4pnQp/1p3N1P/3P1P2/8/PP1B2P1/1K1RR3 b - -,e6f5
r2q1rk1/1b1nbpp1/pp1ppn1p/8/3P3B/2PB1N2/PP1N1PPP/2RQR1K1 w - -,d3b1
rn1q1rk1/1bp2ppp/p2bpn2/1p6/3P4/5NP1/PPQBPPBP/RNR3K1 b - -,b8d7
2rqnrk1/4bppp/p2p4/1p1Pp1P1/7P/1N1bBP2/PPPQ4/2KR3R w - -,d2d3
rn1qk1nr/pp4b1/2p1ppp1/3pPbBp/2PP4/2N2N1P/PP3PP1/R2QKB1R w KQkq -,e5f6
3R4/2r2k2/5p1p/2pp4/3P2P1/4P1KP/5P2/8 w - -,d4c5
2r2rk1/1bqnbppp/pp1ppn2/6B1/2P5/P1N1P2P/1P1NBPP1/2RQ1RK1 b - -,f8d8
1krr4/pp3pp1/4pq1p/3p4/5P2/5NP1/PPPQN2P/2KR4 w - -,e2d4
3nrrk1/R3p1b1/2pp2q1/3P2pp/2P3n1/B1N1P1P1/P2NQ2P/5RK1 w - -,f1f8
2b5/6kp/p5r1/N7/2P1p3/8/PP2R1P1/2K5 w - -,b2b4
3r4/pR6/3b1k2/8/1P2p3/4K3/P7/8 w - -,e3e4
r5k1/3Qqp1p/2p3p1/p7/8/1P4PP/P4PB1/2RRr1K1 w - -,d1e1
r1b3k1/1p3p1p/pn1p1qp1/2pP4/P4BP1/1Bb1P2P/4KP2/1R1Q3R b - g3,c8d7
8/4kp2/P1b1p2p/3r1p2/1p1p1P2/6P1/7P/R1R3K1 b - -,c6a8
r1br2k1/p4ppp/1pnqpn2/8/2PP4/1Q3N2/PB2BPPP/R4RK1 w - -,f1d1
2Bk4/3P2pp/5p2/p7/1pRN2PP/1P2q3/P3pK2/8 w - -,f2e3
n1r1nrk1/3b1pb1/p2p2p1/q1pPP3/Pp3P1p/4BB1P/1P1QNNP1/R1R3K1 w - -,f2e4
8/p3rpkp/1p6/4r3/6Q1/1P3K2/P6P/8 b - -,g7f6
8/5ppk/7p/8/6P1/5p1P/5P1K/8 b - -,h7g6
1rqnnrk1/4bppp/p2p4/1ppPp2b/P3P1P1/2P2N1P/1PB1QP2/R1BR1NK1 b - g3,h5g6
4r3/1p1r2p1/p5kp/2P2R2/PP1P2PP/2B2P2/5K2/8 b - g3,d7e7
r1bq1rk1/pp2b1pp/2n1p3/3p1p2/2PPn3/1PNB1N2/PB3PPP/R2Q1RK1 w - f6,c4d5
1r3rk1/2pnqppp/p1npb3/4p3/P1P1P3/3PPN1P/B1QN2P1/R3R1K1 w - -,c2c3
1R4k1/5nbp/6p1/3p1b2/1p1Pp1P1/4B2P/1P1NBPK1/4r3 b - -,g7f8
8/7p/3p1kp1/3P4/1p6/1P2p2P/P1NbK1P1/8 b - -,f6e5
r3r1k1/3b2pp/1ppp1q2/5p2/2PPnN1P/P3PRP1/1B4Q1/4R1K1 b - -,f6f7
r7/8/rpp1b3/P1RpPp1k/1K1P1PpP/4P3/2B5/7R w - -,b4c3
r1b3nr/1p1nq1kp/2p2pp1/p3p3/P3P3/2Q1BN2/1PP1NKPP/R2R4 w - -,h2h3
1rr3k1/pp1bppbp/2np1np1/q7/2P5/1PN3P1/PBNQPPBP/R2R2K1 b - -,a7a6
2k5/p2b4/1p6/1P2p3/2PpP3/1K1P1p2/4q3/2Q5 b - -,e2d3
3r1r1k/1pR2p1p/p4b1N/3Pp2p/q4B2/7P/1nQ2PP1/1R4K1 w - -,c2a4
2rr4/p3nk2/bp2p2p/P4p2/2PPnPp1/1N6/5BPP/2RR1BK1 b - -,d8d7
8/2n2pk1/3p2p1/6Pp/r3P2P/p3K3/R4P2/5B2 b - -,f7f6
1k1r1b1r/pbp3pp/2p5/3pnP2/1qP1p1Q1/1N3BP1/PP1B3P/R3K2R w KQ -,d2b4
2rbk3/1nr2pp1/p3p2n/4P3/1p1R1PP1/1P1P2N1/3B3N/2R3K1 w - -,c1c7
r1qr4/1p2k1pp/p2p1n2/4pb2/2Pn4/N1NB4/PP3PPP/R2Q1RK1 w - -,a1c1
3q1rk1/3n1p2/Qp1r2p1/7p/P2PR3/5B1P/5PP1/4R1K1 b - -,d7f6
r1bqnrk1/p2nbp1p/1p1p2p1/2pPp3/1PP1P3/P1NBBPN1/3Q2PP/1R3RK1 w - -,e3h6
rn2k2r/pp2bppp/1Qp2n2/3p1b2/5B2/2NP2P1/PP2PPBP/R3K1NR b KQkq -,a7b6
r6r/5k2/1p1p2p1/2QPnp1p/p1P5/2R5/PP2B1PP/3R2K1 b - -,b6c5
3R4/1p3pk1/3P2p1/6P1/p4K2/3r4/7P/8 w - -,f4e5
8/3k4/8/2P1p2P/1n2P3/3pbK2/p7/R7 b - -,e3f4
6rk/1p2pq1p/2rp1ppB/1Nn1bP2/p1P1P3/Pn2Q2P/1PR1B1P1/3R3K w - -,e2g4
rr4k1/3nppbp/1q1p1np1/2pP4/P3P3/2N2NP1/1PQ2PKP/R1B4R w - -,c3b5
r2qr1k1/ppp2ppp/1nnp1b2/8/2PPNB2/5N1P/PP2BPP1/2RQ1RK1 b - -,e8e4
5k2/5p2/1p5r/p2b4/1b1P4/3K4/PP1N4/6R1 w - -,d2b1
1r3rk1/p3bpp1/1q2p3/3pP2p/3PbP2/4N1B1/QP1R2PP/2R3K1 w - -,g3f2
r3kb1r/1b1n1pp1/p3p2p/4q3/1p1N3P/4B2B/PPPQ4/2KR1R2 b kq -,f8c5
rnb1k2r/pp2bppp/3p1n2/2pP4/2P2B2/5P2/PP1K2PP/RN3BNR b kq -,f6h5
8/1p2B3/2b1p3/2P1Pkp1/4r3/4K3/7R/8 w - -,e3f2
r1br2k1/ppp1qppp/2n2n2/4p3/1PP5/P1Q1BNP1/4PPBP/R3K2R b KQ -,c8g4
8/5pk1/6pp/8/1P2q3/P4nQP/5P2/6RK b - -,f3h4
1R6/1p1r3p/p4kp1/5p2/P4P1P/1P2P3/4K3/8 b - -,f6g7
1r4k1/5pBp/2nq2p1/Rp6/2p5/2P2N1P/5PP1/1Q4K1 b - -,c6a5
6k1/2p4p/p7/3p1p2/1N1P4/1P2b3/1r3nPP/1R2R1K1 b - -,b2b1
5krn/bpp5/4pn1p/pP1pPp2/P2P1P1B/2PB1K1P/8/7R w - -,h4f6
3r2k1/2R3p1/4p1B1/1p2p3/8/P5PP/5PK1/3n4 w - b6,c7c2
4r1k1/p7/1p2r1pb/2p4p/1PPpP3/P2K2P1/4R2P/3N1R2 w - -,b4b5
1r1q4/6bk/6pp/1pp1N3/3nP3/B2P2PP/1RP4K/5Q2 b - -,b5b4
rb3rk1/pb1nqppp/1p3n2/1Npp4/3P4/1P1BPN2/PBQ2PPP/3RR1K1 b - -,f8e8
6k1/p2qnp1p/1p1R2p1/8/2Q5/1N3PP1/PPP3KP/8 b - -,d7d6
8/2r2pk1/6p1/2pB3r/3b4/7P/P1R3KP/4R3 w - -,d5b3
3rr1k1/5p1p/5np1/p2Pq3/1p2p3/1P3P2/1PPRQ1PP/R3N2K w - -,a1a5
4br1k/p5p1/r1p4p/4N3/4p3/1P5P/P4PP1/2R1R1K1 w - -,c1c2
6k1/R7/5p1K/5PP1/1r6/8/8/8 b - -,f6g5
r2qk2r/pp2bppp/2np1n2/4pbB1/2P5/1NN1P3/PP2BPPP/R2QK2R b KQkq -,h7h6
r3k2r/ppqn1pp1/2p1pn1p/3pNb2/3P1PP1/1QP5/PP1NBP1P/R3K2R b KQkq g3,f5h7
