5n2/4bp2/6k1/3R2P1/7P/p4K2/P7/8 w - -,f3g4
8/3b4/3k4/p2p2pr/3N4/1PP2P2/3K4/R7 w - -,a1a5
r7/1p3q1p/1n1kp3/p1p3Q1/P1P5/5bP1/1B2B2P/5RK1 b - -,f7h5
2r2rk1/1pp3pp/3n4/p2Ppb2/8/PP2P1P1/1N4BP/2R2RK1 b - -,f8f7
8/1r6/1P1k4/3n3p/3N1p2/7P/1R3K2/8 b - -,d6e5
r2qrbk1/pb1n1ppp/1p3n2/2pp4/8/1P1P1NP1/PBQNPPBP/R3R1K1 w - c6,e2e4
r1bq1rk1/1pp2pbp/p2p1np1/2n3B1/2PNP3/2N2B2/PP1Q1PPP/R4RK1 b - -,c8d7
2bq1rk1/1p1nnpbp/r2p2p1/1NpPp3/2P1P3/1N2B3/P1Q1BPPP/R2R2K1 b - -,f7f5
rnbqk2r/4ppbp/p2p1np1/1PpP4/4P3/2NB1N1P/PP3PP1/R1BQK2R b KQkq -,e8g8
r2r2k1/pp3pp1/4b2p/2p1q3/1QP5/8/PP2BPPP/R3R1K1 w - c6,b4b7
2r1n1k1/p1r4p/bpn1pqp1/3p4/3P3Q/2N1P3/PP1R1PPN/1B4KR w - -,h4g3
6k1/p6p/1p4pB/1P2bb2/3p4/Pn6/3N4/5RK1 b - -,b3d2
r1bq1r1k/p5b1/2p4p/2pnpp2/2B5/2N1B1P1/PPQ2P1P/R3R1K1 w - -,e3c5
r2q2k1/pp1b1rpp/4p3/3pBn2/5P2/PP3R1P/6P1/RB2Q2K b - -,d8h4
r1r3k1/1q2bppp/p1bn4/1ppBp3/P3P3/2N1NP2/1PP1Q1PP/R2R3K w - -,d5c6
8/p7/1p6/1k1p2p1/3Pb1K1/PP2N3/6P1/8 b - -,a7a5
3R4/5p1k/7p/8/1b4pP/1bpp2P1/p7/B4K2 b - -,c3c2
8/1p2n1kp/3r4/prR5/P2n1R2/4N1P1/5P2/6K1 w - -,f4g4
rn3rk1/1pq2ppp/p2p1bn1/2pPp3/NPP1P1QP/4B1PB/5P1K/R4R2 w - -,b4c5
b1rr2k1/q4pbp/1p1pp1p1/1P2n3/n2NP3/P1R1BP2/1N2Q1PP/1B1R2K1 w - -,b2a4
r1b1kb1r/3q1ppp/p3pn2/1p6/3N4/1B6/PPP2PPP/R1BQR1K1 b kq -,c8b7
2rr4/pb2qpbk/1pn1p1pp/7n/1P1PN3/P2QBN1P/B4PP1/2RR2K1 w - -,d3e2
rn2kb1r/pp2qpp1/2p2n1p/4p3/4P1b1/1BN2N2/PPP1QPPP/R1B2RK1 b kq -,e7c7
8/8/8/2n2K2/2k2N2/8/1b6/8 b - -,b2c1
4k3/1R5p/8/P4R2/1pP2PK1/1P1r2P1/7r/8 b - -,d3b3
8/p7/K3k3/1P2p1p1/PNr3P1/4P2p/3R2bP/8 w - -,d2b2
8/p3bkp1/1pbqp2p/2p5/P1Q1P3/2N3PB/1P3P1P/6K1 b - -,e7f6
r2b4/1R1b1pk1/3p2pp/r1pPp3/P1P5/R1N4P/2B2PP1/6K1 b - -,d7c8
r1bq1rk1/ppp1bppp/2n1pn2/8/2PPN3/P3B1N1/1P3PPP/R2QKB1R b KQ c3,a7a5
r2q1rk1/1p1nbppp/2p2n2/p1P1p3/N2pP3/P2P1BP1/1PQ2P1P/R1B2RK1 w - -,f3g2
8/8/p7/8/r3pR2/4P1k1/3K4/8 b - -,a6a5
b2k1b1r/p2pq2p/1p1n2p1/4p3/3n1p1P/1BNQ4/PPPP1PP1/R1B1K2R w KQ -,b3d5
1q4k1/5p1p/6p1/np6/2pN4/2P4P/5PP1/1Q4K1 b - -,b8e5
r4r1k/pq5p/4PPpb/1bp5/1p6/5N1Q/PPP3PP/4RRK1 w - -,h3h6
1rbq1rk1/3nbppp/p3pn2/1pp1N3/3P4/2NBPQ2/PP3PPP/R1BR2K1 b - -,c8b7
5b1k/1b2p2p/4p1p1/pp2P3/3Q1P2/P6P/1P1R2PB/1qr2NK1 w - -,d4d3
8/8/3p1kP1/3P2r1/3K4/3B4/8/8 w - -,d3c2
8/p4Qpk/2p1p1p1/1p1rP3/6PP/8/P1q5/5R1K w - -,f7f4
8/1P2k3/3N2p1/4P3/4PK2/7P/6P1/1r6 w - -,g2g4
8/6k1/1N1R4/2p5/6pP/4P1P1/5K2/2r5 b - -,c5c4
2kr1b1r/p1ppq1pp/b1p5/3np3/2P5/1P6/PB1NQPPP/R3KB1R w KQ -,e1c1
8/5p2/4k2N/2B1P1pn/8/3r4/7K/8 w - -,h2g1
3k4/6p1/3p1p1p/3PpP1P/3qP3/1PR2B2/1K6/8 w - -,b2c2
7r/5Pk1/p5P1/4P3/1p3R2/7B/PP4b1/K7 b - -,g2h3
6k1/4r1p1/N3p2p/1R6/8/5P2/2P1K1PP/6b1 w - -,h2h3
3q1k2/8/1p2N3/p5pp/2Pr4/P2bRPP1/4Q3/6K1 b - -,f8g8
8/4R3/1r2bk1p/5rp1/2p2p2/2N5/P4PPP/4R1K1 w - -,e7h7
1k1rr3/1ppq1p2/p2p2p1/5b1p/2PQ3P/1P3P2/P1P3P1/1K1R1BR1 b - -,e8e7
r1bqk2r/pppn1ppp/8/8/3P4/5NP1/P2QPPBP/R3K2R b KQkq -,e8g8
3rbk2/1p2q1pp/p3p3/3pP3/N2P4/8/PP1Q2PP/4R1K1 w - -,a4c5
6k1/5pp1/p3p3/4Pn2/5r1p/P2R3P/5BP1/6K1 b - -,f4e4
6r1/ppp2k1p/2b5/4P3/3n1PP1/4R3/PP3R1P/6K1 w - -,e3g3
rnb1k2r/ppp1qppp/3ppn2/8/2PP4/P1PBP3/5PPP/R1BQK1NR b KQkq -,e6e5
8/5p2/2p1rb2/ppPr1kpp/3P1p2/PP3P2/3RRBPP/3K4 w - h6,h2h3
7R/8/8/3K4/5k2/7p/8/8 b - -,f4g3
8/2QR1qk1/6p1/P1p5/4p1KP/5r2/1P6/8 b - -,f3f4
r7/1p2kb1p/1np2np1/p1N5/2PN1P2/1P6/P4K1P/1R3B2 b - -,a8b8
r4rk1/3bbppp/1qnp1n2/pp2p3/3pP3/2P1BN1P/PPB1QPP1/RN1R2K1 w - -,c3d4
2r4k/pp1RP3/5b1p/1np2pp1/4P3/P4PP1/5B1P/6K1 w - -,e4e5
r2rb1k1/1p2qppp/2pbp3/3p4/2PP4/1PQNPBP1/5P1P/2RR2K1 b - -,e7f6
rnbqkbnr/pp3ppp/2p5/3p4/2PPp3/P1N1P3/1P3PPP/R1BQKBNR b KQkq -,c8e6:g8f6
3r2k1/pp2b1pp/2p2r2/3pnp2/q2N4/P1P1PPP1/1P4QP/2BRR1K1 b - -,e7c5
3r1k2/5p1p/2pq1R2/4p1Q1/1r2p3/3B3R/P1P4P/7K b - -,b4b1
2r1r1k1/1p1n1pbp/1qp1p1p1/p7/3PBB2/2P4P/PPQ2PP1/3RR1K1 w - -,e4f3
2r3k1/pN4b1/2p1bnqp/2PpB3/3Pp1pn/2N1P2P/P3B1P1/3Q1RK1 w - -,h3g4
r1b2rk1/1p4bp/p4qp1/2p5/5Q2/5N2/PP3PPP/RN2R1K1 w - -,f4f6
r1b2rk1/ppp1nppp/2n1p3/1B1q4/3PN3/P7/1PP1QPPP/R1B1K2R w KQ -,c2c3
8/4P1R1/p7/1p6/1P6/8/3K1pk1/4r3 b - -,g2f1
rn1qk2r/pbp1bppp/1p2pn2/3p4/2PP4/1P2PN2/PB3PPP/RN1QKB1R w KQkq -,f1d3
rnbqk2r/pp3ppp/2pb4/4p3/2PpP1Pn/3P3P/PP1NNPB1/R1BQK1R1 b Qkq -,h4g2
8/8/8/8/1R6/3kb3/r7/3K4 w - -,b4b3
5rk1/p1p5/1p5p/4rbp1/8/2P3P1/PP1RNB1P/5BK1 w - -,e2d4
rn1q2k1/p2p1rpp/1p2p3/4Pp2/2PPb3/B3QN2/P4PPP/R4RK1 b - -,h7h6
2kr4/pp1rbppp/6b1/4p1N1/2Pn4/P3B1P1/1P1N1P1P/R3K2R w KQ -,a1c1
r1b1k2r/1pq2ppp/p1n1p1n1/2bpP3/8/2NB1N2/PPPB1PPP/R2QR1K1 w kq -,d1e2
1r4k1/5pbp/2b5/p4p2/5N2/1RP1BPP1/5K1P/4R3 b - -,b8b3
8/6B1/2k5/8/K7/1PP2n2/8/8 b - -,f3d2
4q1k1/pr5n/1r1p1npp/2pP4/b1P1pPpP/Q1B1P2N/P2KB3/6RR w - -,e2g4
r2n1rk1/1pn3b1/3p1qPp/p2PpB2/1p2P1P1/3Q1N2/P2B1P2/1R3K1R b - -,f6e7
4r1k1/R4pB1/8/1p5p/8/2P1Pp1K/5P2/8 b - -,g8g7
rnbq1rk1/pp4b1/2pPp1pp/5p2/3PN3/4PN2/PPP1B1PP/R2Q1RK1 w - f6,e4c5
r3nbk1/ppp2q2/6pp/r2pNb2/8/2PQ4/P1B2PPP/R1B1R1K1 w - -,d3g3
1rb1r1k1/2q2p1p/5nP1/2pP4/8/2bBBN2/5QPP/3R1RK1 b - -,f7g6
5rk1/pr3pp1/1n2p2p/3Nq3/8/1Q4P1/PP3PBP/R2R2K1 b - -,e6d5
8/8/4pk2/1p1pR3/p2P3p/P1P2prP/1P3KP1/8 w - -,g2f3
q7/5p1k/p1R1p1p1/1pQP3p/5P1P/6P1/5P1K/3r4 b - -,d1d5
