8/4KP2/8/8/8/8/6p1/k7 b - -,g2g1q
5rk1/pp5p/2p1q1p1/2N1P3/2P5/8/PP4PP/3RR2K b - -,e6e7
r4rk1/1bqn1ppp/pp1ppn2/1N6/1b2PP2/1N1B4/PPPBQ1PP/R4R1K b - -,a6b5
2q3k1/5pp1/p3p3/1p1bP1P1/r2R1P2/P1P1Q3/1K1N4/8 w - -,d4b4
8/8/5k2/8/5K1P/p2rpP2/6R1/8 w - -,h4h5
rn2kb1r/ppp1pppp/5n2/5b2/2BP4/4PN2/PP1N1PPP/R1B1K2R b KQkq -,e7e6
1rr1b1k1/p4ppp/2p1p3/q3n3/2p1P3/2N3P1/PP1RQPBP/3R2K1 w - -,g2f1
3r3k/3P2p1/1R2Bp1p/8/p3p2P/4P1P1/2nR1PK1/2r5 b - -,h6h5
2r5/pp4k1/6Pp/3N1n2/1PP3R1/8/P2q2P1/5QK1 w - -,f1f5
8/3B4/7p/p7/1p3p2/1P2bK1P/3k4/8 b - -,d2e1
r2qkbnr/1pn1pppp/p1p5/3pP3/3P4/2NbBN2/PPP2PPP/R2QK2R w KQkq -,d1d3
8/RbQ1rk1p/2p3p1/1p1pPp2/3P3P/4PB2/1P2K1P1/8 b - -,e7c7
2r5/1p2rpk1/p4pp1/PP1R4/3R4/5P2/5KPP/8 b - -,c8c2
5r2/p1q3bk/1pb1p1np/5p2/2P1N3/P5PP/2Q3BK/1R3R2 w - -,e4d2
r1r3k1/p4pbp/1p4p1/3qp3/PR6/3PB1P1/4PP1P/1QR3K1 b - -,d5d7
4r3/6kp/3p2p1/4N3/2P1Qp2/2q2B1P/5P2/4R1K1 w - -,e4b7
r2r2k1/pp2np1p/2p2qp1/3p3n/N2P4/P3PP2/1PQ1BP1P/R5RK w - -,b2b4
r3r3/6k1/1pp1bp1p/4p1p1/pP2P3/PqP2NP1/3R1PP1/2Q2RK1 b - -,b3c4
r3r1k1/pp3pb1/2pp3p/2n2Pq1/2Pp1NP1/5BP1/PP3PK1/R2Q1R2 b - -,e8e7
r1b1qrk1/1pp3bp/nn1p1pp1/p2Pp3/2P1P2B/PPN4P/3NBPP1/R2QK2R b KQ -,c8d7
r1br2k1/2q1bppp/p1p1p3/1p2P3/P5Q1/2B3P1/1PP2PBP/R3R1K1 b - a3,c8b7
8/5pk1/1p1pp2p/r1n2P2/P1PKP1P1/8/8/R2B4 b - -,g7f6
3r3k/p3r1pp/2p5/2N2R2/1P2P3/2QB2q1/P1K5/8 b - -,g3g2
8/8/R7/6PK/3p1k1P/1P6/P5r1/8 b - -,g2g4
rr6/2p3kp/3b4/2n2pp1/p7/P1NPP1P1/1PRB2KP/1R6 w - -,d3d4
rn1q1rk1/p3ppbp/1p4p1/2pP4/3P4/BPn1PN2/P2QBPPP/R4RK1 b - -,c3e2
r1b2bnr/1pk2ppp/p1p1p3/4P3/5B2/2N5/PPP2PPP/2KR1B1R w - -,c3e4
3rr1k1/5p2/p4Qp1/q3P3/8/1p4R1/1P3PP1/4R1K1 w - -,e1e3
r1bq1rk1/1pp1npb1/p2pn1pp/1P2p3/2P4P/2NPP1P1/P3NPB1/1RBQK2R w K -,a2a4
r4rk1/ppp4p/2n3p1/2PpP2P/3P4/4K3/PP2B3/R6R b - -,g6g5
r1b2rk1/1pq2pp1/p1p4p/4n3/3QP1n1/1BN2NP1/PP3PP1/3RR1K1 b - -,e5f3
5rk1/pppqr1b1/3pbn1p/1P2p3/2PnPP2/2NQB2P/P5BK/1R3RN1 w - -,f4f5
8/2r5/3pkpp1/7p/1RnBP2P/2P3P1/4KP2/8 b - -,c4e5
3q1rk1/3bppbp/3p1np1/p7/Br2P3/1PN1BP2/2PQ2PP/R4RK1 b - -,d8c7
1r1q1bk1/5ppp/R2p4/p2PpN1N/Pr2n1P1/5Q1P/RP1B1P1K/8 b - -,e4d2
2r1r1k1/ppqnbppp/4p3/3p4/1P1P4/P2QPN2/1B3PPP/2R1R1K1 b - -,c7b6
8/p6p/3nk3/2p2p2/4pP1P/P7/6K1/2B5 b - -,d6c4
r3r1k1/p2n1p2/1ppb2pp/3p2n1/4P1Pq/1PB1P1NP/P1P2PQ1/R4RNK b - -,g5e4
r4knr/1b1n2b1/1q2p2p/p2pPP2/Pp1P2P1/3B1N2/1P2Q2P/R1B1K2R b KQ -,b7a6
r2q1rk1/pb2bppp/1pp1p3/n3P3/3P4/P1P2N2/B3QPPP/R1BR2K1 b - -,a8b8
r3kb1r/pp1b1ppp/1q2pn2/n2P4/2p1P3/2N2NP1/PP3PBP/R1BQR1K1 w kq -,f3e5
5k2/5P2/1p4B1/3P4/3K4/2p5/6b1/8 b - -,g2d5
r2q1rk1/p1p2ppp/2B5/b4b2/3P1P2/P1P1B3/1P4PP/R3K2R b KQ -,a8b8
6k1/1p3p2/p1p4p/2b3p1/4P3/1P3QNP/5PPK/2q5 b - -,c1f4
r2q1rk1/pbn1bppp/2p1p3/1p2P3/3P4/2P1N1P1/P4PBP/R1BQR1K1 w - -,g2e4
r2q1rk1/1bp2pp1/p3pn1p/1p6/3P4/3BPN2/PPQ2PPP/R4RK1 w - -,a1c1
8/3b4/r2p2pk/3P4/2PKN2p/PR5P/6P1/8 b - -,g6g5
8/4k3/6p1/3RP2p/1r1p4/4KPP1/2bN4/8 w - -,d5d4
q3r1k1/1b3n1p/p7/1pQp1Np1/6B1/4PPB1/Pb4PP/2R3K1 w - -,c1c2
4r1k1/3n1ppp/5q2/1Pp5/4b3/8/2QRBP1P/r1N1K1R1 w - -,c2c4
7k/2r3p1/1p2p2p/p3p3/P7/4PP2/P2R2PP/6K1 b - -,c7c6
3k4/7R/8/p1N1P3/PpP3b1/1P3r1p/8/5K2 w - -,f1g1
8/p4k2/3Pn1pp/5p2/7P/P3B1P1/5P2/6K1 b - -,a7a6
2r1qr2/pb2bpkp/1p2pnpN/3nN1B1/3P3Q/3B1R2/PP4PP/R5K1 b - -,c8c7
2k4r/1p4pp/1Qp1pp2/BnP5/3R4/4q3/PP6/2K5 w - -,d4d2
r2q1rk1/1ppn1ppp/p1np4/4pP2/2P1P3/2PP2PP/P3Q1B1/R1B1K2R w KQ -,a2a4
8/8/2p1knQ1/P1P4p/1P3P2/4r1PK/7P/8 w - -,a5a6
2k4r/p1pb2pp/2p5/1pb1r3/2B1p3/7P/PPP2PP1/R1B1R1K1 w - b6,c4f1
5rk1/pR6/N2p2p1/2p1p3/2PnP2q/3PQP1n/P3N1K1/8 w - -,b7b8
r1bqkb1r/ppp2ppp/2n3n1/4P3/2PpPP2/P4N2/1P4PP/RNBQKB1R b KQkq -,a7a5
5k2/2r2b1p/2pqp1pP/p2n1pR1/Pp6/5Q2/1PB2PP1/4R1K1 w - -,f3d3
r1bqkb1r/1p3pp1/p1npp2p/8/4PP2/2N2N2/PPPQ2PP/2KR1B1R b kq -,d8c7
r4rk1/p1pn1ppp/bp2pn2/6B1/3P4/P7/1P1NPPPP/3RKB1R w K -,e2e3
r1bqkb1r/pp2pp1p/2n2np1/2p5/2N5/1P3NP1/P2PPPBP/R1BQK2R b KQkq -,f8g7
1k4r1/p3q3/bpp1p3/3n1p2/2PP2r1/P1N5/1P1R2P1/3RNQK1 w - -,c3d5
rnb1kb1r/pp3p2/1qpp1np1/3Pp1Bp/2P1P3/2NB1P2/PP4PP/R2QK1NR b KQkq -,b6b2
r1b1k1nr/1p2ppbp/p1qp2p1/2p5/3PPP2/2N2N2/PPP3PP/R1BQ1RK1 w kq -,h2h3
3r1rk1/p1qn1pb1/1p4pp/n3p3/P1p1P3/2P1B1P1/1P2QPBP/3RRNK1 b - -,d7c5
8/4pk1p/3q1pP1/r2P4/4Q3/6P1/5P2/4R1K1 b - -,h7g6
8/5pk1/6p1/3qp2p/7P/4Q1P1/5P2/6K1 w - -,e3g5
8/Q1n1k3/3q2p1/2p4p/2B1P3/1P4P1/6KP/8 w - -,a7a1
8/R7/5kp1/2K2b1p/P3r3/2R3P1/8/8 b - -,h5h4
8/1r3ppk/4q2p/3pP1bP/2p5/1rB2RQ1/6PK/5R2 b - -,h7g8
3r2k1/5pp1/p3p1bp/2b1P3/7q/P1Br1RN1/1P2Q1PP/5R1K b - -,d8d5
3Q4/8/pp4pk/5p1p/1P3P1P/6PK/4q3/8 b - -,e2f1
B7/4pk2/6p1/2p2bB1/2P5/b5P1/P3PP1P/6K1 w - -,e2e4
r2r2k1/3P1p1p/p5pB/1p1R4/4R3/b4P2/6KP/8 w - -,h6g5
2r5/7k/1n4pp/p2n1p2/1p1R4/3p3P/PP1B1PP1/3B2K1 b - -,d5f6
r4rk1/pp1bppbp/n4np1/3P4/2B5/1qNP1N2/PP3PPP/R1B2RK1 w - -,c4b3
5R2/ppk5/2p5/8/3Pr1P1/8/PPPK4/8 w - -,f8f7
4r2k/6bp/3pn1p1/2p2pB1/1n5N/2N3PP/PP3P2/3R2K1 w - -,h4f3
4k2r/1p2qp2/p2p1n1p/2pPb3/P3P2R/1P5P/3QB1P1/5R1K b - -,h6h5
2rr2k1/pq2bppp/4p3/2p1P3/1pQ1P3/1P2B3/P4PPP/R4RK1 b - -,b7d7
