8/4r1k1/8/5p2/1pR4P/1p3P2/6PK/8 w - -,c4b4
8/2p3p1/p2p1n2/1p1P1p1k/2P2P1P/1P4K1/P4N2/8 b - -,b5c4
r1bq1rk1/pp2bppp/2npp3/3nP3/3P4/5N2/PP2BPPP/RNBQR1K1 w - -,e5d6:e2f1
4r1k1/p4p1p/2p3p1/3rb3/PB6/1P3R2/5PPP/4R1K1 b - -,e8b8
5r1k/3q2p1/p3R2p/1p6/4QPK1/1P4P1/P6P/8 w - -,f4f5
4n1k1/1p1b3p/1r3r2/2pPqp2/p1PbpN2/6P1/PP1QB1KP/1R1N1R2 w - -,f1e1
7k/7P/5KB1/5N2/1p6/1P6/3b4/8 w - -,f6f7
r3brk1/2p3pR/1p1p4/p2PpPq1/P1P1B2R/1P4P1/4Q1K1/8 b - -,f8f6
2r2rk1/p5b1/4q1p1/4p3/PP1pP1pp/1Q6/3N1PPP/2R2RK1 b - -,e6b3
r4rk1/3nbpp1/p2p1q1p/P1pP4/1pN1P3/5B2/1PQ2PPP/R4RK1 b - -,d7e5
4r1qk/7p/p5p1/6B1/1p5P/5B2/PbR2PP1/5RK1 b - -,g8g7
8/4k1pp/1p3p2/p1pp1KPP/3P4/1PP5/1P3P2/8 w - -,g5f6
r3rbk1/2qn1p2/p4np1/1ppb3p/5B2/2P2PNP/PPB1NQP1/R3R1K1 b - -,c7c6
1R2bk2/2r5/3p4/N2Pp1p1/1P2Pn1p/4KP2/6P1/5B2 w - -,a5c6
2rr2k1/1q3pp1/1nbp1n1p/4pP2/1p2P3/2N1QB2/1PPN2PP/2RR3K w - -,c3e2
2kr3r/1p2bn1p/p3b1q1/2Npp1P1/7P/2P1BQ2/PP3R2/R3KB2 b Q -,e7c5
r3r1k1/2pqb1p1/2nppn1p/pp2p3/P3P3/2PP1NN1/1P3PPP/R1BQR1K1 b - -,b5b4
r2q1r2/1p4b1/n1pp2kp/4Pb1n/1PP1BB2/2NQ2P1/7P/1R3RK1 b - -,d6e5
2r3k1/Q1Pq1p2/4p1pb/4P3/2R5/p4NP1/5PK1/8 w - -,a7a3
1r4k1/4pp1p/BB2n1pb/P7/1P2P3/2q1N1Pb/4QP1P/3R2K1 b - -,c3b4
2r2k2/2r5/p1qnpbp1/1p1p1p2/3PnP1p/1PPQNR1P/P3N1PK/2R1B3 w - -,e3c2
br3k2/5p2/3p2p1/2bP2p1/8/6PP/P1RN1PB1/6K1 w - -,d2e4
rnbqk1nr/ppp2ppp/3bp3/3p4/3P1B2/3QP3/PPP2PPP/RN2KBNR b KQkq -,d6f4
4Nbk1/p4ppp/1p6/3p4/Pn1P1B2/1Pn3P1/5PBP/6K1 b - -,c3e2
5rk1/1p3p2/p3p1p1/q1b1p1Pn/4P3/1P2B2P/P2RQ1B1/6K1 w - -,e2f2
1r1q1rk1/2nbp1bp/3n2p1/2pPBp2/1pP5/1P3NNP/3QBPP1/R4RK1 w - -,f1e1
2r5/5kb1/Q1P1q1pp/4r2n/3p4/6P1/PP1B1P1P/R2R2K1 w - -,a1c1
2r1b3/4k3/1p2P2p/p6P/P3RNK1/4P3/5PP1/8 b - -,c8c5
r2q1rk1/p1p2ppp/1bppb1n1/8/2P1P3/1N1B4/PP2QPPP/R1B2RK1 w - -,c1e3
3r2k1/1p3ppp/8/2B5/4p3/1P3P1B/5KPP/8 b - -,e4f3
8/5p2/r3k2p/1R4pP/6P1/6K1/8/8 b - -,f7f6
2q1rrk1/1p2bppp/p2p1n2/2pP1N2/P4n1P/3Q4/1PP1BPP1/R1B1R1K1 w - -,c1f4
r1bq1knr/p3b1pp/2p5/2p2p2/2Np4/3P2P1/PPP1QP1P/R1B1K1NR b KQ -,d8d5
8/2R3k1/5p1b/7R/7P/Pr2pK2/8/8 b - -,g7g6
5r1k/2R3pp/6q1/pP6/5r2/1Q3R2/P5BP/6K1 b - -,g6b6
8/2r2pk1/4p2p/8/R4PP1/4PK2/8/8 b - -,c7b7
r4rk1/pb3ppp/1pn1p3/2b5/8/1PB1PNP1/P4PBP/R2R2K1 w - -,d1d7
2r1nrk1/1p1n1pbp/p2p2p1/q1pP4/P3P3/3B2BP/1P2QPP1/R2N1RK1 b - a3,b7b5
k3r3/1p3n1P/p3qp2/2p5/3p1Q2/8/P3B2R/5K2 b - -,e8h8
8/1r3p1k/p3r2p/3R1Rp1/P7/4P2P/5PP1/6K1 b - -,h7g6
Q7/5pk1/3R2p1/8/1R3Pn1/1N6/KP5p/5q2 b - -,h2h1q
r1bq1rk1/p3ppbp/2p3p1/6B1/3PN3/8/PPP2PPP/R2Q1RK1 b - -,c8f5
r3kb1r/pp1nppp1/2p2n1p/2Pp1b2/3P1B2/1P2PN2/1P3PPP/RN2KB1R w KQkq -,h2h3
5bk1/R4p2/5P2/P4r2/1p6/8/1KP5/8 w - -,a7a6
6k1/pp3qpp/n1p5/3p4/1P2p3/2P4b/PBB1Qr1b/R1K1R3 w - -,e2d1
r4r2/1p3pbk/n1bq1npp/p3p3/2P1P3/2N1BN1P/PP2BPP1/3RR1K1 w - -,d1d6
r2qk2r/pp1n2pp/2pb2n1/3p4/3Pp3/1N6/PPP1B1NP/R1BQ1RK1 b kq -,d8c7
3r1rk1/1p5R/p2p1qp1/4n3/1PP3BQ/P5RP/6P1/7K w - -,h4h6
r1b2k1r/4bppp/p1pp4/q3p3/4P1Q1/1PN5/PBP2PPP/R3R1K1 w - -,g4e2
6k1/p2n2p1/1b2b3/3pP3/8/1qrB2BP/3Q1PPK/3R4 w - -,d2e2
r1rq4/1p1n1pbk/p2p1np1/P2Pp3/1P2P1p1/2N2B1P/3B1P2/2RQ1RK1 w - -,h3g4
rn1qkb1r/1bpp1ppp/4pn2/p7/NpP5/1P3NP1/P2PPPBP/R1BQ1RK1 b kq -,f8e7
r3r1k1/1bqnppbp/pp1p1np1/6B1/N1PNP3/5P2/PP1Q2PP/2R1RBK1 b - -,a8c8
q1b5/4pkbp/2p2pp1/2Pp4/3P1PP1/rrN1RN1P/3Q1PK1/2R5 b - -,a8a5
8/p7/1p2ppk1/3pPqp1/PP6/2P1Q1K1/6P1/8 w - -,e5f6
rn1qk2r/pp2bppp/2pp1n2/4pb2/2P5/2N2NPP/PP1PPPB1/R1BQ1RK1 w kq -,d2d4
8/7p/1p6/1k6/6r1/2pK4/4P3/3R4 b - -,g4c4
5rk1/6p1/p3R3/1p1p1p1Q/2q2P1P/P1P3PK/1P6/8 b - -,c4f1
2bq1rk1/N4pp1/1p4r1/2pPp2p/1BP1P1nb/3Q3N/4B1PP/1R3R1K b - -,c5b4
r1bq1rk1/pp3pbp/2n1p1p1/8/2PpPP2/6P1/PP2Q1BP/R1BN1RK1 b - f3,d4d3
6k1/2p1bppp/q1np4/4p3/1p2P3/1P1PBN2/1QP2PPP/6K1 b - -,e7f6
5rk1/5p1p/p5p1/2p5/2PpPP2/P2b1BP1/1R5P/7K w - -,e4e5
r1b1rbk1/1pqn1p1p/p2pp1p1/6P1/P1nNPP2/2N5/1PP3BP/R1BQ1R1K w - -,f1f3
r4k2/pp4b1/2p3pp/6p1/3pR3/7P/PPP2PP1/3N2K1 b - -,a8d8
3b1r2/1p4nk/3p2qn/p1pPpp1p/P1P5/1P3PPN/4R1NP/2Q3RK b - -,g6f6
rnbq1rk1/p3ppbp/5np1/1BpP4/4P2P/2N2N2/PP3PP1/R1BQK2R b KQ -,f6e4
r4r1k/pp1nqpp1/2p1bn2/3pNBB1/1b1P4/2N1P3/PPQ2PPP/R3K2R w KQ -,e1g1
2kr4/1p3pp1/1q2pb1p/p1P5/P1P1Q3/1PB2P2/K2R2PP/8 b - -,d8d2
5r2/4ppk1/p5r1/P2n4/R1pP4/2P2R1K/1P3B2/8 w - -,f3g3
r7/PR3ppk/2p5/2Pr4/6p1/3p4/5PK1/3R4 w - -,b7f7
r2qkb1r/pbpppppp/1pn2n2/8/2PP4/2N2P2/PP2P1PP/R1BQKBNR w KQkq -,d4d5
1rbq1rk1/2p2pbp/p2p1np1/3P4/2p1P1P1/3Q1PN1/PP2N2P/R3KB1R w KQ -,d3c2
8/p2b1k2/4p3/1p1pP1p1/1P1P2P1/3NK3/P7/8 b - -,f7e7
4k3/1b6/4p1R1/n3P3/5K2/8/8/8 b - -,b7d5
r1bqk2r/1p3pbp/p1np4/4pp2/2P5/N1N1P3/PP3PPP/R2QKB1R w KQkq -,f1e2
r4rk1/bpp2ppp/p2p4/3Pp3/8/3PP1Pq/PP2QP1P/1RB2RK1 w - -,c1d2
5N2/4Pk1p/2b1R3/1p6/1n3P2/3p4/5K2/8 b - -,c6e8
R4qk1/1bpn1p2/3b2pp/1p1P4/2p1Q3/2P1B1P1/5PBP/3R2K1 b - -,b7a8
6k1/2p5/1pPp4/3Pn1P1/2bKP2p/6N1/8/2B5 w - -,g3f5
2kr2r1/1b1q2b1/pp2Qp1p/3p4/RN6/2P2pP1/PP3P1P/1K2R3 b - -,g8e8
4r1k1/5p2/4q1pb/1p6/r2Rp3/6PP/P1R2PN1/4Q1K1 w - -,d4a4
6k1/6p1/p2p2qp/b1pPp3/1pP1N3/1P3QP1/R4P1r/3K4 b - -,a5c7
2r2rk1/4p1Bp/3p4/3n1bpq/1pP1P3/6P1/4P1BP/1Q1R1RK1 b - -,g8g7
5r2/8/2pR2k1/7p/6PP/P3K3/1P6/8 b - -,g6g7
