8/5k2/2R3p1/6P1/5P2/1r2B3/4K3/b7 b - -,a1b2
1q2r3/5Qpk/5B2/p2p2pP/3P2P1/5PK1/8/8 w - -,g3h3
2r1k1nr/6pp/pq1bbp2/1p1p4/3Pp3/1PN1PP2/1BP3PP/R2QNRK1 b k -,e4f3
r1q2rk1/ppn1ppbp/3p1np1/2pP4/2P4N/P1NQ2Pb/1P2PP1P/R1B1R1KB w - -,b2b3
r4rk1/pb1q1p2/1pn1pQ2/3pP3/3p2P1/7R/PPP1N1NP/R5K1 w - -,h3h8
r1b2rk1/ppQ2p2/3p2p1/3P2q1/4Pp2/3B1P2/PP3RpP/2R3K1 w - -,f2g2
1k1b4/8/P7/5P1p/8/4B3/6K1/8 w - -,g2h3
4r1k1/1ppb1q1p/p3p1r1/2Pp1pP1/3P1P2/P1BB1P2/1P5Q/2K4R b - -,f7g7
1nkr3r/pppqbp1p/1nb1p3/4P1pN/3P4/PBN5/1P2QPPP/R1BR2K1 w - -,c1e3
8/8/2b4p/2p2pk1/p1p5/R1P3PP/P3K3/8 b - -,f5f4
8/4k3/bppNP2p/2P5/1P6/8/3b3P/4K3 w - -,e1d2
r1b1rnk1/pp2qpbp/2p3p1/4p2n/2P1P3/2N1BN1P/PPQ2PP1/R2R1BK1 w - -,c4c5
2r1rnk1/p1q1bppp/bpn1p3/2ppP1N1/5B1P/2PP2P1/PP2QPBN/R3R1K1 b - -,h7h6
r4rk1/1bqnbppp/p7/4p3/Q3P3/1NPB4/1P1N1RPP/R6K b - -,d7b6
8/4r1k1/6p1/7p/1P6/P7/2P5/1K3R2 w - h6,c2c4
r2qk2r/pp3ppp/2nbpn2/3p4/3P1Bb1/2PB1N2/PP3PPP/RN1Q1RK1 w kq -,f4d6
3r2k1/p6p/1p3bp1/1Pp1p3/b1P1Pp2/P1qP1B1P/1R1R1P2/5QK1 b - -,g8f7
r1q2rk1/1ppb2bp/2n3p1/p2Pp1N1/4p3/7P/PP1BBPP1/R1Q1R1K1 b - -,c6d4
1Q6/8/R2p1rk1/1p1Pp1p1/1Pp4p/2P2P1P/5BP1/1q4K1 w - -,g1h2
1qrb1r1k/1b1n1ppp/pp1ppn2/8/1PP1P3/PNN1BP2/4BQPP/2RR2K1 b - -,d8c7
r2qk1r1/pp3p1p/1npbpn2/8/1P1P1Pb1/P1NB1Q2/4N1PP/R1B2RK1 w q -,f3f2
2r2k2/1R6/5N2/8/6P1/p7/5PK1/5r2 w - -,b7a7
4r1k1/p3qpp1/1p1p2r1/2bR3p/P1PNPQ1P/1P6/6P1/4R2K w - -,d4f5
r4rk1/1bqp1ppp/pp2p3/4b3/2P1N3/P2QP2P/1P1B1PP1/R4R1K w - -,d2b4
1k1r4/1p2b3/p2p2q1/5pP1/5B2/2P2P1p/PP1Q4/1K1R4 b - -,d8g8
r1bqkb1r/pp1npppp/2p2n2/8/2QP4/5N2/PP2PPPP/RNB1KB1R w KQkq -,c4c2:b1c3
6b1/1pk5/p7/4p2p/5p2/1P3P2/P1PrNK1P/6R1 b - -,g8e6
1r1q1rk1/1ppbn1bp/p2pp1pB/5p1n/P1PPP3/2N2NP1/1P1Q1PBP/2R2RK1 w - f6,h6g7
1r1r2k1/p1qbbppp/Q4n2/3p4/2p5/BPN1PN1P/P4PP1/2RR2K1 b - -,d7c8
r5k1/1p3rpp/p3Q3/2q1nP2/5B2/2P5/P1P3PP/R4RK1 w - -,g1h1
1r3rk1/pn2ppbp/Bp1p1np1/3P4/1P2P3/5P2/P1NB2PP/2R2RK1 w - -,d2e3
4r3/pr1p3p/R1pk2p1/3p1p2/1P6/PN3BP1/3K1P1P/8 b - -,h7h5
r1bq1rk1/pp1nbppp/2p2n2/3p4/3P1B2/2N1PN2/PPQ2PPP/R3KB1R w KQ -,f1d3
4r2k/2n3bp/3p2p1/2p2pB1/1n5N/2N3PP/PP3P2/4R1K1 w - -,e1d1
8/p1rk4/R1N1p3/4PpPb/5P2/2p5/2P2K2/8 w - -,c6d4
6k1/p1r2p1p/6p1/4P3/R1Bn1P2/8/5KPP/8 b - -,d4e6
1r6/5B2/8/p1p1k3/2P2pb1/P7/4KP2/3R4 w - -,f2f3
5k2/p4p2/5p2/PP4p1/6P1/7n/R4P1K/5r2 w - -,b5b6
8/5pk1/1p4p1/p2Pn1Np/P2q3P/5QP1/1P6/5K2 w - -,f3f7
6k1/p4rpp/6n1/N7/5P2/1N2r1Pb/P6P/R2R2K1 w - -,d1e1
3rrnk1/pp2bppp/2p1pn2/7q/1PPP4/P2BNQ2/1B3PPP/R3R1K1 w - -,f3h5
r2r4/p3qppk/1pnpbn1p/4p3/1PP1P3/3BBN1P/P2Q1PP1/2RR2K1 w - -,d2b2
7r/8/1k2pNp1/3pPn1P/1Pb2NK1/8/8/4R3 w - -,h5g6
7r/7P/5p2/5K2/kp5R/8/P7/8 w - -,f5f6
6k1/p1q5/1p1p4/3PpbP1/2P2p1R/4P3/P3Q2P/7K w - -,e3f4
5k2/1b2rp1p/4pnp1/p2rN3/1p3P2/P2BP3/1P4PP/2RR2K1 w - -,a3b4
1q2r3/3Rr1kp/pp4p1/3Qbp2/P7/1P2P1P1/5PBP/2R3K1 b - -,e5f6
2r1r1k1/pb1n1ppp/1p3n2/4p3/1BPP4/P2BPN2/6PP/R3R1K1 w - -,f3d2
2r3k1/1p3pbp/p5p1/3R2P1/4r3/7P/PPP5/1K3B1R w - -,f1d3
r5k1/p5p1/1p5p/2pPBP1b/2P5/1P3R1P/P7/4R1K1 b - -,h5f3
1r6/p3bpk1/n3p1p1/1N1pP2p/P2P1P2/5N1P/2R3P1/6K1 b - -,b8b7
r1bqk1nr/1ppp1ppp/2n1p3/p3P3/1bPP4/2N5/PP1B1PPP/R2QKBNR w KQkq -,d2e3
2rr2k1/1p3pbp/p1nppnp1/8/PqP1P3/1PN1BP2/3QN1PP/1R1R2K1 w - -,e3f4
1r4k1/p1p2p1p/b3pnp1/8/N1p5/P5P1/1P1RPPBP/5K2 b - -,g8f8
r1bq1rk1/pp2ppbp/1npp1np1/3P4/2P5/5NP1/PP1NPPBP/R1BQ1RK1 w - -,d5c6
8/2r5/8/pk6/8/3K4/8/R7 w - -,a1b1
8/5pkp/3Qpnp1/1p6/4P3/5PNP/1q4P1/7K b - -,b5b4
r1b1qrk1/ppp2pb1/n2p2pp/8/2PNP1n1/2N5/PP2BPPP/R1BQR1K1 b - -,e8e5
r1b2rk1/3nq1pp/2pbp3/pp1p1pn1/2PP4/1P1NPPP1/PBQ3BP/RN3RK1 w - b6,b1d2
4n3/3b4/3p2k1/2pP1pP1/2P1p2P/2Q1P2B/1B3q1K/8 w - -,h2h1
3b4/8/3p4/1p1Pp3/pP2Pk2/P1N2p1b/5B2/4K3 b - -,h3d7
7r/3k1p2/3p1p2/rNbPp3/1pP3Pp/1P3P2/P2R3P/1K5R b - -,h4h3
r4rk1/2pb2p1/1p1p2Qp/p1nPp3/1PP2qP1/P4P1P/4BR2/1R3NK1 b - -,a5b4
r2qkbnr/ppp2ppp/2n1p3/3P4/2B1P3/5Q2/PP3PPP/RNB1K2R b KQkq -,c6e5
Q5nk/6p1/8/7p/5P1P/6P1/1p1N1R1K/1q6 b - -,b1e1
rnb1kb1r/pp3ppp/1q2pn2/2pp4/3P1B2/1QP1PN2/PP3PPP/RN2KB1R b KQkq -,c5c4
2r2r1k/2p4p/p3p3/1p1nN2q/1P1P1p2/P3P3/1Q3P1P/2RR3K w - -,e3e4
5k2/5p2/3N2p1/4P2p/2b2p2/7P/6PK/8 b - -,c4d5
1r1q1rk1/5ppp/p1npb3/3Np3/1pP1PbPP/1P2N3/P4P2/R2QKB1R w KQ -,f1e2
2b5/2p2k1p/p2p2pB/5r2/R7/2K2P2/P5P1/8 w - -,f3f4
8/2B2Q1k/1r1P2pp/8/q1p5/p6P/5PP1/b5K1 b - -,a1g7
6r1/2pk1p2/P1prpqp1/4R2p/1P1P1P2/2P3QP/8/5RK1 b - -,g8a8
2k2brr/1b1nn3/p1q1p2p/Pp1pP1pP/1PpP1NP1/2P1B2R/2BQ1N2/1K4R1 w - -,f4g6
r3r1k1/5pb1/3p2pp/2p1n3/1pP1P2B/1P3RPP/2Q5/4R2K w - -,f3f6
3n2q1/pr5k/R3QP1p/3pb1p1/1Pp5/2PnB3/4N1PP/5RK1 w - -,f6f7
1r4k1/4Rpb1/1p4p1/2p1P3/2P1qP2/1QB1P1Pb/4BK2/8 w - -,e2f3
1r2r1k1/pB3p2/1p3bpp/8/2n5/6PN/P3PP1P/2R2RK1 w - -,b7c6
r4rk1/ppp2ppp/2b1pn2/2b1q3/8/2PB1PN1/PP4PP/R1BQR1K1 w - -,g1h1
2r1r1k1/5pp1/2q3np/3pb3/Np6/1P1R1QP1/PB3P1P/3R3K b - -,e5b2
4r1k1/6pp/2ppqp2/1b6/rP1BP1P1/5P2/1Q1R3P/6RK b - -,h7h6
4r1k1/5p1p/rbp3pq/1p1pPb2/5P2/2P2NBP/1P1R1QPK/5R2 w - -,f3d4
r4r1k/p3q1bp/1p6/1NpQn3/8/2P2p1P/PP3PPB/3B1RK1 b - -,a8d8
r3qrk1/ppn1b1pp/2p1b3/4P3/4p3/2N3P1/PP3PBP/R1RQB1K1 b - -,e4e3
1rbq1rk1/4npbp/2n1p1pB/2pp4/4P3/2PP2PP/3Q1PB1/R1NN1RK1 w - -,h6g7
4b3/1p2kp2/4p1p1/p5p1/1nBP3P/4PP2/1P3K2/2N5 w - -,h4g5
8/1p1N2k1/p1p3p1/3p4/PP1P2p1/3Rn2r/8/6K1 w - -,d7c5
4nk2/q4ppp/1pNn4/8/8/6P1/P4PBP/6K1 w - -,c6a7
7k/pr3r2/1p1pbq2/1P1Np3/P3P1pp/3PBpPn/2R2P1P/1R1Q1K2 b - -,f6g6
r1bqk2r/1pp1nppp/2n1p3/p3p3/1bPP1P2/2N1BN2/PP4PP/R2QKB1R w KQkq -,f4e5
6k1/p3r1pp/1n6/4P3/1n1K1PP1/1P6/2P1R2P/8 b - -,e7d7
r6Q/pp2kr2/5p2/2Pq1B2/1bn1NP2/8/1P4NP/n1B2R1K w - -,h8a8
